STUDENT_ID,resume_score,communication_skills,aptitude_score,mock_interview_score,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill
S100029,93.32,56.98,38.24,50.42,3,2,6,7.58,43.01
S100030,85.4,78.5,83.35,65.91,5,1,2,6.37,69.1
S100031,53.11,96.28,91.61,52.2,2,1,2,3.32,59.84
S100032,68.28,57.08,58.76,79.42,0,2,6,9.37,46.71
S100033,41.97,77.78,18.63,94.33,5,1,3,4.49,34.07
S100034,63.72,63.68,36.72,15.83,4,1,3,6.57,67.45
S100035,38.08,55.23,74.44,71.92,2,1,2,6.05,53.07
S100036,44.11,74.57,67.21,34.01,2,0,5,5.62,60.09
S100037,67.41,63.96,67.92,38.89,1,0,4,7.85,57.1
S100038,71.54,79.73,36.79,71.2,1,1,9,8.99,93.73
S100039,60.38,43.52,56.98,44.48,6,2,7,1.67,46.36
S100040,91.0,55.55,72.29,47.84,4,1,3,6.06,43.11
S100041,68.26,80.51,54.22,47.3,2,1,7,8.57,37.14
S100042,43.24,70.88,80.5,61.51,4,0,5,4.13,30.7
S100043,74.21,83.04,50.98,88.27,4,1,4,10.0,56.28
S100044,59.16,77.73,45.56,78.92,3,2,5,5.92,32.4
S100045,66.85,52.89,67.32,36.57,5,2,6,5.69,23.23
S100046,54.95,80.64,56.58,63.36,6,1,2,4.9,40.33
S100047,50.79,51.06,69.55,23.52,3,1,1,3.19,57.02
S100048,41.76,54.89,66.07,67.42,5,1,2,5.85,74.61
S100049,65.66,36.69,81.58,93.67,4,2,1,1.22,80.39
S100050,47.13,60.04,67.57,49.86,3,1,5,6.61,72.77
S100051,71.16,81.51,33.9,64.21,2,0,6,5.84,39.55
S100052,75.4,64.41,87.04,59.06,3,1,1,7.53,66.79
S100053,37.42,71.74,38.14,68.75,2,1,4,5.9,35.65
S100054,46.76,78.54,48.72,92.62,5,0,1,8.67,48.99
S100055,46.95,57.88,49.97,38.14,2,2,3,5.43,0.0
S100056,45.33,74.84,66.06,59.62,1,1,2,5.03,71.59
S100057,46.49,40.25,56.39,56.86,0,1,5,3.79,37.79
S100058,,57.84,33.59,74.96,1,1,2,7.15,51.18
S100059,49.86,51.72,64.8,90.8,3,1,3,7.8,38.56
S100060,68.28,68.4,54.63,60.0,1,1,3,4.55,44.42
S100061,25.64,77.48,78.19,17.8,0,2,0,2.0,53.68
S100062,49.36,42.27,51.87,63.62,1,0,1,0.59,55.94
S100063,53.51,61.46,55.47,69.59,4,1,7,4.27,32.57
S100064,76.06,77.05,66.77,24.73,1,0,5,5.49,38.51
S100065,,52.75,66.49,42.26,3,3,3,2.12,43.79
S100066,56.3,67.53,59.4,56.16,1,0,7,3.4,32.49
S100067,81.63,85.42,41.7,56.51,0,2,2,5.36,28.58
S100068,31.03,76.99,72.1,28.01,3,0,10,4.15,41.93
S100069,59.15,68.21,56.7,26.25,6,0,6,5.23,51.9
S100070,37.84,64.63,37.37,77.07,2,0,1,8.44,72.45
S100071,70.56,41.18,50.13,65.84,3,2,4,3.47,36.11
S100072,82.09,64.86,69.37,46.73,2,0,2,10.0,57.19
S100073,29.53,52.3,74.91,28.52,0,2,4,9.77,65.31
S100074,27.58,55.99,71.39,74.22,2,1,6,4.18,67.46
S100075,73.82,48.56,43.78,62.62,1,0,9,3.74,34.85
S100076,73.28,56.62,63.61,36.49,5,1,4,8.55,58.83
S100077,51.51,53.48,38.21,56.33,1,4,2,3.34,29.77
S100078,0.0,73.27,73.72,45.94,2,2,5,7.74,29.21
S100079,54.65,64.76,64.66,56.82,2,1,0,6.47,70.04
S100080,66.32,88.65,49.83,46.65,2,1,3,6.93,10.32
S100081,43.19,66.04,61.46,70.06,2,1,4,7.44,70.35
S100082,75.91,67.17,52.74,76.22,3,2,6,5.97,28.76
S100083,,42.84,64.32,87.53,3,2,3,4.95,52.69
S100084,55.65,63.51,58.76,49.7,4,0,3,0.0,45.95
S100085,49.1,80.51,78.79,46.61,1,0,3,9.08,60.95
S100086,75.78,77.14,71.15,43.12,2,1,2,3.19,33.45
S100087,74.79,43.93,67.46,27.6,4,0,4,8.12,54.76
S100088,47.27,66.32,58.5,100.0,0,1,10,2.8,74.53
S100089,57.51,70.63,63.32,52.59,3,0,3,5.42,91.49
S100090,44.69,57.92,41.16,71.3,4,1,4,7.39,30.96
S100091,21.24,74.38,29.44,34.19,0,2,6,1.71,54.28
S100092,50.06,74.44,63.11,46.82,0,0,4,6.24,58.96
S100093,35.78,57.25,38.67,61.46,2,1,4,4.47,39.02
S100094,56.4,40.53,54.31,56.06,2,1,2,5.69,66.09
S100095,21.85,49.05,64.58,47.84,2,0,4,2.53,50.14
S100096,75.9,41.05,66.27,74.62,4,0,5,5.76,47.85
S100097,59.56,78.25,73.58,79.91,4,1,6,0.12,37.38
S100098,,62.64,68.8,32.71,2,0,5,10.0,53.93
S100099,53.1,68.05,55.05,44.07,2,1,5,3.82,2.09
S100100,37.8,69.14,87.94,20.9,2,0,1,4.56,48.38
S100101,72.78,50.84,52.87,80.86,2,0,2,7.7,30.76
S100102,63.0,65.1,65.33,51.28,3,0,3,4.33,46.24
S100103,65.38,81.73,61.84,58.15,1,2,2,3.96,51.35
S100104,31.27,76.51,35.07,65.99,1,2,3,5.73,47.38
S100105,78.14,52.28,41.62,79.94,1,1,4,9.24,79.61
S100106,30.64,60.7,52.41,51.62,4,2,5,2.3,42.88
S100107,54.71,72.83,70.59,47.83,5,0,9,0.0,47.79
S100108,55.85,37.12,52.57,51.03,1,3,3,4.0,66.64
S100109,57.88,84.08,65.82,44.56,1,0,4,10.0,100.0
S100110,44.14,48.85,56.45,56.36,2,0,2,5.61,64.4
S100111,50.8,45.28,79.37,41.89,5,0,2,1.26,30.93
S100112,85.77,44.18,89.05,64.12,4,0,4,2.04,37.09
S100113,47.55,65.55,61.29,53.63,1,1,3,2.31,36.15
S100114,32.39,90.04,51.09,65.73,4,2,1,7.4,48.67
S100115,46.59,79.48,42.61,63.61,5,1,6,4.91,69.97
S100116,55.52,43.66,74.09,65.68,4,2,7,4.81,56.97
S100117,47.74,49.42,50.18,77.81,1,0,3,3.75,73.26
S100118,68.5,78.51,50.13,25.64,6,1,3,4.81,31.58
S100119,61.13,71.52,55.95,77.67,3,0,2,6.02,54.18
S100120,60.26,49.45,57.54,48.2,0,1,1,3.17,68.03
S100121,64.95,71.25,64.88,37.88,2,0,3,6.5,51.73
S100122,100.0,53.02,68.24,56.28,3,1,5,5.48,48.45
S100123,34.82,50.65,65.96,86.6,3,0,3,5.89,79.75
S100124,51.9,53.34,81.75,61.15,1,0,1,4.77,62.57
S100125,64.35,43.66,67.56,43.13,5,0,3,5.09,50.65
S100126,66.17,72.0,60.18,72.34,3,0,4,5.58,63.08
S100127,61.97,68.93,55.99,68.28,2,0,2,8.75,48.14
S100128,52.2,38.3,65.73,50.5,5,0,2,6.1,50.07
S100129,64.27,48.14,66.16,45.07,0,0,6,2.27,18.83
S100130,19.44,79.0,63.79,37.16,4,1,8,3.59,66.94
S100131,59.14,40.5,45.39,91.78,1,1,2,2.24,47.95
S100132,69.86,47.94,46.36,55.34,3,1,4,1.16,73.74
S100133,58.78,56.3,49.69,61.04,4,3,3,3.9,36.72
S100134,56.08,35.49,38.13,71.53,4,0,4,5.06,50.33
S100135,14.84,15.12,24.29,68.92,6,1,4,5.59,26.63
S100136,48.1,62.58,62.13,54.03,5,0,4,5.09,43.09
S100137,68.96,41.38,58.82,11.31,5,2,6,6.26,51.49
S100138,53.64,69.1,64.2,27.01,5,0,5,4.2,96.93
S100139,51.78,50.4,91.91,43.74,4,1,5,6.26,53.87
S100140,33.23,54.9,52.93,52.68,1,2,0,5.66,60.11
S100141,24.41,76.72,26.81,36.91,5,0,5,8.84,41.64
S100142,60.5 ,41.62,65.7,39.41,3,1,3,4.27,34.16
S100143,39.03,71.67,54.07,51.06,0,1,6,1.92,72.65
S100144,34.31,66.37,48.24,59.23,2,1,7,2.5,36.87
S100145,46.72,92.85,58.56,98.01,6,0,6,9.42,28.19
S100146,47.82,62.43,52.5,48.43,5,2,8,3.8,62.9
S100147,54.65,100.0,49.01,49.01,3,0,3,5.67,41.86
S100148,44.17,39.83,59.44,58.04,4,1,2,3.49,32.15
S100149,71.58,57.9,59.15,25.99,1,0,4,7.1,43.77
S100150,71.68,43.84,54.31,63.73,4,1,4,8.03,66.23
S100151,50.84,76.72,75.21,48.09,1,1,7,9.58,27.75
S100152,39.31,36.38,63.57,52.47,1,1,3,5.25,82.83
S100153,28.85,91.02,53.35,63.25,2,0,9,6.6,70.99
S100154,57.7,63.77,60.25,47.84,1,2,3,4.55,42.82
S100155,37.84,45.18,47.97,61.4,6,0,3,7.05,7.35
S100156,58.71,57.89,61.91,56.52,0,0,6,9.37,69.96
S100157,38.98,35.56,54.53,34.13,2,0,3,5.94,67.37
S100158,37.73,47.74,44.8,46.15,3,0,6,6.45,45.24
S100159,72.68,31.36,87.01,30.42,2,2,7,0.0,24.51
S100160,69.29,56.63,44.9,30.9,1,0,5,8.74,50.74
S100161,70.25,73.95,100.0,45.26,2,0,2,10.0,51.44
S100162,56.56,57.74,54.84,66.23,5,2,3,7.55,26.17
S100163,60.85,69.46,74.16,19.27,3,0,2,9.76,73.19
S100164,48.95,83.74,55.41,88.32,0,0,6,3.26,51.45
S100165,45.61,63.56,72.04,79.68,4,0,7,2.8,33.9
S100166,64.33,44.47,52.23,76.49,6,0,3,7.17,35.7
S100167,50.63,43.52,26.71,68.21,2,2,1,7.29,81.28
S100168,60.08,48.45,83.62,48.66,0,0,5,5.62,31.41
S100169,34.32,59.0,75.47,51.95,1,2,3,4.23,22.41
S100170,31.74,60.06,79.33,63.34,4,0,5,6.46,66.9
S100171,54.44,62.71,49.77,42.28,1,2,1,3.05,41.12
S100172,55.98,21.18,56.86,5.42,5,0,0,3.11,75.01
S100173,49.99,46.54,39.68,37.03,4,0,3,2.82,27.1
S100174,54.99,59.98,53.97,25.0,2,1,1,0.0,24.51
S100175,48.32,84.51,64.76,38.34,5,0,6,5.33,65.15
S100176,53.76,21.1,61.02,40.27,3,1,1,7.45,82.12
S100177,83.7 ,61.89,59.29,86.45,7,0,3,7.58,37.39
S100178,,60.45,57.65,62.91,2,1,8,6.25,59.24
S100179,48.3 ,39.72,64.5,24.78,1,0,4,6.39,34.08
S100180,84.78,62.42,54.79,53.97,5,1,3,7.88,76.74
S100181,62.1,78.69,27.93,49.88,6,0,6,2.22,55.6
S100182,55.32,72.07,53.28,70.74,1,1,2,5.88,52.61
S100183,38.36,16.4,67.03,55.52,4,1,1,9.6,78.19
S100184,73.34,43.43,62.92,14.81,1,2,3,1.09,54.23
S100185,41.12,77.92,58.98,64.02,4,4,7,1.75,36.29
S100186,71.46,69.14,35.34,46.25,1,1,3,8.69,28.93
S100187,28.84,85.12,40.19,79.04,2,1,4,4.7,30.01
S100188,76.1,59.67,43.8,58.59,2,0,3,4.53,81.63
S100189,29.15,40.89,64.31,42.21,1,3,4,9.85,70.34
S100190,20.1,38.06,42.77,77.66,4,0,3,6.86,68.6
S100191,81.61,49.86,54.76,66.68,5,5,3,8.98,43.96
S100192,68.92,43.77,44.96,17.67,1,0,6,8.31,59.52
S100193,38.97,65.38,51.14,,3,1,8,6.91,17.17
S100194,86.91,32.09,41.3,49.81,1,3,3,8.05,36.4
S100195,40.15,67.9,65.66,61.17,3,1,4,3.42,41.53
S100196,65.6,97.99,77.2,64.01,5,0,3,4.25,54.22
S100197,60.37,43.41,47.34,44.49,3,0,3,9.93,54.33
S100198,82.08,73.95,33.35,30.29,5,0,9,6.57,42.74
S100199,63.99,68.2,48.58,76.64,2,0,3,3.48,33.69
S100200,65.7,61.61,71.8,55.43,2,1,2,7.17,13.81
S100201,50.23,56.0,59.51,60.17,6,1,6,0.23,0.0
S100202,58.26,49.86,33.49,50.42,9,1,5,7.11,43.09
S100203,25.44,56.52,56.39,49.94,3,0,5,3.69,40.91
S100204,41.6 ,68.17,77.16,54.04,5,0,3,2.16,41.19
S100205,42.99,94.1,65.21,64.7,1,0,3,8.36,58.33
S100206,100.0 ,58.3,54.29,38.03,2,1,1,5.33,29.27
S100207,61.05,40.32,45.62,41.13,0,3,5,7.61,32.87
S100208,71.74,68.34,78.72,31.93,4,0,7,4.06,75.95
S100209,57.36,35.36,59.18,70.88,1,0,5,5.45,69.46
S100210,81.91,80.15,56.85,41.9,4,1,4,7.57,58.05
S100211,37.98,72.52,63.65,46.95,3,2,5,2.83,32.66
S100212,17.08,48.49,84.96,50.69,2,0,5,5.33,65.12
S100213,85.31,70.14,63.11,56.39,5,1,8,4.49,59.5
S100214,96.16,94.29,66.97,70.18,1,1,6,7.58,34.28
S100215,,76.85,32.9,45.38,3,1,3,2.62,0.55
S100216,50.07,74.92,53.56,51.15,4,1,5,1.25,52.26
S100217,41.66,45.19,24.76,35.31,3,0,1,5.97,77.62
S100218,46.41,69.72,83.32,72.81,4,1,4,6.6,22.58
S100219,42.98,36.88,49.23,,0,0,3,4.21,67.64
S100220,83.46,82.76,33.8,36.03,1,1,7,10.0,23.02
S100221,45.63,64.32,64.44,59.34,4,1,3,4.64,51.7
S100222,34.98,73.43,32.41,67.06,2,1,3,3.92,56.48
S100223,64.18,34.41,71.28,58.8,1,0,3,9.0,47.05
S100224,83.14,67.95,54.77,53.82,4,0,4,3.13,56.7
S100225,,93.41,65.42,72.74,1,0,2,7.52,72.02
S100226,100.0,94.99,49.03,46.4,3,1,5,6.49,96.91
S100227,28.42,53.7,85.82,54.72,3,0,2,5.2,62.27
S100228,97.77,68.79,58.93,53.37,3,0,5,8.43,62.94
S100229,75.82,64.55,77.77,18.6,3,1,4,4.78,12.8
S100230,43.78,39.31,59.55,29.91,5,3,2,2.7,42.55
S100231,60.42,68.1,44.88,56.82,3,1,6,6.76,64.7
S100232,46.34,42.84,65.54,74.35,3,0,4,0.64,45.92
S100233,69.84,76.69,66.86,48.96,1,1,5,7.35,44.59
S100234,55.75,49.6,59.38,73.62,4,1,2,3.98,79.98
S100235,75.03,49.51,42.12,19.85,3,1,7,4.36,51.2
S100236,66.49,47.48,54.46,40.98,7,0,3,5.73,57.86
S100237,72.57,62.26,57.66,59.15,3,1,2,7.58,70.76
S100238,69.96,81.71,54.64,59.24,2,1,12,6.96,41.42
S100239,33.16,76.31,67.33,23.08,2,0,5,4.06,49.08
S100240,70.22,30.51,65.84,57.52,2,1,4,5.77,63.21
S100241,53.47,97.12,53.74,22.18,1,1,3,7.22,46.42
S100242,41.87,52.0,61.88,39.06,4,1,5,6.61,36.66
S100243,48.2 ,76.58,18.95,59.7,2,0,4,6.63,34.18
S100244,30.97,77.34,57.62,67.05,4,0,4,6.12,97.29
S100245,42.52,60.76,44.16,53.6,3,1,4,6.21,62.05
S100246,38.23,63.66,69.0,51.2,5,1,4,5.71,44.22
S100247,29.26,37.62,90.06,32.85,3,2,4,7.55,47.13
S100248,70.12,46.8,77.53,80.17,3,0,4,6.79,19.42
S100249,57.79,52.35,100.0,43.01,2,1,1,4.71,34.49
S100250,54.39,72.88,83.04,40.33,4,2,6,7.77,51.23
S100251,58.01,76.61,67.87,59.04,0,1,2,7.25,17.95
S100252,30.2,66.84,21.53,57.15,2,3,3,3.2,50.6
S100253,75.27,44.39,50.13,63.77,1,2,5,9.38,40.76
S100254,47.05,55.07,74.83,49.29,2,0,4,7.43,36.8
S100255,72.13,59.88,44.08,41.18,2,1,1,5.68,65.55
S100256,39.53,44.3,59.56,49.75,3,0,6,7.15,62.0
S100257,59.67,87.64,38.41,45.75,2,0,5,3.11,75.88
S100258,34.34,69.69,44.53,37.47,4,0,4,8.0,49.42
S100259,27.25,51.03,42.51,63.24,3,0,5,5.75,46.58
S100260,77.87,42.57,57.02,,4,1,5,7.33,69.52
S100261,60.23,76.97,83.0,37.52,8,2,6,8.71,50.82
S100262,41.51,72.2,49.73,44.77,4,0,5,6.23,34.11
S100263,50.4,51.85,52.73,60.22,2,0,4,7.09,49.12
S100264,80.84,65.01,72.38,31.05,4,1,4,3.11,28.96
S100265,35.11,52.99,60.51,29.27,3,3,2,3.1,28.65
S100266,51.18,68.33,62.64,51.69,4,2,3,10.0,70.98
S100267,68.35,63.64,49.18,47.11,1,0,3,7.35,64.13
S100268,57.1,47.95,73.91,73.05,1,0,4,4.36,76.96
S100269,52.38,44.78,30.98,36.32,2,3,5,5.58,23.04
S100270,18.79,66.16,100.0,50.11,4,0,5,8.93,53.68
S100271,57.55,44.11,75.85,64.19,4,0,2,10.0,61.32
S100272,64.88,48.03,36.8,70.37,3,1,7,3.19,52.09
S100273,43.91,62.1,69.54,56.32,0,1,0,4.26,55.76
S100274,58.6,71.11,29.59,73.19,6,0,4,7.04,51.47
S100275,22.64,49.67,40.68,92.53,4,1,9,10.0,47.4
S100276,40.42,45.68,62.11,54.88,4,2,4,9.91,39.41
S100277,69.2,61.32,66.95,51.5,2,0,2,7.27,27.94
S100278,57.67,57.68,35.77,70.28,2,3,1,7.95,58.73
S100279,,44.37,94.41,48.81,5,0,6,6.76,37.3
S100280,44.48,58.73,28.72,83.59,2,0,3,5.09,30.19
S100281,49.32,58.18,75.56,,2,0,8,8.64,43.65
S100282,20.22,87.37,35.44,61.77,3,1,4,7.41,59.36
S100283,62.79,78.95,55.92,69.76,0,1,8,4.53,87.62
S100284,58.05,58.82,66.15,41.1,4,1,4,6.47,74.4
S100285,76.29,60.21,66.14,28.63,0,0,2,7.79,15.25
S100286,42.56,47.68,70.77,77.22,4,2,3,10.0,42.21
S100287,90.2,84.58,68.96,65.76,3,1,5,8.02,37.19
S100288,72.31,46.48,69.31,48.72,4,0,7,6.41,33.39
S100289,75.65,57.33,64.16,89.16,1,4,1,1.03,77.63
S100290,32.81,33.58,75.07,61.24,0,0,2,6.22,47.75
S100291,69.81,90.42,55.03,29.63,2,1,2,7.65,100.0
S100292,30.37,59.1,50.04,81.33,1,0,2,8.45,56.12
S100293,61.57,69.11,72.62,46.81,3,0,5,4.6,35.14
S100294,99.6,69.43,77.13,57.2,1,0,5,4.6,41.65
S100295,41.45,22.48,72.71,36.85,5,1,3,4.0,35.69
S100296,46.15,61.33,93.67,26.72,1,0,4,6.6,72.6
S100297,74.3,33.62,82.19,81.85,2,0,1,5.6,22.84
S100298,57.53,47.12,85.02,52.14,3,3,6,4.62,50.9
S100299,78.29,95.58,42.24,49.4,3,2,3,10.0,40.25
S100300,51.03,41.19,26.31,66.91,2,1,2,4.94,38.42
S100301,74.58,78.96,63.54,74.77,1,1,4,4.18,47.07
S100302,72.56,60.14,48.54,65.65,3,0,5,6.24,69.91
S100303,68.94,29.44,66.93,80.8,2,0,2,3.91,79.89
S100304,,33.04,91.92,41.93,1,0,1,7.73,34.37
S100305,46.74,52.82,84.87,57.84,1,2,6,3.99,56.64
S100306,31.56,86.96,73.3,51.72,2,1,2,1.89,16.27
S100307,68.03,68.17,64.83,55.29,3,2,4,8.86,49.83
S100308,98.8 ,42.09,59.75,62.16,1,2,3,2.09,58.86
S100309,61.92,78.31,46.89,68.64,0,2,7,6.05,89.88
S100310,58.18,57.68,50.88,68.88,2,2,4,2.57,35.41
S100311,63.4,77.85,63.49,61.02,1,0,5,5.75,54.95
S100312,51.6,49.81,59.07,89.99,3,2,3,5.38,39.0
S100313,61.77,47.3,50.29,65.58,2,1,6,6.55,56.71
S100314,40.58,58.41,46.97,75.61,4,0,7,0.0,31.23
S100315,37.11,71.2,70.15,26.53,2,1,3,3.39,66.25
S100316,55.01,86.43,36.77,21.12,3,0,7,7.76,60.8
S100317,100.0,82.05,57.35,52.21,1,1,1,5.53,84.86
S100318,69.28,43.24,36.41,91.03,6,1,5,8.06,66.84
S100319,50.63,94.53,37.55,46.34,1,2,2,3.73,66.06
S100320,63.58,70.99,34.28,34.58,2,0,4,4.84,44.83
S100321,79.64,62.75,58.97,39.69,0,0,5,3.57,70.19
S100322,67.93,68.83,40.37,15.48,1,0,2,4.89,43.28
S100323,54.2,54.65,59.2,66.51,0,2,4,6.74,46.85
S100324,51.1,67.07,39.55,63.16,2,0,3,4.06,45.21
S100325,47.92,62.16,39.53,59.74,3,4,4,9.12,84.66
S100326,25.64,68.19,72.1,50.18,3,0,3,4.87,46.06
S100327,76.73,69.36,49.98,56.42,5,3,6,6.51,35.08
S100328,74.18,33.93,50.32,53.33,4,0,1,5.2,79.0
S100329,39.9 ,27.96,49.69,64.19,4,1,2,3.13,74.92
S100330,57.7,62.41,81.48,69.15,2,1,3,3.2,24.33
S100331,42.53,53.6,71.71,75.28,2,1,6,4.15,63.86
S100332,75.32,72.41,31.61,38.13,1,1,4,1.96,48.95
S100333,61.2,54.02,62.61,40.88,2,0,4,4.27,38.51
S100334,62.0,47.85,61.77,43.67,1,2,5,2.81,40.25
S100335,17.0,57.32,70.31,59.58,3,0,2,0.56,62.59
S100336,,52.23,40.57,41.68,3,2,2,3.67,49.62
S100337,44.07,84.22,56.24,67.34,1,0,5,0.41,56.52
S100338,79.32,76.13,86.02,71.19,4,0,7,8.18,33.98
S100339,87.97,81.93,56.99,62.69,2,0,1,3.56,70.51
S100340,53.81,42.47,80.88,40.93,5,1,4,7.84,42.45
S100341,64.8,30.01,57.29,26.84,1,0,2,6.45,37.48
S100342,51.35,80.42,58.12,42.23,2,2,1,4.25,67.33
S100343,75.05,54.11,53.45,40.15,6,0,6,9.81,31.31
S100344,83.54,60.6,75.97,56.24,3,0,2,10.0,43.72
S100345,38.57,46.36,62.98,47.23,3,0,6,5.26,80.82
S100346,48.93,67.5,74.7,59.99,3,1,5,3.05,69.22
S100347,50.73,54.85,78.91,48.0,1,1,2,3.03,54.52
S100348,71.3,66.99,49.09,55.73,1,1,0,5.12,23.57
S100349,39.82,31.42,66.77,54.39,1,1,4,6.36,54.27
S100350,37.85,64.25,48.48,61.47,0,0,2,5.53,77.03
S100351,54.6,62.69,59.4,50.64,1,0,6,5.76,63.43
S100352,32.05,41.99,54.7,76.78,1,0,5,6.52,32.56
S100353,48.29,53.97,44.01,62.78,1,1,5,6.26,17.33
S100354,17.26,83.78,72.25,67.84,2,2,5,5.12,53.3
S100355,66.38,46.45,73.13,75.65,3,2,7,5.81,49.37
S100356,95.0,88.19,53.17,75.16,4,1,9,0.58,48.49
S100357,62.73,47.07,42.51,82.92,5,1,6,7.23,54.0
S100358,86.84,87.48,30.66,46.92,3,2,4,10.0,55.24
S100359,42.71,79.28,52.77,40.6,4,1,2,4.19,61.9
S100360,66.01,44.37,64.93,51.75,2,1,4,3.12,28.12
S100361,54.55,63.96,71.17,34.25,0,0,5,5.98,55.1
S100362,63.88,76.21,74.4,66.84,1,2,7,6.02,42.67
S100363,34.99,64.78,48.94,57.92,4,2,6,3.33,38.21
S100364,64.89,47.59,65.06,52.55,4,0,4,9.66,87.43
S100365,25.69,60.34,70.15,52.56,1,2,5,8.26,67.57
S100366,50.62,77.38,77.19,53.98,1,0,4,8.31,83.04
S100367,40.37,56.33,80.73,55.83,2,0,4,10.0,57.3
S100368,92.87,65.15,66.49,87.25,3,0,4,6.01,61.81
S100369,67.56,56.45,36.97,81.33,1,3,2,4.05,78.21
S100370,38.39,65.36,43.23,43.99,0,2,3,5.27,34.53
S100371,58.64,61.25,53.78,26.67,2,0,3,7.07,39.99
S100372,62.95,14.06,29.45,34.24,4,1,4,3.56,30.06
S100373,53.25,67.8,37.93,53.25,0,1,6,2.9,52.76
S100374,28.52,56.64,46.22,34.09,4,0,4,5.81,71.03
S100375,74.62,36.81,50.01,34.76,3,3,8,6.9,53.81
S100376,86.37,63.52,60.71,40.83,3,1,3,8.63,43.07
S100377,46.87,74.41,70.99,49.36,3,3,1,1.27,16.26
S100378,53.67,61.63,35.88,59.84,2,1,5,2.59,36.46
S100379,100.0,31.37,57.55,48.59,2,1,3,6.98,48.67
S100380,43.62,43.38,55.9,67.73,1,3,6,1.01,16.57
S100381,58.39,62.64,82.6,67.15,2,0,5,2.56,51.71
S100382,58.26,63.39,89.62,87.01,1,2,5,5.23,26.05
S100383,76.96,51.08,22.74,52.33,4,0,3,4.89,51.15
S100384,67.42,13.73,60.79,31.3,1,1,3,6.4,24.09
S100385,45.85,100.0,46.99,61.08,5,0,5,4.23,65.29
S100386,52.46,53.02,53.31,46.21,1,0,3,0.0,28.46
S100387,88.23,54.67,57.77,48.6,2,1,3,7.61,41.95
S100388,72.0,40.14,87.88,44.02,1,1,6,4.52,54.82
S100389,71.96,54.92,54.97,20.45,3,0,3,9.7,15.62
S100390,75.95,42.01,46.15,,2,0,3,1.87,31.12
S100391,55.62,50.97,31.1,41.62,1,0,6,5.48,53.81
S100392,78.22,55.75,66.22,50.34,2,3,3,3.37,75.72
S100393,35.42,36.92,60.34,50.22,3,0,5,3.04,54.31
S100394,68.29,74.07,54.19,49.14,2,1,3,1.77,45.95
S100395,91.2,32.36,56.51,30.11,4,1,3,4.07,49.57
S100396,58.47,39.01,75.16,40.74,1,0,2,5.86,54.81
S100397,71.64,58.89,45.02,28.3,5,0,2,6.48,47.6
S100398,37.61,60.51,74.17,20.42,0,1,2,4.76,63.44
S100399,13.19,55.56,57.63,80.06,2,0,3,6.45,43.93
S100400,51.78,57.67,44.78,50.3,1,0,6,8.79,53.96
S100401,69.33,54.58,79.88,53.5,1,1,4,6.78,58.62
S100402,22.12,69.11,65.11,32.21,2,1,2,4.11,65.28
S100403,56.64,84.6,42.23,6.65,1,0,1,9.03,21.73
S100404,16.11,67.5,52.94,32.76,2,1,2,5.85,53.06
S100405,10.11,56.96,55.61,54.5,1,1,6,4.6,66.39
S100406,72.82,70.68,73.58,46.05,2,0,4,5.73,53.22
