StudentID,previous_cgpa,previous_semester_percentage,previous_internal_marks,previous_assignment_score,previous_midterm_score,previous_subject_avg,weak_subject_count,lowest_subject_score,subject_consistency,assignment_completion_rate,practice_questions,next_semester_marks,performance_band
S100112,7.08,64.56,31.34,64.47,85.13,83.46,2,62.68,72.47,78.98,2.0,33.62,At_Risk
S100113,10.0,95.36,24.59,73.92,52.7,65.07,0,49.89,73.68,100.0,6.0,77.38,Good
S100114,6.75,63.0,37.38,99.89,67.87,56.31,3,33.99,62.02,96.27,6.0,43.98,At_Risk
S100115,7.39,70.72,33.3,75.9,76.11,61.56,2,29.11,57.84,82.31,79.0,48.78,At_Risk
S100116,6.95,67.85,37.45,73.18,76.78,49.99,3,28.42,68.6,90.12,12.0,41.91,At_Risk
S100117,5.48,53.8,27.84,56.96,71.55,67.64,3,32.71,47.27,97.6,150.0,24.03,At_Risk
S100118,8.49,77.6,38.89,44.5,58.17,30.55,1,10.57,68.42,71.03,393.0,56.43,Average
S100119,7.98,0.7129,24.46,68.91,80.81,71.46,2,61.32,79.84,56.68,47.0,39.94,At_Risk
S100120,8.03,86.28,28.38,86.0,80.9,47.96,3,13.57,46.2,88.3,62.0,53.93,Average
S100121,5.82,53.33,33.06,65.16,62.53,84.49,0,74.39,86.35,98.69,24.0,58.41,Average
S100122,8.82,86.62,48.93,76.02,52.46,58.83,1,36.53,74.47,54.28,85.0,80.35,Good
S100123,5.18,42.76,41.28,91.4,53.35,57.24,0,30.44,61.82,70.91,197.0,25.88,At_Risk
S100124,7.76,72.63,43.62,91.02,86.84,68.55,4,49.02,62.82,76.38,16.0,64.21,Average
S100125,9.85,93.04,46.34,76.43,80.21,73.11,1,66.83,91.48,65.26,245.0,100.0,Excellent
S100126,5.71,56.16,50.0,72.55,64.68,68.46,1,44.58,66.22,77.83,20.0,42.48,At_Risk
S100127,6.26,48.62,35.33,47.22,61.81,46.92,0,12.35,55.44,63.3,25.0,28.2,At_Risk
S100128,7.13,68.4,46.36,60.55,36.71,69.53,1,44.06,65.15,75.21,194.0,54.24,Average
S100129,6.35,55.68,43.1,65.79,63.65,66.97,2,43.62,63.13,90.49,72.0,33.91,At_Risk
S100130,4.98,49%,42.97,57.22,45.94,66.48,1,43.77,66.45,48.96,3.0,33.08,At_Risk
S100131,7.09,63.2,49.19,73.73,67.54,75.53,1,59.69,73.44,64.23,130.0,81.08,Good
S100132,5.62,49.96,31.65,98.67,83.96,57.95,0,44.31,80.22,100.0,82.0,47.26,At_Risk
S100133,7.62,71.25,31.01,92.77,49.31,53.28,1,26.4,73.68,67.64,109.0,46.11,At_Risk
S100134,5.8,0.5094,37.56,73.66,68.82,75.99,0,62.22,82.3,41.02,14.0,30.74,At_Risk
S100135,9.01,83.74,33.54,81.69,80.96,42.66,2,10.28,40.13,82.57,165.0,51.04,Average
S100136,5.98,52.05,37.55,59.07,68.52,71.68,2,60.88,83.61,78.88,122.0,46.97,At_Risk
S100137,6.58,0.5519,47.5,91.96,56.62,52.24,1,18.03,54.87,82.22,253.0,38.22,At_Risk
S100138,8.06,80.62,31.17,46.57,65.17,86.23,0,68.07,75.86,80.86,42.0,75.59,Good
S100139,5.4,0.4611,32.56,83.69,80.32,49.08,1,41.23,90.21,99.09,58.0,34.29,At_Risk
S100140,7.3,68.59,36.39,77.43,69.2,49.36,2,43.19,93.59,69.45,97.0,54.66,Average
S100141,8.7,85.65,33.17,58.66,64.95,98.29,0,68.35,54.22,78.59,9.0,69.56,Average
S100142,4.91,44.19,19.69,66.87,83.5,84.41,3,63.89,69.15,73.51,19.0,46.49,At_Risk
S100143,7.24,65.48,30.36,52.99,73.24,57.51,2,46.65,82.54,90.15,27.0,60.19,Average
S100144,7.34,0.7061,40.5,53.63,45.75,51.93,3,39.0,80.29,91.66,232.0,33.08,At_Risk
S100145,8.02,80.6%,46.5,46.13,75.1,55.96,0,48.02,86.75,85.59,0.0,62.65,Average
S100146,5.39,46.5%,25.76,81.51,80.19,72.68,0,59.94,82.56,100.0,409.0,58.13,Average
S100147,5.28,49.59,25.73,88.08,45.2,71.7,3,64.28,96.19,88.3,40.0,37.6,At_Risk
S100148,7.68,66.02,35.24,37.57,28.7,62.81,2,45.34,66.29,98.82,84.0,48.17,At_Risk
S100149,7.39,68.59,18.4,97.57,48.33,90.3,2,71.04,72.17,66.72,42.0,63.32,Average
S100150,7.33,69.73,31.44,69.82,63.36,57.78,1,35.98,69.99,69.53,123.0,41.7,At_Risk
S100151,7.45,67.36,21.11,74.35,81.16,43.43,1,21.38,69.7,100.0,241.0,29.8,At_Risk
S100152,6.12,56.27,45.95,47.91,50.74,100.0,3,85.96,74.77,59.69,48.0,60.27,Average
S100153,7.3,63.74,28.85,89.81,73.88,79.89,2,48.75,50.76,91.52,16.0,55.69,Average
S100154,7.38,70.43,48.22,73.0,18.72,65.33,3,50.8,83.06,99.3,20.0,54.49,Average
S100155,6.07,61.9,43.91,87.08,67.88,70.71,2,48.25,67.3,97.63,25.0,57.9,Average
S100156,9.43,85.15,29.83,88.31,58.49,69.57,2,55.15,77.79,56.07,20.0,54.51,Average
S100157,7.62,69.86,26.42,90.02,98.58,46.9,3,17.07,53.43,74.74,1.0,58.0,Average
S100158,5.45,53.8,33.45,60.28,34.73,67.78,2,32.85,50.05,89.33,158.0,32.72,At_Risk
S100159,7.85,79.5%,34.16,66.88,64.77,73.62,3,63.5,84.32,91.13,91.0,58.81,Average
S100160,5.73,48.49,37.77,60.82,34.63,72.98,0,39.34,54.51,79.86,58.0,33.58,At_Risk
S100161,8.02,75.55,28.79,83.43,56.2,37.01,2,29.88,84.87,69.56,13.0,51.26,Average
S100162,8.51,81.94,40.97,74.99,37.78,70.45,3,41.29,54.77,75.9,3.0,55.86,Average
S100163,5.93,55.96,37.12,86.04,100.0,74.04,2,40.75,56.48,70.73,39.0,36.2,At_Risk
S100164,8.25,68.49,32.28,86.69,59.31,67.34,1,42.81,63.46,61.36,0.0,41.46,At_Risk
S100165,7.54,73.6,29.3,44.09,61.62,52.21,1,37.4,70.78,75.51,5.0,19.24,At_Risk
S100166,8.07,82.73,33.52,90.26,64.32,85.05,1,74.21,92.14,100.0,6.0,60.38,Average
S100167,9.47,90.39,28.46,84.26,46.88,67.56,1,37.98,56.97,75.82,135.0,79.46,Good
S100168,6.68,59.35,35.47,64.46,81.88,65.22,0,57.28,91.44,57.31,104.0,57.57,Average
S100169,6.02,55.14,35.68,75.25,75.24,65.97,0,46.61,67.06,74.62,30.0,64.79,Average
S100170,5.84,62.59,37.09,68.14,79.69,48.95,1,20.02,53.92,100.0,29.0,40.92,At_Risk
S100171,5.94,60.06,49.13,79.24,45.51,93.42,0,63.63,53.95,56.11,34.0,50.73,Average
S100172,6.9,68%,33.94,64.43,83.17,82.69,0,67.2,72.63,79.99,67.0,73.91,Good
S100173,7.44,72.14,43.04,77.18,81.32,59.03,1,38.25,66.82,91.07,157.0,72.78,Good
S100174,7.36,67.27,36.84,71.01,61.28,42.99,1,33.55,80.79,62.89,52.0,40.66,At_Risk
S100175,8.08,75.9%,33.09,63.52,79.32,74.85,3,52.61,57.29,82.86,13.0,49.46,At_Risk
S100176,7.02,66.35,34.05,72.85,69.36,77.73,4,58.62,64.49,66.3,14.0,39.64,At_Risk
S100177,8.89,86.65,34.53,100.0,39.5,68.85,3,36.62,47.29,61.61,5.0,28.41,At_Risk
S100178,6.66,69.27,37.24,59.72,62.08,63.63,4,44.67,69.31,89.34,108.0,45.74,At_Risk
S100179,10.0,99.47,27.33,66.25,57.3,46.34,0,22.28,61.56,100.0,41.0,65.84,Average
S100180,7.81,69%,23.28,59.98,66.37,75.78,3,59.74,77.46,74.19,200.0,56.87,Average
S100181,5.89,56.8%,40.23,61.55,81.34,46.12,1,32.67,87.12,88.71,30.0,40.11,At_Risk
S100182,5.61,56.22,42.18,82.24,38.74,71.59,1,62.75,84.92,87.26,128.0,44.02,At_Risk
S100183,7.63,74.93,40.97,80.74,57.9,77.45,2,57.34,66.54,82.61,55.0,62.9,Average
S100184,6.71,61.22,36.24,69.91,51.85,64.0,0,43.15,74.83,69.67,151.0,54.19,Average
S100185,7.93,86.97,41.14,85.39,52.54,64.7,1,47.85,74.78,64.8,66.0,57.88,Average
S100186,7.62,67.24,40.71,81.9,51.83,35.22,1,13.47,67.04,68.04,17.0,43.13,At_Risk
S100187,6.91,61.27,41.3,67.56,66.09,55.95,0,33.32,70.39,77.32,129.0,57.71,Average
S100188,5.9,56.98,28.12,46.99,73.37,61.78,2,53.14,82.72,73.71,0.0,13.1,At_Risk
S100189,5.03,56.26,26.22,,70.57,47.01,1,34.09,77.86,62.76,56.0,37.28,At_Risk
S100190,6.42,57.64,31.89,72.54,67.97,84.68,0,53.87,53.31,76.92,17.0,61.66,Average
S100191,8.11,76%,34.86,70.33,74.95,57.9,0,38.4,78.72,70.46,33.0,59.71,Average
S100192,7.28,73.45,33.06,63.01,100.0,61.95,2,46.55,67.08,88.35,42.0,64.97,Average
S100193,5.38,51.04,19.99,81.17,67.17,91.19,2,84.05,89.94,74.14,66.0,33.22,At_Risk
S100194,7.23,67.3,48.77,75.23,81.34,81.28,2,61.02,65.53,92.66,35.0,53.91,Average
S100195,7.5,73.52,32.81,66.45,80.43,90.86,2,66.62,55.6,83.45,83.0,78.68,Good
S100196,5.85,56.67,36.38,51.62,93.44,84.58,2,62.61,63.67,72.55,17.0,26.53,At_Risk
S100197,7.2,72.52,44.96,86.02,73.97,77.02,1,48.42,57.09,77.55,125.0,65.6,Average
S100198,7.08,72.38,16.24,79.07,51.49,57.57,1,44.17,80.05,77.97,74.0,46.06,At_Risk
S100199,5.51,53.61,30.91,73.83,69.88,48.85,2,42.31,87.05,82.49,35.0,44.32,At_Risk
S100200,7.47,72.09,31.9,30.15,69.02,78.37,0,55.98,69.23,85.42,61.0,66.86,Average
S100201,7.73,74.28,32.31,69.43,78.04,60.91,2,48.98,73.36,73.25,41.0,48.32,At_Risk
S100202,8.41,81.83,33.61,66.38,51.03,37.49,0,27.01,81.71,76.42,166.0,74.05,Good
S100203,8.37,79.74,46.58,60.72,85.26,73.68,4,49.21,67.33,81.72,63.0,58.59,Average
S100204,5.21,49.48,40.39,81.31,65.08,71.01,0,50.0,71.5,35.64,124.0,30.59,At_Risk
S100205,5.78,59.7,42.66,80.72,78.43,51.08,3,20.42,64.76,88.29,127.0,31.68,At_Risk
S100206,7.67,78.93,35.38,76.55,69.95,86.15,0,57.99,61.49,65.69,106.0,69.0,Average
S100207,7.67,66.82,23.81,85.57,66.96,56.68,0,38.1,65.36,75.66,111.0,48.1,At_Risk
S100208,7.67,72.9,18.36,54.67,68.74,96.96,5,82.68,83.57,69.84,20.0,46.78,At_Risk
S100209,10.0,92.25,22.76,63.2,75.75,85.08,2,50.77,46.23,91.23,164.0,74.43,Good
S100210,7.74,72.31,37.88,71.12,96.34,81.14,1,55.89,69.73,95.37,98.0,75.44,Good
S100211,8.48,82.13,35.25,60.67,32.72,60.11,2,25.42,54.29,78.32,4.0,48.3,At_Risk
S100212,8.24,80.96,33.32,80.91,73.64,70.25,3,47.81,59.09,78.51,83.0,60.17,Average
S100213,7.85,74.1,32.05,62.17,65.7,71.49,2,59.46,83.33,79.42,53.0,35.45,At_Risk
S100214,6.59,54.95,50.0,89.48,62.17,64.23,1,39.06,60.97,79.76,12.0,59.55,Average
S100215,7.99,72.01,28.42,56.03,27.19,68.21,0,36.03,50.15,95.02,51.0,50.59,Average
S100216,6.0,60.54,42.42,100.0,74.28,90.53,1,66.46,72.74,100.0,204.0,72.91,Good
S100217,6.69,52.61,35.02,100.0,63.0,58.92,1,39.93,72.14,77.42,167.0,40.69,At_Risk
S100218,6.37,65.26,34.51,68.58,51.65,73.94,2,62.31,87.26,88.53,7.0,37.43,At_Risk
S100219,7.11,69.6,44.41,87.19,65.68,60.66,3,34.12,63.42,67.3,46.0,74.43,Good
S100220,10.0,100.0,46.7,63.99,60.32,47.54,1,33.13,77.34,68.67,57.0,80.22,Good
S100221,4.57,42.6%,33.08,85.2,37.12,81.8,4,63.75,74.05,64.7,94.0,43.67,At_Risk
S100222,7.89,66.73,41.39,67.36,66.41,73.25,1,48.14,54.24,100.0,116.0,59.24,Average
S100223,4.9,48.3,37.91,50.72,74.28,80.79,0,61.19,68.26,90.55,141.0,61.59,Average
S100224,6.39,66%,35.06,17.01,56.21,55.55,1,33.65,66.64,74.23,73.0,34.61,At_Risk
S100225,8.42,83.65,36.63,65.97,69.19,59.92,1,48.58,82.33,83.19,171.0,81.32,Good
S100226,7.08,64.64,29.5,74.19,66.73,73.13,2,43.54,54.75,91.47,65.0,38.55,At_Risk
S100227,5.6,53.54,32.55,89.95,81.73,78.05,1,68.51,82.4,97.94,2.0,60.87,Average
S100228,6.07,55.53,30.35,70.55,63.34,83.51,1,73.32,83.6,86.13,49.0,56.03,Average
S100229,7.88,71.62,42.21,85.04,77.82,66.69,3,59.93,82.46,81.38,14.0,53.47,Average
S100230,6.05,61.3,34.24,63.19,59.99,74.55,1,48.32,70.36,99.78,68.0,51.65,Average
S100231,7.28,64.38,24.62,64.94,96.48,91.24,3,58.28,44.02,63.45,91.0,46.37,At_Risk
S100232,7.06,0.6349,29.21,85.81,58.01,63.02,2,55.91,87.53,51.17,91.0,27.49,At_Risk
S100233,6.15,54.04,9.41,33.03,54.04,71.66,1,61.34,87.55,98.84,54.0,25.33,At_Risk
S100234,9.79,87.02,31.04,70.19,63.39,66.11,1,49.92,82.2,73.26,101.0,81.47,Good
S100235,7.82,74.91,35.3,64.0,53.35,70.73,0,57.25,86.38,100.0,10.0,43.6,At_Risk
S100236,4.37,46.14,33.91,90.41,45.02,86.02,0,62.11,65.07,100.0,236.0,49.59,At_Risk
S100237,7.24,68.1%,50.0,62.08,76.64,60.26,2,54.06,86.0,100.0,148.0,55.59,Average
S100238,6.14,52.3,39.6,77.75,16.0,57.05,4,34.56,73.14,34.82,155.0,31.83,At_Risk
S100239,8.11,80.39,39.24,83.82,53.52,79.39,2,57.84,67.01,92.01,3.0,59.76,Average
S100240,5.97,63.5%,21.85,47.61,43.53,87.63,1,81.39,83.77,72.37,21.0,38.48,At_Risk
S100241,6.85,62.5,32.08,67.91,67.27,49.05,1,32.78,75.44,70.21,8.0,36.05,At_Risk
S100242,7.66,70.82,31.11,63.53,29.97,63.6,0,30.97,49.42,85.58,160.0,54.47,Average
S100243,8.13,79.25,28.71,84.19,73.77,72.09,4,61.31,79.8,70.6,111.0,42.58,At_Risk
S100244,5.44,58.16,28.6,80.13,75.5,68.58,0,35.69,51.59,91.24,8.0,35.77,At_Risk
S100245,6.57,60.3%,20.54,66.5,38.88,69.81,2,42.89,49.08,99.82,41.0,21.98,At_Risk
S100246,6.38,55.3,24.79,54.29,68.05,68.89,3,56.11,73.25,76.97,57.0,41.09,At_Risk
S100247,6.15,60.96,41.99,85.57,73.26,58.46,1,53.2,92.47,85.38,100.0,48.42,At_Risk
S100248,9.3,92%,33.86,68.99,80.04,34.7,1,17.02,70.35,73.13,28.0,54.94,Average
S100249,7.53,71.53,30.95,45.72,41.5,67.66,4,44.69,64.83,87.02,27.0,45.04,At_Risk
S100250,5.36,0.487,34.96,47.01,39.25,65.04,0,56.81,95.85,100.0,61.0,29.17,At_Risk
S100251,8.19,81.81,44.34,76.56,89.04,48.57,1,41.66,90.1,86.15,60.0,81.74,Good
