student_id,cgpa,backlog_history,family_income_lpa,at_risk_flag,backlogs,failed_subjects,enrollment_date
S100036,8.2,0,4.0,0,2,0,2021-11-09
S100037,5.77,1,12.2,1,0,0,2021-12-04
S100038,7.27,0,1.0,0,2,1,2021-11-30
S100039,8.27,0,1.0,1,0,0,2022-09-10
S100040,7.67,1,3.9,0,1,0,2022-05-08
S100041,5.24,0,1.0,1,0,0,2022-03-24
S100042,6.53,0,3.4,0,1,0,2023-08-08
S100043,5.64,0,1.0,0,2,0,16/03/2022
S100044,7.47,2,1.0,1,1,0,2021-07-04
S100045,7.75,2,9.7,1,0,1,11/08/2021
S100046,5.64,1,1.8,1,0,0,2023-03-02
S100047,6.29,1,10.4,0,0,1,08/10/2021
S100048,6.83,0,7.3,0,0,1,2022-01-23
S100049,7.28,0,5.4,0,0,0,28/08/2022
S100050,7.91,0,1.9,0,2,0,2023-08-16
S100051,7.33,1,5.4,1,1,0,29/05/2023
S100052,5.8,1,1.0,0,1,0,2022-07-30
S100053,5.55,1,3.0,1,2,0,2022-08-26
S100054,6.16,0,1.9,0,0,0,2023-05-26
S100055,6.29,1,15.5,1,0,0,30/03/2023
S100056,5.38,2,12.4,1,3,0,08/08/2021
S100057,8.26,1,6.8,0,1,0,2023-05-11
S100058,7.05,1,5.5,1,3,0,24/08/2022
S100059,4.42,0,1.5,0,3,1,08/04/2023
S100060,5.33,0,9.4,0,0,0,04-22-2023
S100061,4.14,1,7.6,1,0,1,20/01/2023
S100062,8.4,0,1.0,0,1,0,17/07/2023
S100063,5.29,0,17.7,0,0,0,2022-09-22
S100064,7.29,0,23.3,0,0,0,20/02/2023
S100065,5.78,1,5.5,0,0,0,2023-08-17
S100066,7.33,0,6.1,0,2,0,2023/01/09 12:49:47
S100067,7.99,0,1.4,0,2,0,2023-03-01
S100068,7.13,1,4.6,1,1,0,2022-04-01
S100069,6.18,1,15.8,1,0,0,2023-05-31
S100070,6.54,1,,0,1,0,25/11/2021
S100071,8.51,1,4.2,0,2,0,01-15-2023
S100072,8.38,0,5.0,1,2,0,2022-11-22
S100073,4.61,1,2.1,0,0,0,17/09/2022
S100074,7.48,0,1.5,0,0,0,27/02/2023
S100075,4.71,3,2.8,0,1,1,25/01/2023
S100076,5.81,0,9.3,1,0,0,2023-07-02
S100077,6.21,2,1.0,1,1,0,06/09/2022
S100078,5.13,0,1.9,1,0,0,2022-05-09
S100079,7.29,4,6.3,1,1,0,15/02/2023
S100080,8.49,1,21.5,1,0,0,2021-09-21
S100081,7.98,0,3.2,0,1,0,2021-08-22
S100082,5.33,0,2.3,1,1,0,18/03/2023
S100083,7.52,1,6.9,0,0,0,2023-03-23
S100084,5.25,0,1.0,0,1,0,2022-10-24
S100085,4.75,1,7.5,1,0,0,22/12/2022
S100086,5.46,0,1.0,0,1,0,2023-03-17
S100087,6.36,3,1.0,0,1,2,2023-02-28
S100088,7.28,0,1.7,1,1,0,2021-12-20
S100089,4.22,1,3.6,1,0,0,2022-07-30
S100090,8.2,0,1.9,1,1,1,2021-11-25
S100091,7.45,0,7.6,0,2,0,2022-03-14
S100092,4.72,1,12.0,0,0,0,12-19-2022
S100093,5.29,0,1.3,1,1,0,2021-11-26
S100094,5.46,2,8.1,1,0,0,2022-04-28
S100095,5.8,0,5.2,0,0,0,2022-09-30
S100096,6.49,1,3.3,0,0,0,2021-09-30
S100097,6.09,0,1.0,0,1,0,03/06/2023
S100098,6.07,0,6.9,1,1,0,07/06/2023
S100099,7.87,0,16.8,0,1,0,2021-07-09
S100100,7.26,0,1.1,0,0,1,2023-01-19
S100101,8.11,1,13.3,1,0,0,2022-05-26
S100102,4.91,0,1.0,1,2,0,01/10/2021
S100103,5.43,2,1.0,1,0,0,2021-08-08
S100104,7.57,0,4.4,0,1,0,2022-08-31
S100105,6.19,0,24.2,1,0,0,2022-08-03
S100106,6.15,1,2.9,1,1,0,04/09/2021
S100107,5.32,0,28.1,1,0,0,06-13-2023
S100108,8.11,0,5.9,0,0,1,12-13-2022
S100109,7.44,0,1.0,0,1,1,2022-01-22
S100110,8.89,0,15.0,0,0,1,2022-09-01
S100111,6.1,0,1.0,0,0,0,2022-04-02
S100112,7.11,1,13.4,0,2,1,13/08/2023
S100113,5.86,1,5.3,1,1,0,2022/11/12 11:55:15
S100114,6.04,0,2.6,1,1,0,2022-03-24
S100115,6.54,2,1.0,1,0,0,2023-06-20
S100116,8.33,1,9.4,1,2,0,2022-03-12
S100117,4.94,1,4.1,1,1,0,2022-08-27
S100118,7.55,0,4.2,0,0,1,2022-06-28
S100119,4.67,2,1.0,1,2,0,2022-03-05
S100120,5.02,2,28.4,1,1,0,2022-03-29
S100121,4.97,2,15.0,1,0,0,2023-06-16
S100122,6.39,1,6.4,1,1,0,22/08/2022
S100123,6.96,0,3.1,0,1,0,2023-02-04
S100124,7.35,2,6.1,1,0,0,2022-11-23
S100125,8.29,0,1.0,0,0,0,2022-08-16
S100126,9.29,0,1.0,0,2,0,08-07-2022
S100127,6.49,1,3.6,1,0,0,09/02/2023
S100128,6.11,1,3.1,0,0,0,2023-03-16
S100129,5.57,0,4.4,1,1,1,2022-03-31
S100130,5.84,1,2.1,0,0,1,2021-07-29
S100131,4.6,1,13.1,0,1,1,30/09/2022
S100132,8.58,1,18.5,1,1,0,26/07/2021
S100133,5.3,0,11.3,1,2,0,04-01-2022
S100134,7.85,3,1.0,1,1,1,2022-09-12
S100135,5.87,2,4.5,1,0,0,2022/06/11 14:12:54
S100136,5.2,1,4.3,1,0,1,2022/08/22 20:34:13
S100137,8.37,0,1.0,1,2,0,12-17-2022
S100138,7.47,2,13.6,1,0,0,2021-11-19
S100139,7.36,0,6.2,0,0,1,2023-01-06
S100140,5.79,1,1.0,1,0,1,2021-12-14
S100141,4.91,1,4.9,0,0,0,2022-03-03
S100142,5.42,0,4.7,0,0,0,2022-03-26
S100143,7.87,1,1.0,1,1,0,19/02/2023
S100144,5.96,1,1.3,0,1,1,15/12/2022
S100145,5.98,0,5.3,0,0,0,07-01-2021
S100146,7.54,0,1.0,1,1,0,2023-08-11
S100147,7.04,0,12.8,1,0,0,2021-10-27
S100148,5.05,1,2.9,1,1,0,28/11/2021
S100149,5.08,0,10.0,1,0,0,2022-01-11
S100150,6.36,0,27.6,0,0,0,2021-09-27
S100151,5.81,1,5.0,1,3,0,2022/09/11 15:54:14
S100152,6.84,1,1.0,0,0,0,26/12/2021
S100153,7.05,0,1.0,1,1,0,2022-04-07
S100154,9.13,1,1.7,0,1,0,26/08/2023
S100155,6.72,0,1.0,1,0,0,26/07/2022
S100156,4.77,0,6.1,1,0,0,11/11/2021
S100157,6.7,1,1.0,0,0,0,23/02/2022
S100158,5.98,2,6.0,1,0,0,2021-09-28
S100159,5.82,0,4.1,0,1,0,04/09/2021
S100160,5.4,0,4.4,0,1,0,2021-10-09
S100161,4.12,2,,0,0,0,2022-10-08
S100162,6.16,2,20.2,0,1,0,11-24-2022
S100163,7.48,2,2.2,0,0,0,2023-08-29
S100164,8.72,3,2.6,0,0,1,29/01/2023
S100165,5.41,2,7.8,1,3,0,14/10/2022
S100166,6.5,2,7.3,1,1,0,09-16-2021
S100167,7.33,0,1.7,0,0,0,06-29-2022
S100168,9.55,0,3.1,0,0,0,2023-06-30
S100169,6.99,0,39.2,0,0,0,2022-08-29
S100170,7.17,0,1.0,0,0,0,2022-02-10
S100171,6.59,0,30.4,1,1,1,2022-01-12
S100172,6.77,0,2.0,0,0,0,2022-08-16
S100173,7.22,1,1.0,1,1,1,2022-08-12
S100174,6.28,1,1.2,1,2,1,18/08/2022
S100175,9.43,2,1.0,1,1,0,2022/10/17 11:56:12
S100176,7.16,1,1.7,1,1,0,27/06/2023
S100177,6.95,0,2.1,0,0,3,01/05/2023
S100178,8.26,0,4.9,0,1,0,2021-09-13
S100179,7.2,2,4.4,0,1,0,2023-02-22
S100180,7.6,1,2.0,0,0,0,2022-07-21
S100181,6.17,1,4.4,0,1,1,02/03/2022
S100182,5.44,1,2.8,0,0,0,2021-10-29
S100183,3.98,2,17.5,0,0,0,28/11/2021
S100184,6.27,0,1.0,1,0,0,2021-12-18
S100185,5.71,0,1.6,1,1,1,2023-02-04
S100186,9.52,0,10.4,1,1,0,2023-03-15
S100187,7.78,0,15.2,0,0,0,2022-11-19
S100188,6.49,1,3.1,1,1,0,2021-10-25
S100189,4.96,0,13.7,1,0,0,16/08/2022
S100190,3.5,2,2.6,0,0,0,30/07/2022
S100191,9.37,0,2.2,1,1,0,2022-10-31
S100192,7.07,1,2.0,0,1,0,02/01/2022
S100193,8.64,0,1.0,1,0,1,2022-02-20
S100194,8.25,1,2.8,0,2,0,2023/04/29 00:42:23
S100195,7.66,1,37.1,0,1,0,2022-12-21
S100196,7.84,0,5.4,0,2,0,15/07/2022
S100197,5.73,1,13.3,1,1,0,2022-08-07
S100198,8.45,0,13.2,0,0,0,2021-08-30
S100199,7.33,1,1.7,0,0,0,2022-03-29
S100200,9.38,1,4.0,0,0,0,2023-04-01
S100201,7.62,1,5.5,1,0,1,2022-06-24
S100202,6.46,0,1.0,0,0,0,2021-11-22
S100203,9.14,1,7.4,1,0,1,2023/03/18 01:42:43
S100204,5.68,0,5.0,0,0,1,21/02/2023
S100205,5.35,2,8.1,1,3,0,27/03/2023
S100206,7.0,0,1.1,0,1,0,22/06/2022
S100207,4.85,0,11.2,1,1,0,2022/03/25 09:03:03
S100208,7.02,0,2.9,1,0,0,2022-01-20
S100209,6.97,2,1.7,1,1,0,2023-03-26
S100210,5.42,0,14.6,1,1,0,03-23-2023
S100211,6.14,1,1.0,0,0,1,01/10/2022
S100212,6.8,0,1.0,0,1,0,2022-07-19
S100213,6.48,2,1.0,1,0,2,2021-11-08
S100214,6.48,0,7.4,0,0,1,2022-06-26
S100215,3.67,1,2.1,1,0,1,03-02-2022
S100216,9.22,0,2.6,0,0,0,2022-03-09
S100217,6.29,1,3.8,0,0,0,2021/11/10 18:36:01
S100218,4.76,0,6.9,0,0,0,02-12-2022
S100219,7.67,0,1.0,0,0,0,04/02/2022
S100220,5.85,1,25.5,0,1,0,2022-12-26
S100221,5.41,0,3.1,1,0,0,2022-04-01
S100222,5.48,0,1.0,0,0,0,2023-04-03
S100223,6.47,0,1.0,1,0,0,2022-03-30
S100224,7.9,0,17.6,1,0,0,17/10/2021
S100225,6.25,0,5.8,0,1,0,2021-09-06
S100226,6.04,0,14.9,0,1,0,2022-04-15
S100227,6.42,0,1.2,1,1,0,2023-01-13
S100228,6.96,0,1.0,0,0,0,09-12-2022
S100229,7.12,0,2.6,1,0,0,2023-01-15
S100230,7.13,0,23.7,0,2,0,07-26-2023
S100231,6.34,2,19.6,1,1,0,2021-07-23
S100232,5.78,1,4.5,0,3,0,2022-01-28
S100233,7.61,0,5.7,0,0,1,2022-11-17
S100234,7.09,0,1.0,0,0,0,2022-05-02
S100235,6.86,1,1.0,1,0,1,06/05/2023
S100236,7.6,1,8.6,0,0,0,2022-05-11
S100237,7.01,0,23.6,0,1,0,2021-11-09
S100238,3.5,0,4.2,0,1,1,17/06/2023
S100239,6.53,0,1.8,1,1,0,23/03/2023
S100240,7.28,0,3.7,0,1,0,20/07/2022
S100241,7.0,0,1.0,1,1,1,2023-01-20
S100242,7.38,0,4.4,0,1,0,2022-01-01
S100243,5.37,1,2.2,1,0,1,2022/10/16 10:57:07
S100244,6.0,0,2.0,1,0,0,03-07-2023
S100245,5.38,2,6.1,1,2,1,2021/11/25 01:43:55
S100246,6.96,0,3.9,0,0,0,2021-08-29
S100247,8.18,0,3.4,0,1,0,02/09/2022
S100248,8.78,1,1.0,0,0,1,27/08/2022
S100249,9.61,0,23.2,1,0,1,2023-08-08
S100250,6.77,0,30.0,0,1,0,14/08/2023
S100251,8.57,1,1.0,0,0,1,30/10/2022
S100252,7.83,1,6.9,0,1,1,2023-01-27
S100253,7.04,0,3.6,0,0,0,2022-10-04
S100254,7.72,0,5.7,0,0,0,31/03/2023
S100255,4.95,0,1.0,1,0,0,2023-04-18
S100256,6.65,0,8.6,0,1,1,2022-11-14
S100257,7.5,0,1.4,0,1,0,2021-12-17
S100258,4.67,2,1.5,0,0,0,2022-07-03
S100259,5.71,0,1.0,1,0,0,02-05-2022
S100260,8.31,0,8.5,0,0,0,2023-04-20
S100261,8.39,0,4.9,1,0,0,2021-07-24
S100262,4.6,0,1.0,1,0,1,08-29-2022
S100263,7.91,0,12.4,0,1,0,2022-07-11
S100264,7.02,2,3.8,1,0,0,2022-07-29
S100265,4.02,0,11.1,0,0,0,18/12/2021
S100266,6.0,1,1.0,1,1,0,2023-07-11
S100267,7.73,0,22.8,1,0,0,2023-07-11
S100268,10.0,1,4.4,1,0,1,20/07/2023
S100269,3.86,0,5.0,1,1,0,23/01/2022
S100270,9.14,0,11.2,1,0,0,29/05/2023
S100271,6.98,0,2.4,1,2,0,2021/10/26 23:10:57
S100272,5.47,1,12.4,0,0,0,12/11/2022
S100273,8.77,1,8.0,0,1,0,02/03/2022
S100274,5.6,0,1.0,0,0,2,10-17-2022
S100275,8.1,2,7.2,0,0,0,2023-01-29
S100276,6.76,1,16.9,1,1,0,2023-07-15
S100277,6.73,2,11.3,1,0,1,22/08/2023
S100278,9.12,1,8.3,0,0,0,2023-03-06
S100279,6.36,1,17.6,1,1,0,2023-07-29
S100280,7.26,1,4.3,0,2,0,2023-05-04
S100281,6.68,1,37.1,1,1,0,2022-05-05
S100282,7.2,0,1.0,0,0,0,2022-06-13
S100283,5.65,1,4.0,0,0,0,15/01/2023
S100284,6.52,0,5.8,1,1,0,03-15-2022
S100285,8.34,0,5.4,0,0,0,14/09/2021
S100286,7.61,0,8.0,1,3,0,21/11/2021
S100287,6.82,0,13.2,0,1,1,2022-06-02
S100288,7.22,1,1.2,1,0,0,2022-08-24
S100289,6.71,0,8.5,0,2,0,2023-06-20
S100290,9.71,2,8.8,1,0,0,23/06/2023
S100291,5.02,0,11.8,1,0,1,2023-07-16
S100292,8.52,0,1.0,1,0,0,2023-01-29
S100293,5.84,1,6.4,0,1,0,29/07/2021
S100294,6.62,1,33.1,1,0,0,2021-07-12
S100295,4.58,1,5.0,0,1,1,2021/08/18 10:10:39
S100296,6.44,1,4.6,0,1,0,24/08/2023
S100297,5.13,1,1.7,0,0,0,2023-08-24
S100298,7.93,2,4.6,1,0,1,2022-02-19
S100299,4.94,0,1.0,0,0,1,18/08/2023
S100300,4.66,0,3.5,1,1,1,2023-01-18
S100301,7.27,0,10.5,0,0,0,2023-04-12
S100302,7.72,0,2.8,0,1,1,2022-03-21
S100303,4.88,0,2.4,0,2,0,07-13-2021
S100304,6.97,0,8.1,0,0,1,2022-04-30
S100305,8.64,2,2.1,0,1,0,07-13-2022
S100306,6.7,0,9.8,1,1,0,15/11/2022
S100307,3.54,0,13.6,0,0,0,2022-04-16
S100308,9.49,1,6.9,1,1,0,11/10/2021
S100309,6.33,1,10.5,1,0,1,2023-06-04
S100310,7.68,0,1.0,0,0,0,2023-08-03
S100311,7.79,1,3.7,1,0,0,08/06/2022
S100312,6.82,2,3.2,0,0,0,06/07/2021
S100313,7.29,3,6.9,1,1,1,2022-03-11
S100314,4.87,1,8.8,0,0,0,10-10-2022
S100315,7.26,1,4.0,1,0,2,18/02/2023
S100316,5.6,0,5.5,1,0,1,03-10-2023
S100317,8.23,1,3.3,1,2,0,2023-04-25
S100318,7.56,0,3.5,0,0,0,06-30-2022
S100319,6.85,0,1.8,0,0,0,2022-07-21
S100320,6.25,0,10.2,1,1,0,2022-06-19
S100321,6.81,0,6.9,0,0,0,09/08/2021
S100322,10.0,0,2.3,0,1,0,02/12/2022
S100323,4.55,0,2.3,1,0,1,2022-11-01
S100324,7.73,1,4.2,0,0,0,2023-05-24
S100325,8.79,0,9.6,0,0,1,2021-09-12
S100326,4.62,1,6.7,0,2,1,12/08/2021
S100327,6.33,1,14.4,0,0,0,2022-08-26
S100328,8.53,1,2.5,0,0,0,2021-08-19
S100329,5.6,1,6.6,1,1,0,2021-11-12
S100330,7.68,1,5.9,0,0,1,2022/09/19 14:08:57
S100331,4.68,1,1.2,1,0,1,10/07/2021
S100332,5.21,1,3.1,1,1,1,27/02/2022
S100333,6.55,0,7.7,0,1,0,07-13-2021
S100334,6.2,0,5.9,0,3,1,2021-07-07
S100335,5.67,1,13.5,1,0,0,2022-01-13
S100336,7.96,1,12.4,0,1,1,2023-04-21
S100337,8.14,3,2.1,1,1,0,12/08/2021
S100338,5.37,1,1.0,1,1,0,2023-01-13
S100339,7.97,0,3.8,1,0,0,2023-04-25
S100340,8.21,0,1.0,0,0,0,2021-12-23
S100341,8.45,0,5.5,0,1,0,2023-02-28
S100342,6.93,2,12.1,1,0,0,2021-10-28
S100343,6.86,1,10.6,0,0,0,2022/07/26 00:46:28
S100344,6.37,0,1.0,0,0,0,16/06/2023
S100345,9.39,0,10.9,1,1,1,07-04-2023
S100346,5.92,0,8.7,0,0,1,2021/07/21 05:33:34
S100347,8.67,0,1.0,0,1,0,2022-10-15
S100348,8.95,0,15.2,0,1,0,2023-02-03
S100349,5.84,0,1.0,1,3,0,17/12/2022
S100350,7.73,1,4.8,1,1,0,03-27-2022
S100351,7.51,1,16.1,0,1,0,2022-01-20
S100352,6.41,1,14.9,1,0,1,2023/04/26 08:22:49
S100353,7.69,1,4.7,1,1,0,2022-02-20
S100354,6.66,4,7.0,1,0,0,2021-11-04
S100355,5.39,1,1.0,1,0,2,30/01/2023
S100356,5.88,0,11.7,0,1,1,2022-11-14
S100357,8.23,1,5.8,0,0,0,2023-02-01
S100358,5.08,0,4.3,0,2,2,2023-05-30
S100359,6.5,1,1.8,1,0,0,2022-12-24
S100360,8.31,1,4.1,0,0,1,31/07/2023
S100361,6.89,0,3.2,0,2,0,08-12-2021
S100362,5.49,1,6.2,1,0,1,12-03-2021
S100363,5.74,3,4.2,0,0,1,21/08/2021
S100364,6.95,1,10.3,1,0,0,2023-03-26
S100365,7.1,0,14.5,1,1,0,2022-08-09
S100366,5.44,3,2.2,1,0,1,2021-10-30
S100367,6.25,1,5.5,1,0,0,2022-05-29
S100368,8.27,0,3.1,1,0,0,2022-08-06
S100369,7.49,0,1.2,1,0,2,14/05/2022
S100370,6.94,0,5.1,1,0,0,06-01-2022
S100371,7.19,0,20.6,1,0,0,2023-01-18
S100372,7.57,0,5.4,1,0,0,13/11/2021
S100373,7.01,1,9.9,0,1,0,2023-04-06
S100374,6.94,0,3.4,1,0,0,16/04/2023
S100375,7.85,0,7.6,1,0,0,23/12/2022
S100376,6.3,1,2.2,1,1,1,2021-12-22
S100377,6.0,0,2.6,0,0,1,2023-06-15
S100378,8.98,2,3.8,0,2,0,08-09-2022
S100379,7.62,0,3.7,0,0,0,14/01/2022
S100380,6.52,1,2.1,0,0,1,08-16-2021
S100381,4.46,1,6.6,1,0,2,03/01/2023
S100382,8.44,0,15.9,0,2,0,2022/07/30 01:05:04
S100383,8.38,2,3.9,0,1,0,2022-08-17
S100384,7.98,0,2.2,0,1,1,2022-06-07
S100385,5.18,1,3.1,0,0,0,2022-06-15
S100386,5.22,0,5.8,1,0,0,2021-10-21
S100387,6.49,0,3.8,1,0,0,2022-07-19
S100388,6.55,0,3.1,0,0,0,04/08/2021
S100389,6.0,1,1.0,0,1,0,2022-09-05
S100390,7.25,3,1.0,0,0,1,2022-05-18
S100391,3.71,2,,1,0,0,11-29-2022
S100392,5.29,1,1.4,0,0,1,2021-08-25
S100393,7.51,1,9.2,1,0,0,2021-10-06
S100394,8.18,2,2.1,1,1,0,14/12/2022
S100395,7.48,1,7.1,0,2,0,31/07/2021
S100396,4.26,0,14.9,0,1,0,2022-03-25
S100397,8.81,0,4.9,0,1,1,2022-10-03
S100398,5.66,0,1.0,1,0,0,14/02/2022
S100399,7.42,0,1.0,0,0,0,2022-01-12
S100400,9.78,1,5.3,1,0,0,2021-10-31
S100401,4.79,0,1.5,0,0,0,30/07/2022
S100402,8.42,2,9.8,0,0,0,2023-02-02
S100403,8.38,3,6.3,1,0,0,2021-08-09
S100404,4.26,0,1.2,0,1,0,2021-07-31
S100405,8.74,2,4.1,0,1,0,2022/04/26 06:28:39
S100406,7.53,1,1.0,0,1,0,2023/04/29 08:08:02
S100407,7.1,0,1.2,0,0,0,2023-04-03
S100408,9.54,2,1.0,1,1,0,2022-05-13
S100409,5.74,0,1.0,0,0,0,2021-11-11
S100410,6.78,2,19.7,0,2,0,2021-07-01
S100411,6.56,0,1.8,1,1,0,2023-06-29
S100412,8.63,0,3.6,0,0,1,13/08/2021
S100413,7.45,0,2.3,0,0,0,2022-02-11
S100414,5.27,2,3.2,1,0,1,2022-10-09
S100415,8.93,0,27.4,1,0,0,2021-11-13
S100416,9.66,0,6.3,0,1,0,2021-11-30
S100417,5.02,1,13.1,1,0,0,2022-03-19
S100418,9.87,0,7.6,0,2,0,2023-05-25
S100419,7.24,1,5.7,1,1,0,27/06/2023
S100420,7.77,1,2.5,0,0,0,11/07/2022
S100421,6.65,0,6.8,1,0,0,2022-05-06
S100422,6.54,1,1.0,1,0,0,2023-06-06
S100423,5.7,0,2.9,0,1,0,2022-12-21
S100424,8.25,2,8.0,1,0,0,2021-12-16
S100425,7.61,0,3.3,1,0,0,06/01/2023
S100426,6.02,0,2.7,1,0,1,2022-06-04
S100427,9.57,1,1.1,0,0,0,17/03/2023
S100428,8.57,1,2.8,1,0,0,13/04/2023
S100429,8.3,0,1.8,1,1,0,05-16-2023
S100430,5.59,0,9.1,0,0,1,2022/12/26 17:24:34
S100431,6.05,1,4.5,1,0,0,2022-06-05
S100432,6.32,0,4.3,1,2,0,2022/12/27 02:31:16
S100433,6.42,0,10.1,0,1,0,15/02/2023
S100434,4.13,0,24.9,0,0,0,06/09/2022
S100435,7.26,1,5.2,0,1,0,2021-10-27
S100436,7.93,2,1.7,0,0,1,09-06-2022
S100437,6.91,0,1.0,1,1,0,2022-11-26
S100438,6.12,2,1.6,0,0,0,03/07/2021
S100439,5.05,0,1.0,0,0,0,2022-08-20
S100440,5.56,0,2.4,0,0,0,31/03/2022
S100441,7.3,0,1.0,0,0,0,2022-01-17
S100442,6.35,3,2.3,1,0,0,2023-03-24
S100443,7.97,0,2.4,0,3,1,2023-06-30
S100444,6.44,2,19.2,0,2,0,2022-06-22
S100445,5.69,0,3.2,0,1,1,2021-07-27
S100446,8.64,1,1.1,0,0,0,2023-01-24
S100447,9.47,0,2.7,0,0,0,02/07/2022
S100448,6.7,1,14.9,0,1,2,01/05/2023
S100449,7.78,0,1.0,1,1,0,07/01/2022
S100450,6.41,0,18.0,1,1,1,2022-11-23
S100451,7.2,1,17.1,1,0,1,2022-10-09
S100452,7.15,0,9.3,1,2,0,2023-04-24
S100453,10.0,0,4.6,0,0,0,06-20-2023
S100454,6.67,1,1.1,1,0,0,03-24-2022
S100455,6.87,2,3.2,1,0,0,2021-07-15
S100456,7.53,2,3.5,1,2,0,2022-10-28
S100457,7.59,0,3.1,1,0,1,09-10-2021
S100458,8.42,1,12.6,0,0,0,12-15-2021
S100459,6.99,1,6.9,1,0,0,05-18-2022
S100460,5.33,1,1.3,1,0,2,01/09/2021
S100461,9.59,2,17.8,0,2,1,2023-04-04
S100462,8.63,1,28.9,0,1,0,2021-11-26
S100463,8.42,1,3.2,1,1,0,2021-07-06
S100464,9.99,1,12.7,1,1,1,2021-12-31
S100465,7.24,3,,0,1,0,2023-01-16
S100466,6.05,0,17.6,0,0,1,2022-09-20
S100467,7.66,0,1.3,0,0,0,2022-11-24
S100468,8.63,0,31.7,1,1,0,2022-09-19
S100469,5.25,0,5.8,0,1,0,2022-02-07
S100470,8.11,1,8.9,1,2,0,2022-02-26
S100471,8.25,1,15.8,1,0,0,2023-02-25
S100472,7.68,0,10.5,0,0,0,28/09/2022
S100473,6.11,1,4.8,1,0,1,26/08/2021
S100474,4.25,2,19.2,1,0,1,2023-02-13
S100475,6.03,0,1.0,0,1,0,2022-11-19
S100476,10.0,0,1.0,0,0,0,2023-02-25
S100477,9.71,0,,0,1,0,01/04/2023
S100478,6.86,1,4.0,0,0,0,2023-01-13
S100479,7.63,1,1.2,0,0,0,2021-11-26
S100480,6.15,1,3.9,0,1,0,07-29-2022
S100481,5.21,0,7.2,0,1,0,2021-07-28
S100482,4.35,1,2.8,0,0,0,2023-04-04
S100483,8.3,2,2.7,0,0,0,2022-11-08
S100484,8.3,0,11.4,1,0,0,2022-02-04
S100485,7.35,2,1.2,0,0,0,2022-08-15
S100486,7.37,0,25.6,1,0,0,04-20-2023
S100487,5.6,0,4.9,0,0,1,2021-11-05
S100488,5.04,1,3.6,0,1,0,12/10/2022
S100489,6.85,0,,1,0,0,2022-10-01
S100490,8.25,1,1.4,1,0,0,2023-06-06
S100491,6.37,1,1.0,0,2,0,2022-09-21
S100492,7.42,2,12.4,0,0,0,2023-04-03
S100493,7.67,0,,1,0,0,2023-07-29
S100494,9.81,0,4.6,0,3,2,2023-04-08
S100495,6.98,0,1.0,0,0,0,04-29-2023
S100496,6.07,0,11.6,0,0,0,2021-07-31
S100497,7.84,0,1.3,0,1,0,2023-04-21
S100498,6.58,2,1.5,1,0,0,2022-10-21
S100499,8.35,0,8.6,0,4,2,2022-12-12
S100500,8.62,1,6.4,0,0,1,2023-07-28
S100501,4.78,0,2.6,1,0,0,2022-04-07
S100502,7.63,1,5.9,1,3,1,2022-11-07
S100503,5.61,1,2.1,0,1,0,2023-08-22
S100504,6.78,1,2.6,0,0,0,12/12/2022
S100505,5.88,0,1.0,0,0,0,2021-08-22
S100506,9.56,0,3.0,1,1,0,2022-02-26
S100507,5.73,3,4.2,0,1,0,04/03/2022
S100508,6.09,1,6.9,0,1,0,2021/09/03 09:01:07
S100509,5.98,0,3.6,1,2,0,22/09/2022
