roll_number,hackathons_participated,preferred_domain,career_goal,submitted_at
S100165,2,Data Science,Higher Studies,2024-01-14
S100166,2,,Startup/Entrepreneurship,2024-01-23
S100167,2,Cybersecurity,Higher Studies,2023-11-08
S100168,2,Data Science,JOB,2024-01-02
S100169,1,Data Science,Higher Studies,2024/03/15 07:38:54
S100170,1,AI/ML,Job,2024-02-02
S100171,2,Product/Management,Job,2023-12-12
S100172,2,Core Engineering,Higher Studies,05/12/2023
S100173,2,Web Development,Higher Studies,2024-02-10
S100174,3,AI/ML,Job,20/12/2023
S100175,0,Data Science,Higher Studies,02-20-2024
S100176,0,Core Engineering,Job,20/11/2023
S100177,3,Core Engineering,Higher Studies,15/11/2023
S100178,2,Core Engineering,Startup/Entrepreneurship,12-15-2023
S100179,1,,Job,01-12-2024
S100180,0,AI/ML,Job,2023-12-29
S100181,1,Product/Management,Higher Studies,2024-01-29
S100182,0,Product/Management,Higher Studies,2024/03/10 21:34:10
S100183,0,Product/Management,Job,2023-11-01
S100184,3,Web Development,Job,2023-12-01
S100185,0,Cybersecurity,Job,03/11/2023
S100186,1,Data Science,Job,06/12/2023
S100187,1,AI/ML,Job,2024-04-06
S100188,0,Cybersecurity,Job,2023-11-18
S100189,1,Cybersecurity,Job,28/12/2023
S100190,1,Cybersecurity,Higher Studies,2024-02-05
S100191,2,AI/ML,Higher Studies,2024-01-21
S100192,1,AI/ML,job,01/04/2024
S100193,2,Cybersecurity,Startup/Entrepreneurship,03-21-2024
S100194,3,Product/Management,Higher Studies,17/11/2023
S100195,0,Product/Management,Job,2024-03-24
S100196,1,Data Science,Higher Studies,08/03/2024
S100197,1,Product/Management,Job,03/04/2024
S100198,0,AI/ML,Job,09/02/2024
S100199,0,AI/ML,Higher Studies,2024-03-14
S100200,0,Product/Management,Job,2023-12-20
S100201,0,Core Engineering,Job,2024-02-14
S100202,1,Core Engineering,Job,2024-02-24
S100203,0,Cybersecurity,Job,11-02-2023
S100204,0,Web Development,Higher Studies,2024-01-07
S100205,3,AI/ML,Job,2024-01-12
S100206,1,Product/Management,Job,2024/02/14 09:26:08
S100207,4,AI/ML,Job,2023-11-25
S100208,0,AI/ML,,03-17-2024
S100209,1,Data Science,Job,2024-03-20
S100210,2,Cybersecurity,Job,2024-01-30
S100211,0,Cybersecurity,Job,2023-12-10
S100212,1,Data Science,Higher Studies,2023-12-09
S100213,3,Cybersecurity,Job,2024-04-13
S100214,1,Data Science,Startup/Entrepreneurship,2024-02-19
S100215,0,Data Science,Higher Studies,2023-12-06
S100216,3,Core Engineering,Job,04/11/2023
S100217,0,Core Engineering,Startup/Entrepreneurship,2023-11-03
S100218,0,Data Science,Job,2023-11-24
S100219,0,Product/Management,Job,2024-01-04
S100220,1,AI/ML,Higher Studies,2023-12-04
S100221,0,Data Science,Higher Studies,01-12-2024
S100222,1,Core Engineering,Job,2023-12-27
S100223,0,Core Engineering,Job,2024-04-09
S100224,1,Data Science,Higher Studies,2023-11-17
S100225,2,Product/Management,Higher Studies,11-23-2023
S100226,4,Core Engineering,Job,2024-02-10
S100227,1,Cybersecurity,Startup/Entrepreneurship,2023-11-30
S100228,0,Data Science,Higher Studies,2024/03/20 03:44:31
S100229,3,Web Development,Higher Studies,2024-02-04
S100230,1,Web Development,Higher Studies,2024-03-05
S100231,1,AI/ML,Higher Studies,12-31-2023
S100232,1,Product/Management,Startup/Entrepreneurship,2023-12-05
S100233,1,Core Engineering,Higher Studies,18/01/2024
S100234,5,Data Science,Job,2024-03-27
S100235,1,Product/Management,Higher Studies,2023-11-03
S100236,1,Data Science,Higher Studies,02-07-2024
S100237,1,Data Science,Job,2024-01-22
S100238,0,Cybersecurity,Job,11/04/2024
S100239,0,Web Development,Higher Studies,04/01/2024
S100240,0,Web Development,Job,2023-12-13
S100241,1,Data Science,Higher Studies,13/12/2023
S100242,5,Cybersecurity,Job,21/03/2024
S100243,1,Product/Management,Higher Studies,2024-02-27
S100244,1,Web Development,Job,2024-02-16
S100245,1,Data Science,Job,2023-11-26
S100246,0,AI/ML,Job,2024-02-18
S100247,1,Web Development,Job,04/01/2024
S100248,1,AI/ML,Job,17/11/2023
S100249,2,AI/ML,Higher Studies,2023-11-04
S100250,0,AI/ML,Startup/Entrepreneurship,08/12/2023
S100251,1,Core Engineering,Higher Studies,2023-12-27
S100252,0,Core Engineering,Job,26/12/2023
S100253,1,Product/Management,Job,01-13-2024
S100254,2,AI/ML,Startup/Entrepreneurship,2024-03-05
S100255,0,Data Science,Job,2023-12-01
S100256,1,AI/ML,Higher Studies,2024-01-24
S100257,2,Core Engineering,Job,03-08-2024
S100258,3,Cybersecurity,Higher Studies,11-18-2023
S100259,1,Product/Management,Job,08/04/2024
S100260,1,Product/Management,Job,01-13-2024
S100261,1,Data Science,Higher Studies,2023-12-07
S100262,3,Web Development,Startup/Entrepreneurship,2024-04-03
S100263,2,Cybersecurity,Job,27/12/2023
S100264,2,AI/ML,Job,22/02/2024
S100265,0,AI/ML,Higher Studies,2023-11-17
S100266,2,Core Engineering,Higher Studies,2023-12-31
S100267,3,Web Development,Job,02/02/2024
S100268,1,Product/Management,Higher Studies,2023-12-16
S100269,0,Product/Management,Job,04/02/2024
S100270,1,Data Science,STARTUP/ENTREPRENEURSHIP,03-06-2024
S100271,2,Data Science,Job,2024-03-08
S100272,5,Core Engineering,Job,2023-11-06
S100273,0,Cybersecurity,Startup/Entrepreneurship,2024-03-13
S100274,2,Web Development,Higher Studies,2024-01-03
S100275,2,Cybersecurity,Job,2024-03-16
S100276,2,Core Engineering,Job,17/02/2024
S100277,2,Data Science,Higher Studies,2024/03/13 18:02:20
S100278,1,AI/ML,Higher Studies,2024-01-30
S100279,3,Core Engineering,Job,2024-02-02
S100280,1,Product/Management,Startup/Entrepreneurship,30/11/2023
S100281,2,Data Science,Job,03/12/2023
S100282,2,Web Development,Higher Studies,2024-02-18
S100283,0,Product/Management,Job,21/01/2024
S100284,0,Web Development,Job,2024-01-21
S100285,1,Cybersecurity,Job,18/02/2024
S100286,2,Cybersecurity,Job,15/12/2023
S100287,1,AI/ML,Job,2024-03-18
S100288,1,Product/Management,Job,2024-03-28
S100289,1,Product/Management,Higher Studies,2024-03-03
S100290,1,Core Engineering,Higher Studies,2023-12-24
S100291,0,Core Engineering,startup/entrepreneurship,01/04/2024
S100292,1,Cybersecurity,Startup/Entrepreneurship,2023-12-11
S100293,0,Data Science,Higher Studies,2024-02-24
S100294,1,Data Science,Job,20/01/2024
S100295,2,AI/ML,Higher Studies,2024-03-25
S100296,2,Data Science,,2024-02-01
S100297,2,Core Engineering,Higher Studies,18/12/2023
S100298,2,AI/ML,Higher Studies,2024-01-16
S100299,0,Web Development,Job,13/02/2024
S100300,0,AI/ML,Job,2023/11/19 23:44:32
S100301,1,Web Development,Job,2024-04-09
S100302,0,Web Development,Startup/Entrepreneurship,2024-02-29
S100303,1,Cybersecurity,Job,2024-03-24
S100304,1,Data Science,Startup/Entrepreneurship,2024-03-17
S100305,1,Web Development,Job,2024-01-18
S100306,0,AI/ML,Higher Studies,2024-04-11
S100307,4,Product/Management,Job,2024-02-26
S100308,0,,Higher Studies,2023-12-24
S100309,0,,Higher Studies,2023-12-17
S100310,3,Cybersecurity,Job,2024-01-06
S100311,0,Data Science,Job,22/01/2024
S100312,1,Cybersecurity,Job,2023-11-01
S100313,1,Data Science,Job,19/03/2024
S100314,1,Product/Management,STARTUP/ENTREPRENEURSHIP,12/11/2023
S100315,2,Web Development,Job,2024-02-27
S100316,1,Product/Management,Higher Studies,02-21-2024
S100317,0,Product/Management,Higher Studies,2024-02-16
S100318,2,Cybersecurity,Job,2023-12-28
S100319,1,Core Engineering,Job,2024-03-12
S100320,2,Core Engineering,Job,2023-12-29
S100321,2,Product/Management,Higher Studies,12/04/2024
S100322,0,Data Science,Job,2024-04-06
S100323,0,Product/Management,Job,2024-03-21
S100324,1,Product/Management,Job,04-04-2024
S100325,1,AI/ML,Higher Studies,2023-12-30
S100326,3,AI/ML,Job,26/12/2023
S100327,1,AI/ML,Job,2024-03-23
S100328,1,Web Development,Higher Studies,2024-01-09
S100329,1,Product/Management,Job,19/02/2024
S100330,1,,Job,05/04/2024
S100331,1,AI/ML,Job,2023-12-04
S100332,1,Core Engineering,Job,02/11/2023
S100333,2,Web Development,Job,29/03/2024
S100334,1,Data Science,Higher Studies,02-24-2024
S100335,1,Core Engineering,Higher Studies,2023-11-19
S100336,0,Core Engineering,Higher Studies,11/02/2024
S100337,1,Cybersecurity,Higher Studies,2023/12/31 07:46:52
S100338,1,Cybersecurity,,25/11/2023
S100339,1,AI/ML,Job,2024-02-08
S100340,0,AI/ML,Job,2023-11-12
S100341,2,Data Science,Higher Studies,04-01-2024
S100342,0,Web Development,Job,2023-12-06
S100343,0,Cybersecurity,Job,04-09-2024
S100344,0,Cybersecurity,Job,2024-03-17
S100345,0,,Job,2023-12-28
S100346,2,AI/ML,Job,2023-11-10
S100347,2,Cybersecurity,Higher Studies,13/11/2023
S100348,2,Core Engineering,Job,01-17-2024
S100349,1,Data Science,Startup/Entrepreneurship,2024-02-07
S100350,0,AI/ML,Higher Studies,09/02/2024
S100351,2,AI/ML,Startup/Entrepreneurship,2023-12-27
S100352,0,Cybersecurity,Job,2024-01-15
S100353,1,Cybersecurity,Job,14/04/2024
S100354,2,Cybersecurity,Higher Studies,2024-03-20
S100355,0,Core Engineering,Job,18/11/2023
S100356,1,Data Science,Startup/Entrepreneurship,2024-02-17
S100357,2,,,2023-11-30
S100358,2,Cybersecurity,Job,2024-01-25
S100359,0,Core Engineering,Higher Studies,2024/01/20 03:54:56
S100360,0,Web Development,Job,30/11/2023
S100361,1,Product/Management,Job,2024-02-02
S100362,0,Product/Management,Higher Studies,11/12/2023
S100363,0,Product/Management,Job,2024-02-28
S100364,1,Product/Management,Job,2024-01-26
S100365,0,AI/ML,Startup/Entrepreneurship,06/02/2024
S100366,1,AI/ML,Job,2024-01-15
S100367,0,Web Development,Startup/Entrepreneurship,01-24-2024
S100368,1,Cybersecurity,Job,2024-01-14
S100369,0,Cybersecurity,Job,2024-02-22
S100370,1,Cybersecurity,Job,11-09-2023
S100371,1,Data Science,Job,2024/03/09 12:22:40
S100372,0,AI/ML,Higher Studies,2024-04-09
S100373,0,Web Development,Job,11-24-2023
S100374,2,,,21/12/2023
S100375,3,AI/ML,Higher Studies,2023-12-02
S100376,0,Cybersecurity,Startup/Entrepreneurship,12-06-2023
S100377,1,AI/ML,Higher Studies,2024-02-04
S100378,1,Data Science,Higher Studies,01-05-2024
S100379,3,Web Development,Job,17/11/2023
S100380,2,Product/Management,Startup/Entrepreneurship,2024/01/10 17:17:49
S100381,4,Data Science,Job,03-22-2024
S100382,1,Web Development,Job,26/02/2024
S100383,1,Web Development,Startup/Entrepreneurship,27/11/2023
S100384,0,Cybersecurity,Higher Studies,22/01/2024
S100385,3,Product/Management,,2024-02-09
S100386,1,Cybersecurity,Job,2024-04-07
S100387,0,Data Science,Job,27/01/2024
S100388,2,Product/Management,Higher Studies,2024-03-04
S100389,0,,Job,2023-11-21
S100390,2,Core Engineering,Higher Studies,2024-01-23
S100391,3,Product/Management,Higher Studies,2024-02-23
S100392,0,Data Science,Job,03-07-2024
S100393,3,Core Engineering,Higher Studies,2024-02-18
S100394,1,AI/ML,Higher Studies,2024-02-29
S100395,0,AI/ML,Higher Studies,2024-03-01
S100396,0,Web Development,Startup/Entrepreneurship,04/04/2024
S100397,1,AI/ML,Higher Studies,2024-03-24
S100398,1,Product/Management,Job,07/01/2024
S100399,0,Core Engineering,Higher Studies,2024-03-29
S100400,2,AI/ML,Job,20/02/2024
S100401,3,Core Engineering,Job,09/03/2024
S100402,4,Cybersecurity,Job,22/03/2024
S100403,2,Product/Management,Higher Studies,2024/02/13 12:49:26
S100404,2,Core Engineering,Startup/Entrepreneurship,2023-12-06
S100405,1,Core Engineering,Higher Studies,2023-11-28
S100406,0,Web Development,Job,12-10-2023
S100407,0,Product/Management,Job,2023-11-13
S100408,0,Web Development,Job,2024-03-22
S100409,0,Web Development,Higher Studies,2024-02-10
S100410,1,Cybersecurity,Job,03-02-2024
S100411,4,Data Science,Higher Studies,2024/01/22 09:52:31
S100412,1,Data Science,Job,08/03/2024
S100413,1,Web Development,Job,2024-01-17
S100414,1,Product/Management,Job,2023-12-10
S100415,1,Cybersecurity,Job,2023/11/26 12:19:18
S100416,1,Product/Management,Job,19/02/2024
S100417,1,Core Engineering,JOB,2024-02-23
S100418,1,Data Science,Job,2023-12-09
S100419,0,Data Science,Job,2024-01-25
S100420,3,Product/Management,Job,2024-03-06
S100421,1,Web Development,Higher Studies,2023-11-14
S100422,3,Web Development,Job,2024-02-11
S100423,1,Product/Management,Job,2024-03-13
S100424,2,Data Science,,02-03-2024
S100425,2,Cybersecurity,Job,03/03/2024
S100426,1,Web Development,Job,19/02/2024
S100427,1,Web Development,Job,12-17-2023
S100428,0,Core Engineering,Higher Studies,12-17-2023
S100429,1,Cybersecurity,HIGHER STUDIES,2024-01-23
S100430,0,Data Science,Higher Studies,2024-01-26
S100431,1,Cybersecurity,Job,03-17-2024
S100432,1,Product/Management,Job,2024-03-06
S100433,2,Core Engineering,Higher Studies,2024-03-09
S100434,0,Cybersecurity,Startup/Entrepreneurship,2024-01-21
S100435,2,Cybersecurity,Job,2024-02-23
S100436,3,Web Development,Job,2024-03-01
S100437,0,Data Science,Higher Studies,2024-01-03
S100438,0,,Startup/Entrepreneurship,2024-03-08
S100439,2,Data Science,Job,03-22-2024
S100440,1,Core Engineering,job,02/12/2023
S100441,1,Cybersecurity,Job,2024-01-02
S100442,0,Cybersecurity,Higher Studies,2024-01-16
S100443,0,AI/ML,Job,2024/01/20 09:14:06
S100444,2,Web Development,Job,11-26-2023
S100445,3,Data Science,Job,01-03-2024
S100446,1,Cybersecurity,Job,2024-01-21
S100447,2,Core Engineering,Job,2024-02-24
S100448,1,Web Development,Job,2023/12/19 11:44:32
S100449,4,Data Science,Job,2023-12-20
S100450,1,Product/Management,Higher Studies,22/01/2024
S100451,5,Core Engineering,Higher Studies,2023-12-23
S100452,1,Product/Management,Startup/Entrepreneurship,19/12/2023
S100453,0,AI/ML,Higher Studies,01/04/2024
S100454,0,Product/Management,Job,27/01/2024
S100455,2,Data Science,Job,03/01/2024
S100456,1,,Startup/Entrepreneurship,03/03/2024
S100457,2,Product/Management,Higher Studies,18/03/2024
S100458,0,Core Engineering,Job,2023-11-19
S100459,1,Core Engineering,Job,04/12/2023
S100460,0,AI/ML,Job,2024-02-01
S100461,2,Web Development,Job,03-31-2024
S100462,1,Data Science,Job,2024-03-03
S100463,1,Product/Management,Job,2024-01-31
S100464,1,Data Science,Job,31/12/2023
S100465,4,Core Engineering,Job,08/12/2023
S100466,2,Web Development,Job,2023-11-10
S100467,1,Web Development,Job,2024-01-16
S100468,0,Core Engineering,Job,2023-12-07
S100469,2,Core Engineering,Job,2024-01-15
S100470,1,Product/Management,Job,2024-02-20
S100471,1,Product/Management,Startup/Entrepreneurship,05/01/2024
S100472,1,Web Development,Job,11/04/2024
S100473,0,Product/Management,Job,2023-12-31
S100474,0,Product/Management,Job,01/04/2024
S100475,0,AI/ML,Higher Studies,2024-01-19
S100476,1,Data Science,,18/02/2024
S100477,0,AI/ML,Job,2024-02-24
S100478,0,Core Engineering,Job,2024-02-19
S100479,2,AI/ML,Job,2023-11-17
S100480,1,AI/ML,Job,2023-12-18
S100481,1,Web Development,Job,08/04/2024
S100482,2,Core Engineering,Job,2024-01-30
S100483,1,AI/ML,Job,2024/03/17 06:57:20
S100484,0,Product/Management,Job,2024-03-15
S100485,1,Core Engineering,Job,2024/03/08 18:21:52
S100486,1,Cybersecurity,Higher Studies,2024-02-06
S100487,2,AI/ML,Job,2023/12/15 20:16:07
S100488,2,AI/ML,Job,27/03/2024
S100489,0,AI/ML,Higher Studies,2023-12-26
S100490,2,Core Engineering,Job,2024-01-19
S100491,2,Data Science,Startup/Entrepreneurship,2024-02-22
S100492,4,Product/Management,Job,31/03/2024
S100493,1,Product/Management,Job,2024-03-05
S100494,1,AI/ML,Higher Studies,2023-11-06
S100495,1,Product/Management,Job,2023-11-05
S100496,0,AI/ML,Job,2023-12-03
S100497,3,Data Science,Job,2023/11/11 22:41:58
S100498,3,Cybersecurity,Startup/Entrepreneurship,09/02/2024
S100499,1,Core Engineering,Startup/Entrepreneurship,2024-03-04
S100500,0,AI/ML,Higher Studies,2024-03-19
S100501,4,Cybersecurity,Job,28/01/2024
S100502,1,AI/ML,Job,2024-02-12
S100503,0,,Higher Studies,07/04/2024
S100504,3,Data Science,Higher Studies,15/12/2023
S100505,2,Web Development,Startup/Entrepreneurship,2024-01-08
S100506,1,AI/ML,Job,2023-11-10
S100507,2,Cybersecurity,Job,2024-02-28
S100508,0,Cybersecurity,Job,2024-01-03
S100509,1,Data Science,Job,2024-02-28
S100510,2,Cybersecurity,Job,2024-01-03
S100511,0,Core Engineering,Job,2023-11-20
S100512,0,Cybersecurity,Startup/Entrepreneurship,05/04/2024
S100513,0,Web Development,Job,2023-11-12
S100514,1,Product/Management,Higher Studies,2024-01-01
S100515,0,Product/Management,Higher Studies,01-09-2024
S100516,0,Data Science,Job,2023-12-19
S100517,2,Data Science,Job,2024-04-04
S100518,0,Data Science,Job,28/03/2024
S100519,0,Cybersecurity,Job,03/03/2024
S100520,0,Cybersecurity,Higher Studies,2024-01-07
S100521,2,Data Science,Job,05/03/2024
S100522,0,Core Engineering,Job,2024-03-14
S100523,1,Product/Management,Job,2024-02-18
S100524,1,Web Development,Job,2023-12-10
S100525,2,Web Development,Startup/Entrepreneurship,2023-11-25
S100526,2,Cybersecurity,Startup/Entrepreneurship,2024-02-28
S100527,0,AI/ML,Job,12-13-2023
S100528,0,Data Science,Job,23/12/2023
S100529,1,Core Engineering,Job,2023-11-26
S100530,0,Core Engineering,Higher Studies,2024-02-01
S100531,0,Web Development,Higher Studies,2024-01-28
S100532,3,Core Engineering,Higher Studies,2024-04-08
S100533,0,Core Engineering,Higher Studies,31/01/2024
S100534,0,Data Science,Job,2023-11-07
S100535,1,AI/ML,Higher Studies,16/02/2024
S100536,0,Cybersecurity,Higher Studies,2024-01-29
S100537,2,Web Development,Higher Studies,03-02-2024
S100538,0,Core Engineering,Startup/Entrepreneurship,04-12-2024
S100539,2,Web Development,Job,2024-03-20
S100540,0,Data Science,Job,30/03/2024
S100541,3,Core Engineering,Job,2024-03-22
S100542,2,Product/Management,Job,11-13-2023
S100543,2,Product/Management,Job,02-07-2024
S100544,1,Data Science,Job,2023-12-15
S100545,0,Product/Management,Higher Studies,2023-12-01
S100546,3,Core Engineering,Job,02/04/2024
S100547,2,Core Engineering,Startup/Entrepreneurship,01-30-2024
S100548,1,Cybersecurity,Job,2023-11-29
S100549,2,Product/Management,Higher Studies,01/03/2024
S100550,0,Core Engineering,JOB,01/03/2024
S100551,1,Web Development,Higher Studies,2024-01-17
S100552,0,Web Development,Job,2024-03-26
S100553,1,AI/ML,Job,2024-01-27
S100554,0,Core Engineering,Job,2024/02/10 00:56:07
S100555,1,Cybersecurity,Job,2024/04/08 13:46:27
S100556,0,Web Development,Job,28/12/2023
S100557,0,Cybersecurity,Job,20/11/2023
S100558,3,Data Science,Job,2023/11/29 02:32:10
S100559,0,Cybersecurity,Job,2023-11-10
S100560,2,Data Science,Higher Studies,2023-11-18
S100561,2,Web Development,Higher Studies,01/12/2023
S100562,2,Core Engineering,Job,2024-02-18
S100563,1,AI/ML,Higher Studies,2024/03/20 05:05:00
S100564,1,Data Science,Higher Studies,2023-11-20
S100565,0,Core Engineering,,2023-11-03
S100566,1,Product/Management,Higher Studies,11/11/2023
