student_id,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,study_hours_daily,self_learning_hours,motivation_level,adaptability_score,gym_frequency,family_income_lpa,resume_score,communication_skills,aptitude_score,mock_interview_score,hackathons_participated,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill,wellness_score,screen_to_study_ratio,backlog_history,attendance_percentage,cgpa,at_risk_flag
S200035,5.37,3.97,0.22,6.09,51.17,4.63,0.91,3.92,46.2,2,1.0,38.08,55.23,74.44,71.92,3,2,1,2,6.05,53.07,49.9,0.86,0,78.12,6.18,0
S200036,4.61,6.77,0.98,3.0,30.3,3.18,0.58,9.12,62.07,0,4.0,44.11,74.57,67.21,34.01,2,2,0,5,5.62,60.09,69.56,2.13,0,91.08,8.2,0
S200037,8.35,8.37,0.13,5.77,65.39,2.63,0.62,4.97,57.81,1,12.2,67.41,63.96,67.92,38.89,0,1,0,4,7.85,57.1,51.47,3.18,1,83.97,5.77,1
S200038,8.77,6.77,2.31,3.81,9.3,4.87,1.99,9.34,49.99,4,1.0,71.54,79.73,36.79,71.2,0,1,1,9,8.99,93.73,80.52,1.39,0,68.16,7.27,0
S200039,5.84,6.42,0.2,10.0,75.26,3.92,0.41,6.33,80.4,3,1.0,60.38,43.52,56.98,44.48,0,6,2,7,1.67,46.36,20.04,1.64,0,50.58,8.27,1
S200040,7.48,7.84,0.77,2.41,32.65,2.53,1.64,10.0,75.15,1,3.9,91.0,55.55,72.29,47.84,1,4,1,3,6.06,43.11,72.92,3.1,1,81.71,7.67,0
S200041,6.05,6.02,3.8,7.89,59.35,3.37,1.48,4.28,59.32,2,1.0,68.26,80.51,54.22,47.3,2,2,1,7,8.57,37.14,36.99,1.79,0,63.46,5.24,1
S200042,7.1,5.78,3.63,3.33,38.57,2.62,2.5,6.33,54.8,3,3.4,43.24,70.88,80.5,61.51,0,4,0,5,4.13,30.7,68.06,2.21,0,65.31,6.53,0
S200043,5.25,7.42,0.64,5.61,34.89,2.37,3.73,7.09,56.62,1,1.0,74.21,83.04,50.98,88.27,1,4,1,4,10.0,56.28,49.01,3.13,0,77.99,5.64,0
S200044,3.91,2.88,1.7,5.81,51.45,4.25,1.41,1.81,75.66,1,1.0,59.16,77.73,45.56,78.92,2,3,2,5,5.92,32.4,42.84,0.68,2,100.0,7.47,1
S200045,3.78,6.53,5.43,7.26,23.23,2.27,4.17,4.38,72.02,0,9.7,66.85,52.89,67.32,36.57,2,5,2,6,5.69,23.23,49.63,2.88,2,73.79,7.75,1
S200046,6.84,4.53,1.59,7.63,15.99,3.1,0.38,5.16,59.31,3,1.8,54.95,80.64,56.58,63.36,3,6,1,2,4.9,40.33,68.95,1.46,1,53.57,5.64,1
S200047,9.45,7.13,2.72,6.17,44.03,4.07,2.26,8.43,100.0,1,10.4,50.79,51.06,69.55,23.52,0,3,1,1,3.19,57.02,63.04,1.75,1,79.93,6.29,0
S200048,6.68,5.99,2.46,3.73,73.68,2.55,1.93,6.52,37.24,2,7.3,41.76,54.89,66.07,67.42,5,5,1,2,5.85,74.61,49.57,2.35,0,70.01,6.83,0
S200049,5.57,9.59,0.71,5.97,44.17,4.47,3.56,5.4,91.97,3,5.4,65.66,36.69,81.58,93.67,1,4,2,1,1.22,80.39,52.83,2.15,0,89.35,7.28,0
S200050,8.98,7.85,0.06,5.62,60.52,6.4,1.25,8.88,68.23,3,1.9,47.13,60.04,67.57,49.86,0,3,1,5,6.61,72.77,57.51,1.23,0,68.73,7.91,0
S200051,6.63,7.23,0.14,4.47,6.07,0.81,0.53,6.19,47.71,1,5.4,71.16,81.51,33.9,64.21,1,2,0,6,5.84,39.55,71.84,8.9,1,50.62,7.33,1
S200052,6.44,4.52,0.55,5.54,81.45,3.6,0.08,6.43,42.57,1,1.0,75.4,64.41,87.04,59.06,1,3,1,1,7.53,66.79,41.37,1.26,1,100.0,5.8,0
S200053,6.65,7.86,0.26,8.59,45.55,1.88,1.27,7.6,81.35,4,3.0,37.42,71.74,38.14,68.75,3,2,1,4,5.9,35.65,42.0,4.18,1,79.5,5.55,1
S200054,6.11,1.15,3.34,5.98,27.03,2.91,2.41,5.92,41.58,2,1.9,46.76,78.54,48.72,92.62,2,5,0,1,8.67,48.99,58.91,0.4,0,81.81,6.16,0
S200055,5.87,8.68,0.68,4.17,11.26,0.0,0.25,2.98,45.31,2,15.5,46.95,57.88,49.97,38.14,1,2,2,3,5.43,0.0,75.23,34.71,1,79.25,6.29,1
S200056,4.29,8.59,0.52,8.5,84.52,3.39,0.11,8.06,84.94,1,12.4,45.33,74.84,66.06,59.62,3,1,1,2,5.03,71.59,24.05,2.53,2,65.8,5.38,1
S200057,7.0,6.96,0.38,9.8,44.23,3.16,0.56,2.94,68.5,0,6.8,46.49,40.25,56.39,56.86,1,0,1,5,3.79,37.79,39.81,2.2,1,89.62,8.26,0
S200058,6.17,8.15,1.46,9.13,51.69,2.19,0.28,5.63,60.77,0,5.5,50.23,57.84,33.59,74.96,2,1,1,2,7.15,51.18,30.29,3.73,1,59.41,7.05,1
S200059,7.97,3.01,1.17,5.86,48.35,5.28,0.25,6.11,49.35,2,1.5,49.86,51.72,64.8,90.8,0,3,1,3,7.8,38.56,52.96,0.57,0,70.82,4.42,0
S200060,5.78,5.26,0.2,5.74,49.9,2.16,0.36,7.04,46.29,3,9.4,68.28,68.4,54.63,60.0,3,1,1,3,4.55,44.42,50.8,2.43,0,68.72,5.33,0
S200061,3.63,4.27,0.62,6.7,18.96,1.58,4.4,4.08,64.24,0,7.6,25.64,77.48,78.19,17.8,1,0,2,0,2.0,53.68,52.66,2.7,1,81.07,4.14,1
S200062,6.16,7.93,1.7,5.41,37.27,0.82,1.56,6.36,53.56,0,1.0,49.36,42.27,51.87,63.62,2,1,0,1,0.59,55.94,61.64,9.68,0,90.32,8.4,0
S200063,8.68,7.93,0.51,1.81,21.62,4.82,1.0,7.94,76.63,0,17.7,53.51,61.46,55.47,69.59,2,4,1,7,4.27,32.57,81.37,1.64,0,76.2,5.29,0
S200064,5.76,10.4,2.29,8.24,24.55,3.1,1.71,5.48,62.45,3,23.3,76.06,77.05,66.77,24.73,1,1,0,5,5.49,38.51,63.49,3.36,0,79.45,7.29,0
S200065,5.05,3.91,0.85,3.42,15.72,2.4,0.64,4.54,59.96,4,5.5,54.36,52.75,66.49,42.26,1,3,3,3,2.12,43.79,66.95,1.63,1,71.06,5.78,0
S200066,4.63,4.29,0.19,3.37,0.16,2.85,2.11,5.04,57.93,1,6.1,56.3,67.53,59.4,56.16,1,1,0,7,3.4,32.49,81.23,1.51,0,83.41,7.33,0
S200067,4.83,7.54,4.68,5.08,28.89,1.13,0.53,4.63,57.0,0,1.4,81.63,85.42,41.7,56.51,1,0,2,2,5.36,28.58,55.07,6.67,0,65.17,7.99,0
S200068,5.88,4.96,0.52,8.37,24.6,2.69,0.53,7.29,57.72,3,4.6,31.03,76.99,72.1,28.01,1,3,0,10,4.15,41.93,54.17,1.84,1,76.2,7.13,1
S200069,4.65,4.84,0.27,5.43,100.0,3.68,0.33,8.28,42.11,4,15.8,59.15,68.21,56.7,26.25,3,6,0,6,5.23,51.9,30.17,1.31,1,81.42,6.18,1
S200070,8.4,8.03,0.04,8.13,25.75,3.97,1.03,5.13,53.04,2,9.0,37.84,64.63,37.37,77.07,3,2,0,1,8.44,72.45,66.31,2.02,1,70.34,6.54,0
S200071,5.9,6.5,1.97,7.09,50.75,4.57,0.09,4.3,57.6,3,4.2,70.56,41.18,50.13,65.84,2,3,2,4,3.47,36.11,48.23,1.42,1,73.05,8.51,0
S200072,6.45,5.07,4.99,7.78,36.55,2.72,0.67,1.39,55.46,2,5.0,82.09,64.86,69.37,46.73,3,2,0,2,10.0,57.19,48.84,1.87,0,86.79,8.38,1
S200073,8.31,9.21,4.83,4.02,45.66,4.13,1.56,6.01,80.82,1,2.1,29.53,52.3,74.91,28.52,3,0,2,4,9.77,65.31,63.57,2.23,1,72.48,4.61,0
S200074,8.4,6.21,3.59,2.69,71.55,2.33,0.31,6.38,33.17,2,1.5,27.58,55.99,71.39,74.22,1,2,1,6,4.18,67.46,58.13,2.66,0,78.26,7.48,0
S200075,6.0,3.0,2.98,3.6,14.2,3.41,0.53,2.01,75.79,1,2.8,73.82,48.56,43.78,62.62,2,1,0,9,3.74,34.85,69.74,0.88,3,82.48,4.71,0
S200076,6.76,5.97,0.06,9.85,76.37,2.34,1.58,1.0,65.7,1,9.3,73.28,56.62,63.61,36.49,1,5,1,4,8.55,58.83,31.03,2.55,0,79.84,5.81,1
S200077,7.33,6.48,1.08,3.28,95.65,3.54,0.21,4.94,14.43,1,1.0,51.51,53.48,38.21,56.33,0,1,4,2,3.34,29.77,46.2,1.83,2,66.0,6.21,1
S200078,6.03,4.77,5.88,9.2,28.5,3.59,2.97,1.99,90.72,2,1.9,0.0,73.27,73.72,45.94,1,2,2,5,7.74,29.21,44.73,1.33,0,83.42,5.13,1
S200079,3.81,9.03,0.19,5.65,41.05,2.31,0.79,5.85,58.25,3,6.3,54.65,64.76,64.66,56.82,1,2,1,0,6.47,70.04,48.06,3.91,4,74.44,7.29,1
S200080,7.22,7.19,3.28,3.38,82.1,3.38,1.08,5.74,34.95,0,21.5,66.32,88.65,49.83,46.65,2,2,1,3,6.93,10.32,53.3,2.13,1,82.93,8.49,1
S200081,7.55,8.22,0.56,4.36,19.35,1.78,0.31,5.96,71.59,0,3.2,43.19,66.04,61.46,70.06,1,2,1,4,7.44,70.35,71.99,4.62,0,76.49,7.98,0
S200082,6.88,8.68,0.38,8.08,40.62,0.37,0.19,8.33,80.74,4,2.3,75.91,67.17,52.74,76.22,3,3,2,6,5.97,28.76,45.34,23.4,0,88.43,5.33,1
S200083,5.01,5.87,0.71,5.14,25.76,3.98,3.39,6.78,80.82,3,6.9,46.16,42.84,64.32,87.53,2,3,2,3,4.95,52.69,59.89,1.47,1,77.76,7.52,0
S200084,6.03,5.98,2.3,4.4,67.85,1.14,1.55,4.61,70.1,0,1.0,55.65,63.51,58.76,49.7,3,4,0,3,0.0,45.95,47.84,5.24,0,88.74,5.25,0
S200085,5.47,6.79,0.38,8.06,42.41,2.47,2.5,8.07,35.03,2,7.5,49.1,80.51,78.79,46.61,2,1,0,3,9.08,60.95,48.13,2.75,1,100.0,4.75,1
S200086,5.88,5.63,3.98,4.75,8.87,1.98,0.09,6.45,88.66,3,1.0,75.78,77.14,71.15,43.12,1,2,1,2,3.19,33.45,67.37,2.84,0,81.9,5.46,0
S200087,8.12,10.12,1.11,4.78,57.86,1.42,1.16,8.03,80.9,0,1.0,74.79,43.93,67.46,27.6,0,4,0,4,8.12,54.76,61.68,7.15,3,74.66,6.36,0
S200088,8.44,4.43,2.13,8.12,33.48,1.65,0.93,5.53,49.05,1,1.7,47.27,66.32,58.5,100.0,0,0,1,10,2.8,74.53,52.86,2.68,0,70.27,7.28,1
S200089,7.24,3.29,0.12,7.55,63.81,3.37,0.02,9.58,42.6,3,3.6,57.51,70.63,63.32,52.59,1,3,0,3,5.42,91.49,41.56,0.98,1,67.46,4.22,1
S200090,7.07,7.96,4.55,6.25,44.79,2.12,1.93,2.38,53.12,1,1.9,44.69,57.92,41.16,71.3,0,4,1,4,7.39,30.96,55.58,3.76,0,73.45,8.2,1
S200091,7.25,6.12,0.51,4.69,52.9,4.06,0.02,4.41,67.13,2,7.6,21.24,74.38,29.44,34.19,2,0,2,6,1.71,54.28,46.66,1.51,0,100.0,7.45,0
S200092,6.28,3.12,0.63,4.72,48.15,3.59,2.36,4.06,48.41,4,12.0,50.06,74.44,63.11,46.82,0,0,0,4,6.24,58.96,53.55,0.87,1,78.08,4.72,0
S200093,6.19,8.4,0.98,10.0,81.81,1.48,3.17,3.91,69.54,0,1.3,35.78,57.25,38.67,61.46,1,2,1,4,4.47,39.02,19.93,5.68,0,70.45,5.29,1
S200094,5.36,8.51,0.18,3.24,10.89,3.28,1.12,6.74,47.9,3,8.1,56.4,40.53,54.31,56.06,1,2,1,2,5.69,66.09,70.53,2.59,2,80.21,5.46,1
S200095,6.22,4.53,3.54,1.54,24.54,5.38,2.31,10.0,34.82,1,5.2,21.85,49.05,64.58,47.84,1,2,0,4,2.53,50.14,70.49,0.84,0,75.5,5.8,0
S200096,9.46,3.73,0.27,5.92,41.56,2.42,0.15,4.38,34.52,2,3.3,75.9,41.05,66.27,74.62,1,4,0,5,5.76,47.85,67.02,1.54,1,52.69,6.49,0
S200097,7.52,8.62,0.07,4.79,49.49,4.18,2.56,5.39,66.36,3,1.0,59.56,78.25,73.58,79.91,0,4,1,6,0.12,37.38,67.89,2.06,0,65.08,6.09,0
S200098,5.82,8.39,1.65,7.88,22.28,1.14,0.97,8.64,94.52,2,6.9,67.51,62.64,68.8,32.71,1,2,0,5,10.0,53.93,51.26,7.37,0,91.05,6.07,1
S200099,5.64,8.58,1.44,4.73,50.67,3.4,0.75,3.93,69.86,2,16.8,53.1,68.05,55.05,44.07,3,2,1,5,3.82,2.09,51.11,2.52,0,90.02,7.87,0
S200100,5.09,5.88,3.97,7.1,31.01,6.77,0.23,10.0,63.6,1,1.1,37.8,69.14,87.94,20.9,1,2,0,1,4.56,48.38,59.34,0.87,0,73.24,7.26,0
S200101,6.82,8.78,1.43,5.63,27.91,1.87,0.79,5.68,52.92,2,13.3,72.78,50.84,52.87,80.86,0,2,0,2,7.7,30.76,69.88,4.7,1,62.66,8.11,1
S200102,6.85,10.77,2.31,4.73,36.8,3.73,0.29,2.23,58.17,2,1.0,63.0,65.1,65.33,51.28,1,3,0,3,4.33,46.24,66.75,2.89,0,73.29,4.91,1
S200103,4.28,8.51,7.21,6.44,56.95,3.65,6.12,9.81,68.3,2,1.0,65.38,81.73,61.84,58.15,0,1,2,2,3.96,51.35,49.14,2.33,2,76.05,5.43,1
S200104,6.98,8.38,0.96,4.28,61.3,6.59,0.74,7.22,52.12,4,4.4,31.27,76.51,35.07,65.99,1,1,2,3,5.73,47.38,46.4,1.27,0,91.46,7.57,0
S200105,5.5,9.54,0.05,10.0,73.16,2.73,1.24,2.51,86.02,3,24.2,78.14,52.28,41.62,79.94,3,1,1,4,9.24,79.61,32.12,3.5,0,77.26,6.19,1
S200106,8.3,7.95,0.66,7.99,65.52,3.2,0.52,6.55,54.83,0,2.9,30.64,60.7,52.41,51.62,0,4,2,5,2.3,42.88,37.81,2.48,1,61.86,6.15,1
S200107,6.52,6.78,1.8,6.52,40.07,3.19,0.83,5.99,50.59,2,28.1,54.71,72.83,70.59,47.83,2,5,0,9,0.0,47.79,56.03,2.13,0,100.0,5.32,1
S200108,8.7,7.64,1.58,7.43,30.86,4.51,2.52,2.67,91.07,4,5.9,55.85,37.12,52.57,51.03,0,1,3,3,4.0,66.64,63.37,1.69,0,77.54,8.11,0
S200109,5.66,9.14,1.77,4.83,41.82,4.56,5.4,4.65,33.38,1,1.0,57.88,84.08,65.82,44.56,1,1,0,4,10.0,100.0,50.04,2.0,0,60.61,7.44,0
S200110,5.9,7.53,1.11,6.22,51.91,5.93,7.23,9.23,45.5,1,15.0,44.14,48.85,56.45,56.36,0,2,0,2,5.61,64.4,47.04,1.27,0,64.37,8.89,0
S200111,6.72,8.45,0.47,6.82,38.04,3.63,0.65,4.08,95.44,1,1.0,50.8,45.28,79.37,41.89,0,5,0,2,1.26,30.93,51.73,2.33,0,78.5,6.1,0
S200112,7.78,5.8,2.55,8.3,0.0,1.06,4.95,3.89,48.43,3,13.4,85.77,44.18,89.05,64.12,0,4,0,4,2.04,37.09,64.83,5.45,1,60.98,7.11,0
S200113,7.09,6.54,4.79,6.99,74.5,3.79,0.19,4.54,52.07,4,5.3,47.55,65.55,61.29,53.63,0,1,1,3,2.31,36.15,39.52,1.73,1,80.24,5.86,1
S200114,4.57,3.14,0.85,7.03,50.48,4.86,1.36,6.62,64.77,3,2.6,32.39,90.04,51.09,65.73,0,4,2,1,7.4,48.67,50.93,0.65,0,83.59,6.04,1
S200115,6.56,8.94,2.93,9.7,20.77,5.67,0.39,5.54,36.11,3,1.0,46.59,79.48,42.61,63.61,1,5,1,6,4.91,69.97,55.09,1.58,2,89.13,6.54,1
S200116,6.33,7.62,0.4,6.72,55.83,3.0,0.31,3.81,54.74,1,9.4,55.52,43.66,74.09,65.68,1,4,2,7,4.81,56.97,47.34,2.55,1,97.15,8.33,1
S200117,5.7,4.23,1.37,3.74,54.64,0.0,0.32,1.68,90.57,0,4.1,47.74,49.42,50.18,77.81,0,1,0,3,3.75,73.26,55.55,16.94,1,66.76,4.94,1
S200118,5.39,7.87,1.88,6.55,9.4,5.92,0.4,5.81,79.1,1,4.2,68.5,78.51,50.13,25.64,3,6,1,3,4.81,31.58,69.33,1.33,0,80.59,7.55,0
S200119,8.75,4.8,2.94,6.15,52.09,2.96,2.94,8.67,48.98,3,1.0,61.13,71.52,55.95,77.67,2,3,0,2,6.02,54.18,56.45,1.62,2,77.31,4.67,1
S200120,5.75,8.0,0.59,7.91,53.16,3.12,2.23,8.28,46.85,1,28.4,60.26,49.45,57.54,48.2,1,0,1,1,3.17,68.03,43.0,2.56,2,76.61,5.02,1
S200121,5.12,11.46,1.83,1.91,60.69,2.43,3.43,8.98,64.36,2,15.0,64.95,71.25,64.88,37.88,1,2,0,3,6.5,51.73,63.85,4.71,2,65.08,4.97,1
S200122,7.19,7.08,4.65,8.88,35.19,3.3,2.8,5.3,74.54,0,6.4,100.0,53.02,68.24,56.28,1,3,1,5,5.48,48.45,51.79,2.14,1,65.63,6.39,1
S200123,6.48,4.95,1.42,3.26,44.16,1.12,7.61,5.81,59.96,2,3.1,34.82,50.65,65.96,86.6,1,3,0,3,5.89,79.75,60.87,4.43,0,75.43,6.96,0
S200124,6.19,5.61,1.72,8.73,54.77,0.09,5.51,6.0,62.57,1,6.1,51.9,53.34,81.75,61.15,2,1,0,1,4.77,62.57,37.27,22.45,2,63.59,7.35,1
S200125,7.39,7.33,0.07,7.32,50.8,3.12,1.89,6.88,20.35,1,1.0,64.35,43.66,67.56,43.13,2,5,0,3,5.09,50.65,49.69,2.35,0,97.51,8.29,0
S200126,6.98,5.67,0.03,4.05,22.66,5.74,0.07,7.34,40.52,1,1.0,66.17,72.0,60.18,72.34,1,3,0,4,5.58,63.08,66.65,0.99,0,76.02,9.29,0
S200127,6.81,8.31,1.56,4.65,22.02,3.92,1.89,5.4,76.7,1,3.6,61.97,68.93,55.99,68.28,1,2,0,2,8.75,48.14,69.59,2.12,1,94.44,6.49,1
S200128,7.65,2.07,1.05,4.98,25.69,2.53,0.41,7.06,84.01,0,3.1,52.2,38.3,65.73,50.5,1,5,0,2,6.1,50.07,68.1,0.82,1,75.27,6.11,0
S200129,6.7,10.08,2.64,6.24,32.43,0.42,4.26,1.0,100.0,0,4.4,64.27,48.14,66.16,45.07,3,0,0,6,2.27,18.83,54.4,24.05,0,80.23,5.57,1
S200130,5.44,6.31,1.1,3.54,45.77,2.7,3.48,3.98,74.73,1,2.1,19.44,79.0,63.79,37.16,0,4,1,8,3.59,66.94,59.9,2.34,1,93.23,5.84,0
S200131,5.79,6.57,0.22,4.98,40.76,5.43,3.15,6.68,43.45,4,13.1,59.14,40.5,45.39,91.78,1,1,1,2,2.24,47.95,51.63,1.21,1,77.94,4.6,0
S200132,5.57,9.82,4.19,7.58,81.21,4.62,4.3,2.81,59.35,6,18.5,69.86,47.94,46.36,55.34,0,3,1,4,1.16,73.74,30.42,2.13,1,73.85,8.58,1
S200133,6.59,9.03,2.42,6.0,42.35,0.96,1.68,3.29,56.5,4,11.3,58.78,56.3,49.69,61.04,2,4,3,3,3.9,36.72,59.34,9.36,0,79.05,5.3,1
S200134,4.79,2.26,0.16,5.57,75.27,2.56,3.62,7.48,53.11,3,1.0,56.08,35.49,38.13,71.53,0,4,0,4,5.06,50.33,35.35,0.88,3,74.71,7.85,1
S200135,3.73,3.23,3.44,7.48,65.02,1.1,0.52,5.71,71.06,1,4.5,14.84,15.12,24.29,68.92,3,6,1,4,5.59,26.63,37.57,2.93,2,63.32,5.87,1
S200136,6.42,8.78,0.24,3.74,24.33,1.92,0.34,6.52,63.42,5,4.3,48.1,62.58,62.13,54.03,0,5,0,4,5.09,43.09,76.4,4.58,1,77.55,5.2,1
S200137,4.43,5.64,0.41,3.44,79.74,1.34,0.01,5.34,60.67,1,1.0,68.96,41.38,58.82,11.31,1,5,2,6,6.26,51.49,37.52,4.22,0,81.11,8.37,1
