student_id,previous_cgpa,previous_semester_percentage,previous_internal_marks,previous_assignment_score,previous_midterm_score,attendance_percentage,study_hours_per_week,assignment_completion_rate,practice_questions,previous_subject_avg,weak_subject_count,lowest_subject_score,subject_consistency,sleep_hours,extracurricular_hours,stress_level,backlogs,failed_subjects,next_semester_marks,performance_band
S100148,7.68,66.02,35.24,37.57,28.7,89.27,17.85,98.82,84,62.81,2,45.34,66.29,7.86,3.51,5.33,1,0,48.17,At_Risk
S100149,7.39,68.59,18.4,97.57,48.33,86.91,22.84,66.72,42,90.3,2,71.04,72.17,4.84,1.52,8.27,0,0,63.32,Average
S100150,7.33,69.73,31.44,69.82,63.36,83.45,1.18,69.53,123,57.78,1,35.98,69.99,4.91,5.5,6.96,0,0,41.7,At_Risk
S100151,7.45,67.36,21.11,74.35,81.16,80.91,0.65,100.0,241,43.43,1,21.38,69.7,4.42,2.06,4.22,3,0,29.8,At_Risk
S100152,6.12,56.27,45.95,47.91,50.74,65.78,26.6,59.69,48,100.0,3,85.96,74.77,6.12,4.95,3.23,0,0,60.27,Average
S100153,7.3,63.74,28.85,89.81,73.88,84.05,13.32,91.52,16,79.89,2,48.75,50.76,7.41,5.42,5.17,1,0,55.69,Average
S100154,7.38,70.43,48.22,73.0,18.72,79.55,15.63,99.3,20,65.33,3,50.8,83.06,5.64,1.08,2.94,1,0,54.49,Average
S100155,6.07,61.9,43.91,87.08,67.88,100.0,7.52,97.63,25,70.71,2,48.25,67.3,6.75,4.55,6.92,0,0,57.9,Average
S100156,9.43,85.15,29.83,88.31,58.49,62.48,15.31,56.07,20,69.57,2,55.15,77.79,7.61,11.16,8.59,0,0,54.51,Average
S100157,7.62,69.86,26.42,90.02,98.58,69.32,24.58,74.74,1,46.9,3,17.07,53.43,3.0,1.73,5.56,0,0,58.0,Average
S100158,5.45,53.8,33.45,60.28,34.73,58.96,18.47,89.33,158,67.78,2,32.85,50.05,6.83,1.95,5.93,0,0,32.72,At_Risk
S100159,7.85,79.46,34.16,66.88,64.77,75.38,16.35,91.13,91,73.62,3,63.5,84.32,9.34,0.27,7.31,1,0,58.81,Average
S100160,5.73,48.49,37.77,60.82,34.63,57.11,2.61,79.86,58,72.98,0,39.34,54.51,5.96,10.12,5.25,1,0,33.58,At_Risk
S100161,8.02,75.55,28.79,83.43,56.2,92.23,20.2,69.56,13,37.01,2,29.88,84.87,6.07,6.85,7.24,0,0,51.26,Average
S100162,8.51,81.94,40.97,74.99,37.78,91.11,15.07,75.9,3,70.45,3,41.29,54.77,5.22,2.71,3.56,1,0,55.86,Average
S100163,5.93,55.96,37.12,86.04,100.0,76.08,10.74,70.73,39,74.04,2,40.75,56.48,6.95,1.6,8.73,0,0,36.2,At_Risk
S100164,8.25,68.49,32.28,86.69,59.31,65.84,19.5,61.36,0,67.34,1,42.81,63.46,8.05,1.83,7.34,0,1,41.46,At_Risk
S100165,7.54,73.6,29.3,44.09,61.62,59.71,9.07,75.51,5,52.21,1,37.4,70.78,6.1,0.44,7.55,3,0,19.24,At_Risk
S100166,8.07,82.73,33.52,90.26,64.32,69.55,18.93,100.0,6,85.05,1,74.21,92.14,4.96,0.22,7.76,1,0,60.38,Average
S100167,9.47,90.39,28.46,84.26,46.88,85.5,23.52,75.82,135,67.56,1,37.98,56.97,7.74,8.96,5.83,0,0,79.46,Good
S100168,6.68,59.35,35.47,64.46,81.88,68.56,16.08,57.31,104,65.22,0,57.28,91.44,5.68,7.65,5.98,0,0,57.57,Average
S100169,6.02,55.14,35.68,75.25,75.24,100.0,12.03,74.62,30,65.97,0,46.61,67.06,6.56,13.22,2.12,0,0,64.79,Average
S100170,5.84,62.59,37.09,68.14,79.69,95.89,10.99,100.0,29,48.95,1,20.02,53.92,8.52,4.26,6.26,0,0,40.92,At_Risk
S100171,5.94,60.06,49.13,79.24,45.51,78.01,17.68,56.11,34,93.42,0,63.63,53.95,6.71,3.88,5.87,1,1,50.73,Average
S100172,6.9,68.11,33.94,64.43,83.17,72.46,11.98,79.99,67,82.69,0,67.2,72.63,7.74,2.36,5.48,0,0,73.91,Good
S100173,7.44,72.14,43.04,77.18,81.32,71.17,31.57,91.07,157,59.03,1,38.25,66.82,7.54,2.02,7.72,1,1,72.78,Good
S100174,7.36,67.27,36.84,71.01,61.28,97.18,5.09,62.89,52,42.99,1,33.55,80.79,5.76,1.27,2.93,2,1,40.66,At_Risk
S100175,8.08,75.91,33.09,63.52,79.32,70.12,14.09,82.86,13,74.85,3,52.61,57.29,3.78,6.76,5.57,1,0,49.46,At_Risk
S100176,7.02,66.35,34.05,72.85,69.36,89.21,16.91,66.3,14,77.73,4,58.62,64.49,8.44,0.07,4.69,1,0,39.64,At_Risk
S100177,8.89,86.65,34.53,100.0,39.5,78.26,16.07,61.61,5,68.85,3,36.62,47.29,5.71,2.37,6.93,0,3,28.41,At_Risk
