student_id,previous_cgpa,previous_semester_percentage,previous_subject_avg,weak_subject_count,subject_consistency,performance_band
S100083,6.33,66.37,64.89,1,57.78,At_Risk
S100084,5.95,58.91,55.59,1,63.86,Average
S100085,6.35,61.01,70.69,1,42.47,Average
S100086,8.19,73.93,59.65,1,86.34,Average
S100087,7.43,65.03,72.26,2,57.88,At_Risk
S100088,6.31,63.0,84.47,1,81.24,Average
S100089,7.67,78.86,53.15,1,70.26,At_Risk
S100090,7.13,65.94,44.0,1,49.86,At_Risk
S100091,8.26,73.91,97.8,1,71.74,Average
S100092,6.09,48.0,69.73,1,47.98,At_Risk
S100093,6.57,58.53,51.8,2,91.04,At_Risk
S100094,6.49,61.2,54.98,2,80.85,At_Risk
S100095,5.1,54.82,61.83,0,69.41,Average
S100096,7.38,72.85,71.93,0,90.94,Average
S100097,7.34,70.94,36.58,1,96.41,Average
S100098,7.01,64.96,77.08,0,66.2,At_Risk
S100099,6.7,61.27,59.07,2,76.57,At_Risk
S100100,5.16,54.64,87.28,2,53.89,At_Risk
S100101,6.45,62.11,73.02,0,50.13,Average
S100102,6.55,53.86,79.63,1,49.37,At_Risk
S100103,5.96,53.9,64.96,2,56.06,At_Risk
S100104,6.79,61.08,71.19,4,70.13,At_Risk
S100105,7.53,69.3,86.0,4,78.1,At_Risk
S100106,9.45,92.05,56.92,3,66.49,Average
S100107,7.23,68.23,73.75,1,43.79,Average
S100108,7.33,69.37,74.97,1,52.26,Average
S100109,6.9,71.0,85.71,2,54.27,At_Risk
S100110,4.51,40.02,59.67,2,67.15,At_Risk
S100111,6.97,73.63,56.97,1,79.15,Average
S100112,7.08,64.56,83.46,2,72.47,At_Risk
S100113,10.0,95.36,65.07,0,73.68,Good
S100114,6.75,63.0,56.31,3,62.02,At_Risk
S100115,7.39,70.72,61.56,2,57.84,At_Risk
S100116,6.95,67.85,49.99,3,68.6,At_Risk
S100117,5.48,53.8,67.64,3,47.27,At_Risk
S100118,8.49,77.6,30.55,1,68.42,Average
S100119,7.98,71.29,71.46,2,79.84,At_Risk
S100120,8.03,86.28,47.96,3,46.2,Average
S100121,5.82,53.33,84.49,0,86.35,Average
S100122,8.82,86.62,58.83,1,74.47,Good
S100123,5.18,42.76,57.24,0,61.82,At_Risk
S100124,7.76,72.63,68.55,4,62.82,Average
S100125,9.85,93.04,73.11,1,91.48,Excellent
S100126,5.71,56.16,68.46,1,66.22,At_Risk
S100127,6.26,48.62,46.92,0,55.44,At_Risk
S100128,7.13,68.4,69.53,1,65.15,Average
S100129,6.35,55.68,66.97,2,63.13,At_Risk
S100130,4.98,49.0,66.48,1,66.45,At_Risk
S100131,7.09,63.2,75.53,1,73.44,Good
S100132,5.62,49.96,57.95,0,80.22,At_Risk
S100133,7.62,71.25,53.28,1,73.68,At_Risk
S100134,5.8,50.94,75.99,0,82.3,At_Risk
S100135,9.01,83.74,42.66,2,40.13,Average
S100136,5.98,52.05,71.68,2,83.61,At_Risk
S100137,6.58,55.19,52.24,1,54.87,At_Risk
S100138,8.06,80.62,86.23,0,75.86,Good
S100139,5.4,46.11,49.08,1,90.21,At_Risk
S100140,7.3,68.59,49.36,2,93.59,Average
S100141,8.7,85.65,98.29,0,54.22,Average
S100142,4.91,44.19,84.41,3,69.15,At_Risk
S100143,7.24,65.48,57.51,2,82.54,Average
S100144,7.34,70.61,51.93,3,80.29,At_Risk
S100145,8.02,80.6,55.96,0,86.75,Average
S100146,5.39,46.5,72.68,0,82.56,Average
S100147,5.28,49.59,71.7,3,96.19,At_Risk
S100148,7.68,66.02,62.81,2,66.29,At_Risk
S100149,7.39,68.59,90.3,2,72.17,Average
S100150,7.33,69.73,57.78,1,69.99,At_Risk
S100151,7.45,67.36,43.43,1,69.7,At_Risk
S100152,6.12,56.27,100.0,3,74.77,Average
S100153,7.3,63.74,79.89,2,50.76,Average
S100154,7.38,70.43,65.33,3,83.06,Average
S100155,6.07,61.9,70.71,2,67.3,Average
S100156,9.43,85.15,69.57,2,77.79,Average
S100157,7.62,69.86,46.9,3,53.43,Average
S100158,5.45,53.8,67.78,2,50.05,At_Risk
S100159,7.85,79.5,73.62,3,84.32,Average
S100160,5.73,48.49,72.98,0,54.51,At_Risk
S100161,8.02,75.55,37.01,2,84.87,Average
S100162,8.51,81.94,70.45,3,54.77,Average
S100163,5.93,55.96,74.04,2,56.48,At_Risk
S100164,8.25,68.49,67.34,1,63.46,At_Risk
S100165,7.54,73.6,52.21,1,70.78,At_Risk
S100166,8.07,82.73,85.05,1,92.14,Average
S100167,9.47,90.39,67.56,1,56.97,Good
S100168,6.68,59.35,65.22,0,91.44,Average
S100169,6.02,55.14,65.97,0,67.06,Average
S100170,5.84,62.59,48.95,1,53.92,At_Risk
S100171,5.94,60.06,93.42,0,53.95,Average
S100172,6.9,68.0,82.69,0,72.63,Good
S100173,7.44,72.14,59.03,1,66.82,Good
S100174,7.36,67.27,42.99,1,80.79,At_Risk
S100175,8.08,75.9,74.85,3,57.29,At_Risk
S100176,7.02,66.35,77.73,4,64.49,At_Risk
S100177,8.89,86.65,68.85,3,47.29,At_Risk
S100178,6.66,69.27,63.63,4,69.31,At_Risk
S100179,10.0,99.47,46.34,0,61.56,Average
S100180,7.81,69.0,75.78,3,77.46,Average
S100181,5.89,56.8,46.12,1,87.12,At_Risk
S100182,5.61,56.22,71.59,1,84.92,At_Risk
S100183,7.63,74.93,77.45,2,66.54,Average
S100184,6.71,61.22,64.0,0,74.83,Average
S100185,7.93,86.97,64.7,1,74.78,Average
S100186,7.62,67.24,35.22,1,67.04,At_Risk
S100187,6.91,61.27,55.95,0,70.39,Average
S100188,5.9,56.98,61.78,2,82.72,At_Risk
S100189,5.03,56.26,47.01,1,77.86,At_Risk
S100190,6.42,57.64,84.68,0,53.31,Average
S100191,8.11,76.0,57.9,0,78.72,Average
S100192,7.28,73.45,61.95,2,67.08,Average
S100193,5.38,51.04,91.19,2,89.94,At_Risk
S100194,7.23,67.3,81.28,2,65.53,Average
S100195,7.5,73.52,90.86,2,55.6,Good
S100196,5.85,56.67,84.58,2,63.67,At_Risk
S100197,7.2,72.52,77.02,1,57.09,Average
S100198,7.08,72.38,57.57,1,80.05,At_Risk
S100199,5.51,53.61,48.85,2,87.05,At_Risk
S100200,7.47,72.09,78.37,0,69.23,Average
S100201,7.73,74.28,60.91,2,73.36,At_Risk
S100202,8.41,81.83,37.49,0,81.71,Good
S100203,8.37,79.74,73.68,4,67.33,Average
S100204,5.21,49.48,71.01,0,71.5,At_Risk
S100205,5.78,59.7,51.08,3,64.76,At_Risk
S100206,7.67,78.93,86.15,0,61.49,Average
S100207,7.67,66.82,56.68,0,65.36,At_Risk
S100208,7.67,72.9,96.96,5,83.57,At_Risk
S100209,10.0,92.25,85.08,2,46.23,Good
S100210,7.74,72.31,81.14,1,69.73,Good
S100211,8.48,82.13,60.11,2,54.29,At_Risk
S100212,8.24,80.96,70.25,3,59.09,Average
S100213,7.85,74.1,71.49,2,83.33,At_Risk
S100214,6.59,54.95,64.23,1,60.97,Average
S100215,7.99,72.01,68.21,0,50.15,Average
S100216,6.0,60.54,90.53,1,72.74,Good
S100217,6.69,52.61,58.92,1,72.14,At_Risk
S100218,6.37,65.26,73.94,2,87.26,At_Risk
S100219,7.11,69.6,60.66,3,63.42,Good
S100220,10.0,100.0,47.54,1,77.34,Good
S100221,4.57,42.6,81.8,4,74.05,At_Risk
S100222,7.89,66.73,73.25,1,54.24,Average
S100223,4.9,48.3,80.79,0,68.26,Average
S100224,6.39,66.0,55.55,1,66.64,At_Risk
S100225,8.42,83.65,59.92,1,82.33,Good
S100226,7.08,64.64,73.13,2,54.75,At_Risk
S100227,5.6,53.54,78.05,1,82.4,Average
S100228,6.07,55.53,83.51,1,83.6,Average
S100229,7.88,71.62,66.69,3,82.46,Average
S100230,6.05,61.3,74.55,1,70.36,Average
S100231,7.28,64.38,91.24,3,44.02,At_Risk
S100232,7.06,63.49,63.02,2,87.53,At_Risk
S100233,6.15,54.04,71.66,1,87.55,At_Risk
S100234,9.79,87.02,66.11,1,82.2,Good
S100235,7.82,74.91,70.73,0,86.38,At_Risk
S100236,4.37,46.14,86.02,0,65.07,At_Risk
S100237,7.24,68.1,60.26,2,86.0,Average
S100238,6.14,52.3,57.05,4,73.14,At_Risk
S100239,8.11,80.39,79.39,2,67.01,Average
S100240,5.97,63.5,87.63,1,83.77,At_Risk
S100241,6.85,62.5,49.05,1,75.44,At_Risk
S100242,7.66,70.82,63.6,0,49.42,Average
S100243,8.13,79.25,72.09,4,79.8,At_Risk
S100244,5.44,58.16,68.58,0,51.59,At_Risk
S100245,6.57,60.3,69.81,2,49.08,At_Risk
S100246,6.38,55.3,68.89,3,73.25,At_Risk
S100247,6.15,60.96,58.46,1,92.47,At_Risk
S100248,9.3,92.0,34.7,1,70.35,Average
S100249,7.53,71.53,67.66,4,64.83,At_Risk
S100250,5.36,48.7,65.04,0,95.85,At_Risk
S100251,8.19,81.81,48.57,1,90.1,Good
S100252,9.76,94.82,59.16,1,82.79,At_Risk
S100253,8.34,76.18,79.58,0,62.57,Good
S100254,5.02,47.93,65.45,0,56.84,At_Risk
S100255,6.37,55.11,70.43,0,69.73,At_Risk
S100256,8.65,85.0,54.09,2,61.06,Average
S100257,6.08,56.71,75.72,0,80.25,Average
S100258,7.58,70.24,96.92,3,91.03,At_Risk
S100259,8.01,75.94,74.81,1,84.7,Average
S100260,5.79,55.21,73.7,1,71.11,Average
S100261,6.92,69.34,71.27,1,83.4,Average
S100262,3.5,35.61,59.42,2,55.31,At_Risk
S100263,5.67,53.22,80.48,2,77.72,At_Risk
S100264,6.67,66.44,66.42,1,69.38,At_Risk
S100265,5.38,52.69,90.41,5,67.75,At_Risk
S100266,9.12,84.95,91.23,1,58.3,Good
S100267,5.14,48.34,61.01,1,97.07,At_Risk
S100268,6.43,60.47,77.96,0,76.81,At_Risk
S100269,7.17,70.1,60.36,1,44.28,Average
S100270,8.87,82.83,83.12,3,57.2,Average
S100271,5.13,47.21,56.54,0,52.99,At_Risk
S100272,8.51,88.74,71.08,2,74.0,Good
S100273,7.01,70.4,74.75,1,79.82,At_Risk
S100274,5.72,51.34,78.01,1,100.0,At_Risk
S100275,7.6,74.49,54.72,2,62.68,Average
S100276,7.26,69.43,73.93,3,49.07,Average
S100277,6.22,60.65,70.8,0,66.09,At_Risk
S100278,7.09,67.91,53.25,1,71.97,At_Risk
S100279,6.5,66.5,83.03,0,86.63,Average
S100280,7.15,69.28,88.89,0,79.75,Average
S100281,7.86,74.43,68.78,8,77.43,Average
S100282,9.06,90.26,66.27,0,62.13,Average
S100283,5.39,52.15,63.22,0,95.44,Average
S100284,9.77,93.33,100.0,1,47.06,Good
S100285,4.46,43.65,80.21,2,69.23,At_Risk
S100286,6.8,64.25,58.71,0,84.85,At_Risk
S100287,7.76,73.8,47.3,2,67.62,At_Risk
S100288,7.37,67.6,62.45,1,58.87,At_Risk
S100289,6.19,55.8,62.54,2,56.74,At_Risk
S100290,6.73,59.94,71.32,2,67.3,Average
S100291,6.36,54.84,68.58,1,93.18,Average
S100292,6.23,55.7,82.88,1,81.03,Average
S100293,8.1,76.3,32.79,2,82.06,At_Risk
S100294,7.46,71.3,74.99,0,84.93,Average
S100295,6.1,56.86,79.62,1,83.75,At_Risk
S100296,8.17,68.19,44.64,2,89.06,At_Risk
S100297,7.4,76.59,56.72,2,82.99,Good
S100298,8.06,80.9,61.71,1,65.5,At_Risk
S100299,7.82,76.06,74.58,0,84.86,Average
S100300,5.92,63.89,62.62,3,71.55,At_Risk
S100301,6.27,55.67,67.55,2,49.03,Average
S100302,7.97,83.28,57.75,2,64.49,Average
S100303,7.79,70.2,68.83,2,42.01,At_Risk
S100304,6.97,67.2,59.79,6,50.83,At_Risk
S100305,7.15,62.85,56.59,2,50.22,At_Risk
S100306,8.66,82.34,69.83,5,60.08,Average
S100307,6.23,60.74,79.23,3,91.23,At_Risk
S100308,7.71,72.64,71.41,1,56.23,At_Risk
S100309,6.74,66.86,65.07,1,89.27,Good
S100310,6.72,64.21,81.12,2,61.76,At_Risk
S100311,8.43,78.0,62.04,3,81.57,At_Risk
S100312,8.07,74.4,66.96,1,89.73,Average
S100313,8.06,79.79,83.21,0,85.86,Average
S100314,8.7,80.01,62.4,1,82.94,Good
S100315,7.03,70.42,60.97,1,79.32,At_Risk
S100316,7.89,79.81,77.67,2,91.84,Average
S100317,6.6,55.99,55.02,0,67.07,At_Risk
S100318,7.42,75.04,83.62,3,53.68,At_Risk
S100319,6.83,73.1,42.81,0,62.86,Average
S100320,7.13,68.71,68.97,0,52.12,At_Risk
S100321,7.77,76.2,59.54,1,49.03,Good
S100322,5.94,60.54,72.41,1,43.25,At_Risk
S100323,9.72,91.24,87.03,1,70.01,Good
S100324,5.69,54.8,52.96,1,61.67,At_Risk
S100325,5.42,46.25,49.74,0,66.36,At_Risk
S100326,8.51,81.36,82.95,1,62.8,Average
S100327,8.03,78.3,65.01,0,79.66,Good
S100328,7.81,76.27,66.92,3,62.78,Average
S100329,7.82,78.52,64.54,1,84.21,At_Risk
S100330,6.98,63.25,63.29,2,51.03,At_Risk
S100331,5.83,53.29,56.14,1,88.02,At_Risk
S100332,7.1,75.02,64.85,3,58.01,At_Risk
S100333,6.12,57.54,57.04,1,73.31,Average
S100334,8.27,79.0,81.02,1,65.79,Average
S100335,6.81,64.42,60.81,2,72.82,At_Risk
S100336,5.93,53.02,85.04,3,91.31,At_Risk
S100337,6.58,69.0,76.7,1,47.24,Average
S100338,7.54,69.49,54.97,2,71.75,Good
S100339,6.27,55.0,54.18,5,78.83,At_Risk
S100340,5.93,54.54,65.13,1,71.44,At_Risk
S100341,7.32,61.5,58.48,2,82.25,At_Risk
S100342,7.32,66.92,58.39,2,98.98,Average
S100343,6.34,56.37,78.92,2,58.01,At_Risk
S100344,6.39,63.15,71.57,0,50.02,Average
S100345,7.3,66.67,83.99,2,44.72,Average
S100346,5.12,52.0,54.07,2,55.93,At_Risk
S100347,5.17,54.71,44.17,0,62.89,At_Risk
S100348,6.07,60.75,58.5,1,79.74,At_Risk
S100349,6.72,63.0,82.0,0,79.26,At_Risk
S100350,7.4,70.9,59.85,0,95.45,Good
S100351,8.92,78.62,89.28,0,72.67,Excellent
S100352,8.11,76.6,61.07,1,72.89,Average
S100353,6.79,61.08,75.59,0,72.87,Average
S100354,6.98,69.04,67.66,1,82.07,Average
S100355,5.7,64.41,42.52,1,86.73,At_Risk
S100356,6.98,68.0,59.42,0,85.66,Average
S100357,6.62,54.97,74.24,2,93.9,Average
S100358,7.42,69.04,67.39,3,49.55,At_Risk
S100359,5.92,56.77,62.31,1,86.5,At_Risk
S100360,7.68,73.26,65.81,2,56.31,At_Risk
S100361,8.99,82.51,69.96,1,90.31,Average
S100362,6.86,66.14,32.62,3,73.99,At_Risk
S100363,7.52,66.49,60.75,2,86.16,Average
S100364,7.9,71.24,57.48,0,63.88,Average
S100365,6.48,64.13,77.0,1,89.28,Average
S100366,7.29,65.2,77.85,0,60.28,At_Risk
S100367,7.02,68.8,70.21,1,62.96,Good
S100368,7.13,62.23,69.47,1,80.91,Average
S100369,6.0,64.01,41.84,0,65.53,At_Risk
S100370,7.03,63.71,56.19,2,97.38,Average
S100371,7.65,71.76,63.41,1,53.68,Good
S100372,8.89,85.74,66.58,1,65.48,Excellent
S100373,8.25,76.09,67.93,0,89.53,Average
S100374,9.8,94.0,42.67,1,46.43,Average
S100375,6.0,59.32,80.68,3,66.78,Average
S100376,8.13,81.12,54.7,3,89.79,Average
S100377,7.24,71.93,38.53,1,79.56,At_Risk
S100378,9.85,92.86,78.19,1,79.59,Good
S100379,5.95,55.93,56.14,5,88.07,At_Risk
S100380,5.91,65.53,77.0,2,78.22,At_Risk
S100381,6.22,62.9,45.33,2,55.49,At_Risk
S100382,4.24,36.58,62.73,6,70.84,At_Risk
S100383,6.32,60.41,55.47,3,85.7,Average
S100384,6.01,56.0,73.11,1,56.31,At_Risk
S100385,7.2,67.82,56.42,0,86.88,Average
S100386,7.44,65.8,73.11,6,56.67,At_Risk
S100387,9.44,88.02,62.5,1,69.79,Average
S100388,8.24,85.48,59.45,3,71.24,Average
S100389,6.25,61.69,79.69,1,68.65,At_Risk
S100390,5.83,45.44,93.4,1,76.02,At_Risk
S100391,7.64,77.44,63.26,3,49.92,Average
S100392,5.28,54.55,57.94,0,65.27,At_Risk
S100393,9.38,87.68,66.2,2,78.14,Good
S100394,8.53,83.94,69.4,0,49.64,Average
S100395,6.39,57.27,44.68,4,54.01,At_Risk
S100396,4.77,43.46,54.81,0,59.48,At_Risk
S100397,8.76,89.21,48.42,2,63.53,Average
S100398,6.85,64.0,53.02,1,90.64,Average
S100399,8.61,74.31,86.88,1,51.42,Good
S100400,4.93,46.56,38.27,1,52.6,At_Risk
S100401,6.22,58.78,72.84,2,43.98,Average
S100402,7.01,71.36,63.19,1,82.24,Good
S100403,7.06,67.14,71.17,0,49.29,Average
S100404,6.41,59.26,52.81,3,46.72,At_Risk
S100405,7.81,78.37,62.02,5,65.17,At_Risk
S100406,5.61,53.8,83.91,2,97.53,At_Risk
S100407,6.81,61.74,62.09,3,64.86,At_Risk
S100408,7.16,72.61,86.33,3,64.0,Average
S100409,7.67,73.63,32.57,5,61.26,At_Risk
S100410,7.93,75.3,75.01,3,82.72,Average
S100411,5.54,53.32,68.54,5,97.06,At_Risk
S100412,5.01,43.27,49.3,3,68.85,At_Risk
S100413,8.66,80.17,79.91,1,76.64,Average
S100414,7.43,70.62,58.27,0,87.8,At_Risk
S100415,6.03,56.48,71.01,3,82.22,Average
S100416,9.02,91.0,55.17,2,54.0,Average
S100417,7.15,68.8,61.37,0,54.72,Average
S100418,8.53,84.48,77.17,3,60.58,At_Risk
S100419,7.09,67.37,98.58,4,90.94,At_Risk
S100420,9.68,96.18,56.33,2,99.71,Average
S100421,9.28,89.77,84.24,4,88.24,Excellent
S100422,6.68,63.48,85.42,3,38.43,At_Risk
S100423,8.26,78.45,76.29,4,84.17,At_Risk
S100424,7.84,70.65,77.98,1,64.17,Good
S100425,8.78,85.43,58.81,0,68.23,Good
S100426,5.75,54.4,55.4,2,87.74,At_Risk
S100427,7.89,72.96,61.85,1,75.05,Average
S100428,8.38,84.0,71.47,0,53.43,Good
S100429,4.71,39.78,64.08,0,84.25,At_Risk
S100430,5.46,50.2,58.29,0,65.77,At_Risk
S100431,4.35,45.43,58.86,0,84.93,At_Risk
S100432,6.65,64.43,64.05,0,89.54,At_Risk
S100433,7.93,75.17,79.18,3,67.64,At_Risk
S100434,8.95,86.06,53.98,3,54.07,At_Risk
S100435,7.1,68.13,75.36,1,65.09,Average
S100436,9.12,80.55,74.83,0,90.95,Good
S100437,5.21,48.06,61.21,0,75.01,At_Risk
S100438,4.79,52.0,71.85,2,73.48,At_Risk
S100439,6.93,63.18,83.42,5,55.89,At_Risk
S100440,7.5,69.97,63.79,5,66.58,At_Risk
S100441,6.96,63.93,57.96,3,83.33,At_Risk
S100442,4.31,40.62,55.49,1,55.12,At_Risk
S100443,6.88,63.07,57.02,3,61.23,At_Risk
S100444,5.3,52.34,78.28,3,72.92,At_Risk
S100445,7.87,75.56,67.26,0,42.94,At_Risk
S100446,7.48,74.12,47.17,1,68.76,At_Risk
S100447,5.78,50.69,84.31,0,90.54,Average
S100448,6.33,58.79,65.65,1,75.93,At_Risk
S100449,5.62,52.52,74.24,0,63.97,Average
S100450,6.92,68.0,75.82,2,54.21,At_Risk
S100451,8.24,75.12,57.16,0,58.1,Average
S100452,5.72,58.0,52.0,3,75.28,At_Risk
S100453,7.66,77.47,55.43,0,70.77,Average
S100454,6.31,56.0,65.46,0,86.53,At_Risk
S100455,5.97,54.74,73.69,2,45.49,Average
S100456,6.86,63.05,92.22,0,96.77,Average
S100457,5.65,64.24,79.67,3,89.23,At_Risk
S100458,6.28,57.94,42.46,1,58.39,At_Risk
S100459,5.44,58.42,66.02,1,84.76,At_Risk
S100460,9.55,85.7,38.43,1,58.94,Average
S100461,7.05,62.98,80.49,1,62.35,Average
S100462,6.09,55.1,65.41,0,73.54,Average
S100463,7.28,65.76,68.46,1,95.18,Good
S100464,6.85,64.04,64.93,1,73.18,At_Risk
S100465,6.71,60.94,68.98,1,85.14,Average
S100466,7.8,70.81,59.09,0,96.28,At_Risk
S100467,7.98,80.49,69.28,2,79.73,Average
S100468,6.31,64.84,55.65,2,57.46,Average
S100469,6.25,63.19,71.78,4,70.91,At_Risk
S100470,6.64,65.2,71.52,1,65.36,At_Risk
S100471,4.01,38.44,74.22,2,51.04,At_Risk
S100472,5.03,45.8,66.71,1,72.23,At_Risk
S100473,8.78,79.57,81.51,3,62.4,Average
S100474,9.14,88.27,91.64,1,89.38,Good
S100475,6.68,59.0,48.06,3,89.03,At_Risk
S100476,7.75,70.0,51.53,2,63.49,Average
S100477,7.4,74.96,65.78,0,92.74,Average
S100478,10.0,100.0,62.12,5,87.2,Average
S100479,8.46,81.9,74.17,1,86.13,Average
S100480,6.83,69.35,74.18,2,81.22,Average
S100481,5.76,53.72,71.9,1,93.49,Average
S100482,4.91,41.31,46.42,1,82.53,At_Risk
S100483,7.26,71.46,70.55,2,63.38,Average
S100484,6.02,59.0,92.07,0,75.03,Average
S100485,5.15,49.22,74.71,0,65.13,At_Risk
S100486,6.16,58.0,67.14,0,56.86,Average
S100487,5.59,56.99,76.04,2,77.85,Average
S100488,9.19,83.39,56.76,4,57.33,At_Risk
S100489,8.15,74.29,73.43,0,46.24,Average
S100490,6.99,62.37,67.73,0,73.93,Average
S100491,8.92,85.12,53.13,2,56.26,Average
S100492,7.1,63.1,71.19,3,79.93,Average
S100493,5.88,53.13,68.57,4,60.91,At_Risk
S100494,8.98,82.49,78.5,1,49.24,At_Risk
S100495,7.7,72.11,69.73,1,73.4,Average
S100496,5.65,47.74,70.68,2,64.1,At_Risk
S100497,6.75,64.5,69.93,4,82.67,At_Risk
S100498,5.86,60.68,69.74,1,78.34,At_Risk
S100499,5.2,49.96,82.81,1,86.23,At_Risk
S100500,8.2,84.1,77.31,0,69.34,Average
S100501,9.48,95.42,55.81,2,67.87,Excellent
S100502,5.18,52.34,66.37,1,80.53,At_Risk
S100503,7.73,73.75,49.69,2,75.75,At_Risk
S100504,6.15,58.55,87.39,0,77.56,Average
S100505,6.37,63.54,58.94,0,94.63,Average
S100506,6.23,57.62,58.11,0,88.28,Average
S100507,5.88,48.3,91.73,1,50.62,Average
S100508,7.06,69.07,60.25,1,44.79,Good
S100509,5.92,51.71,55.65,2,81.21,At_Risk
S100510,7.35,66.0,76.56,3,68.37,At_Risk
S100511,6.93,65.88,67.88,2,91.36,At_Risk
S100512,6.69,63.17,56.38,2,70.57,Average
S100513,5.82,49.64,72.38,2,81.23,At_Risk
S100514,6.25,60.04,76.15,1,95.36,Average
S100515,7.98,79.69,79.22,1,76.99,Average
S100516,7.65,68.17,71.3,2,62.33,Average
S100517,5.73,59.52,79.53,3,81.35,Average
S100518,7.13,61.49,79.01,3,72.17,At_Risk
S100519,7.98,84.25,61.98,1,39.42,Average
S100520,4.83,44.24,90.2,3,100.0,At_Risk
S100521,7.71,73.79,76.46,1,51.81,At_Risk
S100522,6.14,50.75,86.13,1,63.92,Average
