student_id,hackathons_participated,preferred_domain,career_goal,submitted_at
S100180,0,AI/ML,Job,2023-12-29 00:00:00
S100181,1,Product/Management,Higher Studies,2024-01-29 00:00:00
S100182,0,Product/Management,Higher Studies,2024-03-10 21:34:10
S100183,0,Product/Management,Job,2023-11-01 00:00:00
S100184,3,Web Development,Job,2023-12-01 00:00:00
S100185,0,Cybersecurity,Job,2023-03-11 00:00:00
S100186,1,Data Science,Job,2023-06-12 00:00:00
S100187,1,AI/ML,Job,2024-04-06 00:00:00
S100188,0,Cybersecurity,Job,2023-11-18 00:00:00
S100189,1,Cybersecurity,Job,2023-12-28 00:00:00
S100190,1,Cybersecurity,Higher Studies,2024-02-05 00:00:00
S100191,2,AI/ML,Higher Studies,2024-01-21 00:00:00
S100192,1,AI/ML,Job,2024-01-04 00:00:00
S100193,2,Cybersecurity,Startup/Entrepreneurship,2024-03-21 00:00:00
S100194,3,Product/Management,Higher Studies,2023-11-17 00:00:00
S100195,0,Product/Management,Job,2024-03-24 00:00:00
S100196,1,Data Science,Higher Studies,2024-08-03 00:00:00
S100197,1,Product/Management,Job,2024-03-04 00:00:00
S100198,0,AI/ML,Job,2024-09-02 00:00:00
S100199,0,AI/ML,Higher Studies,2024-03-14 00:00:00
S100200,0,Product/Management,Job,2023-12-20 00:00:00
S100201,0,Core Engineering,Job,2024-02-14 00:00:00
S100202,1,Core Engineering,Job,2024-02-24 00:00:00
S100203,0,Cybersecurity,Job,2023-11-02 00:00:00
S100204,0,Web Development,Higher Studies,2024-01-07 00:00:00
S100205,3,AI/ML,Job,2024-01-12 00:00:00
S100206,1,Product/Management,Job,2024-02-14 09:26:08
S100207,4,AI/ML,Job,2023-11-25 00:00:00
S100208,0,AI/ML,Job,2024-03-17 00:00:00
S100209,1,Data Science,Job,2024-03-20 00:00:00
S100210,2,Cybersecurity,Job,2024-01-30 00:00:00
S100211,0,Cybersecurity,Job,2023-12-10 00:00:00
S100212,1,Data Science,Higher Studies,2023-12-09 00:00:00
S100213,3,Cybersecurity,Job,2024-04-13 00:00:00
S100214,1,Data Science,Startup/Entrepreneurship,2024-02-19 00:00:00
S100215,0,Data Science,Higher Studies,2023-12-06 00:00:00
S100216,3,Core Engineering,Job,2023-04-11 00:00:00
S100217,0,Core Engineering,Startup/Entrepreneurship,2023-11-03 00:00:00
S100218,0,Data Science,Job,2023-11-24 00:00:00
S100219,0,Product/Management,Job,2024-01-04 00:00:00
S100220,1,AI/ML,Higher Studies,2023-12-04 00:00:00
S100221,0,Data Science,Higher Studies,2024-01-12 00:00:00
S100222,1,Core Engineering,Job,2023-12-27 00:00:00
S100223,0,Core Engineering,Job,2024-04-09 00:00:00
S100224,1,Data Science,Higher Studies,2023-11-17 00:00:00
S100225,2,Product/Management,Higher Studies,2023-11-23 00:00:00
S100226,4,Core Engineering,Job,2024-02-10 00:00:00
S100227,1,Cybersecurity,Startup/Entrepreneurship,2023-11-30 00:00:00
S100228,0,Data Science,Higher Studies,2024-03-20 03:44:31
S100229,3,Web Development,Higher Studies,2024-02-04 00:00:00
S100230,1,Web Development,Higher Studies,2024-03-05 00:00:00
S100231,1,AI/ML,Higher Studies,2023-12-31 00:00:00
S100232,1,Product/Management,Startup/Entrepreneurship,2023-12-05 00:00:00
S100233,1,Core Engineering,Higher Studies,2024-01-18 00:00:00
S100234,5,Data Science,Job,2024-03-27 00:00:00
S100235,1,Product/Management,Higher Studies,2023-11-03 00:00:00
S100236,1,Data Science,Higher Studies,2024-02-07 00:00:00
S100237,1,Data Science,Job,2024-01-22 00:00:00
S100238,0,Cybersecurity,Job,2024-11-04 00:00:00
S100239,0,Web Development,Higher Studies,2024-04-01 00:00:00
S100240,0,Web Development,Job,2023-12-13 00:00:00
S100241,1,Data Science,Higher Studies,2023-12-13 00:00:00
S100242,5,Cybersecurity,Job,2024-03-21 00:00:00
S100243,1,Product/Management,Higher Studies,2024-02-27 00:00:00
S100244,1,Web Development,Job,2024-02-16 00:00:00
S100245,1,Data Science,Job,2023-11-26 00:00:00
S100246,0,AI/ML,Job,2024-02-18 00:00:00
S100247,1,Web Development,Job,2024-04-01 00:00:00
S100248,1,AI/ML,Job,2023-11-17 00:00:00
S100249,2,AI/ML,Higher Studies,2023-11-04 00:00:00
S100250,0,AI/ML,Startup/Entrepreneurship,2023-08-12 00:00:00
S100251,1,Core Engineering,Higher Studies,2023-12-27 00:00:00
S100252,0,Core Engineering,Job,2023-12-26 00:00:00
S100253,1,Product/Management,Job,2024-01-13 00:00:00
S100254,2,AI/ML,Startup/Entrepreneurship,2024-03-05 00:00:00
S100255,0,Data Science,Job,2023-12-01 00:00:00
S100256,1,AI/ML,Higher Studies,2024-01-24 00:00:00
S100257,2,Core Engineering,Job,2024-03-08 00:00:00
S100258,3,Cybersecurity,Higher Studies,2023-11-18 00:00:00
S100259,1,Product/Management,Job,2024-08-04 00:00:00
S100260,1,Product/Management,Job,2024-01-13 00:00:00
S100261,1,Data Science,Higher Studies,2023-12-07 00:00:00
S100262,3,Web Development,Startup/Entrepreneurship,2024-04-03 00:00:00
S100263,2,Cybersecurity,Job,2023-12-27 00:00:00
S100264,2,AI/ML,Job,2024-02-22 00:00:00
S100265,0,AI/ML,Higher Studies,2023-11-17 00:00:00
S100266,2,Core Engineering,Higher Studies,2023-12-31 00:00:00
S100267,3,Web Development,Job,2024-02-02 00:00:00
S100268,1,Product/Management,Higher Studies,2023-12-16 00:00:00
S100269,0,Product/Management,Job,2024-04-02 00:00:00
S100270,1,Data Science,Startup/Entrepreneurship,2024-03-06 00:00:00
S100271,2,Data Science,Job,2024-03-08 00:00:00
S100272,5,Core Engineering,Job,2023-11-06 00:00:00
S100273,0,Cybersecurity,Startup/Entrepreneurship,2024-03-13 00:00:00
S100274,2,Web Development,Higher Studies,2024-01-03 00:00:00
S100275,2,Cybersecurity,Job,2024-03-16 00:00:00
S100276,2,Core Engineering,Job,2024-02-17 00:00:00
S100277,2,Data Science,Higher Studies,2024-03-13 18:02:20
S100278,1,AI/ML,Higher Studies,2024-01-30 00:00:00
S100279,3,Core Engineering,Job,2024-02-02 00:00:00
S100280,1,Product/Management,Startup/Entrepreneurship,2023-11-30 00:00:00
S100281,2,Data Science,Job,2023-03-12 00:00:00
S100282,2,Web Development,Higher Studies,2024-02-18 00:00:00
S100283,0,Product/Management,Job,2024-01-21 00:00:00
S100284,0,Web Development,Job,2024-01-21 00:00:00
S100285,1,Cybersecurity,Job,2024-02-18 00:00:00
S100286,2,Cybersecurity,Job,2023-12-15 00:00:00
S100287,1,AI/ML,Job,2024-03-18 00:00:00
S100288,1,Product/Management,Job,2024-03-28 00:00:00
S100289,1,Product/Management,Higher Studies,2024-03-03 00:00:00
S100290,1,Core Engineering,Higher Studies,2023-12-24 00:00:00
S100291,0,Core Engineering,Startup/Entrepreneurship,2024-01-04 00:00:00
S100292,1,Cybersecurity,Startup/Entrepreneurship,2023-12-11 00:00:00
S100293,0,Data Science,Higher Studies,2024-02-24 00:00:00
S100294,1,Data Science,Job,2024-01-20 00:00:00
S100295,2,AI/ML,Higher Studies,2024-03-25 00:00:00
S100296,2,Data Science,Job,2024-02-01 00:00:00
S100297,2,Core Engineering,Higher Studies,2023-12-18 00:00:00
S100298,2,AI/ML,Higher Studies,2024-01-16 00:00:00
S100299,0,Web Development,Job,2024-02-13 00:00:00
S100300,0,AI/ML,Job,2023-11-19 23:44:32
S100301,1,Web Development,Job,2024-04-09 00:00:00
S100302,0,Web Development,Startup/Entrepreneurship,2024-02-29 00:00:00
S100303,1,Cybersecurity,Job,2024-03-24 00:00:00
S100304,1,Data Science,Startup/Entrepreneurship,2024-03-17 00:00:00
S100305,1,Web Development,Job,2024-01-18 00:00:00
S100306,0,AI/ML,Higher Studies,2024-04-11 00:00:00
S100307,4,Product/Management,Job,2024-02-26 00:00:00
S100308,0,AI/ML,Higher Studies,2023-12-24 00:00:00
S100309,0,AI/ML,Higher Studies,2023-12-17 00:00:00
S100310,3,Cybersecurity,Job,2024-01-06 00:00:00
S100311,0,Data Science,Job,2024-01-22 00:00:00
S100312,1,Cybersecurity,Job,2023-11-01 00:00:00
S100313,1,Data Science,Job,2024-03-19 00:00:00
S100314,1,Product/Management,Startup/Entrepreneurship,2023-12-11 00:00:00
S100315,2,Web Development,Job,2024-02-27 00:00:00
S100316,1,Product/Management,Higher Studies,2024-02-21 00:00:00
S100317,0,Product/Management,Higher Studies,2024-02-16 00:00:00
S100318,2,Cybersecurity,Job,2023-12-28 00:00:00
S100319,1,Core Engineering,Job,2024-03-12 00:00:00
S100320,2,Core Engineering,Job,2023-12-29 00:00:00
S100321,2,Product/Management,Higher Studies,2024-12-04 00:00:00
S100322,0,Data Science,Job,2024-04-06 00:00:00
S100323,0,Product/Management,Job,2024-03-21 00:00:00
S100324,1,Product/Management,Job,2024-04-04 00:00:00
S100325,1,AI/ML,Higher Studies,2023-12-30 00:00:00
S100326,3,AI/ML,Job,2023-12-26 00:00:00
S100327,1,AI/ML,Job,2024-03-23 00:00:00
S100328,1,Web Development,Higher Studies,2024-01-09 00:00:00
S100329,1,Product/Management,Job,2024-02-19 00:00:00
S100330,1,AI/ML,Job,2024-05-04 00:00:00
S100331,1,AI/ML,Job,2023-12-04 00:00:00
S100332,1,Core Engineering,Job,2023-02-11 00:00:00
S100333,2,Web Development,Job,2024-03-29 00:00:00
S100334,1,Data Science,Higher Studies,2024-02-24 00:00:00
S100335,1,Core Engineering,Higher Studies,2023-11-19 00:00:00
S100336,0,Core Engineering,Higher Studies,2024-11-02 00:00:00
S100337,1,Cybersecurity,Higher Studies,2023-12-31 07:46:52
S100338,1,Cybersecurity,Job,2023-11-25 00:00:00
S100339,1,AI/ML,Job,2024-02-08 00:00:00
S100340,0,AI/ML,Job,2023-11-12 00:00:00
S100341,2,Data Science,Higher Studies,2024-04-01 00:00:00
S100342,0,Web Development,Job,2023-12-06 00:00:00
S100343,0,Cybersecurity,Job,2024-04-09 00:00:00
S100344,0,Cybersecurity,Job,2024-03-17 00:00:00
S100345,0,AI/ML,Job,2023-12-28 00:00:00
S100346,2,AI/ML,Job,2023-11-10 00:00:00
S100347,2,Cybersecurity,Higher Studies,2023-11-13 00:00:00
S100348,2,Core Engineering,Job,2024-01-17 00:00:00
S100349,1,Data Science,Startup/Entrepreneurship,2024-02-07 00:00:00
S100350,0,AI/ML,Higher Studies,2024-09-02 00:00:00
S100351,2,AI/ML,Startup/Entrepreneurship,2023-12-27 00:00:00
S100352,0,Cybersecurity,Job,2024-01-15 00:00:00
S100353,1,Cybersecurity,Job,2024-04-14 00:00:00
S100354,2,Cybersecurity,Higher Studies,2024-03-20 00:00:00
S100355,0,Core Engineering,Job,2023-11-18 00:00:00
S100356,1,Data Science,Startup/Entrepreneurship,2024-02-17 00:00:00
S100357,2,AI/ML,Job,2023-11-30 00:00:00
S100358,2,Cybersecurity,Job,2024-01-25 00:00:00
S100359,0,Core Engineering,Higher Studies,2024-01-20 03:54:56
S100360,0,Web Development,Job,2023-11-30 00:00:00
S100361,1,Product/Management,Job,2024-02-02 00:00:00
S100362,0,Product/Management,Higher Studies,2023-11-12 00:00:00
S100363,0,Product/Management,Job,2024-02-28 00:00:00
S100364,1,Product/Management,Job,2024-01-26 00:00:00
S100365,0,AI/ML,Startup/Entrepreneurship,2024-06-02 00:00:00
S100366,1,AI/ML,Job,2024-01-15 00:00:00
S100367,0,Web Development,Startup/Entrepreneurship,2024-01-24 00:00:00
S100368,1,Cybersecurity,Job,2024-01-14 00:00:00
S100369,0,Cybersecurity,Job,2024-02-22 00:00:00
S100370,1,Cybersecurity,Job,2023-11-09 00:00:00
S100371,1,Data Science,Job,2024-03-09 12:22:40
S100372,0,AI/ML,Higher Studies,2024-04-09 00:00:00
S100373,0,Web Development,Job,2023-11-24 00:00:00
S100374,2,AI/ML,Job,2023-12-21 00:00:00
S100375,3,AI/ML,Higher Studies,2023-12-02 00:00:00
S100376,0,Cybersecurity,Startup/Entrepreneurship,2023-12-06 00:00:00
S100377,1,AI/ML,Higher Studies,2024-02-04 00:00:00
S100378,1,Data Science,Higher Studies,2024-01-05 00:00:00
S100379,3,Web Development,Job,2023-11-17 00:00:00
S100380,2,Product/Management,Startup/Entrepreneurship,2024-01-10 17:17:49
S100381,4,Data Science,Job,2024-03-22 00:00:00
S100382,1,Web Development,Job,2024-02-26 00:00:00
S100383,1,Web Development,Startup/Entrepreneurship,2023-11-27 00:00:00
S100384,0,Cybersecurity,Higher Studies,2024-01-22 00:00:00
S100385,3,Product/Management,Job,2024-02-09 00:00:00
S100386,1,Cybersecurity,Job,2024-04-07 00:00:00
S100387,0,Data Science,Job,2024-01-27 00:00:00
S100388,2,Product/Management,Higher Studies,2024-03-04 00:00:00
S100389,0,AI/ML,Job,2023-11-21 00:00:00
S100390,2,Core Engineering,Higher Studies,2024-01-23 00:00:00
S100391,3,Product/Management,Higher Studies,2024-02-23 00:00:00
S100392,0,Data Science,Job,2024-03-07 00:00:00
S100393,3,Core Engineering,Higher Studies,2024-02-18 00:00:00
S100394,1,AI/ML,Higher Studies,2024-02-29 00:00:00
S100395,0,AI/ML,Higher Studies,2024-03-01 00:00:00
S100396,0,Web Development,Startup/Entrepreneurship,2024-04-04 00:00:00
S100397,1,AI/ML,Higher Studies,2024-03-24 00:00:00
S100398,1,Product/Management,Job,2024-07-01 00:00:00
S100399,0,Core Engineering,Higher Studies,2024-03-29 00:00:00
S100400,2,AI/ML,Job,2024-02-20 00:00:00
S100401,3,Core Engineering,Job,2024-09-03 00:00:00
S100402,4,Cybersecurity,Job,2024-03-22 00:00:00
S100403,2,Product/Management,Higher Studies,2024-02-13 12:49:26
S100404,2,Core Engineering,Startup/Entrepreneurship,2023-12-06 00:00:00
S100405,1,Core Engineering,Higher Studies,2023-11-28 00:00:00
S100406,0,Web Development,Job,2023-12-10 00:00:00
S100407,0,Product/Management,Job,2023-11-13 00:00:00
S100408,0,Web Development,Job,2024-03-22 00:00:00
S100409,0,Web Development,Higher Studies,2024-02-10 00:00:00
S100410,1,Cybersecurity,Job,2024-03-02 00:00:00
S100411,4,Data Science,Higher Studies,2024-01-22 09:52:31
S100412,1,Data Science,Job,2024-08-03 00:00:00
S100413,1,Web Development,Job,2024-01-17 00:00:00
S100414,1,Product/Management,Job,2023-12-10 00:00:00
S100415,1,Cybersecurity,Job,2023-11-26 12:19:18
S100416,1,Product/Management,Job,2024-02-19 00:00:00
S100417,1,Core Engineering,Job,2024-02-23 00:00:00
S100418,1,Data Science,Job,2023-12-09 00:00:00
S100419,0,Data Science,Job,2024-01-25 00:00:00
S100420,3,Product/Management,Job,2024-03-06 00:00:00
S100421,1,Web Development,Higher Studies,2023-11-14 00:00:00
S100422,3,Web Development,Job,2024-02-11 00:00:00
S100423,1,Product/Management,Job,2024-03-13 00:00:00
S100424,2,Data Science,Job,2024-02-03 00:00:00
S100425,2,Cybersecurity,Job,2024-03-03 00:00:00
S100426,1,Web Development,Job,2024-02-19 00:00:00
S100427,1,Web Development,Job,2023-12-17 00:00:00
S100428,0,Core Engineering,Higher Studies,2023-12-17 00:00:00
S100429,1,Cybersecurity,Higher Studies,2024-01-23 00:00:00
S100430,0,Data Science,Higher Studies,2024-01-26 00:00:00
S100431,1,Cybersecurity,Job,2024-03-17 00:00:00
S100432,1,Product/Management,Job,2024-03-06 00:00:00
S100433,2,Core Engineering,Higher Studies,2024-03-09 00:00:00
S100434,0,Cybersecurity,Startup/Entrepreneurship,2024-01-21 00:00:00
S100435,2,Cybersecurity,Job,2024-02-23 00:00:00
S100436,3,Web Development,Job,2024-03-01 00:00:00
S100437,0,Data Science,Higher Studies,2024-01-03 00:00:00
S100438,0,AI/ML,Startup/Entrepreneurship,2024-03-08 00:00:00
S100439,2,Data Science,Job,2024-03-22 00:00:00
S100440,1,Core Engineering,Job,2023-02-12 00:00:00
S100441,1,Cybersecurity,Job,2024-01-02 00:00:00
S100442,0,Cybersecurity,Higher Studies,2024-01-16 00:00:00
S100443,0,AI/ML,Job,2024-01-20 09:14:06
S100444,2,Web Development,Job,2023-11-26 00:00:00
S100445,3,Data Science,Job,2024-01-03 00:00:00
S100446,1,Cybersecurity,Job,2024-01-21 00:00:00
S100447,2,Core Engineering,Job,2024-02-24 00:00:00
S100448,1,Web Development,Job,2023-12-19 11:44:32
S100449,4,Data Science,Job,2023-12-20 00:00:00
S100450,1,Product/Management,Higher Studies,2024-01-22 00:00:00
S100451,5,Core Engineering,Higher Studies,2023-12-23 00:00:00
S100452,1,Product/Management,Startup/Entrepreneurship,2023-12-19 00:00:00
S100453,0,AI/ML,Higher Studies,2024-01-04 00:00:00
S100454,0,Product/Management,Job,2024-01-27 00:00:00
S100455,2,Data Science,Job,2024-03-01 00:00:00
S100456,1,AI/ML,Startup/Entrepreneurship,2024-03-03 00:00:00
S100457,2,Product/Management,Higher Studies,2024-03-18 00:00:00
