student_id,age,gender,major,study_hours_per_day,social_media_hours,part_time_job,attendance_percentage,sleep_hours,extracurricular_participation,previous_gpa,semester,stress_level,screen_time,study_environment,access_to_tutoring,parental_support_level,exam_anxiety_score,learning_style,time_management_score,exam_score,subject_marks_student_id,g1_mat,g2_mat,g3_mat,g1_por,g2_por,g3_por,career_field,career_target,career_gpa,internships,projects,leadership_positions,Previous_GPA_10
STU00015,19,Other,Arts,3.7,2.5,No,40.2,8.1,No,3.43,3,6.3,10.3,Co-Learning Group,No,9,9,Visual,6.8,85,UCI_0109,16,18,18,13,14,14,Arts,Animator,4.895609522569874,1,0,0,8.58
STU00016,20,Other,Computer Science,6.636440030738369,4.0,Yes,90.0,7.5,No,4.0,7,6.0,13.3,Library,Yes,8,7,Visual,4.0,100,UCI_0116,18,20,20,19,18,17,Computer Science,Music Therapist,2.949231541877701,2,3,1,10.0
STU00017,17,Female,Business,7.0,4.9,Yes,45.3,7.4,Yes,4.0,7,4.6,14.7,Quiet Room,No,8,9,Auditory,6.5,100,UCI_0297,18,18,17,18,18,20,Business,Lawyer,4.429278099248131,2,3,0,10.0
STU00018,21,Female,Biology,4.6,2.0,Yes,60.1,6.5,No,2.83,4,3.7,7.3,Dorm,Yes,6,9,Kinesthetic,5.7,76,UCI_0120,11,13,14,16,15,16,Biology,Physician Assistant,3.671490365339853,2,0,1,7.08
STU00019,18,Other,Arts,2.7,1.2,Yes,84.6,7.6,No,4.0,3,2.3,6.7,Dorm,Yes,3,5,Reading,3.6,100,UCI_0116,19,19,20,18,16,19,Arts,Risk Analyst,4.466813739694427,0,0,1,10.0
STU00020,24,Male,Computer Science,2.9056273066895746,1.8,No,54.7,6.6,Yes,4.0,2,7.1,8.5,Co-Learning Group,Yes,1,8,Visual,7.6,100,UCI_0297,17,18,19,17,19,18,Computer Science,Biochemist,3.591108517398373,2,2,1,10.0
STU00021,16,Female,Arts,4.4,0.8,No,64.1,5.1,No,3.5,8,7.2,10.0,Co-Learning Group,No,8,10,Auditory,2.1,88,UCI_0172,13,15,16,16,17,18,Arts,Investment Banker,3.692975872477642,0,3,0,8.75
STU00022,28,Other,Business,4.8,1.7,No,99.4,6.8,No,3.42,1,6.4,9.3,Dorm,Yes,6,10,Auditory,2.3,83,UCI_0303,16,15,16,18,18,17,Business,Urban Planner,3.6691614805176775,0,1,1,8.55
STU00023,21,Female,Biology,2.5,0.2,No,91.8,9.9,Yes,3.19,7,4.1,7.1,Co-Learning Group,No,1,10,Visual,6.2,81,UCI_0057,14,15,15,15,14,15,Biology,Actuary,2.5107173800684883,2,1,1,7.97
STU00024,26,Male,Arts,4.7,4.2,Yes,68.4,6.1,No,4.0,1,7.4,12.6,Quiet Room,Yes,4,10,Auditory,4.1,99,UCI_0291,18,19,20,18,17,19,Arts,Astronomer,3.8350834002502494,0,3,0,10.0
STU00025,17,Other,Computer Science,3.688901477258848,0.3,No,46.1,6.0,Yes,2.69,3,8.2,8.1,Library,Yes,7,10,Reading,9.5,72,UCI_0232,13,13,14,14,12,12,Computer Science,Conductor,3.0838481303121705,0,3,1,6.72
STU00026,28,Male,Business,5.3,4.9,No,88.1,7.6,No,3.03,7,8.0,14.1,Cafe,Yes,7,10,Visual,3.7,77,UCI_0070,16,16,16,15,15,15,Business,Nuclear Physicist,3.864097468698789,2,2,0,7.57
STU00027,21,Male,Business,2.4,0.3,No,87.7,5.4,No,3.17,6,4.2,4.3,Cafe,Yes,3,7,Reading,3.0,82,UCI_0142,16,16,15,13,14,14,Business,Artist,2.637974867073095,1,0,0,7.92
STU00028,21,Other,Arts,2.3,4.9,No,49.5,8.9,Yes,3.6,2,4.4,11.1,Library,Yes,10,10,Auditory,2.9,91,UCI_0200,18,18,18,14,15,16,Arts,Biologist,4.150735824408959,2,2,1,9.0
STU00029,18,Male,Engineering,0.0,3.5,No,63.1,5.6,No,3.11,1,4.6,5.6,Cafe,No,3,10,Kinesthetic,3.8,82,UCI_0113,18,19,19,13,14,14,Engineering,Actuary,3.148532439341283,1,1,1,7.77
STU00030,22,Male,Business,0.0,0.9,Yes,96.2,6.5,No,2.49,3,4.6,5.6,Co-Learning Group,No,6,10,Auditory,3.9,60,UCI_0182,12,13,12,13,14,14,Business,Civil Engineer,2.8402504160958566,1,0,0,6.23
STU00031,24,Male,Computer Science,5.863094373911689,0.8,Yes,93.2,7.0,No,2.95,8,8.4,10.5,Cafe,Yes,2,10,Reading,5.0,75,UCI_0358,13,13,13,15,16,16,Computer Science,Zoologist,4.236297588842268,1,1,0,7.38
STU00032,19,Male,Business,6.0,3.4,No,99.2,5.7,No,3.79,7,4.9,14.6,Quiet Room,Yes,8,8,Kinesthetic,1.0,90,UCI_0048,19,19,20,17,17,17,Business,Music Teacher,2.814264356110212,0,4,1,9.47
STU00033,16,Male,Computer Science,3.2598017887616284,1.0,No,84.3,4.7,No,4.0,4,6.8,5.6,Quiet Room,Yes,6,5,Visual,5.9,100,UCI_0116,18,20,18,17,18,18,Computer Science,Construction Manager,2.7080605611089386,1,2,1,10.0
STU00034,25,Female,Business,2.4,3.2,No,51.8,4.7,Yes,3.37,1,8.0,9.4,Quiet Room,No,8,5,Auditory,7.1,78,UCI_0016,14,14,14,17,17,17,Business,Lawyer,4.429278099248131,2,3,0,8.43
STU00035,26,Male,Arts,2.3,0.3,Yes,74.0,5.0,No,3.76,7,3.4,4.2,Cafe,No,9,9,Reading,2.7,83,UCI_0048,18,20,19,18,18,18,Arts,Industrial-Organizational Psychologist,2.7910355707906103,1,4,0,9.4
STU00036,22,Other,Biology,1.3,4.3,No,59.5,7.7,No,3.71,4,7.9,7.7,Cafe,No,10,10,Reading,7.0,97,UCI_0297,18,19,17,19,19,19,Biology,Human Resources Specialist,4.228608307020409,1,2,1,9.28
STU00037,18,Female,Arts,3.5,4.7,No,95.9,9.7,Yes,4.0,5,5.4,10.4,Co-Learning Group,Yes,9,10,Auditory,3.0,96,UCI_0048,19,18,19,16,16,17,Arts,Landscape Architect,3.958023317574664,1,3,1,10.0
STU00038,21,Male,Computer Science,6.503994290575504,3.3,Yes,54.6,7.4,Yes,3.33,6,6.0,12.2,Cafe,Yes,8,8,Reading,7.1,79,UCI_0340,16,15,16,15,14,17,Computer Science,AI Researcher,4.837271147776351,0,0,0,8.32
STU00039,21,Female,Engineering,4.1,4.0,No,74.8,7.9,Yes,3.68,6,2.9,11.6,Quiet Room,No,8,7,Kinesthetic,5.6,88,UCI_0365,19,18,19,15,17,17,Engineering,Counselor,2.7556080425524354,1,3,1,9.2
STU00040,26,Female,Biology,3.7,4.7,Yes,97.7,6.5,Yes,4.0,2,3.8,11.4,Quiet Room,No,5,9,Visual,3.2,95,UCI_0297,19,18,17,19,19,19,Biology,Credit Analyst,3.852621513505298,1,4,0,10.0
STU00041,21,Male,Biology,1.4,4.2,Yes,94.4,5.8,Yes,3.08,3,5.9,9.4,Cafe,Yes,10,10,Reading,2.0,75,UCI_0368,15,14,15,17,15,16,Biology,School Counselor,4.340030272,1,1,0,7.7
STU00042,16,Other,Arts,5.5,2.4,No,94.6,8.9,Yes,3.46,3,6.1,11.6,Co-Learning Group,No,2,7,Visual,2.0,82,UCI_0060,15,16,16,16,15,16,Arts,Art Therapist,4.749704486708335,0,4,0,8.65
STU00043,22,Male,Engineering,3.8,1.4,No,56.8,6.8,No,3.26,1,1.4,8.5,Cafe,Yes,9,7,Auditory,2.7,85,UCI_0058,14,15,15,15,15,16,Engineering,Human Resources Specialist,2.8991748250353355,2,0,0,8.15
STU00044,18,Other,Arts,1.1,1.5,Yes,99.4,6.2,Yes,3.94,6,4.8,6.6,Library,No,3,7,Visual,7.9,98,UCI_0297,19,17,17,18,20,20,Arts,Music Therapist,3.5171573319162808,0,3,1,9.85
STU00045,22,Female,Psychology,2.4,2.4,No,92.8,7.7,Yes,3.23,3,7.3,5.8,Dorm,Yes,9,10,Kinesthetic,4.9,75,UCI_0355,16,15,15,15,14,15,Psychology,Mechanical Engineer,3.6031259989958313,2,2,1,8.07
STU00046,26,Other,Arts,7.3,4.4,No,72.9,7.2,No,4.0,8,2.7,15.0,Quiet Room,Yes,6,10,Reading,4.0,100,UCI_0291,19,17,20,17,19,17,Arts,Counselor,2.6350683031570528,2,1,1,10.0
STU00047,24,Other,Psychology,5.2,1.8,No,56.7,4.9,No,3.07,3,5.2,7.2,Quiet Room,No,5,7,Reading,2.7,76,UCI_0306,15,12,14,16,16,16,Psychology,Cybersecurity Analyst,4.612539904979766,1,1,1,7.67
STU00048,20,Male,Engineering,1.8,0.4,Yes,86.1,8.7,No,2.55,4,8.1,4.6,Library,No,5,10,Reading,7.1,57,UCI_0299,14,12,11,14,15,15,Engineering,Education Administrator,4.2802259705971935,2,0,0,6.38
STU00049,17,Other,Computer Science,4.389261156576673,1.0,No,56.5,8.4,No,4.0,6,6.2,6.7,Quiet Room,Yes,6,6,Reading,2.2,100,UCI_0291,18,18,20,19,18,18,Computer Science,Landscape Architect,4.983474126233721,0,2,1,10.0
STU00050,25,Other,Biology,1.1,1.3,Yes,73.4,5.4,Yes,3.42,6,7.1,6.7,Quiet Room,Yes,4,10,Kinesthetic,1.2,93,UCI_0103,16,17,17,16,16,16,Biology,Chemist,4.154876237647298,2,1,0,8.55
STU00051,28,Male,Arts,0.0,2.6,Yes,43.1,6.2,No,3.49,7,6.5,7.3,Quiet Room,No,6,10,Visual,3.7,83,UCI_0308,17,18,18,14,15,15,Arts,Software Developer,2.704534255,1,0,0,8.73
STU00052,17,Female,Computer Science,5.285351982563581,4.3,Yes,91.8,8.7,Yes,3.35,8,4.9,13.3,Library,Yes,5,6,Reading,8.1,84,UCI_0353,18,16,16,19,17,18,Computer Science,Physician Assistant,4.892387921120665,0,1,1,8.38
STU00053,18,Female,Business,6.0,2.6,Yes,64.3,9.2,Yes,4.0,7,6.8,10.8,Dorm,Yes,1,8,Reading,4.7,100,UCI_0297,17,18,17,17,18,20,Business,Illustrator,4.235679051860849,2,4,0,10.0
STU00054,20,Female,Psychology,5.5,3.1,Yes,78.6,7.0,No,3.31,2,5.6,13.8,Library,Yes,9,10,Kinesthetic,3.1,82,UCI_0263,17,18,18,15,15,15,Psychology,Electrical Engineer,3.1020947704098965,1,3,0,8.28
STU00055,28,Other,Business,2.8,4.9,Yes,89.8,7.3,Yes,2.73,3,2.8,10.3,Cafe,No,3,10,Kinesthetic,8.7,69,UCI_0010,14,15,15,12,12,13,Business,Mechanical Engineer,2.866556365821346,0,4,0,6.83
STU00056,22,Female,Biology,0.3,1.4,No,50.0,6.7,Yes,3.6,2,5.5,4.8,Quiet Room,No,2,9,Kinesthetic,2.4,84,UCI_0168,14,15,16,17,17,18,Biology,Game Developer,4.680543589762815,0,4,0,9.0
STU00057,28,Female,Business,1.7,3.7,No,92.2,6.5,Yes,3.11,4,3.7,6.2,Cafe,Yes,8,5,Auditory,6.1,74,UCI_0037,15,16,18,14,14,14,Business,Digital Marketing Specialist,3.299466477477449,2,3,1,7.77
STU00058,18,Other,Biology,2.7,1.2,No,61.0,4.5,Yes,4.0,8,5.6,6.2,Cafe,Yes,6,5,Auditory,5.1,100,UCI_0291,19,18,20,17,18,19,Biology,Musician,2.586443636187632,2,3,1,10.0
STU00059,19,Male,Psychology,7.3,0.2,No,94.1,6.4,No,4.0,4,6.9,10.7,Library,Yes,7,10,Visual,8.8,96,UCI_0297,18,17,18,17,18,20,Psychology,Industrial-Organizational Psychologist,4.977960022045126,1,2,1,10.0
STU00060,19,Female,Psychology,0.0,3.4,Yes,60.7,4.9,Yes,3.42,4,6.0,6.9,Quiet Room,Yes,5,10,Reading,4.5,90,UCI_0106,16,18,18,16,16,16,Psychology,Illustrator,2.544326411105763,0,3,1,8.55
STU00061,17,Male,Arts,2.6,4.0,Yes,75.8,7.8,Yes,3.02,5,6.3,10.2,Library,Yes,2,10,Auditory,3.5,71,UCI_0016,14,15,13,17,16,17,Arts,Human Resources Specialist,3.252001015046062,2,2,1,7.55
STU00062,21,Male,Arts,5.1,4.9,Yes,44.1,7.9,Yes,4.0,2,6.5,15.8,Dorm,No,1,8,Kinesthetic,7.1,100,UCI_0116,18,20,19,19,17,17,Arts,Geneticist,3.5522366497580533,1,1,0,10.0
STU00063,20,Other,Engineering,3.3,3.4,Yes,90.2,7.7,Yes,4.0,5,7.2,10.5,Library,Yes,8,10,Kinesthetic,1.6,96,UCI_0116,19,18,20,17,18,19,Engineering,Actuary,3.148532439341283,1,1,1,10.0
STU00064,16,Female,Engineering,1.6,3.9,No,51.1,7.6,Yes,3.57,6,6.3,6.6,Quiet Room,Yes,9,10,Kinesthetic,4.0,83,UCI_0320,14,15,16,17,18,17,Engineering,Analytical Chemist,4.530748536624289,1,0,1,8.92
STU00065,26,Female,Computer Science,6.885196566442939,3.1,No,58.7,7.3,Yes,3.28,1,3.9,11.2,Cafe,Yes,3,10,Reading,8.2,80,UCI_0370,15,14,14,17,18,19,Computer Science,Legal Analyst,3.327635683765989,2,3,0,8.2
STU00066,24,Male,Computer Science,6.6938693177337605,1.0,Yes,56.1,8.5,Yes,4.0,8,5.3,8.6,Quiet Room,Yes,8,5,Kinesthetic,2.4,100,UCI_0297,17,17,18,19,18,19,Computer Science,Ecologist,4.586660269081461,2,0,1,10.0
STU00067,25,Female,Psychology,1.5,3.6,Yes,64.0,5.5,Yes,2.86,5,4.1,6.1,Dorm,No,6,10,Kinesthetic,1.9,72,UCI_0118,15,15,16,16,14,14,Psychology,Manager,2.761628570263224,1,0,0,7.15
STU00068,25,Female,Biology,1.4,0.1,Yes,67.8,8.1,No,3.56,6,5.6,3.5,Dorm,No,1,8,Visual,9.1,94,UCI_0308,18,17,19,14,15,14,Biology,Quantum Physicist,4.360864801265128,1,1,1,8.9
STU00069,26,Male,Computer Science,3.865080857082331,0.1,No,67.8,6.5,No,3.28,5,9.0,7.1,Library,No,4,10,Kinesthetic,1.2,81,UCI_0066,16,15,15,16,15,16,Computer Science,Human Resources Specialist,3.0339596205180306,0,0,0,8.2
STU00070,28,Female,Psychology,7.1,4.0,Yes,59.3,7.3,Yes,4.0,4,5.3,15.5,Quiet Room,Yes,9,10,Visual,5.4,98,UCI_0116,17,20,19,19,17,18,Psychology,Quantum Physicist,3.941257608796531,1,3,1,10.0
STU00071,27,Male,Psychology,7.7,2.3,Yes,84.3,7.7,No,4.0,5,5.5,13.2,Quiet Room,No,2,5,Reading,9.6,100,UCI_0297,18,17,18,17,19,19,Psychology,Construction Manager,3.774585035184803,0,4,1,10.0
STU00072,24,Male,Engineering,4.5,3.6,No,83.1,6.6,No,3.19,7,3.0,13.3,Library,Yes,7,8,Visual,4.7,75,UCI_0052,11,13,13,16,14,16,Engineering,Human Resources Specialist,4.7716486593096334,0,1,0,7.97
STU00073,17,Male,Computer Science,3.4649676302139074,0.3,Yes,99.9,8.5,Yes,4.0,4,5.3,9.3,Co-Learning Group,No,2,5,Kinesthetic,8.1,99,UCI_0116,18,20,18,17,17,17,Computer Science,Art Director,3.716848931003202,2,2,0,10.0
STU00074,20,Other,Arts,5.8,2.7,No,52.1,6.1,No,4.0,3,10.0,12.5,Quiet Room,Yes,6,10,Kinesthetic,8.6,96,UCI_0297,18,17,19,17,18,19,Arts,Chemist,3.188548646726819,1,3,1,10.0
STU00075,23,Male,Biology,3.0,0.1,No,99.8,9.1,Yes,4.0,1,2.7,6.0,Dorm,Yes,1,6,Kinesthetic,8.1,100,UCI_0116,17,18,20,19,17,18,Biology,Mechanical Engineer,4.0770957031117065,1,2,1,10.0
STU00076,26,Other,Computer Science,6.060876809351889,3.4,Yes,56.4,7.3,No,3.32,8,7.1,12.9,Co-Learning Group,Yes,3,10,Visual,3.1,86,UCI_0317,12,14,15,17,18,17,Computer Science,Principal,3.818780583096429,2,4,0,8.3
STU00077,19,Female,Biology,7.3,1.8,Yes,90.7,9.0,Yes,3.69,3,4.7,13.7,Cafe,No,8,7,Kinesthetic,8.0,98,UCI_0009,16,18,19,15,16,17,Biology,Judge,3.2082147848700524,1,2,1,9.22
STU00078,16,Other,Arts,5.5,0.1,No,97.7,6.9,Yes,2.51,1,6.2,9.7,Dorm,No,1,10,Visual,5.5,66,UCI_0136,12,11,11,15,13,14,Arts,Paralegal,2.5783137465268497,2,2,1,6.27
STU00079,18,Female,Biology,5.7,1.8,Yes,56.5,8.9,Yes,3.5,1,4.0,11.9,Cafe,Yes,10,10,Reading,4.2,87,UCI_0132,18,18,18,14,14,15,Biology,Urban Planner,3.055056523262677,1,0,0,8.75
STU00080,17,Other,Arts,1.8,0.7,No,41.1,9.4,Yes,3.52,1,5.9,6.4,Dorm,Yes,7,10,Reading,8.4,96,UCI_0132,17,19,18,14,14,16,Arts,Art Director,2.914048114861339,2,2,0,8.8
STU00081,28,Male,Biology,2.3,1.8,Yes,72.4,9.9,Yes,4.0,3,1.6,7.8,Library,No,1,10,Kinesthetic,5.6,98,UCI_0291,17,17,19,19,18,18,Biology,Electrical Engineer,3.455019297292542,0,0,0,10.0
STU00082,28,Male,Engineering,4.9,4.5,Yes,97.9,4.8,No,3.88,7,1.0,15.0,Cafe,No,2,10,Reading,3.4,100,UCI_0116,17,19,19,18,18,17,Engineering,Geneticist,3.160798046,2,0,0,9.7
STU00083,27,Female,Computer Science,2.5569442001540468,2.3,No,65.0,6.0,No,4.0,2,5.4,7.2,Quiet Room,No,5,6,Kinesthetic,9.1,99,UCI_0116,17,19,19,19,17,17,Computer Science,Legal Secretary,4.890931552076206,2,4,1,10.0
STU00084,28,Female,Engineering,7.2,3.5,No,94.0,5.7,Yes,3.77,4,6.3,13.2,Dorm,No,4,8,Visual,4.5,96,UCI_0307,17,17,18,18,18,18,Engineering,Physicist,4.733315612739178,0,0,0,9.43
STU00085,18,Male,Engineering,3.8,3.2,Yes,79.7,6.6,No,4.0,7,1.7,10.9,Cafe,Yes,5,9,Auditory,9.3,100,UCI_0297,19,17,19,18,18,18,Engineering,Conductor,2.581618257359928,2,1,1,10.0
STU00086,18,Female,Engineering,4.9,1.3,No,51.1,7.1,Yes,3.45,4,4.7,8.6,Cafe,No,10,9,Visual,5.8,85,UCI_0043,19,18,18,14,15,15,Engineering,Physical Chemist,4.991850741488952,2,1,1,8.62
STU00087,16,Male,Arts,4.0,4.5,No,75.8,4.0,No,4.0,6,1.7,12.9,Co-Learning Group,Yes,6,10,Auditory,6.9,99,UCI_0297,17,18,19,17,18,18,Arts,Financial Advisor,4.662193086494426,0,1,1,10.0
STU00088,28,Female,Business,5.0,1.0,No,98.5,6.4,Yes,3.8,3,5.0,8.7,Dorm,Yes,3,10,Auditory,5.4,98,UCI_0297,19,19,19,19,18,18,Business,Legal Analyst,2.896404949712277,1,1,1,9.5
STU00089,27,Other,Business,2.3,0.2,Yes,65.2,9.9,No,4.0,5,1.7,5.5,Library,Yes,1,10,Visual,9.4,94,UCI_0048,20,20,19,16,16,16,Business,Financial Analyst,4.290126991146629,2,2,1,10.0
STU00090,16,Female,Arts,3.6,4.0,No,69.1,7.4,Yes,4.0,5,5.4,10.1,Co-Learning Group,Yes,3,5,Visual,9.9,95,UCI_0048,19,19,19,18,17,18,Arts,Art Therapist,4.310403241313077,2,3,0,10.0
STU00091,25,Male,Biology,4.7,2.4,No,85.5,8.1,Yes,4.0,5,8.5,9.8,Co-Learning Group,Yes,6,10,Visual,3.0,95,UCI_0116,17,18,20,18,16,18,Biology,Architect,4.098252883807871,1,1,0,10.0
STU00092,20,Male,Psychology,3.9,2.3,Yes,77.4,6.7,Yes,3.39,5,4.3,9.8,Co-Learning Group,Yes,10,6,Auditory,4.9,76,UCI_0037,16,15,19,15,13,13,Psychology,Manager,4.872518471397738,2,0,0,8.47
STU00093,22,Male,Arts,0.8,2.3,Yes,58.5,8.1,No,3.01,3,3.5,7.0,Dorm,Yes,3,10,Visual,4.2,80,UCI_0033,17,16,16,13,14,15,Arts,Education Administrator,4.647562824541962,1,2,0,7.52
STU00094,26,Female,Arts,5.0,3.0,Yes,47.9,6.3,Yes,4.0,8,8.5,11.7,Cafe,No,6,10,Kinesthetic,3.5,98,UCI_0291,17,18,20,19,17,19,Arts,Fluid Mechanics Engineer,4.791761944138198,0,2,0,10.0
STU00095,27,Male,Arts,3.1,1.8,No,56.3,7.3,Yes,3.47,2,9.1,8.3,Co-Learning Group,Yes,2,10,Reading,4.0,86,UCI_0294,15,13,15,17,17,17,Arts,Doctor,4.181861331854694,2,0,1,8.68
STU00096,19,Other,Business,3.1,1.0,No,49.8,4.7,No,3.73,7,6.4,5.8,Library,Yes,1,7,Kinesthetic,3.2,97,UCI_0048,20,20,19,18,16,17,Business,Financial Analyst,3.567312855051514,2,3,1,9.32
STU00097,28,Male,Business,6.7,4.9,Yes,62.5,5.2,Yes,3.43,4,3.5,14.5,Library,No,10,8,Auditory,8.5,92,UCI_0340,15,14,17,15,14,17,Business,Judge,3.682382271147315,0,4,0,8.58
STU00098,28,Other,Computer Science,9.156288491650798,2.2,No,59.4,7.4,Yes,4.0,6,7.9,13.4,Dorm,Yes,2,6,Auditory,8.7,96,UCI_0297,19,17,19,19,19,18,Computer Science,Sound Engineer,3.075612984592982,2,1,0,10.0
STU00099,27,Male,Computer Science,3.1499733582662683,4.5,Yes,79.1,7.5,No,3.25,3,5.3,10.6,Co-Learning Group,No,3,10,Visual,9.3,78,UCI_0112,15,16,15,14,14,13,Computer Science,Biotechnologist,4.309541213,2,3,0,8.12
STU00100,27,Male,Engineering,5.6,2.1,Yes,70.0,9.2,No,2.91,4,6.6,12.0,Dorm,Yes,1,10,Reading,4.0,69,UCI_0066,17,14,16,15,15,16,Engineering,Ecologist,4.254724349203702,0,3,0,7.28
STU00101,20,Other,Computer Science,1.2949879163385916,1.7,Yes,99.8,6.0,Yes,3.97,6,5.3,4.1,Dorm,No,9,8,Reading,9.6,94,UCI_0048,20,18,19,16,16,18,Computer Science,Physician Assistant,4.7113369635715685,2,2,0,9.93
STU00102,24,Male,Arts,4.6,1.5,No,67.1,5.9,No,2.89,3,2.4,10.3,Cafe,Yes,5,10,Kinesthetic,6.6,76,UCI_0198,17,15,16,13,13,14,Arts,Interior Designer,4.850799312596237,1,4,0,7.23
STU00103,23,Female,Arts,3.7,4.4,Yes,68.5,7.0,Yes,4.0,7,4.0,9.9,Quiet Room,Yes,10,9,Auditory,1.3,100,UCI_0297,19,18,18,18,18,20,Arts,Manager,3.916067396389195,2,4,0,10.0
STU00104,19,Female,Business,3.0,1.1,Yes,64.2,8.3,No,3.88,6,1.7,7.1,Dorm,Yes,3,10,Auditory,7.5,95,UCI_0307,16,16,17,17,17,19,Business,Paralegal,2.723602191871741,1,1,1,9.7
STU00105,26,Female,Business,5.7,5.0,No,47.2,7.3,Yes,3.03,2,4.5,12.4,Library,Yes,8,10,Auditory,9.6,74,UCI_0043,18,17,18,15,16,16,Business,Acoustics Specialist,3.512086397,1,2,0,7.57
STU00106,27,Other,Engineering,0.0,1.2,Yes,67.9,5.8,No,3.85,8,3.9,1.3,Library,Yes,7,10,Visual,1.6,100,UCI_0291,18,17,20,19,17,19,Engineering,Education Administrator,4.2802259705971935,2,0,0,9.62
STU00107,17,Other,Psychology,2.9,4.8,Yes,46.8,7.8,Yes,3.83,3,4.6,12.6,Dorm,Yes,10,10,Kinesthetic,5.7,97,UCI_0307,18,18,17,18,17,18,Psychology,Market Research Analyst,2.541420087805521,1,2,1,9.57
STU00108,16,Male,Computer Science,5.794774082519599,2.9,Yes,95.4,6.2,Yes,4.0,8,6.2,11.6,Dorm,No,3,8,Auditory,4.1,99,UCI_0116,17,19,20,17,16,18,Computer Science,Financial Controller,4.256982900720942,2,3,0,10.0
STU00109,18,Female,Biology,3.7,0.9,Yes,52.4,9.3,Yes,3.36,6,6.2,6.6,Cafe,Yes,4,10,Kinesthetic,3.9,89,UCI_0037,15,15,19,14,13,15,Biology,Financial Controller,4.300057541575838,1,0,0,8.4
