student_id,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time
S100029,78.0,4.2,0.83,16.99,2024-01-12 00:00:00
S100030,76.62,3.48,1.06,16.06,2024-04-14 00:00:00
S100031,92.08,0.49,3.75,30.34,2024-05-27 00:00:00
S100032,83.9,0.0,0.43,13.88,2024-04-04 00:00:00
S100033,76.31,2.91,0.96,23.18,2024-12-01 00:00:00
S100034,100.0,3.45,0.13,19.95,2024-10-01 00:00:00
S100035,78.0,4.63,0.91,14.18,2024-05-19 00:00:00
S100036,91.08,3.18,0.58,6.29,2024-03-18 00:00:00
S100037,83.97,2.63,0.62,14.63,2024-05-05 00:00:00
S100038,68.16,4.87,1.99,21.29,2024-03-13 00:00:00
S100039,50.58,3.92,0.41,6.43,2024-03-02 00:00:00
S100040,81.7,2.53,1.64,20.85,2024-04-14 00:00:00
S100041,63.46,3.37,1.48,24.4,2024-04-15 00:00:00
S100042,65.0,2.62,2.5,15.67,2024-05-29 00:00:00
S100043,77.99,2.37,3.73,21.4,2024-01-21 00:00:00
S100044,100.0,4.25,1.41,15.98,2024-03-28 00:00:00
S100045,73.79,2.27,4.17,19.0,2024-02-24 00:00:00
S100046,53.57,3.1,0.38,25.46,2024-04-27 00:00:00
S100047,79.93,4.07,2.26,4.12,2024-03-18 00:00:00
S100048,70.01,2.55,1.93,9.64,2024-04-03 00:00:00
S100049,89.35,4.47,3.56,23.75,2024-04-19 00:00:00
S100050,68.73,6.4,1.25,25.05,2024-05-15 01:41:18
S100051,50.62,0.81,0.53,5.14,2024-05-03 00:00:00
S100052,100.0,3.6,0.08,25.94,2024-04-10 00:00:00
S100053,79.5,1.88,1.27,0.0,2024-04-24 00:00:00
S100054,81.8,2.91,2.41,19.38,2024-03-06 00:00:00
S100055,79.25,0.0,0.25,16.53,2024-01-25 00:00:00
S100056,66.0,3.39,0.11,9.87,2024-05-22 00:00:00
S100057,89.62,3.16,0.56,10.3,2024-05-17 00:00:00
S100058,59.0,2.19,0.28,10.56,2024-03-13 00:00:00
S100059,70.82,5.28,0.25,13.57,2024-10-03 00:00:00
S100060,68.7,2.16,0.36,28.9,2024-04-18 00:00:00
S100061,81.0,1.58,4.4,20.76,2024-02-06 00:00:00
S100062,90.32,0.82,1.56,25.04,2024-05-03 00:00:00
S100063,76.2,4.82,1.0,12.75,2024-01-17 00:00:00
S100064,79.45,3.1,1.71,16.61,2024-03-05 00:00:00
S100065,71.06,2.4,0.64,7.5,2024-04-02 00:00:00
S100066,83.0,2.85,2.11,13.05,2024-02-05 00:00:00
S100067,65.0,1.13,0.53,11.13,2024-03-20 00:00:00
S100068,76.2,2.69,0.53,18.42,2024-01-16 00:00:00
S100069,81.42,3.68,0.33,10.05,2024-01-21 00:00:00
S100070,70.34,3.97,1.03,9.14,2024-04-10 00:00:00
S100071,73.05,4.57,0.09,17.77,2024-04-22 00:00:00
S100072,86.79,2.72,0.67,14.63,2024-01-28 00:00:00
S100073,72.48,4.13,1.56,10.1,2024-05-18 00:00:00
S100074,78.3,2.33,0.31,9.07,2024-03-14 00:00:00
S100075,82.48,3.41,0.53,10.09,2024-03-12 00:00:00
S100076,79.84,2.34,1.58,20.7,2024-02-06 00:00:00
S100077,66.0,3.54,0.21,17.92,2024-04-21 00:00:00
S100078,83.42,3.59,2.97,9.71,2024-04-18 00:00:00
S100079,74.44,2.31,0.79,9.99,2024-05-18 00:00:00
S100080,83.0,3.38,1.08,6.97,2024-03-26 00:00:00
S100081,76.49,1.78,0.31,12.25,2024-03-26 00:00:00
S100082,88.43,0.37,0.19,15.86,2024-08-04 00:00:00
S100083,77.76,3.98,3.39,8.85,2024-05-27 00:00:00
S100084,89.0,1.14,1.55,30.31,2024-04-10 00:00:00
S100085,100.0,2.47,2.5,19.37,2024-03-07 00:00:00
S100086,81.9,1.98,0.09,14.77,2024-05-19 00:00:00
S100087,74.66,1.42,1.16,15.6,2024-05-27 00:00:00
S100088,70.27,1.65,0.93,5.26,2024-09-05 00:00:00
S100089,67.46,3.37,1.22,6.61,2024-04-24 00:00:00
S100090,73.45,2.12,1.93,24.26,2024-07-05 00:00:00
S100091,100.0,4.06,0.02,26.45,2024-05-10 00:00:00
S100092,78.08,3.59,2.36,0.0,2024-05-11 00:00:00
S100093,70.45,1.48,3.17,18.29,2024-05-02 00:00:00
S100094,80.0,3.28,1.12,24.67,2024-02-18 00:00:00
S100095,75.5,5.38,2.31,12.61,2024-02-27 00:00:00
S100096,52.69,2.42,0.15,25.64,2024-02-19 00:00:00
S100097,65.08,4.18,2.56,20.37,2024-03-25 00:00:00
S100098,91.05,1.14,0.97,18.16,2024-05-16 00:00:00
S100099,90.02,3.4,0.75,13.29,2024-12-05 00:00:00
S100100,73.24,6.77,0.23,15.64,2024-05-03 00:00:00
S100101,62.66,1.87,0.79,11.87,2024-04-02 19:08:15
S100102,73.3,3.73,0.29,17.08,2024-05-26 00:00:00
S100103,76.0,3.65,6.12,16.77,2024-05-18 00:00:00
S100104,91.46,6.59,0.74,11.96,2024-04-12 00:00:00
S100105,77.26,2.73,1.24,1.37,2024-02-20 00:00:00
S100106,61.86,3.2,0.52,13.64,2024-01-23 07:28:43
S100107,100.0,3.19,0.83,7.87,2024-04-15 00:00:00
S100108,77.54,4.51,2.52,7.15,2024-11-02 00:00:00
S100109,60.6,4.56,5.4,10.17,2024-05-28 00:00:00
S100110,64.37,5.93,7.23,20.79,2024-12-04 00:00:00
S100111,78.5,3.63,0.65,7.22,2024-02-20 00:00:00
S100112,60.98,1.06,4.95,8.79,2024-01-19 00:00:00
S100113,80.0,3.79,0.19,19.95,2024-03-23 00:00:00
S100114,83.59,4.86,1.36,9.64,2024-02-18 00:00:00
S100115,89.13,5.67,0.39,7.11,2024-04-07 00:00:00
S100116,97.15,3.0,0.31,20.66,2024-02-21 00:00:00
S100117,66.76,0.0,0.32,14.09,2024-07-02 00:00:00
S100118,80.59,5.92,0.4,15.46,2024-02-15 00:00:00
S100119,77.31,2.96,2.94,13.43,2024-02-12 00:00:00
S100120,76.61,3.12,2.23,17.96,2024-04-25 00:00:00
S100121,65.08,2.43,3.43,19.8,2024-02-01 00:00:00
S100122,65.63,3.3,2.8,14.14,2024-03-22 00:00:00
S100123,75.43,1.12,7.61,4.51,2024-01-04 00:00:00
S100124,63.59,0.09,5.51,17.08,2024-03-05 00:00:00
S100125,97.51,3.12,1.89,12.62,2024-01-14 00:00:00
S100126,76.02,5.74,0.07,21.0,2024-03-21 00:00:00
S100127,94.44,3.92,1.89,8.73,2024-01-29 05:03:47
S100128,75.0,2.53,0.41,12.8,2024-04-21 00:00:00
S100129,80.23,0.42,4.26,4.63,2024-01-29 00:00:00
S100130,93.23,2.7,3.48,20.48,2024-03-28 00:00:00
S100131,77.94,5.43,3.15,23.58,2024-01-26 00:00:00
S100132,73.85,4.62,4.3,11.58,2024-02-05 00:00:00
S100133,79.05,0.96,1.68,13.64,2024-02-03 00:00:00
S100134,74.71,2.56,3.62,9.33,2024-04-01 00:00:00
S100135,63.32,1.1,0.52,10.01,2024-04-16 00:00:00
S100136,77.55,1.92,0.34,19.85,2024-01-31 00:00:00
S100137,81.11,1.34,0.01,11.47,2024-05-22 00:00:00
S100138,66.55,4.02,1.34,18.33,2024-05-14 00:00:00
S100139,67.0,4.82,4.1,14.89,2024-05-20 00:00:00
S100140,100.0,3.27,0.25,20.25,2024-01-11 00:00:00
S100141,91.83,2.88,0.52,12.25,2024-01-30 00:00:00
S100142,72.1,2.04,3.12,22.6,2024-01-30 00:00:00
S100143,78.82,3.39,3.02,28.13,2024-02-19 00:00:00
S100144,76.67,1.57,0.91,3.1,2024-02-02 00:00:00
S100145,93.0,3.51,0.02,14.35,2024-01-22 00:00:00
S100146,87.46,4.78,0.88,14.35,2024-01-22 00:00:00
S100147,60.31,2.34,3.66,9.99,2024-04-11 03:56:39
S100148,77.48,1.86,0.73,17.85,2024-03-27 00:00:00
S100149,83.41,4.45,4.36,22.84,2024-01-22 00:00:00
S100150,79.09,2.92,1.38,1.18,2024-05-25 00:00:00
S100151,56.99,2.24,0.99,0.65,2024-01-20 00:00:00
S100152,73.5,3.27,0.53,26.6,2024-04-22 00:00:00
S100153,82.9,3.74,0.62,13.32,2024-02-15 00:00:00
S100154,79.09,3.08,1.2,15.63,2024-08-02 00:00:00
S100155,96.16,3.17,0.98,7.52,2024-03-16 00:00:00
S100156,54.76,4.42,0.11,15.31,2024-04-25 00:00:00
S100157,85.19,2.6,0.98,24.58,2024-05-16 00:00:00
S100158,63.54,0.41,0.02,18.47,2024-03-23 17:29:26
S100159,59.69,4.05,0.79,16.35,2024-02-13 00:00:00
S100160,94.94,6.5,2.37,2.61,2024-03-27 00:00:00
S100161,44.79,0.62,2.02,20.2,2024-02-12 00:00:00
S100162,77.21,2.46,0.69,15.07,2024-03-05 00:00:00
S100163,73.83,3.1,0.45,10.74,2024-02-28 00:00:00
S100164,75.0,2.02,0.42,19.5,2024-03-15 00:00:00
S100165,83.37,0.88,2.07,9.07,2024-01-26 00:00:00
S100166,77.51,3.31,0.35,18.93,2024-07-03 00:00:00
S100167,86.97,5.14,1.06,23.52,2024-03-08 00:00:00
S100168,68.8,2.66,0.12,16.08,2024-04-20 00:00:00
S100169,59.99,6.16,1.04,12.03,2024-01-20 00:00:00
S100170,89.5,3.67,2.06,10.99,2024-01-28 00:00:00
S100171,54.32,1.02,2.8,17.68,2024-04-01 00:00:00
S100172,71.96,3.94,2.31,11.98,2024-04-23 00:00:00
S100173,75.98,2.66,1.86,31.57,2024-02-13 00:00:00
S100174,73.07,3.04,0.31,5.09,2024-03-04 00:00:00
S100175,70.32,1.58,1.41,14.09,2024-04-19 00:00:00
S100176,88.95,5.21,0.51,16.91,2024-03-03 00:00:00
S100177,73.0,4.47,1.58,16.07,2024-04-09 00:00:00
S100178,84.59,2.18,2.37,11.07,2024-02-26 00:00:00
S100179,53.36,3.69,0.8,23.63,2024-03-18 00:00:00
S100180,77.19,3.05,1.42,19.67,2024-04-27 00:00:00
S100181,77.84,0.6,0.62,20.18,2024-02-13 00:00:00
S100182,85.3,5.42,4.95,10.32,2024-04-23 00:00:00
S100183,67.1,2.6,2.7,12.18,2024-02-15 00:00:00
S100184,83.47,3.28,2.14,18.42,2024-04-11 08:12:28
S100185,85.09,3.5,0.35,7.3,2024-03-07 00:00:00
S100186,62.42,2.11,2.97,19.66,2024-01-14 00:00:00
S100187,60.22,3.32,5.07,14.29,2024-04-19 00:00:00
S100188,64.18,3.16,0.06,22.45,2024-02-09 00:00:00
S100189,41.29,2.67,0.44,12.01,2024-02-25 00:00:00
S100190,79.49,2.77,2.11,27.7,2024-03-06 00:00:00
S100191,76.04,4.38,1.27,17.87,2024-05-18 00:00:00
S100192,71.41,4.33,2.94,18.64,2024-03-04 00:00:00
S100193,75.33,2.46,2.27,10.15,2024-02-21 00:00:00
S100194,81.82,2.49,1.16,16.77,2024-02-23 00:00:00
S100195,66.05,3.01,1.82,11.16,2024-03-08 00:00:00
S100196,77.55,3.59,1.57,4.22,2024-03-07 00:00:00
S100197,88.53,0.0,2.68,13.63,2024-01-18 00:00:00
S100198,85.35,4.34,0.86,23.14,2024-01-16 00:00:00
S100199,73.86,5.76,0.36,14.55,2024-04-02 00:00:00
S100200,61.0,0.96,1.63,12.94,2024-02-27 00:00:00
S100201,66.8,1.41,4.4,12.85,2024-05-04 00:00:00
S100202,83.46,2.75,1.64,30.69,2024-05-16 00:00:00
S100203,70.5,2.05,0.17,19.26,2024-11-01 00:00:00
S100204,80.21,3.54,2.78,3.87,2024-01-27 00:00:00
S100205,63.24,3.43,0.19,11.2,2024-04-05 00:00:00
S100206,67.17,1.27,3.2,12.19,2024-04-03 00:00:00
S100207,76.0,4.72,0.74,9.95,2024-10-04 00:00:00
S100208,60.22,3.92,1.08,15.45,2024-02-20 00:00:00
S100209,74.88,3.37,0.67,10.98,2024-11-02 00:00:00
S100210,83.13,2.74,2.19,11.41,2024-03-23 00:34:46
S100211,72.0,5.15,1.25,16.07,2024-05-16 00:00:00
S100212,66.3,4.94,4.42,4.21,2024-01-26 00:00:00
S100213,89.35,3.7,0.29,0.0,2024-01-16 00:00:00
S100214,69.32,2.23,0.35,23.7,2024-09-04 00:00:00
S100215,99.42,6.7,1.22,20.86,2024-03-25 00:00:00
S100216,74.26,2.39,0.12,17.58,2024-05-20 00:00:00
S100217,80.8,2.99,0.18,17.13,2024-02-08 00:00:00
S100218,61.21,6.79,0.48,13.68,2024-05-15 00:00:00
S100219,96.59,3.84,8.0,36.11,2024-04-20 00:00:00
S100220,83.23,5.18,6.07,16.35,2024-04-22 00:00:00
S100221,91.05,0.0,1.88,33.26,2024-05-09 00:00:00
S100222,67.51,4.09,0.37,29.44,2024-08-05 00:00:00
S100223,78.28,1.43,0.49,18.23,2024-04-28 00:00:00
S100224,50.36,1.39,3.06,13.53,2024-04-12 00:00:00
S100225,54.21,3.13,6.21,15.11,2024-05-05 00:00:00
S100226,81.44,4.95,1.65,12.19,2024-05-13 00:00:00
S100227,41.67,3.21,3.09,18.23,2024-04-19 00:00:00
S100228,75.68,2.53,1.5,19.72,2024-03-05 00:00:00
S100229,72.71,1.03,5.08,6.43,2024-02-19 00:00:00
S100230,66.49,3.4,2.41,33.3,2024-01-26 00:00:00
S100231,78.01,3.17,1.85,9.53,2024-03-24 00:00:00
S100232,68.88,4.27,2.04,0.0,2024-05-07 00:00:00
S100233,74.31,3.0,0.86,14.43,2024-05-03 00:00:00
S100234,70.6,4.53,8.0,6.96,2024-01-26 00:00:00
S100235,72.32,2.57,4.11,14.63,2024-01-13 00:00:00
S100236,86.4,3.98,2.86,15.5,2024-02-25 00:00:00
S100237,82.12,4.48,1.85,18.12,2024-02-21 00:00:00
S100238,78.21,2.15,1.22,22.04,2024-03-20 00:00:00
S100239,49.73,3.04,2.92,7.95,2024-02-25 00:00:00
S100240,74.48,4.21,0.01,12.46,2024-01-19 00:00:00
S100241,66.61,2.13,4.59,19.75,2024-02-04 00:00:00
S100242,80.27,6.15,0.79,10.4,2024-04-21 00:00:00
S100243,84.74,3.14,1.74,1.86,2024-03-30 00:00:00
S100244,66.0,1.78,1.81,19.34,2024-01-19 00:00:00
S100245,99.34,1.6,0.8,11.04,2024-03-07 00:00:00
S100246,78.0,4.69,2.44,10.58,2024-03-31 20:29:58
S100247,100.0,4.65,0.19,15.84,2024-05-03 00:00:00
S100248,42.55,1.81,0.85,15.03,2024-02-15 00:00:00
S100249,80.66,3.03,1.42,21.98,2024-02-26 00:00:00
S100250,66.84,1.71,2.85,6.26,2024-04-25 00:00:00
S100251,47.98,0.87,0.18,30.84,2024-04-30 07:40:15
S100252,75.19,3.27,1.31,5.1,2024-04-15 00:00:00
S100253,89.5,4.47,0.01,12.29,2024-04-05 00:00:00
S100254,77.53,5.6,2.94,8.92,2024-02-26 00:00:00
S100255,72.19,1.55,2.73,15.39,2024-05-28 00:00:00
S100256,83.11,3.22,3.67,15.13,2024-04-07 00:00:00
S100257,86.25,3.47,0.85,16.16,2024-02-06 00:00:00
S100258,95.68,4.4,7.49,16.83,2024-04-28 00:00:00
S100259,97.95,1.73,1.32,24.14,2024-02-05 00:00:00
S100260,66.77,4.33,1.44,16.1,2024-04-22 00:00:00
S100261,54.6,1.78,0.18,24.72,2024-02-26 00:00:00
S100262,58.1,3.55,0.93,2.75,2024-05-03 00:00:00
S100263,87.83,3.21,0.78,0.0,2024-04-02 00:00:00
S100264,73.71,2.74,3.43,15.89,2024-04-22 00:00:00
S100265,100.0,4.66,2.73,17.29,2024-03-18 00:00:00
S100266,62.77,0.74,0.96,11.26,2024-03-25 00:00:00
S100267,63.68,4.09,1.88,14.93,2024-03-19 00:00:00
S100268,83.98,3.19,8.0,22.53,2024-01-22 00:00:00
S100269,100.0,3.41,1.07,19.69,2024-05-13 00:00:00
S100270,100.0,0.58,0.33,12.69,2024-05-04 00:00:00
S100271,83.0,3.69,0.39,16.39,2024-03-06 00:00:00
S100272,75.24,1.31,1.94,20.31,2024-03-30 00:00:00
S100273,78.68,3.45,5.51,6.39,2024-04-24 00:00:00
S100274,66.08,3.31,0.47,9.37,2024-01-11 00:00:00
S100275,81.76,1.68,0.31,21.46,2024-03-22 00:00:00
S100276,56.2,1.2,0.02,2.89,2024-01-24 00:00:00
S100277,73.5,1.24,2.9,7.37,2024-02-21 00:00:00
S100278,95.74,4.06,0.28,6.51,2024-03-05 00:00:00
S100279,74.5,0.26,4.1,21.42,2024-01-14 00:00:00
S100280,100.0,4.07,2.43,7.41,2024-05-28 00:00:00
S100281,92.84,4.47,0.32,20.54,2024-02-15 00:00:00
S100282,100.0,3.16,3.57,12.53,2024-05-04 00:00:00
S100283,58.39,3.79,2.24,27.45,2024-04-09 00:00:00
S100284,64.94,1.64,0.07,15.9,2024-03-10 00:00:00
S100285,64.0,2.18,0.14,22.47,2024-04-23 00:00:00
S100286,87.68,2.22,0.57,18.22,2024-05-23 00:00:00
S100287,79.0,5.51,1.03,11.84,2024-01-29 04:50:27
S100288,83.05,2.6,6.61,14.91,2024-05-23 00:00:00
S100289,66.29,4.17,3.91,15.06,2024-05-24 00:00:00
S100290,66.6,3.47,0.34,11.77,2024-04-28 22:48:31
S100291,71.0,0.86,1.32,21.22,2024-02-02 00:00:00
S100292,76.02,1.99,1.24,32.57,2024-05-22 00:00:00
S100293,73.73,4.01,3.89,15.81,2024-05-28 00:00:00
S100294,71.18,3.09,1.14,20.02,2024-04-19 00:00:00
S100295,85.7,2.88,3.46,18.7,2024-05-14 00:00:00
S100296,50.58,2.0,0.54,0.0,2024-05-21 00:00:00
S100297,93.23,5.67,0.59,18.44,2024-04-27 00:00:00
S100298,77.0,3.94,0.46,18.09,2024-05-26 00:00:00
S100299,74.4,4.16,1.23,6.26,2024-01-21 00:00:00
S100300,74.51,0.37,0.25,2.48,2024-03-14 00:00:00
S100301,67.61,2.47,0.81,17.99,2024-03-03 00:00:00
S100302,56.01,4.02,4.63,26.52,2024-01-31 00:00:00
S100303,89.6,3.49,0.29,12.41,2024-03-25 00:00:00
S100304,85.97,0.73,1.55,12.68,2024-01-23 11:24:18
S100305,70.91,3.46,3.02,31.16,2024-05-16 00:00:00
S100306,69.96,1.28,1.9,21.27,2024-03-05 00:00:00
S100307,71.17,4.84,2.23,6.5,2024-02-11 00:00:00
S100308,58.97,0.0,1.16,10.01,2024-03-09 00:00:00
S100309,82.38,3.3,7.67,30.25,2024-04-21 00:00:00
S100310,99.89,3.74,0.3,10.36,2024-04-22 00:00:00
S100311,94.0,2.38,2.79,11.27,2024-02-19 00:00:00
S100312,84.98,4.22,0.28,19.69,2024-04-26 00:00:00
S100313,74.66,5.71,1.22,13.16,2024-03-12 00:00:00
S100314,85.53,2.66,2.1,18.1,2024-04-06 00:00:00
S100315,74.28,1.05,1.22,17.02,2024-11-05 00:00:00
S100316,52.38,1.15,0.19,13.98,2024-01-28 00:00:00
S100317,84.28,5.32,2.54,23.47,2024-03-07 00:00:00
S100318,84.92,3.58,1.66,6.07,2024-05-12 00:00:00
S100319,84.39,2.86,4.26,15.82,2024-01-14 00:00:00
S100320,84.86,1.56,0.89,10.94,2024-03-02 00:00:00
S100321,84.87,4.94,1.12,26.49,2024-01-14 00:00:00
S100322,73.6,1.49,0.96,13.78,2024-01-29 00:00:00
S100323,96.86,0.87,2.37,28.46,2024-03-23 00:00:00
S100324,67.13,2.73,1.89,12.05,2024-05-25 10:09:00
S100325,68.02,4.32,0.39,15.76,2024-04-23 00:00:00
S100326,70.56,3.31,0.78,22.62,2024-04-12 00:00:00
S100327,61.06,0.96,0.64,8.31,2024-01-05 00:00:00
S100328,83.0,1.41,0.81,25.56,2024-04-17 00:00:00
S100329,84.83,3.18,0.19,15.18,2024-05-19 00:00:00
S100330,81.42,5.14,6.45,17.88,2024-04-28 00:00:00
S100331,54.04,2.69,5.86,18.82,2024-04-04 00:00:00
S100332,94.72,4.69,2.24,14.47,2024-01-02 00:00:00
S100333,85.0,1.32,0.9,9.33,2024-01-04 00:00:00
S100334,82.0,2.65,3.63,15.66,2024-05-28 00:00:00
S100335,55.57,4.63,2.11,0.92,2024-01-05 00:00:00
S100336,56.4,2.37,0.1,5.83,2024-04-19 00:00:00
S100337,60.49,2.86,0.16,14.02,2024-04-16 00:00:00
S100338,55.38,4.67,2.58,25.83,2024-10-04 00:00:00
S100339,52.91,2.45,0.37,25.62,2024-01-12 02:13:11
S100340,84.27,4.53,1.87,21.86,2024-09-03 00:00:00
S100341,78.6,1.31,0.36,4.23,2024-03-26 00:00:00
S100342,82.31,2.83,1.15,17.11,2024-04-17 00:00:00
S100343,71.0,2.83,1.48,8.98,2024-04-15 00:00:00
S100344,67.0,2.61,1.27,14.53,2024-03-21 00:00:00
S100345,55.29,2.52,0.49,21.68,2024-05-16 16:58:08
S100346,76.1,2.23,0.75,19.61,2024-12-03 00:00:00
S100347,79.48,1.29,1.64,23.98,2024-04-22 00:00:00
S100348,85.05,4.68,5.74,5.14,2024-05-18 00:00:00
S100349,79.04,3.63,3.51,7.84,2024-02-28 00:00:00
S100350,73.59,1.88,0.52,25.55,2024-03-23 00:00:00
S100351,80.07,2.99,0.96,25.65,2024-04-12 00:00:00
S100352,68.79,0.1,1.42,14.89,2024-01-25 00:00:00
S100353,95.28,4.43,0.56,14.84,2024-02-19 00:00:00
S100354,81.43,3.81,0.24,23.21,2024-05-25 00:32:37
S100355,76.01,2.03,0.79,18.72,2024-01-20 00:00:00
S100356,81.6,1.87,5.05,19.24,2024-11-01 00:00:00
S100357,66.76,4.3,0.48,8.53,2024-05-13 00:00:00
S100358,89.34,4.32,0.43,23.05,2024-02-21 00:00:00
S100359,85.0,0.76,0.57,13.6,2024-04-16 00:00:00
S100360,62.0,4.13,3.62,5.25,2024-03-23 00:00:00
S100361,59.36,4.81,3.58,9.53,2024-03-19 00:00:00
S100362,100.0,2.55,0.87,10.82,2024-04-22 00:00:00
S100363,63.38,2.36,5.37,25.35,2024-05-16 00:00:00
S100364,78.03,2.35,0.6,10.12,2024-02-29 15:01:52
S100365,76.98,1.86,1.49,17.69,2024-03-23 00:00:00
S100366,71.41,1.97,2.11,0.23,2024-02-14 00:00:00
S100367,87.32,3.97,0.78,21.56,2024-01-24 00:00:00
S100368,93.18,4.8,3.75,9.46,2024-04-29 00:00:00
S100369,45.45,3.59,0.25,17.74,2024-07-04 00:00:00
S100370,73.1,2.97,4.23,17.73,2024-03-16 00:00:00
S100371,80.99,3.79,0.99,19.43,2024-08-03 00:00:00
S100372,74.82,4.88,1.24,17.33,2024-11-05 00:00:00
S100373,61.21,4.19,3.43,28.4,2024-01-26 00:00:00
S100374,65.45,5.95,1.69,16.46,2024-02-16 00:00:00
S100375,76.48,2.12,0.26,30.74,2024-02-19 00:00:00
S100376,82.71,2.0,0.7,19.46,2024-01-29 00:00:00
S100377,69.09,4.25,3.64,16.92,2024-05-20 00:00:00
S100378,68.7,1.55,0.29,21.24,2024-02-24 00:00:00
S100379,82.23,2.97,0.46,16.38,2024-03-30 00:00:00
S100380,93.01,4.57,1.15,18.14,2024-01-17 00:00:00
S100381,52.12,3.48,1.88,17.43,2024-04-01 00:00:00
S100382,80.92,4.18,0.72,16.73,2024-02-17 00:00:00
S100383,61.47,4.16,2.18,29.83,2024-04-26 00:00:00
S100384,81.15,4.23,4.23,30.91,2024-03-27 00:00:00
S100385,70.04,3.94,1.12,17.29,2024-05-06 00:00:00
S100386,68.41,2.88,0.28,23.82,2024-03-13 00:00:00
S100387,89.39,4.31,0.68,23.41,2024-02-24 00:00:00
S100388,95.81,5.66,1.05,22.65,2024-04-13 00:00:00
S100389,84.98,2.59,3.48,18.82,2024-05-27 00:00:00
S100390,87.54,2.09,3.75,19.64,2024-01-21 00:00:00
S100391,74.13,4.54,0.2,19.0,2024-04-14 00:00:00
S100392,83.4,2.93,5.13,9.97,2024-01-28 00:00:00
S100393,65.9,1.74,0.3,14.54,2024-02-22 00:00:00
S100394,87.7,4.02,0.62,6.62,2024-05-13 00:00:00
S100395,66.0,1.73,4.18,19.04,2024-04-28 00:00:00
S100396,77.75,2.26,3.46,18.02,2024-03-17 00:00:00
S100397,81.75,4.31,4.04,19.9,2024-05-19 00:00:00
S100398,94.28,0.73,1.81,9.58,2024-04-21 00:00:00
S100399,66.03,2.91,0.51,21.75,2024-02-12 00:00:00
S100400,76.72,4.77,1.94,18.3,2024-02-21 19:51:30
S100401,88.02,2.2,3.45,30.63,2024-02-28 00:00:00
S100402,77.92,4.62,4.25,20.64,2024-01-17 00:00:00
S100403,67.62,4.48,0.51,10.82,2024-05-27 00:00:00
S100404,55.54,0.77,0.57,5.55,2024-01-13 00:00:00
S100405,75.66,2.83,1.72,16.53,2024-02-18 00:00:00
S100406,70.0,3.43,1.17,7.8,2024-04-13 00:00:08
S100407,76.24,4.76,2.6,9.86,2024-05-24 00:00:00
S100408,47.0,2.72,0.28,8.24,2024-05-20 00:00:00
S100409,90.0,3.29,1.27,10.93,2024-02-09 00:00:00
S100410,88.36,0.98,1.98,25.19,2024-04-06 00:00:00
S100411,50.81,2.14,0.08,8.23,2024-05-22 21:45:20
S100412,70.16,1.24,0.08,12.03,2024-02-02 00:00:00
S100413,97.61,1.63,0.09,4.99,2024-05-19 00:00:00
S100414,92.0,1.58,1.77,3.06,2024-04-01 00:00:00
S100415,81.73,5.6,3.57,13.04,2024-03-18 00:00:00
S100416,51.29,3.25,0.45,16.45,2024-04-16 00:00:00
S100417,62.0,4.6,0.0,6.95,2024-01-25 00:00:00
S100418,95.0,3.17,0.71,4.36,2024-05-15 00:00:00
S100419,67.9,3.07,1.15,1.9,2024-04-02 00:00:00
S100420,75.47,5.22,7.3,16.02,2024-03-03 00:00:00
