student_id,enrollment_date,family_income_lpa,cgpa,backlogs,failed_subjects,at_risk_flag
S100173,2022-08-12,1.0,7.22,1,1,1
S100174,2022-08-18,1.2,6.28,2,1,1
S100175,2022-10-17,1.0,9.43,1,0,1
S100176,2023-06-27,1.7,7.16,1,0,1
S100177,2023-01-05,2.1,6.95,0,3,0
S100178,2021-09-13,4.9,8.26,1,0,0
S100179,2023-02-22,4.4,7.2,1,0,0
S100180,2022-07-21,2.0,7.6,0,0,0
S100181,2022-02-03,4.4,6.17,1,1,0
S100182,2021-10-29,2.8,5.44,0,0,0
S100183,2021-11-28,17.5,3.98,0,0,0
S100184,2021-12-18,1.0,6.27,0,0,1
S100185,2023-02-04,1.6,5.71,1,1,1
S100186,2023-03-15,10.4,9.52,1,0,1
S100187,2022-11-19,15.2,7.78,0,0,0
S100188,2021-10-25,3.1,6.49,1,0,1
S100189,2022-08-16,13.7,4.96,0,0,1
S100190,2022-07-30,2.6,3.5,0,0,0
S100191,2022-10-31,2.2,9.37,1,0,1
S100192,2022-02-01,2.0,7.07,1,0,0
S100193,2022-02-20,1.0,8.64,0,1,1
S100194,2023-04-29,2.8,8.25,2,0,0
S100195,2022-12-21,37.1,7.66,1,0,0
S100196,2022-07-15,5.4,7.84,2,0,0
S100197,2022-08-07,13.3,5.73,1,0,1
S100198,2021-08-30,13.2,8.45,0,0,0
S100199,2022-03-29,1.7,7.33,0,0,0
S100200,2023-04-01,4.0,9.38,0,0,0
S100201,2022-06-24,5.5,7.62,0,1,1
S100202,2021-11-22,1.0,6.46,0,0,0
S100203,2023-03-18,7.4,9.14,0,1,1
S100204,2023-02-21,5.0,5.68,0,1,0
S100205,2023-03-27,8.1,5.35,3,0,1
S100206,2022-06-22,1.1,7.0,1,0,0
S100207,2022-03-25,11.2,4.85,1,0,1
S100208,2022-01-20,2.9,7.02,0,0,1
S100209,2023-03-26,1.7,6.97,1,0,1
S100210,2023-03-23,14.6,5.42,1,0,1
S100211,2022-01-10,1.0,6.14,0,1,0
S100212,2022-07-19,1.0,6.8,1,0,0
S100213,2021-11-08,1.0,6.48,0,2,1
S100214,2022-06-26,7.4,6.48,0,1,0
S100215,2022-03-02,2.1,3.67,0,1,1
S100216,2022-03-09,2.6,9.22,0,0,0
S100217,2021-11-10,3.8,6.29,0,0,0
S100218,2022-02-12,6.9,4.76,0,0,0
S100219,2022-04-02,1.0,7.67,0,0,0
S100220,2022-12-26,25.5,5.85,1,0,0
S100221,2022-04-01,3.1,5.41,0,0,1
S100222,2023-04-03,1.0,5.48,0,0,0
S100223,2022-03-30,1.0,6.47,0,0,1
S100224,2021-10-17,17.6,7.9,0,0,1
S100225,2021-09-06,5.8,6.25,1,0,0
S100226,2022-04-15,14.9,6.04,1,0,0
S100227,2023-01-13,1.2,6.42,1,0,1
S100228,2022-09-12,1.0,6.96,0,0,0
S100229,2023-01-15,2.6,7.12,0,0,1
S100230,2023-07-26,23.7,7.13,2,0,0
S100231,2021-07-23,19.6,6.34,1,0,1
S100232,2022-01-28,4.5,5.78,3,0,0
S100233,2022-11-17,5.7,7.61,0,1,0
S100234,2022-05-02,1.0,7.09,0,0,0
S100235,2023-06-05,1.0,6.86,0,1,1
S100236,2022-05-11,8.6,7.6,0,0,0
S100237,2021-11-09,23.6,7.01,1,0,0
S100238,2023-06-17,4.2,3.5,1,1,0
S100239,2023-03-23,1.8,6.53,1,0,1
S100240,2022-07-20,3.7,7.28,1,0,0
S100241,2023-01-20,1.0,7.0,1,1,1
S100242,2022-01-01,4.4,7.38,1,0,0
S100243,2022-10-16,2.2,5.37,0,1,1
S100244,2023-03-07,2.0,6.0,0,0,1
S100245,2021-11-25,6.1,5.38,2,1,1
S100246,2021-08-29,3.9,6.96,0,0,0
S100247,2022-02-09,3.4,8.18,1,0,0
S100248,2022-08-27,1.0,8.78,0,1,0
S100249,2023-08-08,23.2,9.61,0,1,1
S100250,2023-08-14,30.0,6.77,1,0,0
S100251,2022-10-30,1.0,8.57,0,1,0
S100252,2023-01-27,6.9,7.83,1,1,0
S100253,2022-10-04,3.6,7.04,0,0,0
S100254,2023-03-31,5.7,7.72,0,0,0
S100255,2023-04-18,1.0,4.95,0,0,1
S100256,2022-11-14,8.6,6.65,1,1,0
S100257,2021-12-17,1.4,7.5,1,0,0
S100258,2022-07-03,1.5,4.67,0,0,0
S100259,2022-02-05,1.0,5.71,0,0,1
S100260,2023-04-20,8.5,8.31,0,0,0
S100261,2021-07-24,4.9,8.39,0,0,1
S100262,2022-08-29,1.0,4.6,0,1,1
S100263,2022-07-11,12.4,7.91,1,0,0
S100264,2022-07-29,3.8,7.02,0,0,1
S100265,2021-12-18,11.1,4.02,0,0,0
S100266,2023-07-11,1.0,6.0,1,0,1
S100267,2023-07-11,22.8,7.73,0,0,1
S100268,2023-07-20,4.4,10.0,0,1,1
S100269,2022-01-23,5.0,3.86,1,0,1
S100270,2023-05-29,11.2,9.14,0,0,1
S100271,2021-10-26,2.4,6.98,2,0,1
S100272,2022-12-11,12.4,5.47,0,0,0
S100273,2022-02-03,8.0,8.77,1,0,0
S100274,2022-10-17,1.0,5.6,0,2,0
S100275,2023-01-29,7.2,8.1,0,0,0
S100276,2023-07-15,16.9,6.76,1,0,1
S100277,2023-08-22,11.3,6.73,0,1,1
S100278,2023-03-06,8.3,9.12,0,0,0
S100279,2023-07-29,17.6,6.36,1,0,1
S100280,2023-05-04,4.3,7.26,2,0,0
S100281,2022-05-05,37.1,6.68,1,0,1
S100282,2022-06-13,1.0,7.2,0,0,0
S100283,2023-01-15,4.0,5.65,0,0,0
S100284,2022-03-15,5.8,6.52,1,0,1
S100285,2021-09-14,5.4,8.34,0,0,0
S100286,2021-11-21,8.0,7.61,3,0,1
S100287,2022-06-02,13.2,6.82,1,1,0
S100288,2022-08-24,1.2,7.22,0,0,1
S100289,2023-06-20,8.5,6.71,2,0,0
S100290,2023-06-23,8.8,9.71,0,0,1
S100291,2023-07-16,11.8,5.02,0,1,1
S100292,2023-01-29,1.0,8.52,0,0,1
S100293,2021-07-29,6.4,5.84,1,0,0
S100294,2021-07-12,33.1,6.62,0,0,1
S100295,2021-08-18,5.0,4.58,1,1,0
S100296,2023-08-24,4.6,6.44,1,0,0
S100297,2023-08-24,1.7,5.13,0,0,0
S100298,2022-02-19,4.6,7.93,0,1,1
S100299,2023-08-18,1.0,4.94,0,1,0
S100300,2023-01-18,3.5,4.66,1,1,1
S100301,2023-04-12,10.5,7.27,0,0,0
S100302,2022-03-21,2.8,7.72,1,1,0
S100303,2021-07-13,2.4,4.88,2,0,0
S100304,2022-04-30,8.1,6.97,0,1,0
S100305,2022-07-13,2.1,8.64,1,0,0
S100306,2022-11-15,9.8,6.7,1,0,1
S100307,2022-04-16,13.6,3.54,0,0,0
S100308,2021-11-10,6.9,9.49,1,0,1
S100309,2023-06-04,10.5,6.33,0,1,1
S100310,2023-08-03,1.0,7.68,0,0,0
S100311,2022-08-06,3.7,7.79,0,0,1
S100312,2021-06-07,3.2,6.82,0,0,0
S100313,2022-03-11,6.9,7.29,1,1,1
S100314,2022-10-10,8.8,4.87,0,0,0
S100315,2023-02-18,4.0,7.26,0,2,1
S100316,2023-03-10,5.5,5.6,0,1,1
S100317,2023-04-25,3.3,8.23,2,0,1
S100318,2022-06-30,3.5,7.56,0,0,0
S100319,2022-07-21,1.8,6.85,0,0,0
S100320,2022-06-19,10.2,6.25,1,0,1
S100321,2021-09-08,6.9,6.81,0,0,0
S100322,2022-02-12,2.3,10.0,1,0,0
S100323,2022-11-01,2.3,4.55,0,1,1
S100324,2023-05-24,4.2,7.73,0,0,0
S100325,2021-09-12,9.6,8.79,0,1,0
S100326,2021-12-08,6.7,4.62,2,1,0
S100327,2022-08-26,14.4,6.33,0,0,0
S100328,2021-08-19,2.5,8.53,0,0,0
S100329,2021-11-12,6.6,5.6,1,0,1
S100330,2022-09-19,5.9,7.68,0,1,0
S100331,2021-10-07,1.2,4.68,0,1,1
S100332,2022-02-27,3.1,5.21,1,1,1
S100333,2021-07-13,7.7,6.55,1,0,0
S100334,2021-07-07,5.9,6.2,3,1,0
S100335,2022-01-13,13.5,5.67,0,0,1
S100336,2023-04-21,12.4,7.96,1,1,0
S100337,2021-12-08,2.1,8.14,1,0,1
S100338,2023-01-13,1.0,5.37,1,0,1
S100339,2023-04-25,3.8,7.97,0,0,1
S100340,2021-12-23,1.0,8.21,0,0,0
S100341,2023-02-28,5.5,8.45,1,0,0
S100342,2021-10-28,12.1,6.93,0,0,1
S100343,2022-07-26,10.6,6.86,0,0,0
S100344,2023-06-16,1.0,6.37,0,0,0
S100345,2023-07-04,10.9,9.39,1,1,1
S100346,2021-07-21,8.7,5.92,0,1,0
S100347,2022-10-15,1.0,8.67,1,0,0
S100348,2023-02-03,15.2,8.95,1,0,0
S100349,2022-12-17,1.0,5.84,3,0,1
S100350,2022-03-27,4.8,7.73,1,0,1
S100351,2022-01-20,16.1,7.51,1,0,0
S100352,2023-04-26,14.9,6.41,0,1,1
S100353,2022-02-20,4.7,7.69,1,0,1
S100354,2021-11-04,7.0,6.66,0,0,1
S100355,2023-01-30,1.0,5.39,0,2,1
S100356,2022-11-14,11.7,5.88,1,1,0
S100357,2023-02-01,5.8,8.23,0,0,0
S100358,2023-05-30,4.3,5.08,2,2,0
S100359,2022-12-24,1.8,6.5,0,0,1
S100360,2023-07-31,4.1,8.31,0,1,0
S100361,2021-08-12,3.2,6.89,2,0,0
S100362,2021-12-03,6.2,5.49,0,1,1
S100363,2021-08-21,4.2,5.74,0,1,0
S100364,2023-03-26,10.3,6.95,0,0,1
S100365,2022-08-09,14.5,7.1,1,0,1
S100366,2021-10-30,2.2,5.44,0,1,1
S100367,2022-05-29,5.5,6.25,0,0,1
S100368,2022-08-06,3.1,8.27,0,0,1
S100369,2022-05-14,1.2,7.49,0,2,1
S100370,2022-06-01,5.1,6.94,0,0,1
S100371,2023-01-18,20.6,7.19,0,0,1
S100372,2021-11-13,5.4,7.57,0,0,1
S100373,2023-04-06,9.9,7.01,1,0,0
S100374,2023-04-16,3.4,6.94,0,0,1
S100375,2022-12-23,7.6,7.85,0,0,1
S100376,2021-12-22,2.2,6.3,1,1,1
S100377,2023-06-15,2.6,6.0,0,1,0
S100378,2022-08-09,3.8,8.98,2,0,0
S100379,2022-01-14,3.7,7.62,0,0,0
S100380,2021-08-16,2.1,6.52,0,1,0
S100381,2023-03-01,6.6,4.46,0,2,1
S100382,2022-07-30,15.9,8.44,2,0,0
S100383,2022-08-17,3.9,8.38,1,0,0
S100384,2022-06-07,2.2,7.98,1,1,0
S100385,2022-06-15,3.1,5.18,0,0,0
S100386,2021-10-21,5.8,5.22,0,0,1
S100387,2022-07-19,3.8,6.49,0,0,1
S100388,2021-04-08,3.1,6.55,0,0,0
S100389,2022-09-05,1.0,6.0,1,0,0
S100390,2022-05-18,1.0,7.25,0,1,0
S100391,2022-11-29,4.1,3.71,0,0,1
S100392,2021-08-25,1.4,5.29,0,1,0
S100393,2021-10-06,9.2,7.51,0,0,1
S100394,2022-12-14,2.1,8.18,1,0,1
S100395,2021-07-31,7.1,7.48,2,0,0
S100396,2022-03-25,14.9,4.26,1,0,0
S100397,2022-10-03,4.9,8.81,1,1,0
S100398,2022-02-14,1.0,5.66,0,0,1
S100399,2022-01-12,1.0,7.42,0,0,0
S100400,2021-10-31,5.3,9.78,0,0,1
S100401,2022-07-30,1.5,4.79,0,0,0
S100402,2023-02-02,9.8,8.42,0,0,0
S100403,2021-08-09,6.3,8.38,0,0,1
S100404,2021-07-31,1.2,4.26,1,0,0
S100405,2022-04-26,4.1,8.74,1,0,0
S100406,2023-04-29,1.0,7.53,1,0,0
S100407,2023-04-03,1.2,7.1,0,0,0
S100408,2022-05-13,1.0,9.54,1,0,1
S100409,2021-11-11,1.0,5.74,0,0,0
S100410,2021-07-01,19.7,6.78,2,0,0
S100411,2023-06-29,1.8,6.56,1,0,1
S100412,2021-08-13,3.6,8.63,0,1,0
S100413,2022-02-11,2.3,7.45,0,0,0
S100414,2022-10-09,3.2,5.27,0,1,1
S100415,2021-11-13,27.4,8.93,0,0,1
S100416,2021-11-30,6.3,9.66,1,0,0
S100417,2022-03-19,13.1,5.02,0,0,1
S100418,2023-05-25,7.6,9.87,2,0,0
S100419,2023-06-27,5.7,7.24,1,0,1
S100420,2022-11-07,2.5,7.77,0,0,0
S100421,2022-05-06,6.8,6.65,0,0,1
S100422,2023-06-06,1.0,6.54,0,0,1
S100423,2022-12-21,2.9,5.7,1,0,0
S100424,2021-12-16,8.0,8.25,0,0,1
S100425,2023-06-01,3.3,7.61,0,0,1
S100426,2022-06-04,2.7,6.02,0,1,1
S100427,2023-03-17,1.1,9.57,0,0,0
S100428,2023-04-13,2.8,8.57,0,0,1
S100429,2023-05-16,1.8,8.3,1,0,1
S100430,2022-12-26,9.1,5.59,0,1,0
S100431,2022-06-05,4.5,6.05,0,0,1
S100432,2022-12-27,4.3,6.32,2,0,1
S100433,2023-02-15,10.1,6.42,1,0,0
S100434,2022-06-09,24.9,4.13,0,0,0
S100435,2021-10-27,5.2,7.26,1,0,0
S100436,2022-09-06,1.7,7.93,0,1,0
S100437,2022-11-26,1.0,6.91,1,0,1
S100438,2021-03-07,1.6,6.12,0,0,0
S100439,2022-08-20,1.0,5.05,0,0,0
S100440,2022-03-31,2.4,5.56,0,0,0
S100441,2022-01-17,1.0,7.3,0,0,0
S100442,2023-03-24,2.3,6.35,0,0,1
S100443,2023-06-30,2.4,7.97,3,1,0
S100444,2022-06-22,19.2,6.44,2,0,0
S100445,2021-07-27,3.2,5.69,1,1,0
S100446,2023-01-24,1.1,8.64,0,0,0
S100447,2022-02-07,2.7,9.47,0,0,0
S100448,2023-01-05,14.9,6.7,1,2,0
S100449,2022-07-01,1.0,7.78,1,0,1
S100450,2022-11-23,18.0,6.41,1,1,1
S100451,2022-10-09,17.1,7.2,0,1,1
S100452,2023-04-24,9.3,7.15,2,0,1
S100453,2023-06-20,4.6,10.0,0,0,0
S100454,2022-03-24,1.1,6.67,0,0,1
S100455,2021-07-15,3.2,6.87,0,0,1
S100456,2022-10-28,3.5,7.53,2,0,1
S100457,2021-09-10,3.1,7.59,0,1,1
S100458,2021-12-15,12.6,8.42,0,0,0
S100459,2022-05-18,6.9,6.99,0,0,1
S100460,2021-01-09,1.3,5.33,0,2,1
S100461,2023-04-04,17.8,9.59,2,1,0
S100462,2021-11-26,28.9,8.63,1,0,0
S100463,2021-07-06,3.2,8.42,1,0,1
S100464,2021-12-31,12.7,9.99,1,1,1
S100465,2023-01-16,4.1,7.24,1,0,0
S100466,2022-09-20,17.6,6.05,0,1,0
S100467,2022-11-24,1.3,7.66,0,0,0
S100468,2022-09-19,31.7,8.63,1,0,1
S100469,2022-02-07,5.8,5.25,1,0,0
S100470,2022-02-26,8.9,8.11,2,0,1
S100471,2023-02-25,15.8,8.25,0,0,1
S100472,2022-09-28,10.5,7.68,0,0,0
S100473,2021-08-26,4.8,6.11,0,1,1
S100474,2023-02-13,19.2,4.25,0,1,1
S100475,2022-11-19,1.0,6.03,1,0,0
S100476,2023-02-25,1.0,10.0,0,0,0
S100477,2023-01-04,4.1,9.71,1,0,0
S100478,2023-01-13,4.0,6.86,0,0,0
S100479,2021-11-26,1.2,7.63,0,0,0
S100480,2022-07-29,3.9,6.15,1,0,0
S100481,2021-07-28,7.2,5.21,1,0,0
S100482,2023-04-04,2.8,4.35,0,0,0
S100483,2022-11-08,2.7,8.3,0,0,0
S100484,2022-02-04,11.4,8.3,0,0,1
S100485,2022-08-15,1.2,7.35,0,0,0
S100486,2023-04-20,25.6,7.37,0,0,1
S100487,2021-11-05,4.9,5.6,0,1,0
S100488,2022-12-10,3.6,5.04,1,0,0
S100489,2022-10-01,4.1,6.85,0,0,1
S100490,2023-06-06,1.4,8.25,0,0,1
S100491,2022-09-21,1.0,6.37,2,0,0
S100492,2023-04-03,12.4,7.42,0,0,0
S100493,2023-07-29,4.1,7.67,0,0,1
S100494,2023-04-08,4.6,9.81,3,2,0
S100495,2023-04-29,1.0,6.98,0,0,0
S100496,2021-07-31,11.6,6.07,0,0,0
S100497,2023-04-21,1.3,7.84,1,0,0
S100498,2022-10-21,1.5,6.58,0,0,1
S100499,2022-12-12,8.6,8.35,4,2,0
S100500,2023-07-28,6.4,8.62,0,1,0
S100501,2022-04-07,2.6,4.78,0,0,1
S100502,2022-11-07,5.9,7.63,3,1,1
S100503,2023-08-22,2.1,5.61,1,0,0
S100504,2022-12-12,2.6,6.78,0,0,0
S100505,2021-08-22,1.0,5.88,0,0,0
S100506,2022-02-26,3.0,9.56,1,0,1
S100507,2022-04-03,4.2,5.73,1,0,0
S100508,2021-09-03,6.9,6.09,1,0,0
S100509,2022-09-22,3.6,5.98,2,0,1
S100510,2022-05-13,1.0,6.8,0,0,0
S100511,2022-11-08,6.7,6.29,0,2,1
S100512,2022-02-18,1.0,6.6,0,0,1
S100513,2023-05-13,10.0,5.61,0,0,1
S100514,2022-11-11,11.6,9.67,1,1,0
S100515,2021-11-28,2.8,8.99,1,0,0
S100516,2023-03-04,1.0,5.01,0,0,0
S100517,2022-11-29,10.3,3.5,0,0,1
S100518,2022-12-06,1.0,5.86,4,0,0
S100519,2023-04-04,3.7,5.79,0,1,0
S100520,2023-02-17,1.0,5.38,0,1,1
S100521,2021-09-21,4.9,6.29,0,0,1
S100522,2023-05-26,1.0,7.78,0,1,1
S100523,2022-08-31,1.3,7.82,0,0,1
S100524,2022-03-06,1.0,7.81,0,0,1
S100525,2021-09-11,8.1,7.82,0,1,0
S100526,2023-01-29,6.9,7.36,1,0,0
S100527,2021-09-25,1.4,7.49,0,0,0
S100528,2021-07-19,4.1,7.08,0,1,0
S100529,2022-04-19,1.3,5.73,1,0,1
S100530,2021-08-27,6.7,3.93,2,1,0
S100531,2022-05-24,9.7,6.23,0,1,1
S100532,2021-08-20,3.2,7.32,0,0,1
S100533,2022-04-03,1.0,7.63,0,0,1
S100534,2022-08-30,10.3,7.45,2,0,1
S100535,2022-09-14,1.4,6.64,0,0,1
S100536,2023-11-05,3.1,8.39,1,0,1
S100537,2023-04-01,6.6,7.32,1,0,0
S100538,2022-01-26,5.7,5.15,1,0,1
S100539,2021-07-20,2.4,7.16,1,0,0
S100540,2021-12-01,5.3,6.78,0,0,1
S100541,2022-06-09,1.0,4.37,0,0,1
S100542,2022-07-02,1.0,6.34,0,0,1
S100543,2022-06-27,12.2,5.45,0,0,1
S100544,2022-06-18,2.4,8.01,2,0,1
S100545,2022-04-20,4.7,5.33,0,0,0
S100546,2021-11-19,3.2,5.37,0,0,1
S100547,2023-04-10,4.1,4.2,0,1,0
S100548,2022-01-23,3.8,6.56,1,1,1
S100549,2021-09-10,1.0,8.69,2,0,1
S100550,2023-03-10,5.9,6.39,1,1,1
S100551,2022-11-04,1.0,6.74,1,1,0
S100552,2021-12-08,1.2,6.52,0,0,0
S100553,2023-08-08,4.3,5.69,0,1,1
S100554,2022-06-13,13.7,7.83,2,1,0
S100555,2023-08-17,1.0,7.38,1,0,1
