sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,study_hours_daily,self_learning_hours,motivation_level,adaptability_score,gym_frequency,family_income_lpa,resume_score,communication_skills,aptitude_score,mock_interview_score,hackathons_participated,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill,wellness_score,screen_to_study_ratio,backlog_history,attendance_percentage,cgpa,at_risk_flag
6.39,4.4,0.32,5.87,39.16,5.04,1.44,6.22,49.07,4,4.1,81.01,62.41,68.23,59.03,1,3,0,6,5.51,74.99,49.06,0.87,0,72.56,9.62,0
3.0,5.89,0.08,5.37,51.76,1.03,2.2,7.49,78.11,0,7.0,7.35,72.29,98.43,30.31,0,3,2,4,7.3,70.52,35.47,5.71,0,69.3,6.28,1
8.43,8.41,0.28,6.68,31.91,2.6,2.65,7.36,61.11,2,8.4,77.62,100.0,60.42,76.83,0,1,0,6,5.91,50.26,67.05,3.24,1,70.52,4.88,1
4.59,10.96,0.99,6.8,56.62,2.21,1.09,4.85,42.99,2,3.3,53.55,53.0,30.58,47.49,2,1,0,1,3.12,22.58,34.79,4.95,3,80.78,7.28,1
6.85,4.78,0.26,7.84,27.94,2.41,1.79,3.24,75.96,4,3.4,84.0,83.18,63.05,35.26,3,1,3,5,6.33,78.08,59.2,1.98,0,71.0,7.81,1
6.71,6.9,2.06,5.48,26.79,2.61,8.0,3.67,49.64,1,1.0,61.82,40.43,73.06,68.1,3,0,0,5,1.41,63.55,66.76,2.65,0,75.0,6.54,1
5.13,2.92,1.78,8.58,29.92,3.66,0.55,8.27,82.91,2,4.1,62.22,69.31,77.3,44.56,1,2,1,3,7.86,59.62,48.34,0.8,0,57.3,5.73,0
7.17,9.74,0.05,4.69,36.47,2.36,2.59,4.77,64.75,1,18.8,13.07,77.22,31.0,80.54,1,5,0,7,3.05,23.24,62.74,4.13,0,72.14,8.68,0
6.35,2.33,1.81,7.22,70.27,2.88,0.88,4.24,63.58,1,1.0,75.62,35.57,63.63,78.16,0,2,0,3,7.74,38.79,37.94,0.81,1,64.49,6.34,1
4.93,7.37,0.28,10.0,38.06,4.73,0.45,10.0,55.07,4,2.8,43.56,68.78,46.34,69.7,1,4,0,6,3.93,28.51,38.11,1.56,0,63.76,7.1,0
8.11,5.4,2.63,3.92,36.23,1.34,4.13,2.02,60.44,3,5.0,47.46,52.94,52.0,55.43,0,3,1,2,3.84,76.86,71.82,4.02,1,61.8,7.3,0
6.59,6.505,1.49,3.2,56.07,2.08,1.75,9.5,54.82,1,13.4,31.93,81.99,66.49,54.99,1,2,0,6,6.44,82.05,65.55,3.82,0,70.51,6.35,0
5.37,4.04,0.77,3.92,19.13,4.55,2.12,5.12,68.75,2,7.4,73.97,74.99,68.5,57.74,1,2,0,6,6.63,14.57,71.1,0.89,3,78.3,5.84,0
5.59,6.39,3.94,2.48,26.33,2.16,1.22,7.19,23.09,1,18.6,23.07,79.83,67.64,73.43,1,2,0,3,6.86,47.97,67.03,2.96,1,55.97,4.98,1
6.56,5.53,0.29,8.48,18.68,4.02,2.35,3.77,83.87,1,4.1,44.73,50.96,65.87,33.5,0,4,1,4,4.19,35.01,59.36,1.38,0,73.23,7.38,0
7.79,7.74,1.68,5.43,24.97,3.67,2.05,3.1,76.36,5,7.3,37.11,56.58,83.46,63.25,0,3,2,6,6.21,14.79,66.46,2.11,1,69.8,8.2,1
6.0,7.85,1.15,4.46,67.84,2.01,0.06,7.06,62.62,2,6.4,76.35,59.41,37.7,26.76,0,3,2,2,3.49,54.86,42.0,3.91,0,65.94,8.17,1
4.43,3.48,1.39,3.2,7.09,3.62,0.66,2.24,88.4,1,12.1,51.88,50.98,55.91,65.97,0,4,2,3,2.39,54.75,78.07,0.96,0,63.11,7.21,0
5.1,9.94,0.2,2.36,65.69,4.55,7.34,6.93,29.11,0,16.0,66.9,75.46,41.22,50.43,1,3,1,3,4.91,0.0,52.96,2.18,0,61.83,5.51,0
4.99,6.71,0.1,4.27,48.64,2.47,5.37,5.35,58.18,2,1.0,41.43,71.93,70.17,34.62,4,4,2,4,9.06,21.56,43.8,2.72,0,74.58,4.44,0
7.33,9.46,2.0,4.18,19.07,5.0,1.55,6.09,48.62,0,2.6,55.1,100.0,71.9,56.82,2,2,0,3,10.0,7.99,67.9,1.89,1,74.52,6.13,0
6.62,8.88,0.31,8.48,24.73,2.55,1.19,5.58,56.47,1,8.2,26.47,78.85,36.0,14.91,0,1,2,3,2.71,73.25,50.12,3.48,0,57.5,4.35,1
7.39,11.27,2.63,5.14,74.52,4.02,2.6,2.23,44.64,0,5.3,72.47,24.32,88.94,63.88,1,4,0,2,9.8,47.17,38.91,2.8,1,83.3,9.41,1
6.73,9.34,0.3,4.43,23.67,3.88,0.11,3.31,58.51,1,5.7,73.37,41.1,79.53,55.73,1,1,0,4,3.23,59.78,67.09,2.4,1,67.65,7.13,0
3.98,2.43,0.52,4.56,44.55,1.39,0.9,5.32,76.66,2,4.1,20.19,9.4,72.84,87.47,3,2,0,7,7.04,55.92,53.96,1.75,0,40.11,8.9,1
5.66,7.21,0.98,7.86,18.83,2.69,3.31,1.0,59.46,2,5.8,45.77,59.5,68.99,44.77,1,2,0,7,0.0,63.78,56.25,2.68,1,61.0,5.52,1
4.65,5.78,1.56,3.93,24.41,0.99,0.36,1.96,73.87,0,3.2,45.47,66.08,69.89,59.06,0,1,1,5,5.72,37.66,68.5,5.84,1,80.67,6.34,0
3.36,6.61,1.29,5.83,48.89,7.69,0.1,4.62,33.52,2,6.5,38.71,57.45,91.22,55.64,0,0,0,4,4.46,51.29,39.57,0.86,4,59.82,8.03,0
4.47,8.39,1.84,5.49,42.82,0.19,0.87,8.34,55.42,2,9.0,83.29,72.78,76.0,54.99,1,2,3,4,5.03,45.35,53.71,33.58,0,57.79,10.0,1
9.15,7.25,2.19,5.23,32.37,2.11,1.14,8.21,42.36,1,2.1,39.5,63.9,52.9,78.91,0,1,0,5,2.17,53.13,69.89,3.44,1,98.61,6.51,0
6.34,2.6,2.77,7.43,60.2,4.18,1.54,5.51,74.43,2,3.6,55.64,60.24,70.45,63.12,1,1,2,4,5.16,40.16,39.85,0.62,1,74.92,8.0,1
5.45,1.13,1.34,7.26,24.17,2.95,2.5,7.0,52.99,2,1.0,31.45,59.78,57.85,52.25,2,0,1,7,7.08,42.69,50.97,0.38,0,79.89,6.84,0
7.46,9.25,0.61,6.52,27.21,3.7,0.07,6.67,45.2,1,9.4,71.93,84.04,74.88,35.15,1,2,1,4,8.68,51.35,63.1,2.5,3,100.0,7.45,0
8.4,3.72,2.02,1.79,38.73,4.67,0.95,3.37,74.99,4,4.4,46.97,67.68,96.51,71.73,1,4,2,2,3.5,71.42,72.76,0.8,1,61.21,4.47,0
4.75,8.84,1.37,5.62,71.03,3.41,0.53,2.51,59.27,0,1.9,41.39,43.19,45.65,68.69,1,4,2,6,0.0,37.3,38.96,2.59,1,75.74,8.68,1
7.02,6.54,0.02,2.33,26.69,2.35,1.65,3.62,41.96,5,10.2,55.64,69.71,67.79,45.04,2,2,0,3,2.29,57.15,67.52,2.79,1,88.5,4.35,0
6.41,5.27,0.29,8.1,19.65,1.04,7.36,5.11,61.95,5,1.0,28.71,61.68,74.28,65.76,0,2,1,4,6.08,48.36,49.55,5.09,1,100.0,4.71,1
7.0,7.3,0.75,3.75,70.57,6.27,0.4,5.12,66.86,0,1.5,44.46,45.44,32.0,34.68,0,2,2,2,5.4,61.19,55.9,1.16,0,70.03,7.34,0
5.96,6.52,4.34,4.53,64.27,5.59,2.43,5.74,60.34,1,1.0,57.76,84.61,65.94,54.99,0,5,1,4,2.53,68.66,44.89,1.17,1,82.74,9.05,0
5.48,9.26,1.69,6.01,54.22,3.65,0.63,2.15,74.75,2,1.4,64.58,56.4,26.08,23.88,3,0,0,2,1.93,51.13,50.8,2.54,1,64.71,8.16,1
5.18,2.2,8.0,5.13,76.3,4.8,0.24,9.25,80.11,1,3.1,20.95,54.24,56.83,47.49,1,0,3,2,5.66,54.52,40.95,0.46,0,88.56,9.61,0
8.67,11.26,4.26,3.39,64.77,3.44,0.44,8.23,70.19,2,14.2,54.52,69.47,67.47,53.41,0,3,2,2,3.89,49.1,54.38,3.27,0,76.6,7.08,0
6.79,10.99,5.56,7.87,49.23,3.84,5.5,7.36,48.92,1,11.7,41.69,34.92,63.78,31.32,2,6,0,3,7.05,35.46,55.65,2.87,1,66.1,7.06,0
6.67,2.58,1.78,7.66,46.34,3.31,0.03,7.98,47.99,1,1.0,45.96,61.73,34.98,62.32,2,0,1,5,2.68,74.92,56.85,0.78,1,67.4,7.14,0
6.76,5.95,0.82,4.33,53.9,5.37,5.41,4.29,39.9,1,1.9,81.85,60.72,66.56,47.42,1,4,1,4,10.0,100.0,59.65,1.11,2,93.57,10.0,0
8.1,6.99,8.0,9.09,36.76,2.04,0.05,6.95,85.4,2,4.1,84.56,55.62,78.28,54.99,2,1,1,4,5.8,65.84,54.54,3.42,2,60.36,8.33,1
4.85,3.9,0.66,4.18,32.83,4.09,0.75,9.65,62.07,3,1.0,20.67,80.12,65.24,57.86,1,3,1,2,3.4,25.12,60.44,0.95,0,88.67,8.71,0
5.14,5.12,2.69,5.72,51.64,5.76,0.65,9.0,71.88,1,13.3,55.64,41.58,47.86,42.29,1,5,1,1,6.34,38.49,53.71,0.89,0,91.72,6.24,0
3.0,5.44,0.9,5.22,54.18,5.26,1.95,4.15,71.0,2,3.3,50.58,47.94,65.14,77.02,0,3,1,4,3.22,27.28,39.03,1.03,1,100.0,8.65,1
6.24,3.41,0.67,6.99,36.6,3.64,1.95,2.23,83.86,0,1.5,44.48,43.86,22.57,59.97,2,6,0,6,2.2,52.04,52.22,0.94,1,84.96,5.8,1
3.93,2.53,0.46,6.2,74.12,2.93,2.92,4.03,72.92,1,5.5,69.63,22.0,36.11,77.89,3,4,1,3,3.23,66.17,38.33,0.87,1,46.0,4.31,1
5.5,7.69,0.43,5.49,53.55,6.7,1.22,4.42,33.86,2,2.1,55.64,76.85,32.9,45.38,0,3,1,3,2.62,0.55,47.54,1.15,0,99.42,3.67,1
5.77,2.81,0.91,6.32,67.31,1.73,0.06,6.59,53.37,2,4.1,49.37,79.63,52.43,74.08,1,4,0,2,4.23,42.83,43.69,1.63,0,75.54,8.79,1
4.95,3.4,0.89,8.63,60.09,3.72,0.05,8.13,73.02,1,2.9,90.13,44.8,53.78,54.99,0,2,0,1,7.35,100.0,33.19,0.91,0,84.1,8.64,1
5.97,3.1,0.95,4.66,59.4,0.92,1.0,4.6,64.09,1,1.0,59.3,58.56,51.55,36.56,1,3,1,6,8.97,43.56,46.31,3.37,0,68.71,7.67,0
3.41,0.92,1.32,5.49,60.49,3.45,0.13,7.43,79.2,0,3.7,63.72,63.68,36.72,15.83,1,4,1,3,6.57,67.45,40.03,0.27,2,100.0,4.95,1
7.69,4.48,5.08,2.83,67.91,1.94,0.04,3.29,61.96,1,2.9,35.0,82.29,63.38,73.19,1,1,1,4,6.9,55.41,55.66,2.31,0,79.79,9.11,0
6.18,7.03,0.01,6.17,38.22,2.57,1.22,7.27,67.19,1,5.0,64.11,37.87,49.08,61.89,5,0,0,4,5.41,42.01,55.13,2.74,1,66.3,5.67,1
6.1,8.19,1.99,5.38,42.44,2.79,2.05,4.74,74.92,3,1.2,51.96,30.68,63.11,54.77,4,5,1,4,4.87,28.44,60.27,2.93,2,81.93,8.15,0
3.96,5.7,0.29,10.0,39.74,2.26,1.22,6.08,67.75,3,19.8,32.3,65.2,54.63,65.56,0,1,1,2,6.4,42.24,37.49,2.52,1,62.78,7.71,1
6.23,9.04,8.0,1.0,55.73,4.0,2.92,6.48,83.36,4,3.3,66.28,67.6,35.44,58.85,1,1,2,4,10.0,41.59,63.89,2.26,0,77.58,7.55,0
4.14,8.55,0.74,3.56,41.91,3.57,1.35,3.09,80.19,2,14.2,61.64,63.28,57.82,33.0,1,3,0,10,7.87,45.84,54.76,2.39,1,89.24,6.6,0
5.85,8.07,0.65,7.69,51.84,6.06,3.8,6.81,80.31,2,7.1,50.8,51.85,42.98,64.79,1,3,0,2,7.51,89.4,44.29,1.33,1,81.8,6.55,0
5.72,2.75,0.89,6.05,31.55,4.15,1.22,4.9,57.51,5,1.8,38.81,70.13,64.74,65.14,2,3,0,10,6.59,48.03,56.05,0.66,1,43.43,9.99,0
7.8,3.2,0.12,4.35,33.49,2.23,3.45,10.0,61.17,3,4.3,70.91,82.05,75.94,88.39,1,3,0,7,5.35,67.97,69.03,1.44,0,72.39,7.62,0
7.47,7.81,0.49,5.03,69.12,1.55,2.68,6.08,52.29,3,3.5,72.88,60.5,75.47,54.99,0,2,0,6,2.67,54.53,54.23,5.03,1,71.0,7.2,0
5.41,6.82,0.27,6.46,54.34,2.23,1.56,6.9,28.36,1,1.3,71.58,78.9,47.87,43.03,3,4,1,5,5.3,37.64,42.42,3.06,1,77.56,6.03,1
6.75,8.44,7.71,6.11,11.75,1.65,0.48,5.57,35.7,1,6.7,61.08,74.82,54.19,70.77,2,4,0,7,2.07,63.52,65.31,5.11,0,80.7,6.94,1
7.19,9.91,5.18,4.01,36.02,4.79,0.96,5.05,40.62,4,27.8,43.28,97.79,91.68,85.89,1,3,0,5,7.14,54.51,61.32,2.07,1,87.8,7.31,0
6.58,4.38,1.37,8.62,77.27,2.07,0.7,2.63,65.17,0,6.8,74.71,75.97,74.08,18.54,2,3,1,5,8.62,43.26,27.33,2.12,1,71.0,5.95,1
4.39,6.53,0.13,6.0,49.61,4.04,1.8,8.58,48.27,2,2.6,62.62,100.0,49.53,65.04,0,3,0,2,6.84,30.2,42.74,1.61,0,80.52,7.56,0
7.57,3.42,0.29,8.24,47.53,3.92,1.46,1.06,76.58,3,9.0,55.64,23.91,48.05,97.76,0,3,0,5,8.43,62.71,50.23,0.87,0,63.97,6.64,1
6.2,7.99,0.64,5.95,22.33,3.11,0.93,4.24,95.98,2,12.8,44.57,59.72,46.31,51.41,2,0,1,5,6.24,30.76,57.21,2.57,0,99.37,10.0,0
6.25,5.37,1.25,10.0,4.7,3.7,0.63,5.34,36.84,4,1.9,18.6,40.44,32.41,27.7,3,0,1,10,6.87,58.24,52.99,1.45,0,72.2,4.46,1
6.99,7.23,1.67,6.72,55.53,4.96,0.3,6.57,56.08,0,11.3,77.26,63.66,63.41,91.12,1,1,0,7,3.01,48.15,52.96,1.46,1,82.2,4.89,1
4.23,5.72,0.76,2.93,39.31,5.17,1.48,2.68,71.31,3,4.5,55.96,60.55,85.6,55.88,3,4,3,2,4.16,41.38,57.27,1.11,1,74.95,6.42,0
8.57,4.47,2.18,10.0,39.51,4.07,1.81,3.82,56.51,2,1.4,33.9,75.01,67.12,27.77,0,4,1,2,6.77,40.69,48.51,1.1,1,96.05,8.07,0
5.07,5.84,6.78,7.06,36.28,3.4,0.17,5.48,74.07,1,1.0,59.75,37.37,71.14,68.69,1,3,0,5,5.2,41.5,52.41,1.72,0,75.7,6.25,1
8.3,8.73,1.6,10.0,49.92,4.6,1.22,7.06,64.06,3,9.3,82.57,50.03,61.17,70.28,2,2,2,3,3.47,63.51,53.36,1.9,1,95.27,6.57,1
5.18,3.63,2.88,4.84,63.3,1.92,3.08,6.54,66.1,0,1.0,46.59,47.41,63.76,52.16,2,2,0,4,1.86,47.53,47.07,1.89,1,88.0,6.96,1
7.43,8.93,2.66,6.12,60.2,3.7,0.78,5.75,81.13,3,7.3,55.41,63.12,49.83,27.48,0,5,1,5,1.64,89.11,51.97,2.42,0,68.5,7.28,1
4.98,7.23,0.16,10.0,10.53,4.49,5.03,7.91,56.48,1,1.0,36.96,59.98,60.87,27.99,0,2,0,2,7.03,44.81,46.64,1.61,1,100.0,6.28,0
5.22,8.21,1.58,3.52,21.3,3.18,1.14,4.08,71.98,2,11.3,64.29,83.54,46.0,38.55,0,1,0,9,1.08,36.27,73.01,2.58,0,58.6,7.12,1
4.34,8.82,1.83,4.29,77.07,3.73,2.2,7.48,64.42,3,3.9,72.61,48.09,45.94,50.06,0,4,1,7,4.81,55.51,43.45,2.36,1,56.38,7.38,0
5.06,9.07,1.97,4.02,73.41,4.13,1.69,7.7,55.87,1,10.0,93.16,79.32,87.73,55.88,0,1,1,6,6.92,54.99,43.53,2.2,1,88.29,4.2,1
8.54,7.97,0.23,10.0,57.92,1.89,3.08,4.9,46.49,4,1.9,27.87,44.54,71.93,79.78,2,4,1,4,7.03,59.9,45.26,4.21,0,74.39,8.83,1
4.32,3.79,0.39,4.26,36.56,1.9,2.44,6.04,59.09,4,9.7,69.31,66.06,39.23,54.99,1,2,3,2,7.28,33.38,57.21,1.99,0,100.0,8.22,0
6.66,9.46,0.23,7.89,51.99,3.64,1.81,2.78,52.01,1,1.0,75.69,35.58,75.19,47.5,0,1,1,5,4.95,55.15,49.11,2.6,0,85.29,8.96,0
6.59,8.5,2.51,2.47,62.55,3.82,4.77,5.26,55.17,4,5.7,39.72,72.93,59.51,77.36,1,3,1,1,6.71,26.82,54.73,2.22,0,60.89,7.39,1
3.39,10.73,0.5,6.57,14.17,2.35,1.34,4.35,68.48,2,6.3,52.69,87.7,48.62,60.79,3,3,1,4,2.66,56.68,54.79,4.56,0,75.15,9.34,0
7.16,5.71,1.92,7.49,63.13,2.43,5.96,3.98,69.66,2,6.7,30.88,58.68,58.19,17.08,3,4,0,3,4.33,90.13,41.8,2.35,0,59.23,5.54,1
8.39,11.37,1.83,6.71,16.1,1.77,0.67,6.14,31.07,2,1.0,35.9,54.83,46.6,80.89,1,4,1,3,9.75,69.15,66.73,6.44,1,83.0,7.41,0
6.12,3.8,0.07,6.69,45.02,2.64,1.2,3.29,41.8,2,3.5,56.51,52.56,78.68,59.05,4,3,1,0,2.98,48.25,60.11,1.44,0,65.08,6.61,1
7.33,6.91,0.74,1.46,53.55,2.97,6.09,6.59,58.25,1,2.0,36.32,64.84,63.4,54.99,1,3,2,5,6.65,18.51,71.58,2.33,1,87.0,7.85,0
4.19,6.79,1.36,3.96,52.25,6.05,5.03,7.23,38.58,0,1.0,74.52,76.63,53.24,54.99,1,4,0,2,3.98,71.65,50.76,1.12,1,89.18,9.41,0
7.95,4.05,1.54,3.92,42.2,5.36,1.32,6.83,45.64,3,5.2,63.54,62.37,43.06,29.53,1,0,1,3,5.15,7.82,65.99,0.75,0,78.14,5.33,0
6.03,7.14,1.2,7.58,72.07,3.09,1.22,5.65,70.09,5,4.1,52.55,45.95,55.74,25.63,1,4,0,3,5.55,36.48,39.03,2.31,0,60.27,6.48,1
6.0,7.18,1.88,4.91,50.77,1.45,2.8,3.15,87.32,1,2.5,48.66,42.91,50.74,56.88,0,2,1,3,6.64,58.84,51.14,4.94,1,73.31,4.61,1
