student_id,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,motivation_level,adaptability_score,gym_frequency,wellness_score,screen_to_study_ratio,extracurricular_hours,survey_date
S100026,5.73,6.505,1.7,1.32,30.59,7.12,42.57,0,67.15,1.77,0.24,2024-03-29
S100027,3.1,2.2,2.72,3.97,72.13,8.99,51.18,2,38.19,0.61,4.54,2024-03-16
S100028,7.77,4.21,0.05,6.04,37.07,4.86,53.7,1,63.3,0.95,0.85,2024-02-29
S100029,5.72,4.12,0.07,5.83,44.23,7.5,58.61,2,50.32,0.98,1.98,2024-04-21
S100030,5.26,4.77,0.24,6.22,45.23,8.82,67.2,2,52.74,1.37,0.93,2024-03-13
S100031,7.8,5.94,0.48,3.54,40.4,3.27,50.27,0,61.46,12.08,0.19,2024-03-30
S100032,3.99,5.59,0.41,1.42,56.34,6.91,65.26,1,58.37,22.38,4.09,2024-02-02
S100033,7.05,10.61,1.38,5.98,65.5,5.95,65.31,1,41.03,3.65,0.25,2024-02-22
S100034,3.41,0.92,1.32,5.49,60.49,7.43,79.2,0,40.03,0.27,1.54,2024-04-03
S100035,5.37,3.97,0.22,6.09,51.17,3.92,46.2,2,49.9,0.86,2.11,2024-02-10
S100036,4.61,6.77,0.98,3.0,30.3,9.12,62.07,0,69.56,2.13,0.97,2024-02-27
S100037,8.35,8.37,0.13,5.77,65.39,4.97,57.81,1,51.47,3.18,4.22,2024-04-22
S100038,8.77,6.77,2.31,3.81,9.3,9.34,49.99,4,80.52,1.39,3.43,2024-02-04
S100039,5.84,6.42,0.2,10.0,75.26,6.33,80.4,3,20.04,1.64,3.97,2024-03-01
S100040,7.48,7.84,0.77,2.41,32.65,10.0,75.15,1,72.92,3.1,3.37,2024-04-15
S100041,6.05,6.02,3.8,7.89,59.35,4.28,59.32,2,36.99,1.79,9.29,2024-03-19
S100042,7.1,5.78,3.63,3.33,38.57,6.33,54.8,3,68.06,2.21,8.2,2024-03-31
S100043,5.25,7.42,0.64,5.61,34.89,7.09,56.62,1,49.01,3.13,2.05,2024-04-02
S100044,3.91,2.88,1.7,5.81,51.45,1.81,75.66,1,42.84,0.68,1.59,2024-04-06
S100045,3.78,6.53,5.43,7.26,23.23,4.38,72.02,0,49.63,2.88,10.1,2024-03-23
S100046,6.84,4.53,1.59,7.63,15.99,5.16,59.31,3,68.95,1.46,2.1,2024-02-27
S100047,9.45,7.13,2.72,6.17,44.03,8.43,100.0,1,63.04,1.75,1.13,2024-03-26
S100048,6.68,5.99,2.46,3.73,73.68,6.52,37.24,2,49.57,2.35,3.61,2024-02-28
S100049,5.57,9.59,0.71,5.97,44.17,5.4,91.97,3,52.83,2.15,3.52,2024-04-23
S100050,8.98,7.85,0.06,5.62,60.52,8.88,68.23,3,57.51,1.23,0.16,2024-02-08
S100051,6.63,7.23,0.14,4.47,6.07,6.19,47.71,1,71.84,8.9,3.7,2024-05-02
S100052,6.44,4.52,0.55,5.54,81.45,6.43,42.57,1,41.37,1.26,10.93,2024-03-19
S100053,6.65,7.86,0.26,8.59,45.55,7.6,81.35,4,42.0,4.18,1.39,2024-03-24
S100054,6.11,1.15,3.34,5.98,27.03,5.92,41.58,2,58.91,0.4,0.7,2024-04-13
S100055,5.87,8.68,0.68,4.17,11.26,2.98,45.31,2,75.23,34.71,1.88,2024-03-28
S100056,4.29,8.59,0.52,8.5,84.52,8.06,84.94,1,24.05,2.53,0.13,2024-04-11
S100057,7.0,6.96,0.38,9.8,44.23,2.94,68.5,0,39.81,2.2,1.13,2024-02-02
S100058,6.17,8.15,1.46,9.13,51.69,5.63,60.77,2,30.29,3.73,0.2,2024-12-02
S100059,7.97,3.01,1.17,5.86,48.35,6.11,49.35,2,52.96,0.57,4.76,2024-02-23
S100060,5.78,5.26,0.2,5.74,49.9,7.04,46.29,3,50.8,2.43,1.09,2024-03-22
S100061,3.63,4.27,0.62,6.7,18.96,4.08,64.24,0,52.66,2.7,4.13,2024-04-08
S100062,6.16,7.93,1.7,5.41,37.27,6.36,53.56,0,61.64,9.68,7.11,2024-02-18
S100063,8.68,7.93,0.51,1.81,21.62,7.94,76.63,0,81.37,1.64,3.33,2024-04-12
S100064,5.76,10.4,2.29,8.24,24.55,5.48,62.45,3,63.49,3.36,6.73,2024-03-18
S100065,5.05,3.91,0.85,3.42,15.72,4.54,59.96,4,66.95,1.63,10.03,2024-02-22
S100066,4.63,4.29,0.19,3.37,0.16,5.04,57.93,1,81.23,1.51,0.82,2024-02-09
S100067,4.83,7.54,4.68,5.08,28.89,4.63,57.0,0,55.07,6.67,1.16,2024-03-27
S100068,5.88,4.96,0.52,8.37,24.6,7.29,57.72,3,54.17,1.84,0.13,2024-03-25
S100069,4.65,4.84,0.27,5.43,100.0,8.28,42.11,4,30.17,1.31,1.6,2024-02-28
S100070,8.4,8.03,0.04,8.13,25.75,5.13,53.04,2,66.31,2.02,0.07,2024-03-06
S100071,5.9,6.5,1.97,7.09,50.75,4.3,57.6,3,48.23,1.42,2.58,2024-04-07
S100072,6.45,5.07,4.99,7.78,36.55,1.39,55.46,2,48.84,1.87,6.37,2024-03-25
S100073,8.31,9.21,4.83,4.02,45.66,6.01,80.82,1,63.57,2.23,2.09,2024-03-03
S100074,8.4,6.21,3.59,2.69,71.55,6.38,33.17,2,58.13,2.66,4.78,2024-02-23
S100075,6.0,3.0,2.98,3.6,14.2,2.01,75.79,1,69.74,0.88,1.06,2024-02-14
S100076,6.76,5.97,0.06,9.85,76.37,1.0,65.7,1,31.03,2.55,1.36,2024-04-10
S100077,7.33,6.48,1.08,3.28,95.65,4.94,14.43,1,46.2,1.83,5.47,2024-03-21
S100078,6.03,4.77,5.88,9.2,28.5,1.99,90.72,2,44.73,1.33,2.46,2024-03-25
S100079,3.81,9.03,0.19,5.65,41.05,5.85,58.25,3,48.06,3.91,0.31,2024-04-17
S100080,7.22,7.19,3.28,3.38,82.1,5.74,34.95,0,53.3,2.13,0.24,2024-04-21
S100081,7.55,8.22,0.56,4.36,19.35,5.96,71.59,0,71.99,4.62,3.34,2024-02-19
S100082,6.88,8.68,0.38,8.08,40.62,8.33,80.74,4,45.34,23.4,0.73,2024-07-04
S100083,5.01,5.87,0.71,5.14,25.76,6.78,80.82,3,59.89,1.47,1.1,2024-04-06
S100084,6.03,5.98,2.3,4.4,67.85,4.61,70.1,0,47.84,5.24,8.89,2024-02-03
S100085,5.47,6.79,0.38,8.06,42.41,8.07,35.03,2,48.13,2.75,4.96,2024-01-02
S100086,5.88,6.505,3.98,4.75,8.87,6.45,88.66,3,67.37,2.84,0.23,2024-02-22
S100087,8.12,10.12,1.11,4.78,57.86,8.03,80.9,0,61.68,7.15,2.58,2024-03-26
S100088,8.44,4.43,2.13,8.12,33.48,5.53,49.05,1,52.86,2.68,5.31,2024-03-27
S100089,7.24,3.29,0.12,7.55,63.81,9.58,42.6,3,41.56,0.98,3.15,2024-02-05
S100090,7.07,7.96,4.55,6.25,44.79,2.38,53.12,1,55.58,3.76,1.56,2024-03-07
S100091,7.25,6.12,0.51,4.69,52.9,4.41,67.13,2,46.66,1.51,0.32,2024-03-19
S100092,6.28,3.12,0.63,4.72,48.15,4.06,48.41,4,53.55,0.87,6.78,2024-04-24
S100093,6.19,8.4,0.98,10.0,81.81,3.91,69.54,0,19.93,5.68,1.71,2024-02-02
S100094,5.36,8.51,0.18,3.24,10.89,6.74,47.9,3,70.53,2.59,1.53,2024-04-26
S100095,6.22,4.53,3.54,1.54,24.54,10.0,34.82,1,70.49,0.84,2.74,2024-02-08
S100096,9.46,3.73,0.27,5.92,41.56,4.38,34.52,2,67.02,1.54,1.05,2024-03-02
S100097,7.52,8.62,0.07,4.79,49.49,5.39,66.36,3,67.89,2.06,0.78,2024-04-05
S100098,5.82,8.39,1.65,7.88,22.28,8.64,94.52,2,51.26,7.37,0.81,2024-02-24
S100099,5.64,8.58,1.44,4.73,50.67,3.93,69.86,2,51.11,2.52,9.52,2024-03-11
S100100,5.09,5.88,3.97,7.1,31.01,10.0,63.6,1,59.34,0.87,3.35,2024-02-02
S100101,6.82,8.78,1.43,5.63,27.91,5.68,52.92,2,69.88,4.7,16.25,2024-04-02
S100102,6.85,10.77,2.31,4.73,36.8,2.23,58.17,2,66.75,2.89,2.34,2024-03-03
S100103,4.28,8.51,7.21,6.44,56.95,9.81,68.3,2,49.14,2.33,0.36,2024-02-04
S100104,6.98,8.38,0.96,4.28,61.3,7.22,52.12,4,46.4,1.27,10.99,2024-03-24
S100105,5.5,9.54,0.05,10.0,73.16,2.51,86.02,3,32.12,3.5,1.98,2024-04-17
S100106,8.3,7.95,0.66,7.99,65.52,6.55,54.83,0,37.81,2.48,0.41,2024-04-07
S100107,6.52,6.78,1.8,6.52,40.07,5.99,50.59,2,56.03,2.13,3.42,2024-03-17
S100108,8.7,7.64,1.58,7.43,30.86,2.67,91.07,4,63.37,1.69,2.47,2024-02-08
S100109,5.66,9.14,1.77,4.83,41.82,4.65,33.38,1,50.04,2.0,0.75,2024-04-14
S100110,5.9,7.53,1.11,6.22,51.91,9.23,45.5,1,47.04,1.27,6.49,2024-02-24
S100111,6.72,8.45,0.47,6.82,38.04,4.08,95.44,1,51.73,2.33,0.18,2024-02-17
S100112,7.78,5.8,2.55,8.3,0.0,3.89,48.43,3,64.83,5.45,3.54,2024-04-27
S100113,7.09,6.54,4.79,6.99,74.5,4.54,52.07,4,39.52,1.73,1.14,2024-03-17
S100114,4.57,3.14,0.85,7.03,50.48,6.62,64.77,3,50.93,0.65,5.44,2024-02-08
S100115,6.56,8.94,2.93,9.7,20.77,5.54,36.11,3,55.09,1.58,3.45,2024-02-14
S100116,6.33,7.62,0.4,6.72,55.83,3.81,54.74,1,47.34,2.55,0.6,2024-04-13
S100117,5.7,4.23,1.37,3.74,54.64,1.68,90.57,0,55.55,16.94,0.61,2024-04-28
S100118,5.39,7.87,1.88,6.55,9.4,5.81,79.1,1,69.33,1.33,10.32,2024-04-10
S100119,8.75,4.8,2.94,6.15,52.09,8.67,48.98,2,56.45,1.62,8.01,2024-04-22
S100120,5.75,8.0,0.59,7.91,53.16,8.28,46.85,1,43.0,2.56,3.73,2024-04-27
S100121,5.12,11.46,1.83,1.91,60.69,8.98,64.36,2,63.85,4.71,12.82,2024-03-27
S100122,7.19,7.08,4.65,8.88,35.19,5.3,74.54,0,51.79,2.14,1.21,2024-02-10
S100123,6.48,4.95,1.42,3.26,44.16,5.81,59.96,2,60.87,4.43,0.77,2024-04-11
S100124,6.19,5.61,1.72,8.73,54.77,6.0,62.57,1,37.27,22.45,17.17,2024-04-29
S100125,7.39,7.33,0.07,7.32,50.8,6.88,20.35,1,49.69,2.35,5.55,2024-04-28
S100126,6.98,5.67,0.03,4.05,22.66,7.34,40.52,1,66.65,0.99,0.3,2024-04-18
S100127,6.81,8.31,1.56,4.65,22.02,5.4,76.7,1,69.59,2.12,2.52,2024-03-01
S100128,7.65,2.07,1.05,4.98,25.69,7.06,84.01,0,68.1,0.82,3.23,2024-04-14
S100129,6.7,10.08,2.64,6.24,32.43,1.0,100.0,0,54.4,24.05,1.74,2024-03-23
S100130,5.44,6.31,1.1,3.54,45.77,3.98,74.73,1,59.9,2.34,7.65,2024-08-04
S100131,5.79,6.57,0.22,4.98,40.76,6.68,43.45,4,51.63,1.21,10.61,2024-03-05
S100132,5.57,9.82,4.19,7.58,81.21,2.81,59.35,6,30.42,2.13,1.96,2024-03-19
S100133,6.59,9.03,2.42,6.0,42.35,3.29,56.5,4,59.34,9.36,0.13,2024-02-04
S100134,4.79,2.26,0.16,5.57,75.27,7.48,53.11,3,35.35,0.88,6.7,2024-02-12
S100135,3.73,3.23,3.44,7.48,65.02,5.71,71.06,1,37.57,2.93,0.07,2024-03-31
S100136,6.42,8.78,0.24,3.74,24.33,6.52,63.42,5,76.4,4.58,7.02,2024-03-31
S100137,4.43,6.505,0.41,3.44,79.74,5.34,60.67,1,37.52,4.22,2.83,2024-11-04
S100138,3.57,4.37,0.07,5.21,68.68,4.9,46.9,3,36.07,1.09,2.51,2024-02-29
S100139,6.82,6.505,0.28,6.38,74.63,7.12,76.48,3,43.27,1.77,1.82,2024-12-02
S100140,5.3,6.25,0.93,4.29,48.13,4.24,53.29,4,53.4,1.91,6.09,2024-02-10
S100141,6.99,7.55,3.4,5.88,20.64,5.94,38.2,1,69.5,2.62,6.08,2024-03-14
S100142,5.56,4.53,0.47,6.48,36.03,3.96,69.48,6,55.58,2.22,10.27,2024-03-11
S100143,4.73,5.43,0.61,6.98,40.72,6.62,73.72,4,42.08,1.6,7.38,2024-04-03
S100144,4.56,6.08,0.34,7.46,45.76,4.99,75.08,0,44.01,3.87,4.52,2024-03-20
S100145,5.58,7.21,0.01,4.96,43.19,7.36,75.6,2,47.86,2.05,0.8,2024-04-24
S100146,5.92,9.03,4.01,8.78,58.06,3.42,53.53,1,29.94,1.89,0.01,2024-02-05
S100147,5.15,2.58,2.65,6.48,29.09,4.6,37.33,1,58.79,1.1,2.38,2024-03-30
S100148,5.91,4.54,3.24,5.22,100.0,7.35,46.88,1,32.49,2.45,3.51,2024-04-06
S100149,4.15,4.67,0.91,8.46,40.51,6.57,64.42,0,39.01,1.05,1.52,2024-04-13
S100150,6.32,6.78,3.09,4.99,61.16,6.49,56.63,2,53.3,2.32,5.5,2024-03-09
S100151,3.79,4.7,2.16,3.39,59.81,3.54,77.28,2,47.12,2.1,2.06,2024-03-16
S100152,6.03,6.66,1.55,6.59,49.64,2.29,88.09,2,52.18,2.03,4.95,2024-02-26
S100153,7.28,9.2,0.42,2.34,32.46,2.72,49.32,3,66.64,2.46,5.42,2024-02-25
S100154,7.83,6.82,2.51,4.54,85.51,3.45,74.51,2,39.53,2.21,1.08,2024-03-31
S100155,8.7,9.48,0.58,5.97,38.73,4.61,58.31,5,62.73,2.99,4.55,2024-02-04
S100156,4.12,6.44,0.93,6.86,55.79,3.6,65.75,1,44.92,1.46,11.16,2024-04-21
S100157,7.36,2.07,2.99,7.57,31.19,6.75,32.7,1,61.3,0.8,1.73,2024-02-27
S100158,7.99,6.39,1.47,6.68,56.4,5.51,66.84,4,49.84,15.49,1.95,2024-04-26
S100159,7.67,7.21,0.5,6.56,61.35,10.0,45.19,2,46.84,1.78,0.27,2024-03-24
S100160,5.0,4.9,0.16,4.33,31.43,1.0,52.43,3,57.33,0.75,10.12,2024-04-09
S100161,6.88,6.13,2.35,6.73,66.19,7.22,79.65,1,41.66,9.91,6.85,2024-04-25
S100162,8.9,6.505,0.34,4.95,45.4,8.71,64.16,2,68.56,3.9,2.71,2024-03-21
S100163,4.2,7.63,0.05,5.22,14.42,4.89,33.98,2,56.32,2.46,1.6,2024-04-14
S100164,6.97,3.83,0.42,4.64,29.24,5.72,72.25,3,68.6,1.9,1.83,2024-03-01
S100165,7.86,3.38,0.4,8.86,20.29,4.79,37.1,2,57.95,3.86,0.44,2024-03-09
S100166,5.32,8.08,0.26,8.67,18.69,6.19,86.27,1,53.13,2.44,0.22,2024-02-04
S100167,7.12,7.92,2.96,1.28,55.52,4.18,56.15,1,64.79,1.54,8.96,2024-02-26
S100168,4.8,3.56,0.69,4.99,56.2,9.73,42.69,1,48.95,1.34,7.65,2024-04-16
S100169,5.16,5.99,1.22,3.52,35.76,4.04,48.74,0,65.48,0.97,13.22,2024-04-01
S100170,5.16,6.67,2.44,5.61,19.86,9.69,76.28,3,61.17,1.82,4.26,2024-04-25
S100171,6.57,8.9,0.98,8.55,44.35,1.68,51.7,2,51.67,8.71,3.88,2024-02-28
S100172,6.17,8.49,0.37,5.91,61.67,7.3,56.86,3,45.4,2.16,2.36,2024-03-16
S100173,7.64,12.24,1.49,7.97,48.41,8.24,45.65,0,49.97,4.61,2.02,2024-04-21
S100174,4.98,4.83,0.3,4.06,19.66,5.58,45.16,1,65.15,1.59,1.27,2024-03-06
S100175,6.12,2.11,2.17,9.23,60.08,6.59,48.85,1,34.76,1.34,6.76,2024-11-02
S100176,7.65,6.25,0.4,10.0,66.5,3.47,61.1,2,37.05,1.2,0.07,2024-02-05
S100177,7.09,8.98,0.39,6.05,48.8,9.62,76.36,2,55.03,2.01,2.37,2024-03-22
S100178,4.45,3.74,0.2,1.0,1.14,5.37,30.76,0,76.91,1.71,1.19,2024-03-17
S100179,7.23,3.9,5.15,2.6,45.89,7.17,63.42,1,76.83,1.06,3.59,2024-08-02
S100180,5.63,7.07,3.06,3.26,45.76,5.75,46.22,1,67.01,2.32,1.87,2024-05-04
S100181,6.84,6.57,3.21,7.71,29.02,7.76,78.84,0,57.22,10.94,5.68,2024-04-23
S100182,6.72,9.68,0.83,5.54,15.29,8.17,75.42,2,61.16,1.78,0.98,2024-04-13
S100183,8.01,5.32,0.27,3.48,59.45,6.95,69.45,3,58.73,2.05,1.44,2024-04-03
S100184,6.46,12.96,5.81,7.19,58.8,6.64,62.75,2,49.37,3.96,1.7,2024-03-07
S100185,3.7,8.69,0.41,4.75,33.41,5.33,55.19,1,45.63,2.48,3.88,2024-03-18
S100186,4.38,8.72,0.12,2.33,62.71,1.0,62.16,2,43.23,4.14,3.6,2024-03-17
S100187,7.32,3.29,1.81,1.45,21.53,5.71,38.37,2,79.36,0.99,9.46,2024-02-09
S100188,5.94,7.68,1.05,7.46,26.95,5.41,73.66,0,52.02,2.43,0.12,2024-03-18
S100189,7.89,11.03,0.13,7.39,7.37,3.66,28.57,2,68.19,4.13,2.04,2024-04-11
S100190,6.68,5.88,0.75,3.73,36.39,10.0,75.12,0,63.78,2.12,0.0,2024-01-04
S100191,5.25,10.94,0.25,3.35,37.47,3.3,46.92,5,62.59,2.5,3.71,2024-02-04
S100192,7.82,8.5,2.74,4.9,68.08,8.78,31.75,3,53.17,1.96,1.51,2024-06-03
S100193,5.17,9.55,0.5,10.0,47.76,5.49,30.0,1,38.98,3.88,0.16,2024-03-28
S100194,3.43,6.505,1.34,6.53,51.3,6.79,87.3,1,42.81,3.05,3.89,2024-03-05
S100195,9.19,9.07,1.03,4.65,12.57,2.69,56.24,0,79.7,3.02,7.81,2024-05-02
S100196,3.62,2.2,3.11,4.42,35.31,6.4,69.54,0,51.17,0.61,7.64,2024-02-05
S100197,7.19,6.18,0.97,7.07,45.89,5.33,66.47,3,51.05,24.7,6.58,2024-03-17
S100198,7.61,5.4,0.16,7.92,64.25,7.87,68.09,2,38.77,1.24,2.31,2024-03-10
S100199,6.51,6.75,0.34,3.32,38.06,2.6,68.84,0,60.19,1.17,0.07,2024-02-01
S100200,3.94,5.48,1.2,4.76,54.59,6.29,18.0,0,48.88,5.72,3.76,2024-02-11
S100201,7.72,3.46,0.59,5.86,62.52,1.9,72.55,2,53.48,2.46,10.11,2024-03-31
S100202,4.28,7.52,0.68,5.69,32.37,6.88,75.24,3,47.53,2.73,1.51,2024-10-03
S100203,4.42,7.29,0.17,6.05,36.79,4.13,76.54,1,49.98,3.55,0.06,2024-03-17
S100204,5.79,6.47,4.0,5.39,12.39,7.48,33.54,1,67.53,1.82,2.01,2024-03-28
S100205,7.4,8.83,1.16,9.55,30.33,3.41,65.31,3,54.82,2.57,20.0,2024-02-26
S100206,6.72,5.6,1.05,4.69,39.99,8.42,100.0,1,59.94,4.42,3.63,2024-03-15
S100207,7.44,8.81,0.53,7.95,44.08,3.98,51.92,4,55.83,1.87,5.3,2024-02-04
S100208,5.68,8.41,0.14,4.81,79.37,5.63,64.04,2,46.64,2.15,3.87,2024-02-13
S100209,6.06,4.31,1.13,10.0,50.63,7.04,47.53,2,35.73,1.28,1.97,2024-04-02
S100210,4.71,8.54,0.54,5.04,57.82,2.89,40.92,3,50.45,3.12,1.56,2024-02-02
S100211,5.86,6.505,0.1,5.55,58.21,6.7,71.17,3,46.29,1.13,4.32,2024-04-13
S100212,7.13,7.38,0.23,8.18,45.47,6.49,35.09,0,54.33,1.49,3.38,2024-09-02
S100213,5.88,5.51,1.56,4.08,2.98,3.06,39.97,3,78.97,1.49,6.18,2024-04-15
S100214,6.97,9.77,2.34,7.75,56.22,5.81,70.77,1,46.6,4.39,3.65,2024-04-07
S100215,5.5,7.69,0.43,5.49,53.55,4.42,33.86,2,47.54,1.15,1.2,2024-02-24
S100216,5.47,0.0,0.28,5.62,45.91,4.41,58.92,1,46.72,0.0,0.31,2024-04-26
S100217,6.35,4.14,0.88,3.85,36.77,5.83,91.1,1,65.8,1.39,1.68,2024-03-23
S100218,6.03,3.36,4.11,6.85,31.59,5.25,72.12,2,54.32,0.5,3.3,2024-03-17
S100219,7.13,5.81,3.26,4.53,55.8,1.0,72.68,2,61.18,1.51,0.49,2024-02-21
S100220,6.55,8.2,1.29,6.06,46.76,10.0,86.59,3,56.28,1.58,5.25,2024-09-02
S100221,8.74,6.67,2.48,5.41,24.96,1.09,49.18,1,65.76,26.69,5.25,2024-04-26
S100222,5.99,2.19,0.07,6.29,12.68,5.74,52.66,2,65.73,0.53,0.82,2024-03-26
S100223,5.98,1.23,1.11,5.42,56.51,5.58,61.08,0,43.79,0.86,8.75,2024-02-28
S100224,4.84,6.49,0.59,8.24,27.94,5.51,65.42,3,52.2,4.65,6.47,2024-02-17
S100225,6.33,5.77,1.81,3.25,30.01,4.35,34.44,0,64.68,1.85,4.31,2024-01-04
S100226,7.26,8.53,3.11,5.79,54.61,4.83,75.12,3,48.44,1.72,0.85,2024-02-16
S100227,5.26,7.88,0.62,8.17,17.78,1.54,69.71,1,55.96,2.46,1.86,2024-03-03
S100228,6.23,7.11,0.09,7.38,14.18,5.57,63.86,3,53.04,2.81,1.7,2024-03-26
S100229,7.31,9.96,0.6,8.02,45.88,5.89,65.72,5,51.24,9.65,2.48,2024-04-17
S100230,6.12,7.36,1.94,3.73,25.53,8.54,31.47,0,64.7,2.17,5.19,2024-04-17
S100231,5.57,8.27,3.03,8.86,68.42,5.07,77.21,1,33.19,2.61,1.19,2024-02-20
S100232,7.66,5.35,0.04,4.72,29.06,3.85,48.35,2,71.38,1.25,8.86,2024-04-05
S100233,6.44,7.49,2.09,5.88,22.62,4.24,65.28,0,59.21,2.5,1.69,2024-04-14
S100234,6.86,10.72,0.15,4.32,60.66,3.07,50.83,2,47.27,2.37,15.38,2024-03-17
S100235,7.94,3.72,0.91,7.51,51.56,3.25,28.22,2,54.17,1.45,0.49,2024-03-23
S100236,7.9,3.39,0.06,7.62,53.6,7.52,93.79,3,44.71,0.85,3.95,2024-03-10
S100237,5.81,5.33,1.17,2.29,65.32,5.7,55.66,1,54.38,1.19,6.72,2024-04-14
S100238,5.56,9.26,0.51,1.0,53.92,8.44,100.0,0,56.44,4.3,3.56,2024-03-11
S100239,6.7,6.63,3.09,7.42,50.29,7.14,68.28,0,47.58,2.18,3.75,2024-04-04
S100240,6.11,4.66,1.34,4.73,28.03,5.32,31.3,2,59.63,1.11,4.14,2024-02-03
S100241,3.64,7.97,1.21,7.45,55.46,9.61,86.22,1,36.3,3.75,5.69,2024-04-05
S100242,8.09,6.35,1.07,6.3,35.54,6.2,67.38,3,56.06,1.03,2.74,2024-04-15
S100243,6.33,6.47,1.76,5.85,91.49,2.18,55.32,2,39.81,2.06,6.66,2024-10-04
S100244,7.33,3.2,0.2,5.37,80.96,3.24,99.03,1,47.26,1.8,3.5,2024-03-30
S100245,4.66,1.87,0.66,3.02,75.98,7.21,74.46,2,49.55,1.17,5.23,2024-02-21
S100246,8.1,7.6,0.7,4.48,35.17,6.48,52.76,1,70.2,1.62,1.79,2024-02-02
S100247,5.48,5.12,0.08,6.95,41.08,5.63,59.03,1,44.13,1.1,0.21,2024-02-22
S100248,6.15,8.25,0.94,7.03,14.92,3.97,49.86,2,69.63,4.55,2.43,2024-03-18
S100249,4.34,11.51,0.75,8.55,54.37,5.24,66.73,2,30.24,3.8,0.39,2024-02-15
S100250,6.07,8.58,0.54,5.29,43.06,7.32,61.88,4,54.12,5.02,3.06,2024-02-14
S100251,5.98,3.51,0.54,5.29,42.45,6.07,35.29,1,57.04,4.04,0.2,2024-02-02
S100252,6.04,7.17,1.63,6.46,33.21,7.05,66.34,3,53.76,2.19,1.68,2024-03-07
S100253,6.91,5.04,0.94,1.0,0.0,6.67,65.4,2,92.27,1.13,5.54,2024-02-14
S100254,6.38,7.28,1.4,8.28,47.63,6.45,65.9,3,48.13,1.3,18.33,2024-03-19
S100255,7.67,8.74,0.95,5.14,47.49,5.23,74.78,2,58.76,5.62,1.21,2024-04-13
S100256,5.64,5.73,0.35,5.64,57.95,8.74,57.27,1,45.83,1.78,0.57,2024-04-12
S100257,4.91,7.93,0.43,6.12,30.09,2.89,47.81,0,56.17,2.29,4.43,2024-06-04
S100258,6.27,6.87,0.05,3.52,60.94,4.32,63.02,1,45.78,1.56,1.14,2024-02-02
S100259,7.18,7.74,0.04,6.85,88.26,5.37,66.1,2,33.0,4.47,0.11,2024-04-27
