student_id,school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian_mat,traveltime_mat,studytime_mat,failures_mat,schoolsup_mat,famsup_mat,paid_mat,activities_mat,nursery,higher_mat,internet,romantic_mat,famrel_mat,freetime_mat,goout_mat,dalc_mat,walc_mat,health_mat,absences_mat,g1_mat,g2_mat,g3_mat,guardian_por,traveltime_por,studytime_por,failures_por,schoolsup_por,famsup_por,paid_por,activities_por,higher_por,romantic_por,famrel_por,freetime_por,goout_por,dalc_por,walc_por,health_por,absences_por,g1_por,g2_por,g3_por
UCI_0015,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,other,1,3,0,no,yes,no,no,yes,yes,4,5,2,1,1,3,0,14,14,15
UCI_0016,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,mother,1,1,0,no,yes,no,no,yes,no,4,4,4,1,2,2,6,17,17,17
UCI_0017,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,mother,1,3,0,no,yes,no,yes,yes,no,3,2,3,1,2,2,10,13,13,14
UCI_0018,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,mother,3,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,2,13,14,14
UCI_0019,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,mother,1,1,3,no,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7
UCI_0020,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,father,1,1,0,no,no,no,yes,yes,no,3,1,3,1,3,5,6,12,12,12
UCI_0021,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,mother,1,2,0,no,no,no,no,yes,no,4,4,1,1,1,1,0,12,13,14
UCI_0022,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,father,1,1,0,no,yes,yes,no,yes,no,5,4,2,1,1,5,0,11,12,12
UCI_0023,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,mother,1,2,0,no,no,no,yes,yes,no,4,5,1,1,3,5,0,12,13,14
UCI_0024,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,mother,2,2,0,no,yes,no,yes,yes,no,5,4,4,2,4,5,2,10,10,10
UCI_0025,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,mother,1,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,10,11,10
UCI_0026,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,mother,1,1,0,no,yes,no,no,yes,no,1,2,2,1,3,5,6,10,11,12
UCI_0027,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,mother,1,1,0,no,yes,no,no,yes,no,4,2,2,1,2,5,8,11,12,12
UCI_0028,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,mother,1,1,0,no,no,no,no,yes,no,2,2,4,2,4,1,0,11,11,11
UCI_0029,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,mother,1,2,0,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13
UCI_0030,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,mother,1,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12
UCI_0031,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,mother,1,2,0,no,yes,yes,no,yes,no,5,4,2,3,4,5,0,10,11,11
UCI_0032,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,mother,2,2,0,no,yes,no,yes,yes,no,4,3,1,1,1,5,2,15,15,15
UCI_0033,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,mother,1,2,0,no,yes,no,yes,yes,yes,4,5,2,1,1,5,0,13,14,15
UCI_0034,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,mother,1,2,0,no,no,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12
UCI_0035,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,mother,1,1,0,no,yes,no,no,yes,no,5,4,3,1,1,5,4,12,12,12
UCI_0036,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,father,2,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,4,11,11,11
UCI_0037,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,mother,1,3,0,no,yes,no,yes,yes,no,5,4,3,1,1,4,0,14,14,14
UCI_0038,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,mother,2,3,0,no,yes,no,yes,yes,yes,2,4,3,1,1,5,4,13,13,13
UCI_0039,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,mother,1,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,11,12,12
UCI_0040,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,mother,1,1,0,yes,yes,no,yes,yes,no,4,3,1,1,1,2,8,14,13,12
UCI_0041,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,mother,2,2,0,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10
UCI_0042,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,other,1,1,0,no,yes,no,no,yes,yes,5,4,3,2,4,5,8,10,11,11
UCI_0043,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,father,1,2,0,no,yes,no,yes,yes,no,4,3,3,1,1,5,0,14,15,15
UCI_0044,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,father,1,1,0,yes,yes,no,no,yes,no,5,4,1,1,1,1,0,9,10,10
UCI_0045,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,father,2,2,1,yes,no,no,yes,yes,no,4,3,3,2,2,5,14,10,11,11
UCI_0046,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11
UCI_0047,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,mother,1,2,0,no,yes,no,no,yes,no,2,3,5,1,4,3,6,13,12,13
UCI_0048,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,mother,1,4,0,no,no,no,yes,yes,no,4,2,2,1,1,2,2,17,17,17
UCI_0049,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,mother,1,2,0,no,yes,no,no,yes,no,4,3,3,2,2,5,4,11,12,13
UCI_0050,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,father,1,2,0,yes,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12
UCI_0051,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,mother,3,2,0,no,yes,no,no,yes,no,4,3,3,2,3,4,0,14,13,13
UCI_0052,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,mother,1,2,0,no,yes,no,no,yes,no,4,3,3,1,1,5,0,16,14,16
UCI_0053,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,father,2,1,0,no,no,no,no,yes,no,5,5,5,3,4,5,4,10,9,9
UCI_0054,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,mother,1,1,0,yes,yes,no,no,yes,no,3,3,4,2,3,5,0,13,12,12
UCI_0055,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,mother,1,1,0,no,no,no,no,yes,no,5,3,4,4,4,1,0,13,12,13
UCI_0056,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,mother,1,2,0,no,no,no,yes,yes,yes,5,3,4,1,1,2,2,12,13,12
UCI_0057,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,mother,1,2,0,no,yes,no,yes,yes,no,4,3,2,1,1,1,0,15,14,15
UCI_0058,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,mother,1,2,0,no,yes,no,yes,yes,no,3,2,2,1,1,5,8,15,15,16
UCI_0059,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,father,1,2,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,0,14,13,14
UCI_0060,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,mother,1,2,0,no,yes,yes,no,yes,no,4,2,3,1,1,5,2,16,15,16
UCI_0061,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,mother,1,2,0,no,yes,no,yes,yes,no,2,4,4,2,3,4,0,17,16,16
UCI_0062,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,father,4,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16
UCI_0063,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,father,1,2,0,yes,no,no,yes,yes,no,4,4,3,1,1,1,0,13,13,10
UCI_0064,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,mother,1,3,0,yes,yes,no,yes,yes,no,3,4,4,2,4,4,0,14,13,13
UCI_0065,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,father,1,2,0,yes,no,no,yes,yes,yes,4,4,4,2,4,2,0,13,12,12
UCI_0066,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,mother,3,2,0,no,yes,no,yes,yes,no,5,4,3,1,2,1,2,16,15,16
UCI_0067,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,mother,1,4,0,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12
UCI_0068,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6,mother,1,4,0,yes,yes,no,no,yes,no,4,3,3,1,2,5,0,10,9,10
UCI_0069,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8,mother,2,2,0,yes,yes,no,no,yes,no,4,1,3,1,3,4,0,11,10,11
UCI_0070,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,father,2,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,6,15,15,15
UCI_0071,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15,father,2,4,0,no,yes,no,no,yes,no,4,3,2,1,1,5,2,13,11,11
UCI_0072,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10,mother,1,4,0,no,no,no,no,yes,no,3,3,3,1,1,3,0,11,9,10
UCI_0073,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,mother,1,2,0,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,13,11,11
UCI_0074,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,mother,1,1,0,no,no,no,yes,yes,no,5,3,2,2,2,5,0,13,13,14
UCI_0075,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,mother,1,2,0,yes,yes,no,yes,yes,no,4,3,3,2,4,5,4,11,11,11
UCI_0076,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,mother,1,2,0,no,yes,no,yes,yes,no,4,3,3,2,3,5,0,11,11,11
UCI_0077,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,mother,2,4,0,no,no,no,yes,yes,no,3,4,3,1,1,1,0,12,11,11
UCI_0078,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,mother,1,4,0,no,no,no,no,yes,yes,5,2,3,1,3,3,1,13,13,13
UCI_0079,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,mother,2,1,3,yes,yes,no,yes,no,no,4,5,1,1,1,3,0,9,9,10
UCI_0080,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,mother,1,1,0,no,yes,no,no,yes,no,5,4,5,1,2,5,22,9,7,6
UCI_0081,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,mother,1,2,0,no,yes,no,no,yes,no,2,4,3,1,2,3,14,12,11,11
UCI_0082,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12,father,1,1,0,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12
UCI_0083,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,mother,1,3,0,yes,no,no,no,yes,no,5,3,2,1,2,5,2,10,9,9
UCI_0084,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6,mother,1,2,0,no,yes,no,no,yes,no,4,4,4,1,1,5,4,12,11,11
UCI_0085,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,mother,2,2,0,no,no,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13
UCI_0086,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,father,1,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12
UCI_0087,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,father,2,2,0,no,no,no,no,yes,yes,4,4,4,2,3,5,4,12,11,12
UCI_0088,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,6,13,11,11
UCI_0089,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,15,15,15
UCI_0090,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10,father,2,2,0,no,no,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11
UCI_0091,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,mother,1,2,0,no,yes,no,no,yes,no,4,1,3,3,5,5,6,9,9,10
UCI_0092,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,mother,1,3,0,no,yes,no,no,yes,yes,4,3,3,1,3,4,2,9,11,11
UCI_0093,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,mother,1,1,0,no,no,no,yes,yes,no,4,5,5,1,3,1,6,14,13,13
UCI_0094,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6,father,1,2,0,yes,yes,no,no,yes,no,3,3,3,2,3,2,0,12,13,12
UCI_0095,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,mother,2,2,0,no,yes,no,yes,yes,no,5,3,3,1,1,1,2,13,14,14
UCI_0096,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,mother,1,4,0,no,yes,no,yes,yes,no,4,3,4,1,1,4,2,11,12,12
UCI_0097,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,mother,2,4,0,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13
UCI_0098,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15,mother,2,1,0,yes,yes,yes,yes,yes,no,3,3,3,1,1,4,6,9,11,11
UCI_0099,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10,mother,1,2,0,no,yes,no,no,yes,yes,4,3,5,1,1,5,0,13,12,12
UCI_0100,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,mother,1,1,0,no,no,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13
UCI_0101,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8,mother,1,3,0,yes,yes,no,no,yes,no,5,3,5,1,1,3,2,12,13,13
UCI_0102,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5,mother,1,1,0,yes,yes,no,yes,yes,no,4,5,5,5,5,4,12,9,9,8
UCI_0103,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,father,1,3,0,no,yes,no,yes,yes,yes,4,4,3,1,1,4,0,16,16,16
UCI_0104,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14,mother,1,1,0,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,13,12
UCI_0105,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6,mother,2,2,0,yes,yes,no,no,yes,no,4,3,5,1,1,2,16,11,10,10
UCI_0106,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18,mother,1,2,0,no,yes,no,yes,yes,no,5,4,4,1,1,1,0,16,16,16
