student_id,previous_internal_marks,previous_assignment_score,previous_midterm_score,lowest_subject_score,assignment_completion_rate,practice_questions,next_semester_marks
S100044,28.49,57.16,35.92,57.54,79.43,30,38.61
S100045,42.59,71.62,42.59,66.04,89.6,3,44.0
S100046,29.35,84.95,68.61,57.66,95.39,76,62.51
S100047,28.46,52.38,66.61,20.4,76.45,22,44.56
S100048,41.54,47.01,55.6,29.21,77.99,283,50.21
S100049,22.06,70.74,100.0,36.91,89.13,10,43.44
S100050,18.43,58.48,100.0,29.72,48.53,6,42.43
S100051,32.11,70.48,60.77,35.78,78.52,15,17.49
S100052,23.42,74.81,78.97,65.79,87.47,63,50.7
S100053,23.72,37.84,79.77,73.58,72.6,110,47.99
S100054,39.59,80.35,81.89,38.01,68.02,66,62.57
S100055,42.01,52.45,54.76,68.68,77.71,157,62.06
S100056,41.31,69.66,96.03,29.58,71.23,56,15.73
S100057,43.87,60.11,63.9,24.54,76.32,12,33.9
S100058,44.93,61.72,71.75,45.19,72.92,16,33.63
S100059,17.97,95.41,65.03,32.87,100.0,35,53.99
S100060,38.6,74.79,62.77,59.51,62.91,202,70.99
S100061,30.76,83.57,69.45,40.94,92.52,56,48.54
S100062,29.02,72.26,46.03,56.57,71.19,166,54.09
S100063,39.48,79.3,33.46,79.1,84.89,6,42.63
S100064,21.16,76.26,61.59,17.62,89.71,93,46.21
S100065,20.99,73.82,50.91,33.59,100.0,50,54.11
S100066,40.07,86.61,73.76,64.95,85.89,15,63.24
S100067,38.9,72.35,71.94,51.84,74.05,7,55.91
S100068,36.09,100.0,65.22,43.78,80.99,30,51.35
S100069,27.96,84.41,88.71,16.27,100.0,137,39.9
S100070,40.95,52.91,64.9,21.29,82.45,82,38.63
S100071,40.44,67.35,41.67,54.67,60.38,50,61.31
S100072,35.68,75.96,61.42,48.65,74.25,149,37.52
S100073,25.58,70.67,83.74,68.62,73.86,16,74.94
S100074,31.6,80.3,34.85,45.68,90.95,26,15.59
S100075,41.7,81.96,63.5,71.74,61.67,65,37.76
S100076,45.62,49.61,74.21,55.68,72.38,71,67.83
S100077,32.39,89.22,100.0,14.46,83.2,31,53.56
S100078,33.0,62.55,84.33,40.91,75.79,56,49.12
S100079,33.71,61.06,67.12,50.3,81.36,10,26.59
S100080,37.2,61.01,73.33,26.0,82.21,1,40.69
S100081,30.35,82.13,34.64,43.28,83.22,188,49.48
S100082,11.85,65.99,48.2,56.91,66.1,47,51.1
S100083,44.54,60.05,75.42,37.11,91.96,21,46.57
S100084,49.36,63.64,67.58,30.12,71.97,32,63.36
S100085,30.1,43.08,69.62,40.82,79.83,58,53.63
S100086,26.47,57.37,65.55,53.96,61.82,234,61.37
S100087,33.9,51.41,64.92,40.21,80.6,102,23.55
S100088,33.5,65.96,66.65,72.2,82.85,237,56.58
S100089,42.96,79.96,48.1,31.76,80.54,10,47.44
S100090,35.44,78.31,61.34,13.36,68.3,16,39.72
S100091,28.66,88.85,45.09,82.83,96.92,36,62.09
S100092,24.45,85.51,55.09,35.11,88.75,22,39.59
S100093,41.93,62.07,84.13,41.09,77.92,252,47.1
S100094,39.8,70.29,62.11,43.66,77.78,15,47.21
S100095,43.48,69.51,74.53,41.63,68.93,15,51.45
S100096,27.25,37.73,66.84,64.61,70.66,53,68.97
S100097,49.71,51.74,58.84,31.1,100.0,95,61.14
S100098,21.05,67.49,48.86,52.14,74.63,38,48.02
S100099,40.68,67.41,58.6,40.27,100.0,4,47.84
S100100,19.72,77.68,67.93,60.96,62.61,116,39.04
S100101,28.68,76.95,74.28,39.35,85.53,233,53.6
S100102,47.49,43.44,66.96,46.34,83.39,133,48.41
S100103,41.65,77.78,75.39,37.51,80.54,147,48.19
S100104,30.63,72.68,40.68,53.25,56.12,151,41.46
S100105,30.85,79.35,78.87,67.33,59.43,56,37.59
S100106,35.8,86.0,46.95,38.07,82.93,131,53.15
S100107,39.11,67.86,80.74,43.0,64.64,6,58.29
S100108,45.01,88.68,73.04,45.47,98.14,4,51.75
S100109,31.35,56.66,35.08,59.54,76.64,6,35.62
S100110,22.11,55.81,76.79,35.08,83.83,72,31.93
S100111,36.26,76.43,80.92,43.58,79.39,22,52.7
S100112,31.34,64.47,85.13,62.68,78.98,2,33.62
S100113,24.59,73.92,52.7,49.89,100.0,6,77.38
S100114,37.38,99.89,67.87,33.99,96.27,6,43.98
S100115,33.3,75.9,76.11,29.11,82.31,79,48.78
S100116,37.45,73.18,76.78,28.42,90.12,12,41.91
S100117,27.84,56.96,71.55,32.71,97.6,150,24.03
S100118,38.89,44.5,58.17,10.57,71.03,393,56.43
S100119,24.46,68.91,80.81,61.32,56.68,47,39.94
S100120,28.38,86.0,80.9,13.57,88.3,62,53.93
S100121,33.06,65.16,62.53,74.39,98.69,24,58.41
S100122,48.93,76.02,52.46,36.53,54.28,85,80.35
S100123,41.28,91.4,53.35,30.44,70.91,197,25.88
S100124,43.62,91.02,86.84,49.02,76.38,16,64.21
S100125,46.34,76.43,80.21,66.83,65.26,245,100.0
S100126,50.0,72.55,64.68,44.58,77.83,20,42.48
S100127,35.33,47.22,61.81,12.35,63.3,25,28.2
S100128,46.36,60.55,36.71,44.06,75.21,194,54.24
S100129,43.1,65.79,63.65,43.62,90.49,72,33.91
S100130,42.97,57.22,45.94,43.77,48.96,3,33.08
S100131,49.19,73.73,67.54,59.69,64.23,130,81.08
S100132,31.65,98.67,83.96,44.31,100.0,82,47.26
S100133,31.01,92.77,49.31,26.4,67.64,109,46.11
S100134,37.56,73.66,68.82,62.22,41.02,14,30.74
S100135,33.54,81.69,80.96,10.28,82.57,165,51.04
S100136,37.55,59.07,68.52,60.88,78.88,122,46.97
S100137,47.5,91.96,56.62,18.03,82.22,253,38.22
S100138,31.17,46.57,65.17,68.07,80.86,42,75.59
S100139,32.56,83.69,80.32,41.23,99.09,58,34.29
S100140,36.39,77.43,69.2,43.19,69.45,97,54.66
S100141,33.17,58.66,64.95,68.35,78.59,9,69.56
S100142,19.69,66.87,83.5,63.89,73.51,19,46.49
S100143,30.36,52.99,73.24,46.65,90.15,27,60.19
S100144,40.5,53.63,45.75,39.0,91.66,232,33.08
S100145,46.5,46.13,75.1,48.02,85.59,0,62.65
S100146,25.76,81.51,80.19,59.94,100.0,409,58.13
S100147,25.73,88.08,45.2,64.28,88.3,40,37.6
S100148,35.24,37.57,28.7,45.34,98.82,84,48.17
S100149,18.4,97.57,48.33,71.04,66.72,42,63.32
S100150,31.44,69.82,63.36,35.98,69.53,123,41.7
S100151,21.11,74.35,81.16,21.38,100.0,241,29.8
S100152,45.95,47.91,50.74,85.96,59.69,48,60.27
S100153,28.85,89.81,73.88,48.75,91.52,16,55.69
S100154,48.22,73.0,18.72,50.8,99.3,20,54.49
S100155,43.91,87.08,67.88,48.25,97.63,25,57.9
S100156,29.83,88.31,58.49,55.15,56.07,20,54.51
S100157,26.42,90.02,98.58,17.07,74.74,1,58.0
S100158,33.45,60.28,34.73,32.85,89.33,158,32.72
S100159,34.16,66.88,64.77,63.5,91.13,91,58.81
S100160,37.77,60.82,34.63,39.34,79.86,58,33.58
S100161,28.79,83.43,56.2,29.88,69.56,13,51.26
S100162,40.97,74.99,37.78,41.29,75.9,3,55.86
S100163,37.12,86.04,100.0,40.75,70.73,39,36.2
S100164,32.28,86.69,59.31,42.81,61.36,0,41.46
S100165,29.3,44.09,61.62,37.4,75.51,5,19.24
S100166,33.52,90.26,64.32,74.21,100.0,6,60.38
S100167,28.46,84.26,46.88,37.98,75.82,135,79.46
S100168,35.47,64.46,81.88,57.28,57.31,104,57.57
S100169,35.68,75.25,75.24,46.61,74.62,30,64.79
S100170,37.09,68.14,79.69,20.02,100.0,29,40.92
S100171,49.13,79.24,45.51,63.63,56.11,34,50.73
S100172,33.94,64.43,83.17,67.2,79.99,67,73.91
S100173,43.04,77.18,81.32,38.25,91.07,157,72.78
S100174,36.84,71.01,61.28,33.55,62.89,52,40.66
S100175,33.09,63.52,79.32,52.61,82.86,13,49.46
S100176,34.05,72.85,69.36,58.62,66.3,14,39.64
S100177,34.53,100.0,39.5,36.62,61.61,5,28.41
S100178,37.24,59.72,62.08,44.67,89.34,108,45.74
S100179,27.33,66.25,57.3,22.28,100.0,41,65.84
S100180,23.28,59.98,66.37,59.74,74.19,200,56.87
S100181,40.23,61.55,81.34,32.67,88.71,30,40.11
S100182,42.18,82.24,38.74,62.75,87.26,128,44.02
S100183,40.97,80.74,57.9,57.34,82.61,55,62.9
S100184,36.24,69.91,51.85,43.15,69.67,151,54.19
S100185,41.14,85.39,52.54,47.85,64.8,66,57.88
S100186,40.71,81.9,51.83,13.47,68.04,17,43.13
S100187,41.3,67.56,66.09,33.32,77.32,129,57.71
S100188,28.12,46.99,73.37,53.14,73.71,0,13.1
S100189,26.22,69.83,70.57,34.09,62.76,56,37.28
S100190,31.89,72.54,67.97,53.87,76.92,17,61.66
S100191,34.86,70.33,74.95,38.4,70.46,33,59.71
S100192,33.06,63.01,100.0,46.55,88.35,42,64.97
S100193,19.99,81.17,67.17,84.05,74.14,66,33.22
S100194,48.77,75.23,81.34,61.02,92.66,35,53.91
S100195,32.81,66.45,80.43,66.62,83.45,83,78.68
S100196,36.38,51.62,93.44,62.61,72.55,17,26.53
S100197,44.96,86.02,73.97,48.42,77.55,125,65.6
S100198,16.24,79.07,51.49,44.17,77.97,74,46.06
S100199,30.91,73.83,69.88,42.31,82.49,35,44.32
S100200,31.9,30.15,69.02,55.98,85.42,61,66.86
S100201,32.31,69.43,78.04,48.98,73.25,41,48.32
S100202,33.61,66.38,51.03,27.01,76.42,166,74.05
S100203,46.58,60.72,85.26,49.21,81.72,63,58.59
S100204,40.39,81.31,65.08,50.0,35.64,124,30.59
S100205,42.66,80.72,78.43,20.42,88.29,127,31.68
S100206,35.38,76.55,69.95,57.99,65.69,106,69.0
S100207,23.81,85.57,66.96,38.1,75.66,111,48.1
S100208,18.36,54.67,68.74,82.68,69.84,20,46.78
S100209,22.76,63.2,75.75,50.77,91.23,164,74.43
S100210,37.88,71.12,96.34,55.89,95.37,98,75.44
S100211,35.25,60.67,32.72,25.42,78.32,4,48.3
S100212,33.32,80.91,73.64,47.81,78.51,83,60.17
S100213,32.05,62.17,65.7,59.46,79.42,53,35.45
S100214,50.0,89.48,62.17,39.06,79.76,12,59.55
S100215,28.42,56.03,27.19,36.03,95.02,51,50.59
S100216,42.42,100.0,74.28,66.46,100.0,204,72.91
S100217,35.02,100.0,63.0,39.93,77.42,167,40.69
S100218,34.51,68.58,51.65,62.31,88.53,7,37.43
S100219,44.41,87.19,65.68,34.12,67.3,46,74.43
S100220,46.7,63.99,60.32,33.13,68.67,57,80.22
S100221,33.08,85.2,37.12,63.75,64.7,94,43.67
S100222,41.39,67.36,66.41,48.14,100.0,116,59.24
S100223,37.91,50.72,74.28,61.19,90.55,141,61.59
S100224,35.06,17.01,56.21,33.65,74.23,73,34.61
S100225,36.63,65.97,69.19,48.58,83.19,171,81.32
S100226,29.5,74.19,66.73,43.54,91.47,65,38.55
S100227,32.55,89.95,81.73,68.51,97.94,2,60.87
S100228,30.35,70.55,63.34,73.32,86.13,49,56.03
S100229,42.21,85.04,77.82,59.93,81.38,14,53.47
S100230,34.24,63.19,59.99,48.32,99.78,68,51.65
S100231,24.62,64.94,96.48,58.28,63.45,91,46.37
S100232,29.21,85.81,58.01,55.91,51.17,91,27.49
S100233,9.41,33.03,54.04,61.34,98.84,54,25.33
S100234,31.04,70.19,63.39,49.92,73.26,101,81.47
S100235,35.3,64.0,53.35,57.25,100.0,10,43.6
S100236,33.91,90.41,45.02,62.11,100.0,236,49.59
S100237,50.0,62.08,76.64,54.06,100.0,148,55.59
S100238,39.6,77.75,16.0,34.56,34.82,155,31.83
S100239,39.24,83.82,53.52,57.84,92.01,3,59.76
S100240,21.85,47.61,43.53,81.39,72.37,21,38.48
S100241,32.08,67.91,67.27,32.78,70.21,8,36.05
S100242,31.11,63.53,29.97,30.97,85.58,160,54.47
S100243,28.71,84.19,73.77,61.31,70.6,111,42.58
S100244,28.6,80.13,75.5,35.69,91.24,8,35.77
S100245,20.54,66.5,38.88,42.89,99.82,41,21.98
S100246,24.79,54.29,68.05,56.11,76.97,57,41.09
S100247,41.99,85.57,73.26,53.2,85.38,100,48.42
S100248,33.86,68.99,80.04,17.02,73.13,28,54.94
S100249,30.95,45.72,41.5,44.69,87.02,27,45.04
S100250,34.96,47.01,39.25,56.81,100.0,61,29.17
S100251,44.34,76.56,89.04,41.66,86.15,60,81.74
S100252,35.03,50.86,51.85,52.83,78.21,10,47.47
S100253,39.32,69.83,56.56,51.85,99.66,100,78.14
S100254,28.23,55.94,75.13,37.36,73.9,56,29.17
S100255,30.05,69.99,46.29,45.46,74.27,152,48.89
S100256,37.83,72.39,60.75,27.57,70.04,119,52.71
S100257,50.0,59.06,79.27,60.3,56.47,317,69.21
S100258,46.44,36.4,42.26,88.34,67.1,15,46.21
S100259,39.66,72.86,57.0,65.73,80.83,231,68.36
S100260,36.21,58.7,46.97,59.26,83.44,106,55.86
S100261,46.21,71.75,52.62,55.04,65.48,170,65.92
S100262,41.36,68.17,83.97,27.18,72.35,56,16.31
S100263,16.65,73.95,87.48,64.17,51.61,31,36.63
S100264,26.57,93.43,69.13,48.33,100.0,2,45.24
S100265,37.71,61.81,73.52,72.51,100.0,16,38.41
S100266,20.7,62.97,73.08,64.37,69.26,173,73.09
S100267,27.82,45.01,54.24,55.13,82.06,42,35.51
S100268,29.4,67.07,68.81,59.55,66.81,89,47.43
S100269,32.95,76.15,44.28,29.29,95.37,53,56.92
S100270,32.7,62.75,49.66,51.94,89.65,51,65.03
S100271,32.69,76.25,63.61,29.36,60.29,84,18.24
S100272,41.6,67.34,48.02,54.04,65.39,46,80.1
S100273,32.88,50.47,44.64,62.22,78.96,2,41.97
S100274,31.92,74.68,53.61,70.28,100.0,129,40.8
S100275,24.21,66.91,83.34,35.27,74.31,26,59.96
S100276,43.19,71.84,89.91,43.24,99.61,89,51.35
S100277,29.63,61.5,64.48,55.34,84.66,86,44.8
S100278,26.3,60.17,74.32,32.84,67.51,12,37.48
S100279,36.7,72.36,55.98,68.19,73.73,14,58.42
S100280,28.86,66.54,31.95,71.8,89.49,48,52.55
S100281,30.79,95.86,50.7,59.58,92.61,33,54.24
S100282,37.07,81.98,60.07,40.46,93.98,26,60.93
S100283,32.39,78.18,67.26,56.75,83.21,30,57.2
S100284,50.0,67.34,63.38,65.78,86.69,23,80.62
S100285,34.4,39.61,60.49,63.68,100.0,56,43.87
S100286,39.94,57.89,55.81,45.56,100.0,7,37.27
S100287,19.47,60.29,70.5,24.61,80.71,170,39.69
S100288,28.11,65.88,43.18,30.37,53.48,135,48.27
S100289,26.3,69.5,77.83,31.02,81.94,55,39.11
S100290,27.36,79.84,55.62,38.56,81.74,31,50.73
S100291,38.32,74.1,98.07,60.75,61.06,93,56.77
S100292,43.28,87.39,59.95,71.08,81.87,9,56.78
S100293,37.76,65.32,57.32,25.59,64.33,9,46.81
S100294,33.19,69.83,56.0,67.2,85.65,12,64.21
S100295,29.95,75.16,57.48,68.98,88.92,94,34.52
S100296,43.91,73.69,74.72,36.03,87.9,138,47.01
S100297,50.0,89.23,64.32,41.77,94.84,61,71.89
S100298,36.08,82.06,80.79,44.45,87.04,15,45.19
S100299,42.51,50.21,72.43,59.41,91.83,33,61.5
S100300,37.75,68.29,65.5,45.37,99.38,138,27.5
S100301,41.04,69.79,70.97,36.52,73.37,57,52.14
S100302,25.68,100.0,84.14,27.92,77.84,48,56.61
S100303,31.09,65.05,75.51,34.95,74.67,86,44.72
S100304,38.16,55.26,69.49,31.17,68.82,35,36.57
S100305,44.7,76.57,71.76,26.33,75.53,0,47.99
S100306,28.45,77.45,46.56,44.01,92.52,226,57.94
S100307,18.73,68.89,100.0,69.0,90.91,99,47.32
S100308,31.01,66.7,73.45,38.31,54.59,56,48.31
S100309,43.08,84.23,75.05,53.8,100.0,152,74.73
S100310,22.33,57.2,64.54,55.79,92.71,37,37.99
S100311,25.58,64.89,28.24,50.15,83.41,38,47.63
S100312,36.25,62.17,60.75,59.27,59.28,12,59.5
S100313,34.07,86.41,66.22,72.33,62.22,132,63.06
S100314,39.76,74.28,51.83,50.44,100.0,77,84.12
S100315,25.17,54.03,51.7,44.55,95.07,24,41.05
S100316,32.4,55.53,59.57,70.59,96.93,258,65.81
S100317,44.56,98.1,77.34,32.45,78.01,117,48.39
S100318,25.46,86.25,85.09,54.65,99.6,171,49.64
S100319,46.82,82.62,67.74,14.88,59.46,15,53.93
S100320,26.46,70.18,55.92,38.85,61.5,72,42.32
S100321,41.8,92.63,59.2,25.15,95.13,376,78.71
S100322,32.02,53.45,66.59,37.54,66.24,34,41.8
S100323,25.84,81.29,68.49,69.72,79.4,41,75.46
S100324,31.02,63.35,71.96,32.89,53.38,62,46.61
S100325,39.36,66.27,57.97,29.79,37.33,4,22.4
S100326,34.95,80.89,73.47,58.69,64.68,20,54.42
S100327,43.95,67.85,72.2,52.63,74.32,31,73.01
S100328,46.49,63.48,58.68,38.75,66.13,1,66.86
S100329,25.54,62.57,37.49,55.74,89.31,30,47.91
S100330,24.95,40.2,50.84,29.75,95.16,63,43.44
S100331,24.56,81.45,90.08,47.4,89.15,2,44.19
S100332,27.81,54.9,37.9,37.57,62.65,61,32.73
S100333,43.83,97.88,86.08,40.13,87.87,129,52.65
S100334,39.48,65.69,37.34,57.0,61.58,13,50.94
S100335,30.64,89.64,52.63,46.38,100.0,260,45.55
S100336,34.91,42.86,59.0,76.45,80.73,43,37.86
S100337,46.23,80.97,93.52,43.56,67.16,56,62.77
S100338,50.0,84.83,65.42,34.67,80.79,58,73.72
S100339,37.08,89.55,61.58,40.16,82.52,40,48.69
S100340,13.73,47.08,50.03,41.4,90.61,85,23.5
S100341,37.38,59.46,73.35,45.74,51.68,16,22.58
S100342,42.48,78.65,56.8,52.18,69.56,202,64.37
S100343,36.8,72.23,61.34,50.11,87.22,162,44.03
S100344,40.81,74.4,59.27,36.69,91.68,83,57.95
S100345,37.86,64.6,76.52,50.3,100.0,125,60.76
S100346,25.12,93.26,77.19,22.67,100.0,99,43.81
S100347,27.91,100.0,50.75,16.75,69.67,51,40.81
S100348,32.43,71.56,54.96,48.64,100.0,14,18.2
S100349,43.52,69.83,53.39,72.33,88.7,31,42.55
S100350,28.87,69.83,67.93,50.36,100.0,173,70.65
S100351,38.65,89.26,79.51,70.49,87.0,88,98.12
S100352,37.43,82.44,68.15,41.79,100.0,160,63.35
S100353,47.69,54.0,29.95,53.27,96.24,168,62.44
S100354,34.67,60.81,77.16,55.86,88.28,60,61.18
S100355,20.96,54.86,43.42,36.33,73.42,46,16.71
S100356,40.17,100.0,53.56,51.4,73.38,45,60.08
S100357,50.0,79.53,68.17,67.16,65.75,47,61.78
S100358,40.7,61.06,63.66,38.6,78.88,234,42.38
S100359,28.7,59.87,78.96,53.27,96.61,13,47.67
S100360,26.34,82.08,55.23,38.29,88.72,13,40.35
S100361,27.38,83.57,49.53,61.74,68.37,39,59.14
S100362,50.0,81.97,60.01,12.74,94.52,130,48.52
S100363,32.38,63.62,80.63,47.11,62.36,153,56.67
S100364,29.7,74.59,75.07,32.94,84.99,140,60.35
S100365,33.73,71.66,66.39,67.62,100.0,70,60.39
S100366,32.46,55.96,86.22,55.19,62.36,156,46.49
S100367,47.54,56.1,83.32,48.06,82.56,17,79.51
S100368,26.88,76.18,77.62,52.38,69.52,73,50.03
S100369,44.45,72.95,46.15,22.37,100.0,32,39.43
S100370,35.98,78.3,77.53,46.78,100.0,26,55.75
S100371,44.66,81.87,61.76,34.09,88.33,8,71.58
S100372,47.66,92.49,58.68,43.44,93.17,36,93.84
S100373,35.68,58.36,54.08,59.35,100.0,3,65.69
S100374,32.48,79.45,62.25,10.15,91.47,35,67.33
S100375,35.53,81.24,54.99,57.0,67.65,52,57.63
S100376,34.24,65.32,67.72,44.53,73.33,35,53.16
S100377,21.74,71.83,62.23,26.8,73.22,118,45.2
S100378,47.42,65.7,68.53,67.06,54.01,26,80.08
S100379,36.97,100.0,73.85,44.38,94.67,6,42.69
S100380,25.7,71.57,60.29,65.7,61.22,18,47.92
S100381,18.46,76.77,53.2,17.95,92.43,137,36.17
S100382,16.38,66.04,32.9,39.99,69.1,81,0.0
S100383,41.16,62.81,77.33,43.47,76.67,69,54.77
S100384,30.05,50.47,66.26,40.15,88.37,62,45.4
S100385,31.36,86.5,62.18,51.08,100.0,111,54.3
S100386,38.91,81.53,83.75,47.54,93.04,17,49.26
S100387,30.87,65.48,44.38,41.2,78.23,19,59.73
S100388,39.37,56.49,65.9,38.51,79.49,11,67.92
S100389,35.76,72.7,49.58,58.15,62.34,33,43.25
S100390,34.33,62.53,75.5,73.8,89.55,26,49.32
S100391,22.42,66.67,29.38,29.86,78.77,197,50.06
S100392,28.44,51.05,77.86,34.38,66.04,1,17.67
S100393,39.82,73.26,77.2,47.41,91.67,51,83.24
S100394,29.54,69.83,50.23,38.6,100.0,105,62.55
S100395,44.64,86.42,66.06,12.99,77.32,190,45.21
S100396,50.0,67.74,50.58,26.58,71.56,271,33.76
S100397,40.25,69.83,71.84,26.21,71.33,6,51.72
S100398,46.94,46.65,78.12,46.74,86.02,17,51.41
S100399,40.77,86.51,48.92,54.58,62.11,500,83.88
S100400,30.73,83.39,44.25,8.75,81.13,30,28.04
S100401,36.6,70.43,82.54,39.84,73.91,5,51.77
S100402,50.0,50.06,96.06,54.15,87.58,217,83.91
S100403,30.81,51.78,72.91,37.33,88.73,41,54.2
S100404,26.69,61.79,74.1,18.84,63.16,28,29.6
S100405,25.93,84.48,59.69,43.42,90.02,13,41.9
S100406,33.26,74.36,67.88,76.68,86.87,44,29.59
S100407,26.97,47.6,70.61,38.44,77.14,37,40.58
S100408,48.39,76.06,62.08,62.54,73.54,206,65.27
S100409,36.73,57.41,86.6,11.65,73.63,19,38.82
S100410,42.77,62.17,67.83,60.16,77.43,7,53.98
S100411,32.61,84.58,69.89,61.39,66.03,26,24.77
S100412,25.88,81.48,62.41,27.43,69.73,63,18.7
S100413,24.52,86.4,64.03,65.48,83.07,32,57.12
S100414,27.74,69.65,84.5,50.28,71.43,30,44.73
S100415,37.78,83.25,67.33,60.3,93.17,41,64.15
S100416,39.16,61.21,67.71,26.46,78.03,165,58.08
S100417,39.83,66.14,67.92,32.17,72.88,87,60.55
S100418,23.09,65.11,59.17,49.14,84.97,60,33.64
S100419,35.0,70.36,42.47,91.31,73.91,41,32.91
S100420,26.79,50.7,90.16,48.01,68.3,6,50.72
S100421,38.21,66.62,82.09,72.24,74.93,173,92.39
S100422,38.83,91.77,84.98,51.04,49.36,11,44.72
S100423,25.62,53.61,47.84,63.04,50.44,17,35.37
S100424,42.74,50.06,88.12,44.93,66.2,48,78.08
S100425,50.0,69.83,96.47,34.03,62.09,12,75.94
S100426,41.68,100.0,81.72,49.58,89.75,82,47.13
S100427,33.7,76.97,91.37,42.23,98.9,55,64.36
S100428,32.47,65.95,77.77,41.38,84.87,55,81.49
S100429,33.33,71.02,51.45,57.18,51.55,273,30.35
S100430,28.91,73.41,73.12,34.99,58.85,90,28.19
S100431,37.02,60.39,48.67,44.25,85.25,105,36.88
S100432,25.89,62.24,55.44,53.04,77.42,75,34.33
S100433,19.88,67.63,70.06,58.33,52.15,24,41.89
S100434,36.76,59.13,67.91,25.1,67.14,5,45.15
S100435,35.17,64.05,72.41,47.0,63.88,66,53.52
S100436,30.43,75.3,36.33,64.6,100.0,47,74.45
S100437,24.74,55.04,62.53,45.76,90.58,11,32.98
S100438,37.32,100.0,73.78,56.4,75.69,157,48.18
S100439,27.08,81.3,76.97,53.69,83.43,55,44.0
S100440,33.89,50.95,78.02,43.9,82.19,48,39.04
S100441,49.12,32.83,69.02,41.7,81.19,43,46.13
S100442,40.21,59.69,58.93,26.34,100.0,107,29.5
S100443,24.05,80.27,73.02,25.29,100.0,4,11.46
S100444,24.8,77.36,60.2,63.57,100.0,19,25.15
S100445,36.21,68.34,79.42,32.7,84.96,186,42.58
S100446,24.0,60.98,71.84,26.1,74.93,3,45.9
S100447,18.99,56.44,64.01,77.45,61.39,75,54.93
S100448,39.26,63.96,52.7,49.68,65.07,22,43.66
S100449,37.57,54.81,82.91,52.91,95.21,62,58.37
S100450,38.6,64.02,73.94,46.03,60.89,56,49.94
S100451,37.1,89.96,98.65,30.88,77.31,85,65.19
S100452,34.48,58.43,73.42,41.02,59.22,15,16.14
S100453,29.7,79.16,74.76,37.72,78.54,82,56.05
S100454,39.13,81.45,41.56,57.51,64.08,122,45.2
S100455,47.24,53.81,69.97,42.37,89.96,15,53.25
S100456,30.99,57.35,59.94,87.11,76.34,125,50.96
S100457,26.83,86.03,78.22,66.85,67.87,10,39.65
S100458,25.92,56.11,70.35,14.59,65.66,24,25.33
S100459,28.07,69.14,80.76,60.36,82.01,36,49.73
S100460,36.62,100.0,99.12,11.8,80.76,30,60.93
S100461,17.88,84.7,52.23,55.86,71.72,106,53.82
