cgpa,backlogs,failed_subjects,family_income_lpa,previous_cgpa,previous_semester_percentage,previous_subject_avg,weak_subject_count,subject_consistency,previous_internal_marks,previous_assignment_score,previous_midterm_score,lowest_subject_score,assignment_completion_rate,practice_questions,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,motivation_level,adaptability_score,wellness_score,screen_to_study_ratio,extracurricular_hours,next_semester_marks
6.22,0,0,16.2,7.36,70.71,56.87,0,74.46,33.75,48.43,62.44,37.39,82.29,36,90.61,1.81,0.23,8.38,7.06,8.16,2.01,7.42,57.19,3.55,81.02,44.35,4.51,4.81,63.47
7.75,0,0,1.5,8.0,77.01,73.46,2,59.71,39.76,75.61,100.0,45.31,63.58,56,78.57,4.94,2.32,18.31,5.96,0.0,1.15,2.37,45.94,4.32,50.0,64.57,0.0,0.25,80.24
7.97,2,0,4.0,7.44,71.0,72.12,2,72.78,10.84,78.85,77.06,53.59,100.0,76,76.63,2.8,0.04,0.0,7.49,7.38,0.06,5.61,34.33,6.39,51.71,65.9,2.63,5.02,23.14
7.16,1,0,29.9,6.43,65.2,42.82,2,63.62,23.74,45.94,61.78,21.58,70.55,183,77.49,1.62,2.99,26.33,4.9,4.84,1.96,8.0,67.66,6.17,49.02,25.66,2.99,9.76,44.9
7.06,0,0,1.9,6.45,61.32,61.33,2,69.18,38.41,96.93,61.85,42.53,88.54,178,81.98,1.48,0.9,24.88,6.68,8.13,1.57,7.09,52.43,5.37,60.64,42.53,5.5,9.28,66.64
6.09,0,1,1.0,6.92,73.0,66.62,1,71.9,37.69,56.19,56.54,49.18,61.63,145,87.38,5.68,1.95,20.39,3.0,5.41,2.57,1.98,57.48,4.84,59.0,56.08,0.95,4.46,56.57
6.31,2,0,19.2,7.55,72.0,84.96,1,91.22,33.11,74.82,56.74,77.23,80.18,156,71.97,5.62,0.42,21.63,7.09,8.96,4.63,3.53,48.04,2.94,88.69,57.57,1.59,20.0,66.74
7.24,2,0,6.5,4.56,37.14,70.52,2,92.43,42.23,82.44,64.34,63.34,77.13,191,73.59,1.52,0.4,10.33,5.5,6.51,1.07,7.45,29.01,6.6,56.83,55.23,3.13,2.24,31.81
7.22,1,1,6.3,7.86,73.2,60.76,0,78.85,37.95,36.86,53.93,43.51,80.64,74,81.72,4.13,4.06,24.21,6.0,9.09,0.93,9.73,78.91,8.68,43.89,24.99,2.2,9.95,46.5
6.93,0,1,7.9,6.32,59.3,70.09,2,66.8,37.14,75.33,74.96,50.54,100.0,57,97.01,3.7,1.94,6.54,7.69,7.31,1.93,7.31,13.05,6.95,53.03,62.94,1.97,0.57,60.59
8.63,0,0,6.2,7.63,72.84,63.06,1,55.72,36.27,73.0,63.27,32.67,81.59,108,85.97,2.77,1.14,0.17,8.1,7.94,1.76,4.37,72.56,7.26,31.9,50.7,2.87,2.25,55.79
6.5,0,0,28.6,5.92,56.25,62.49,5,66.43,49.34,63.41,80.99,41.17,60.06,10,89.11,1.59,2.77,17.45,4.2,7.7,0.9,7.8,35.19,4.36,61.26,36.87,4.86,8.63,37.31
8.68,1,0,1.0,4.7,43.98,45.59,3,64.71,28.93,52.12,60.95,16.44,66.53,19,77.0,1.96,1.22,0.65,5.1,5.48,0.16,6.29,30.59,7.89,67.36,63.61,2.79,1.42,10.65
8.22,1,1,6.8,7.5,68.68,70.34,1,74.97,50.0,49.48,86.19,51.33,86.03,34,69.82,1.45,0.04,22.72,6.37,5.18,2.88,6.46,69.56,5.03,70.34,50.08,3.58,1.91,61.02
8.37,0,0,1.7,7.74,76.3,80.89,0,60.65,36.53,56.55,68.32,51.78,66.26,82,58.17,2.92,3.84,8.49,6.55,6.22,0.93,7.33,69.75,4.19,66.1,50.5,2.13,1.09,68.3
6.76,0,1,1.0,7.86,78.5,71.09,0,90.4,34.53,84.68,64.71,60.1,79.22,107,64.21,1.69,0.44,11.58,8.28,10.05,1.17,5.3,51.56,5.98,49.41,60.65,5.95,0.7,57.7
6.9,1,1,1.0,7.74,74.21,67.51,2,72.57,44.03,68.8,42.02,54.32,71.67,79,79.19,5.47,0.17,19.77,6.52,8.64,2.73,3.36,54.55,1.0,41.26,62.14,1.58,0.84,53.39
6.04,0,0,1.9,6.88,68.35,75.54,0,93.16,21.15,51.26,39.96,69.01,79.03,55,68.67,0.0,0.09,13.41,5.78,4.45,1.38,7.13,62.27,3.68,62.27,45.74,17.81,2.11,47.16
5.64,0,0,1.8,6.4,62.61,73.93,2,76.4,29.35,84.95,68.61,57.66,95.39,76,53.57,3.1,0.38,25.46,6.84,4.53,1.59,7.63,15.99,5.16,59.31,68.95,1.46,2.1,62.51
9.09,0,1,3.3,6.22,62.36,71.76,3,44.99,31.64,69.61,93.79,39.62,95.18,19,76.62,3.48,1.06,16.06,5.26,4.77,0.24,6.22,45.23,8.82,67.2,52.74,1.37,0.93,42.05
4.96,2,0,1.0,6.47,66.69,65.85,2,59.5,29.59,53.87,58.17,35.55,76.36,13,57.79,2.57,1.18,14.77,6.3,7.12,0.52,9.86,34.86,6.08,40.31,51.27,2.76,1.56,33.08
8.07,2,0,17.8,7.62,68.04,78.45,4,55.01,31.86,57.11,50.97,44.1,66.69,34,66.73,1.55,1.54,16.54,6.21,4.15,0.95,9.03,54.83,8.36,45.54,46.09,2.67,1.03,39.85
6.89,0,0,4.7,5.45,50.76,63.89,1,93.01,37.25,66.45,88.58,50.82,56.75,130,80.99,2.98,0.23,9.12,6.61,1.53,3.81,2.68,16.05,4.89,90.89,71.94,0.51,0.36,51.85
4.2,1,0,8.6,6.97,63.2,71.27,1,78.35,24.99,40.68,89.81,55.56,100.0,184,76.27,3.2,0.64,12.46,3.81,3.29,6.61,7.29,18.3,6.07,59.1,49.48,1.03,4.6,53.98
5.9,0,0,4.1,7.07,67.07,61.79,2,77.89,36.07,44.47,32.68,47.33,76.66,56,100.0,0.53,1.86,12.53,5.96,7.03,0.8,10.0,51.28,8.61,51.7,38.81,13.38,0.03,39.39
7.62,4,0,2.5,7.9,69.15,83.74,1,64.51,44.37,80.32,69.76,59.65,94.12,178,78.88,2.03,0.66,16.32,7.32,10.14,0.13,3.45,48.13,5.11,38.47,60.88,4.99,3.33,59.93
8.41,0,0,1.0,7.69,76.0,73.25,0,65.65,26.22,78.62,61.48,46.9,80.04,56,80.0,3.6,7.42,14.95,6.06,3.88,0.46,2.31,23.99,5.5,89.46,80.39,1.08,20.0,69.97
7.55,1,0,16.8,8.39,85.67,74.35,3,70.05,15.42,87.34,55.39,53.93,56.27,60,96.32,2.17,0.69,5.34,8.01,4.02,1.91,6.19,40.83,5.66,57.13,60.64,1.85,2.21,59.96
7.77,0,1,17.3,7.18,76.14,81.23,0,95.23,34.94,54.39,100.0,75.34,85.12,10,71.37,2.59,0.9,25.54,6.15,3.89,0.22,5.33,6.06,6.21,61.53,65.88,1.5,5.37,75.13
8.45,1,0,1.0,4.73,47.4,53.12,1,92.91,36.21,69.17,60.62,40.69,63.8,120,78.4,2.16,2.06,25.27,6.67,4.93,0.66,7.03,39.98,2.64,69.22,48.74,2.28,5.63,37.27
8.3,1,0,1.8,4.71,39.78,64.08,0,84.25,33.33,71.02,51.45,57.18,51.55,273,99.0,2.23,1.16,9.56,5.77,10.13,1.79,6.45,16.88,2.44,67.15,61.33,4.54,2.0,30.35
10.0,1,0,7.9,8.26,80.65,58.32,1,56.07,35.9,85.64,71.08,28.49,86.24,55,76.16,2.6,0.64,29.44,4.21,3.67,1.26,8.17,23.97,10.0,61.5,43.11,1.41,6.64,61.82
7.44,1,0,1.0,6.75,60.86,65.34,0,71.78,27.53,84.87,82.22,39.65,86.71,2,47.0,0.49,1.5,15.9,7.74,9.26,5.11,3.06,71.34,7.94,80.06,53.31,19.03,2.54,45.97
5.18,0,0,3.1,7.2,67.82,56.42,0,86.88,31.36,86.5,62.18,51.08,100.0,111,70.04,3.94,1.12,17.29,4.17,7.85,3.29,3.44,43.96,8.57,64.2,49.68,1.99,2.82,54.3
6.35,0,0,2.3,6.52,62.11,86.6,2,76.96,20.7,81.82,88.06,69.7,96.3,149,54.83,5.9,2.63,0.0,5.68,2.91,3.76,5.9,49.02,4.41,90.66,51.96,0.49,3.53,36.46
8.25,1,0,1.4,5.21,44.98,93.27,3,71.21,36.46,78.96,59.01,73.76,69.94,80,68.94,4.77,1.78,26.1,4.46,8.63,0.18,4.62,64.11,5.92,40.05,43.9,1.81,2.16,58.84
6.11,0,1,4.8,8.78,79.57,81.51,3,62.4,26.49,62.11,33.66,59.0,82.43,64,88.19,2.9,0.09,14.08,6.57,5.36,1.99,7.15,100.0,5.07,66.66,23.5,1.85,1.56,51.38
4.11,0,1,2.4,7.93,73.27,100.0,1,55.56,30.96,91.42,48.6,74.3,81.23,50,76.77,0.83,6.85,11.34,3.36,6.48,0.93,7.37,23.87,1.0,42.45,53.22,7.79,15.26,58.58
4.58,0,0,2.2,6.86,71.08,61.85,1,51.53,29.78,72.14,63.33,30.59,68.08,115,88.02,2.17,8.0,23.81,8.0,6.96,5.14,4.28,60.84,6.37,56.82,58.48,3.21,10.17,58.03
6.61,0,0,19.2,6.99,69.4,64.95,2,76.87,35.96,82.23,45.76,48.65,94.68,12,79.59,4.65,2.24,11.48,4.48,6.45,1.17,3.14,32.24,5.86,63.01,63.19,1.39,0.29,59.97
6.16,1,0,1.9,6.13,55.23,86.58,5,58.77,49.34,93.75,93.79,56.25,77.38,89,69.03,1.82,3.93,7.82,4.63,6.45,1.11,5.55,50.48,5.19,69.08,48.1,3.54,3.27,49.25
6.77,1,0,3.0,5.81,55.73,65.88,0,85.34,24.75,89.88,77.2,54.06,76.57,5,69.7,3.25,1.4,21.15,6.17,7.09,1.58,1.0,23.26,9.33,49.98,76.83,2.18,9.35,45.06
9.19,0,1,20.8,5.66,53.27,75.53,2,75.23,32.09,70.76,71.03,63.4,80.65,33,66.99,1.5,0.43,3.45,5.35,7.1,5.97,7.46,54.46,3.21,99.15,47.93,4.73,1.46,31.08
6.75,1,0,17.0,5.79,58.91,78.19,1,58.5,33.49,49.62,33.03,50.77,86.69,56,70.37,3.24,4.69,17.37,8.66,8.57,0.46,3.51,22.46,6.83,88.63,74.94,2.65,1.15,33.73
7.0,0,1,3.8,5.94,64.28,63.08,1,73.16,35.96,63.29,87.77,48.34,87.63,90,90.74,0.68,1.98,19.6,6.5,6.56,3.32,8.15,55.5,3.14,46.27,41.88,9.62,2.44,54.87
7.69,0,0,5.9,6.43,61.97,74.17,3,79.16,25.11,64.2,79.21,63.95,86.37,176,73.0,5.6,0.91,17.31,6.1,6.89,2.88,4.71,61.59,6.07,8.89,54.34,1.23,0.04,64.74
3.73,0,1,1.0,6.24,54.53,83.05,3,95.81,35.35,73.04,81.32,77.81,48.82,38,50.68,4.43,3.81,13.23,6.56,2.86,2.65,6.05,38.53,4.65,46.41,49.64,0.65,1.11,48.51
5.75,2,0,1.0,6.26,58.73,67.82,1,61.42,36.09,51.61,53.27,45.37,87.23,51,81.76,4.84,1.72,21.32,5.13,8.65,0.38,7.0,21.76,4.33,34.7,53.37,1.79,8.14,41.96
8.41,2,0,42.8,8.16,75.31,63.95,2,90.96,40.5,55.32,95.17,57.56,94.09,71,73.29,3.3,2.24,6.32,5.74,3.83,0.41,7.31,57.26,6.59,63.95,37.47,1.16,1.0,70.79
6.26,1,0,3.9,7.41,73.53,66.34,1,69.34,43.45,69.83,78.51,42.73,70.63,111,73.0,1.26,3.67,12.84,3.32,3.53,1.73,6.41,34.4,6.2,72.4,48.14,2.81,1.62,56.3
5.95,0,0,4.2,6.57,66.83,66.59,0,63.24,36.92,76.69,68.84,39.18,60.63,102,68.44,1.59,2.81,26.73,7.29,7.94,0.28,5.39,59.86,3.61,42.23,57.64,4.98,2.18,60.02
6.1,0,0,1.0,6.97,73.63,56.97,1,79.15,36.26,76.43,80.92,43.58,79.39,22,78.5,3.63,0.65,7.22,6.72,8.45,0.47,6.82,38.04,4.08,95.44,51.73,2.33,0.18,52.7
6.84,0,0,6.1,7.89,78.71,40.91,0,84.97,36.05,85.56,78.7,31.94,86.32,274,67.32,4.38,1.01,10.6,5.92,4.47,0.73,7.19,48.59,7.39,82.92,44.32,1.02,7.49,65.45
6.5,1,0,2.1,7.31,72.0,60.06,1,88.68,29.54,55.17,65.55,51.62,64.24,89,62.46,3.56,6.15,14.91,5.98,12.17,1.75,6.19,56.65,5.68,85.6,53.15,3.41,4.0,50.12
5.83,1,0,2.8,6.6,59.3,65.53,0,73.97,20.01,84.21,59.01,51.36,69.15,152,78.6,2.52,0.76,10.39,7.98,6.3,0.03,6.89,0.0,6.51,62.12,73.04,2.51,5.63,49.2
6.81,0,1,5.7,7.31,62.22,87.49,2,89.94,39.25,65.58,100.0,77.98,100.0,74,78.65,3.87,1.21,17.36,5.56,8.51,2.8,6.32,12.58,4.85,55.9,63.38,2.2,18.11,78.32
6.85,0,0,1.8,6.83,73.1,42.81,0,62.86,46.82,82.62,67.74,14.88,59.46,15,84.39,2.86,4.26,15.82,6.73,4.66,0.65,3.32,88.41,3.49,78.8,46.12,1.63,7.49,53.93
5.01,0,0,16.0,7.18,70.08,75.88,1,61.47,28.42,77.48,74.56,57.6,92.35,17,64.17,2.58,3.75,22.44,6.39,8.48,2.73,6.68,51.95,6.53,26.4,45.46,3.29,8.31,68.04
7.9,0,0,3.1,7.75,83.13,81.95,1,69.29,39.22,49.11,42.72,63.49,85.45,7,76.08,3.24,0.15,10.18,5.7,7.93,1.41,8.34,46.35,5.82,39.39,44.22,2.45,2.7,59.58
