student_id,gender,age,stream_branch,degree,college_tier,city_tier,state,family_income_lpa
STU00105,Male,24,AI & DS,MCA,1,2,Telangana,1.0
STU00106,Male,21,Civil,MCA,1,2,Tamil Nadu,1.3
STU00107,Female,22,Computer Science,MCA,2,1,Maharashtra,3.33
STU00108,Female,20,Computer Science,BE,2,3,Tamil Nadu,10.3
STU00109,Male,21,Electronics,BE,2,1,West Bengal,1.05
STU00110,Male,24,Computer Science,BE,3,2,Gujarat,9.49
STU00111,Male,23,AI & DS,BTech,3,2,Delhi,10.69
STU00112,Male,24,Information Technology,BTech,1,1,Delhi,10.77
STU00113,Female,22,Mechanical,MCA,3,3,Tamil Nadu,13.89
STU00114,Male,24,Electronics,BTech,1,1,Gujarat,9.18
STU00115,Male,22,Computer Science,MCA,2,3,Gujarat,14.74
STU00116,Male,20,Mechanical,MCA,3,3,Uttar Pradesh,9.12
STU00117,Male,23,Computer Science,MCA,2,3,Delhi,13.71
STU00118,Male,23,Electronics,MCA,3,2,Maharashtra,7.0
STU00119,Male,25,Computer Science,BE,3,3,Telangana,9.22
STU00120,Female,25,AI & DS,BE,3,3,Telangana,1.0
STU00121,Female,25,AI & DS,MCA,3,2,Tamil Nadu,8.02
STU00122,Female,23,Mechanical,BE,3,1,West Bengal,17.74
STU00123,Male,24,Computer Science,BE,2,2,Delhi,7.33
STU00124,Other,23,Electronics,BTech,3,3,Uttar Pradesh,11.37
STU00125,Male,22,Information Technology,BE,2,3,West Bengal,1.0
STU00126,Male,20,Civil,BTech,3,1,Gujarat,1.03
STU00127,Male,23,AI & DS,BE,2,2,Delhi,5.56
STU00128,Female,21,AI & DS,MCA,3,3,West Bengal,2.97
STU00129,Male,25,Electronics,BTech,3,3,Karnataka,14.49
STU00130,Male,22,Mechanical,MCA,3,2,Telangana,5.55
STU00131,Male,25,Electronics,MCA,2,3,Telangana,4.79
STU00132,Male,20,Information Technology,BTech,1,3,Gujarat,11.94
STU00133,Female,24,AI & DS,MCA,3,3,Karnataka,9.45
STU00134,Male,25,AI & DS,BE,3,3,Delhi,8.11
STU00135,Female,24,Electronics,BTech,1,2,Delhi,8.79
STU00136,Other,22,AI & DS,MCA,2,3,Maharashtra,15.55
STU00137,Male,20,Civil,BE,3,2,Maharashtra,6.75
STU00138,Female,24,Computer Science,BTech,3,3,West Bengal,9.63
STU00139,Female,22,Mechanical,BE,2,1,West Bengal,5.14
STU00140,Female,22,Computer Science,BTech,3,1,West Bengal,9.43
STU00141,Female,23,Information Technology,BTech,2,3,Maharashtra,7.71
STU00142,Female,20,Computer Science,MCA,3,2,Delhi,6.37
STU00143,Female,21,Mechanical,BE,3,2,Uttar Pradesh,8.42
STU00144,Female,24,Civil,MCA,3,1,Maharashtra,2.68
STU00145,Male,25,Electronics,MCA,3,2,Delhi,8.6
STU00146,Male,25,Civil,BTech,1,2,Tamil Nadu,14.31
STU00147,Male,21,AI & DS,MCA,1,2,West Bengal,9.54
STU00148,Male,21,Electronics,MCA,3,3,Delhi,9.8
STU00149,Female,20,Electronics,MCA,2,2,Delhi,12.66
STU00150,Male,22,Civil,BTech,1,2,Karnataka,19.12
STU00151,Male,22,Computer Science,BTech,1,3,Tamil Nadu,7.21
STU00152,Female,22,Mechanical,BTech,3,1,Gujarat,1.75
STU00153,Male,25,Electronics,MCA,3,3,Uttar Pradesh,9.49
STU00154,Female,20,Civil,BTech,3,1,Karnataka,8.84
STU00155,Male,24,Computer Science,BTech,3,1,Gujarat,2.59
STU00156,Female,22,Civil,BTech,1,1,Gujarat,7.43
STU00157,Male,21,Electronics,BTech,2,1,West Bengal,7.26
STU00158,Male,25,Computer Science,BE,3,3,West Bengal,18.42
STU00159,Female,21,AI & DS,BTech,2,3,Telangana,13.9
STU00160,Male,22,Electronics,MCA,1,1,West Bengal,7.87
STU00161,Female,25,Electronics,BE,3,1,Karnataka,3.96
STU00162,Male,23,AI & DS,MCA,2,3,Maharashtra,1.0
STU00163,Male,21,Civil,BE,3,2,Delhi,4.09
STU00164,Male,23,Computer Science,BTech,3,2,West Bengal,5.92
STU00165,Female,24,AI & DS,BE,2,1,West Bengal,1.0
STU00166,Female,24,AI & DS,BTech,3,3,Delhi,10.53
STU00167,Male,24,Computer Science,BTech,2,1,Uttar Pradesh,7.75
STU00168,Male,23,Mechanical,MCA,3,1,Tamil Nadu,9.95
STU00169,Female,25,Mechanical,BTech,2,3,West Bengal,12.73
STU00170,Male,24,Civil,MCA,1,2,Delhi,8.9
STU00171,Male,25,Mechanical,BE,1,1,Gujarat,11.53
STU00172,Male,25,AI & DS,BE,3,2,Gujarat,8.59
STU00173,Female,21,Civil,BE,2,1,West Bengal,13.62
STU00174,Male,22,Mechanical,BE,1,3,Uttar Pradesh,5.48
STU00175,Female,22,Information Technology,BE,3,1,Uttar Pradesh,1.0
STU00176,Female,21,AI & DS,BE,3,2,West Bengal,3.41
STU00177,Male,20,Information Technology,MCA,3,1,Maharashtra,10.77
STU00178,Male,22,Computer Science,BE,2,3,Telangana,2.5
STU00179,Female,24,Mechanical,MCA,2,2,Tamil Nadu,6.4
STU00180,Male,22,Electronics,MCA,3,1,Gujarat,8.69
STU00181,Male,21,Electronics,MCA,1,2,Karnataka,11.0
STU00182,Male,24,Civil,BTech,2,2,West Bengal,8.51
STU00183,Male,24,Information Technology,MCA,3,1,Gujarat,13.39
STU00184,Male,25,Mechanical,BTech,3,2,Karnataka,9.34
STU00185,Male,25,Electronics,BTech,2,1,Maharashtra,8.0
STU00186,Male,24,Information Technology,BTech,3,2,Uttar Pradesh,9.16
STU00187,Female,25,Civil,MCA,1,1,Uttar Pradesh,13.46
STU00188,Male,20,Civil,BE,2,3,Karnataka,13.67
STU00189,Male,22,Information Technology,BE,1,2,Tamil Nadu,6.09
STU00190,Female,20,AI & DS,BTech,2,1,Gujarat,16.25
STU00191,Male,20,Computer Science,BE,2,3,Tamil Nadu,1.0
STU00192,Male,20,AI & DS,BE,1,1,Uttar Pradesh,5.79
STU00193,Female,23,Mechanical,BTech,3,3,Uttar Pradesh,16.46
STU00194,Female,22,Civil,BE,3,3,Telangana,5.14
STU00195,Male,23,Electronics,BTech,3,3,Uttar Pradesh,5.91
STU00196,Male,24,Electronics,BTech,3,3,West Bengal,10.77
STU00197,Male,23,Civil,BE,1,1,Delhi,11.54
STU00198,Male,25,AI & DS,MCA,3,2,Karnataka,10.87
STU00199,Male,25,Civil,BE,1,2,Maharashtra,3.33
STU00200,Male,23,Electronics,MCA,3,2,Gujarat,10.37
STU00201,Male,21,Civil,BE,3,3,Tamil Nadu,3.62
STU00202,Male,21,Mechanical,BE,3,2,Gujarat,18.44
STU00203,Male,23,Computer Science,BTech,3,1,West Bengal,1.0
STU00204,Male,23,Computer Science,BE,2,2,Telangana,12.37
STU00205,Male,23,Mechanical,BE,2,2,Karnataka,5.72
STU00206,Female,21,AI & DS,BE,2,3,Uttar Pradesh,7.82
STU00207,Male,20,Civil,MCA,2,3,Maharashtra,6.44
STU00208,Female,22,AI & DS,BE,2,2,Karnataka,5.51
STU00209,Male,24,Computer Science,BTech,3,2,Uttar Pradesh,4.92
STU00210,Female,24,Computer Science,BTech,1,3,West Bengal,1.18
STU00211,Female,20,Electronics,MCA,1,1,West Bengal,4.6
STU00212,Male,22,Mechanical,MCA,3,1,Tamil Nadu,1.0
STU00213,Female,22,Electronics,BTech,2,3,Uttar Pradesh,6.39
STU00214,Female,21,Mechanical,BTech,3,2,West Bengal,17.26
STU00215,Male,23,Civil,MCA,1,2,Telangana,5.89
STU00216,Male,22,Information Technology,BTech,1,2,Gujarat,9.92
STU00217,Male,24,AI & DS,MCA,3,1,Delhi,2.72
STU00218,Female,22,Information Technology,BTech,2,3,Telangana,5.85
STU00219,Male,25,Civil,BTech,3,1,Delhi,10.14
STU00220,Male,22,Electronics,BTech,3,1,Maharashtra,7.41
STU00221,Female,24,AI & DS,BTech,3,3,Karnataka,7.56
STU00222,Male,23,Civil,BE,3,3,Delhi,6.15
STU00223,Other,22,Information Technology,MCA,3,3,Maharashtra,4.99
STU00224,Female,23,Mechanical,BE,1,3,Karnataka,17.83
STU00225,Male,21,Civil,BTech,1,3,Delhi,1.0
STU00226,Male,21,Computer Science,BE,1,2,Maharashtra,2.12
STU00227,Male,23,Mechanical,MCA,3,2,Karnataka,1.0
STU00228,Female,20,Civil,BTech,2,2,Telangana,1.0
STU00229,Female,20,Mechanical,MCA,2,3,Telangana,4.56
STU00230,Female,25,Computer Science,MCA,2,1,Uttar Pradesh,11.41
STU00231,Male,22,Information Technology,BE,2,1,West Bengal,1.0
STU00232,Male,20,AI & DS,BTech,1,2,Uttar Pradesh,10.28
STU00233,Female,23,Electronics,BTech,1,2,Gujarat,1.0
STU00234,Female,25,Computer Science,BTech,3,1,Karnataka,17.04
STU00235,Male,20,Information Technology,MCA,3,3,Telangana,1.0
STU00236,Male,23,Mechanical,BE,3,1,Karnataka,5.05
STU00237,Female,21,Electronics,MCA,2,3,Maharashtra,7.68
STU00238,Male,20,Information Technology,MCA,2,1,Delhi,9.35
STU00239,Female,23,Civil,BE,3,2,Telangana,3.62
STU00240,Female,21,Mechanical,MCA,2,1,Delhi,14.12
STU00241,Male,25,Computer Science,BTech,2,1,Gujarat,14.46
STU00242,Other,20,Computer Science,BTech,1,3,Telangana,17.68
STU00243,Male,22,AI & DS,MCA,2,3,Tamil Nadu,4.05
STU00244,Male,21,Mechanical,BE,2,3,Delhi,6.22
STU00245,Male,20,Electronics,MCA,2,2,Telangana,8.72
STU00246,Male,21,Information Technology,MCA,3,2,Tamil Nadu,1.0
STU00247,Female,24,AI & DS,BE,3,3,West Bengal,1.0
STU00248,Female,25,Information Technology,MCA,3,3,Gujarat,10.48
STU00249,Male,23,Electronics,MCA,3,1,Karnataka,9.87
STU00250,Male,21,Computer Science,BTech,1,3,Gujarat,6.62
STU00251,Male,24,Electronics,BTech,3,2,Delhi,9.39
STU00252,Male,21,Computer Science,BTech,1,3,Telangana,4.25
STU00253,Male,22,Mechanical,MCA,3,1,Tamil Nadu,9.77
STU00254,Female,24,Computer Science,BE,1,2,Telangana,14.73
STU00255,Female,20,Mechanical,BTech,3,2,Maharashtra,6.18
STU00256,Female,25,AI & DS,MCA,2,2,Uttar Pradesh,11.49
STU00257,Male,21,Computer Science,BE,3,3,Uttar Pradesh,12.17
STU00258,Female,21,Computer Science,BE,1,2,Telangana,10.32
STU00259,Male,21,Civil,BTech,2,1,Uttar Pradesh,5.55
STU00260,Male,21,Information Technology,BE,3,2,Telangana,7.7
STU00261,Female,21,Civil,MCA,3,2,Karnataka,4.88
STU00262,Male,22,Information Technology,BTech,3,1,Tamil Nadu,5.36
STU00263,Male,23,Civil,BTech,2,1,Tamil Nadu,14.96
STU00264,Male,22,Mechanical,MCA,3,2,West Bengal,16.21
STU00265,Female,25,AI & DS,BE,3,1,Telangana,6.05
STU00266,Male,22,Mechanical,MCA,1,2,West Bengal,6.12
STU00267,Male,22,Electronics,MCA,3,3,Maharashtra,4.69
STU00268,Other,23,Computer Science,BTech,2,3,West Bengal,8.88
STU00269,Male,20,Civil,MCA,3,2,Karnataka,7.14
STU00270,Male,21,Mechanical,MCA,3,1,Maharashtra,12.42
STU00271,Female,20,Civil,BTech,3,3,West Bengal,8.92
STU00272,Male,25,AI & DS,BTech,3,3,Telangana,11.05
STU00273,Male,23,Computer Science,BTech,3,3,Tamil Nadu,6.96
STU00274,Male,24,Electronics,BE,2,2,Tamil Nadu,8.01
STU00275,Female,20,AI & DS,MCA,2,1,Telangana,6.94
STU00276,Female,24,Computer Science,MCA,2,3,Telangana,7.89
STU00277,Male,25,Electronics,BE,3,2,Uttar Pradesh,10.02
STU00278,Female,23,Civil,MCA,1,2,Karnataka,15.29
STU00279,Female,24,Information Technology,MCA,2,2,Uttar Pradesh,13.04
STU00280,Female,22,AI & DS,BE,3,3,Uttar Pradesh,1.0
STU00281,Female,21,Civil,BE,3,3,Uttar Pradesh,2.04
STU00282,Male,24,Information Technology,BE,3,2,Tamil Nadu,7.82
STU00283,Male,22,Information Technology,BTech,3,2,Tamil Nadu,5.8
STU00284,Female,21,AI & DS,BE,2,3,Maharashtra,6.9
STU00285,Male,20,Information Technology,BTech,3,3,Uttar Pradesh,7.11
STU00286,Male,23,Computer Science,BE,3,3,West Bengal,11.27
STU00287,Female,21,AI & DS,BE,1,3,Gujarat,11.17
STU00288,Male,22,Information Technology,BE,2,1,West Bengal,5.89
STU00289,Female,20,Mechanical,MCA,3,1,Gujarat,13.21
STU00290,Female,24,Civil,BTech,2,2,Delhi,14.11
STU00291,Female,23,Electronics,MCA,3,1,West Bengal,5.45
STU00292,Male,24,Information Technology,BE,3,2,Karnataka,14.84
STU00293,Male,25,Information Technology,BE,3,2,Karnataka,14.36
STU00294,Female,21,Mechanical,MCA,1,1,Maharashtra,8.3
STU00295,Female,24,Electronics,BTech,2,3,Karnataka,14.73
STU00296,Male,25,Information Technology,BTech,3,2,Telangana,4.8
STU00297,Female,21,AI & DS,BE,1,1,Tamil Nadu,12.44
STU00298,Male,21,Electronics,BTech,3,1,Maharashtra,6.24
STU00299,Male,22,Information Technology,BE,2,3,Gujarat,1.0
STU00300,Female,25,AI & DS,MCA,1,2,Uttar Pradesh,8.83
STU00301,Female,25,Civil,MCA,2,2,West Bengal,15.69
STU00302,Male,20,Electronics,BE,2,3,Tamil Nadu,1.15
STU00303,Male,24,Information Technology,MCA,1,2,Uttar Pradesh,1.0
STU00304,Male,22,Computer Science,MCA,2,3,Telangana,10.04
STU00305,Female,24,Computer Science,MCA,2,1,West Bengal,10.7
STU00306,Female,24,Electronics,BTech,2,2,Maharashtra,4.97
STU00307,Male,20,Civil,MCA,2,2,Karnataka,9.09
STU00308,Female,22,Civil,BE,3,3,Telangana,13.72
STU00309,Male,25,AI & DS,BE,3,1,West Bengal,10.16
STU00310,Male,25,Information Technology,BTech,3,1,Tamil Nadu,3.68
STU00311,Male,21,Information Technology,BTech,3,3,Gujarat,10.27
STU00312,Female,24,Civil,BE,1,3,Gujarat,3.04
STU00313,Male,23,AI & DS,BTech,2,3,Maharashtra,1.0
STU00314,Male,20,Electronics,BTech,2,1,Telangana,4.74
STU00315,Female,22,Mechanical,BE,3,3,West Bengal,1.0
STU00316,Female,22,Electronics,MCA,3,1,West Bengal,5.35
STU00317,Female,24,Computer Science,BE,3,1,Uttar Pradesh,12.63
STU00318,Male,21,Electronics,BTech,3,2,Gujarat,11.45
STU00319,Male,21,Electronics,BE,3,1,Gujarat,8.45
STU00320,Male,25,Electronics,BE,2,3,West Bengal,7.2
STU00321,Male,20,Electronics,MCA,3,2,Uttar Pradesh,4.46
STU00322,Male,24,Electronics,MCA,2,3,Uttar Pradesh,10.68
STU00323,Male,20,Civil,MCA,3,1,Tamil Nadu,13.75
STU00324,Female,24,Information Technology,BTech,3,2,Maharashtra,1.0
STU00325,Male,24,Civil,BTech,3,2,Uttar Pradesh,8.36
STU00326,Male,25,Electronics,BE,3,1,West Bengal,3.9
STU00327,Female,21,Civil,BE,3,1,Tamil Nadu,10.42
STU00328,Male,23,Information Technology,BTech,3,1,Gujarat,10.8
STU00329,Male,24,Mechanical,MCA,2,2,Tamil Nadu,4.33
STU00330,Male,23,AI & DS,BE,3,2,Gujarat,6.93
STU00331,Female,20,Information Technology,BTech,3,3,West Bengal,4.45
STU00332,Female,23,AI & DS,BE,2,2,Tamil Nadu,10.47
STU00333,Female,21,AI & DS,BTech,3,2,Telangana,13.14
STU00334,Male,20,AI & DS,MCA,3,2,Tamil Nadu,12.91
STU00335,Male,21,Computer Science,BTech,3,2,Delhi,3.98
STU00336,Male,25,Electronics,MCA,3,2,Maharashtra,7.49
STU00337,Male,25,Civil,BTech,1,2,Tamil Nadu,16.56
STU00338,Male,23,Civil,BE,2,2,West Bengal,14.05
STU00339,Male,24,AI & DS,BTech,2,3,Telangana,1.14
STU00340,Female,24,Information Technology,MCA,3,2,Telangana,4.99
STU00341,Female,25,Civil,BTech,3,1,Uttar Pradesh,11.93
STU00342,Male,24,Information Technology,BE,3,2,Tamil Nadu,8.27
STU00343,Male,25,Computer Science,BE,2,3,Gujarat,2.56
STU00344,Female,22,Civil,MCA,3,1,Gujarat,2.59
STU00345,Male,24,Information Technology,MCA,3,3,Tamil Nadu,1.69
STU00346,Male,21,Computer Science,BTech,1,3,Maharashtra,11.97
STU00347,Male,20,Civil,BE,2,3,Delhi,6.35
STU00348,Male,21,AI & DS,BE,2,1,Gujarat,3.19
STU00349,Male,24,Electronics,BE,2,3,Uttar Pradesh,14.11
STU00350,Male,21,Mechanical,BE,3,2,West Bengal,9.87
STU00351,Male,25,Electronics,MCA,3,3,Tamil Nadu,8.62
STU00352,Female,25,Electronics,MCA,2,2,Tamil Nadu,9.3
STU00353,Male,23,Mechanical,BTech,3,3,Delhi,11.03
STU00354,Female,23,Computer Science,BTech,1,1,Tamil Nadu,1.0
STU00355,Female,22,Information Technology,BTech,2,3,Uttar Pradesh,13.0
STU00356,Male,24,Mechanical,MCA,3,2,Tamil Nadu,10.39
STU00357,Female,21,Computer Science,BTech,2,3,West Bengal,1.0
STU00358,Female,25,Civil,BE,2,3,Delhi,2.61
STU00359,Female,21,Civil,MCA,3,2,West Bengal,11.6
STU00360,Male,23,Computer Science,BE,1,1,Maharashtra,16.7
STU00361,Female,22,Mechanical,BE,2,2,Telangana,5.24
STU00362,Male,21,Electronics,MCA,3,2,Delhi,9.46
STU00363,Female,21,Civil,BE,2,2,West Bengal,10.44
STU00364,Female,20,Mechanical,BE,2,2,Karnataka,6.0
STU00365,Male,20,Civil,MCA,3,2,Delhi,6.12
STU00366,Female,23,Information Technology,MCA,1,2,Maharashtra,2.03
STU00367,Male,25,Information Technology,MCA,3,1,West Bengal,10.52
STU00368,Male,25,Information Technology,BE,3,3,Telangana,1.71
STU00369,Male,24,Civil,MCA,3,2,Telangana,11.18
STU00370,Female,22,Mechanical,BTech,2,3,Gujarat,8.08
STU00371,Female,22,Mechanical,MCA,3,3,Karnataka,11.42
STU00372,Female,24,Electronics,MCA,3,2,West Bengal,14.08
STU00373,Male,23,Civil,BE,3,2,Maharashtra,2.43
STU00374,Female,21,Computer Science,MCA,2,2,Delhi,2.75
STU00375,Male,20,Mechanical,BE,3,3,Maharashtra,2.57
STU00376,Male,25,Mechanical,MCA,3,2,Delhi,7.52
STU00377,Male,22,AI & DS,BTech,3,3,Maharashtra,9.02
STU00378,Female,22,AI & DS,BE,2,3,Telangana,6.62
STU00379,Male,22,Mechanical,MCA,2,1,Tamil Nadu,8.31
STU00380,Female,23,Civil,BE,2,1,Gujarat,7.99
STU00381,Male,24,Information Technology,BE,2,2,Gujarat,12.52
STU00382,Other,20,Electronics,BE,3,1,West Bengal,3.24
STU00383,Male,21,Civil,MCA,1,2,Karnataka,3.91
STU00384,Male,25,Information Technology,BE,1,1,Telangana,2.93
STU00385,Male,20,Electronics,BE,2,1,Karnataka,6.67
STU00386,Male,24,Information Technology,BTech,3,3,West Bengal,1.0
STU00387,Male,21,Information Technology,BTech,3,2,Gujarat,8.07
STU00388,Male,24,AI & DS,MCA,3,1,Maharashtra,2.36
STU00389,Male,25,Mechanical,BE,3,2,Karnataka,11.73
STU00390,Female,25,Computer Science,MCA,2,3,West Bengal,16.54
STU00391,Female,22,Mechanical,MCA,1,3,Tamil Nadu,13.88
STU00392,Male,25,Electronics,BE,3,2,Delhi,3.63
STU00393,Male,23,Civil,MCA,3,2,Delhi,8.51
STU00394,Male,22,Information Technology,BTech,2,1,Uttar Pradesh,20.4
STU00395,Female,25,Computer Science,BTech,2,1,Gujarat,5.31
STU00396,Female,22,Mechanical,MCA,3,2,Gujarat,18.15
STU00397,Male,21,Electronics,BTech,2,3,West Bengal,4.19
STU00398,Male,21,AI & DS,BE,2,1,West Bengal,7.24
STU00399,Female,21,Electronics,MCA,1,2,Telangana,15.46
STU00400,Male,20,Mechanical,MCA,2,2,Uttar Pradesh,6.98
STU00401,Male,20,Information Technology,BTech,3,3,Karnataka,15.32
STU00402,Male,22,Electronics,BE,1,1,Maharashtra,1.0
STU00403,Male,24,Electronics,MCA,3,2,Telangana,8.75
STU00404,Female,25,AI & DS,BTech,3,3,Telangana,13.57
STU00405,Male,21,Information Technology,BE,3,1,Gujarat,5.44
STU00406,Male,23,AI & DS,BE,1,1,Karnataka,6.69
STU00407,Male,22,Mechanical,BTech,3,3,Tamil Nadu,12.62
STU00408,Male,25,Civil,MCA,2,1,West Bengal,10.77
STU00409,Other,22,Civil,BE,3,3,Karnataka,1.0
STU00410,Other,20,Computer Science,MCA,2,3,Karnataka,3.63
STU00411,Female,22,Information Technology,BE,2,2,Tamil Nadu,12.37
STU00412,Male,20,AI & DS,MCA,2,3,Delhi,5.18
