student_id,enrollment_date,family_income_lpa,cgpa,backlogs,failed_subjects,at_risk_flag,previous_cgpa,previous_semester_percentage,previous_subject_avg,weak_subject_count,subject_consistency,performance_band,previous_internal_marks,previous_assignment_score,previous_midterm_score,lowest_subject_score,assignment_completion_rate,practice_questions,next_semester_marks,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,motivation_level,adaptability_score,gym_frequency,wellness_score,screen_to_study_ratio,extracurricular_hours,survey_date,resume_score,communication_skills,aptitude_score,mock_interview_score,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill,hackathons_participated,preferred_domain,career_goal,submitted_at
S100010,2021-08-22,6.7,6.82,0,0,1,6.4,64.46,77.75,2,54.13,At_Risk,41.42,65.96,48.31,52.03,75.28,50,47.38,65.59,2.6,5.68,8.17,2024-02-06 00:00:00,5.42,5.22,5.13,1.8,24.87,5.7,51.84,1,68.79,2.01,9.24,2024-03-18,42.96,36.01,35.44,68.8,2,0,3,8.65,56.5,1,Product/Management,Higher Studies,2023-11-11 00:00:00
S100011,2021-08-08,2.6,4.98,0,3,1,6.39,64.15,60.31,1,85.8,At_Risk,38.58,44.16,97.38,52.65,66.62,94,41.39,97.0,5.85,0.03,1.28,2024-03-02 00:00:00,6.06,6.505,3.47,10.0,86.57,4.25,46.98,0,22.92,0.64,0.62,2024-03-10,68.26,73.98,55.4,60.5,4,0,4,9.35,45.51,1,AI/ML,Startup/Entrepreneurship,2023-12-02 00:00:00
S100012,2022-06-17,1.0,6.35,1,1,0,7.31,64.23,69.64,1,60.58,Average,30.31,52.71,68.71,47.93,90.24,45,63.32,72.72,1.56,1.69,27.42,2024-04-01 00:00:00,7.01,8.7,2.14,3.68,60.37,8.6,59.32,1,48.97,5.59,0.94,2024-04-10,48.31,69.75,82.18,18.81,4,0,5,10.0,66.92,1,Web Development,Job,2023-11-07 00:00:00
S100013,2022-11-09,1.8,7.51,0,2,0,4.51,41.01,69.3,0,50.41,At_Risk,26.63,63.96,65.06,37.96,34.31,67,38.99,75.3,1.92,8.0,17.21,2024-04-21 00:00:00,5.93,8.89,1.99,7.24,40.13,4.62,41.76,2,47.89,4.63,0.69,2024-04-29,33.52,79.49,57.95,42.69,1,2,4,1.07,34.07,3,Product/Management,Higher Studies,2023-11-18 00:00:00
S100014,2023-06-21,4.5,7.15,0,0,1,4.76,48.49,63.45,0,64.38,At_Risk,39.18,23.6,58.18,40.34,76.29,24,40.6,67.59,2.83,0.61,11.8,2024-04-16 00:00:00,5.96,10.65,0.2,8.41,55.31,3.93,73.83,1,46.74,3.76,1.24,2024-03-13,66.14,73.22,60.96,72.4,4,0,3,10.0,49.36,0,Web Development,Job,2023-11-16 00:00:00
S100015,2023-08-06,1.0,6.57,1,0,1,6.27,59.72,55.72,1,70.54,At_Risk,34.43,79.61,48.51,39.46,65.48,68,45.16,75.38,2.48,4.95,11.56,2024-05-07 00:00:00,4.27,6.36,3.87,2.93,30.51,6.86,49.42,4,63.34,2.56,0.69,2024-04-13,55.46,45.63,50.78,29.86,2,0,7,2.64,53.29,0,Cybersecurity,Job,2024-01-02 00:00:00
S100016,2022-12-24,3.5,7.39,0,0,1,5.68,49.7,58.51,1,58.88,Average,24.29,49.41,61.89,30.39,80.04,27,51.42,53.33,3.7,1.24,16.03,2024-05-01 00:00:00,7.08,3.7,0.14,6.04,81.43,3.94,61.47,1,33.54,1.0,4.57,2024-02-19,51.21,40.17,43.87,51.95,2,0,7,4.88,23.73,0,Cybersecurity,Job,2024-03-03 00:00:00
S100017,2022-03-06,5.3,6.38,2,1,1,7.41,72.21,59.09,2,80.65,Average,22.87,80.3,80.59,43.13,100.0,26,54.85,61.05,0.0,2.29,22.29,2024-01-29 00:00:00,6.47,7.53,1.11,7.46,19.54,7.22,71.34,3,59.39,30.14,16.12,2024-04-08,66.26,73.28,74.33,71.46,4,1,5,3.06,16.58,2,Web Development,Job,2024-01-04 00:00:00
S100018,2023-05-29,9.4,7.47,0,0,0,5.82,52.43,62.03,1,90.71,At_Risk,27.33,78.98,64.75,49.48,100.0,32,37.01,79.46,5.72,0.71,4.43,2024-02-22 00:00:00,6.68,10.17,0.12,3.07,4.49,5.65,53.74,4,80.63,1.78,4.4,2024-02-17,37.77,63.51,89.22,42.2,2,0,2,8.88,24.71,1,Core Engineering,Job,2024-03-25 00:00:00
S100019,2022-01-12,14.8,7.94,0,1,0,5.16,56.24,66.22,1,91.84,At_Risk,49.57,61.84,74.76,58.59,72.58,18,48.56,91.26,3.61,1.57,12.19,2024-01-26 00:00:00,4.16,5.09,0.6,3.94,59.81,8.82,29.31,0,46.41,1.41,10.8,2024-04-13,40.42,55.83,44.83,28.44,3,0,2,5.48,53.52,1,Data Science,Job,2023-12-31 00:00:00
S100020,2023-02-26,2.1,5.38,1,0,0,8.91,90.78,69.88,2,59.22,Excellent,50.0,85.01,93.25,38.82,77.22,20,85.02,87.21,4.7,0.72,26.58,2024-05-28 00:00:00,8.61,6.21,1.88,6.48,30.95,7.66,53.97,0,63.75,1.32,2.39,2024-03-23,75.2,48.74,40.64,87.69,6,0,4,2.3,43.03,1,Cybersecurity,Job,2024-10-03 00:00:00
S100021,2022-07-06,2.3,5.59,1,1,0,6.71,66.13,69.86,3,62.76,At_Risk,36.64,81.15,55.71,45.59,67.43,215,39.07,84.6,1.67,1.09,20.77,2024-05-28 00:00:00,6.52,5.19,7.22,3.36,38.03,6.01,85.64,2,67.98,3.11,0.03,2024-02-19,73.81,63.88,59.8,29.61,1,0,4,8.15,40.87,2,Web Development,Job,2024-01-20 00:00:00
S100022,2023-06-08,1.0,4.83,0,0,1,7.09,72.78,66.67,1,65.29,Average,36.19,65.37,69.85,47.46,77.74,48,64.07,61.0,5.34,2.11,20.18,2024-05-15 00:00:00,5.76,2.78,2.7,5.75,25.7,7.95,53.65,0,61.18,0.52,2.27,2024-02-01,21.98,62.46,83.75,35.53,2,2,1,3.7,44.41,1,Web Development,Job,2023-12-20 00:00:00
S100023,2023-06-20,9.8,5.92,0,1,1,5.15,49.16,68.19,6,57.49,At_Risk,32.31,63.67,81.07,43.87,91.04,76,22.5,63.54,0.32,1.87,17.85,2024-05-01 00:00:00,9.14,9.57,0.31,4.7,18.25,5.68,80.9,1,72.19,29.54,4.08,2024-04-02,76.36,87.41,50.29,70.93,1,0,4,7.03,73.63,1,Cybersecurity,Job,2023-11-01 00:00:00
S100024,2023-07-26,1.7,7.38,1,0,0,6.29,62.84,56.86,0,84.06,At_Risk,27.52,86.46,50.07,47.03,60.29,68,38.63,74.38,3.87,6.83,17.17,2024-05-19 00:00:00,6.24,5.49,2.66,6.0,25.25,6.43,96.89,1,60.09,1.42,0.3,2024-03-29,65.33,66.34,67.69,96.64,3,1,3,2.56,34.79,0,Product/Management,Higher Studies,2023-11-17 00:00:00
S100025,2023-05-17,6.7,8.41,0,0,0,7.14,73.78,70.48,1,90.54,Average,46.0,73.48,67.85,64.68,100.0,25,50.46,81.5,5.83,0.14,11.72,2024-02-03 00:00:00,4.27,10.58,7.0,3.76,24.42,6.15,29.86,0,61.7,1.81,8.99,2024-02-22,29.07,50.46,70.18,28.74,2,0,3,3.0,69.13,3,Data Science,Job,2024-04-13 00:00:00
S100026,2023-06-10,2.0,4.69,0,1,0,5.5,53.27,47.64,1,61.01,At_Risk,49.99,85.67,94.96,18.49,93.72,0,39.46,78.2,3.12,5.04,11.09,2024-04-27 00:00:00,5.73,6.505,1.7,1.32,30.59,7.12,42.57,0,67.15,1.77,0.24,2024-03-29,72.73,71.07,44.41,39.88,3,0,3,4.19,76.8,0,Product/Management,Startup/Entrepreneurship,2024-03-13 00:00:00
S100027,2023-04-08,8.6,5.87,1,1,0,7.49,70.12,54.85,1,49.33,At_Risk,27.85,34.17,59.56,22.74,93.06,56,35.2,63.8,3.62,1.23,20.64,2024-04-17 00:00:00,3.1,2.2,2.72,3.97,72.13,8.99,51.18,2,38.19,0.61,4.54,2024-03-16,53.08,52.67,48.0,52.75,2,1,2,5.97,64.29,2,Web Development,Job,2024-01-24 00:00:00
S100028,2021-04-11,21.5,9.53,2,0,0,6.22,52.26,54.47,2,88.28,At_Risk,34.34,71.48,82.09,46.46,85.74,142,35.5,80.44,4.43,0.55,11.22,2024-05-15 00:00:00,7.77,4.21,0.05,6.04,37.07,4.86,53.7,1,63.3,0.95,0.85,2024-02-29,41.79,75.97,48.82,48.27,1,1,2,4.48,78.34,1,AI/ML,Startup/Entrepreneurship,2024-03-10 00:00:00
S100029,2023-04-21,20.0,7.76,1,1,0,6.62,62.57,60.58,2,73.56,At_Risk,31.4,46.34,62.74,42.81,66.45,9,21.04,78.0,4.2,0.83,16.99,2024-01-12 00:00:00,5.72,4.12,0.07,5.83,44.23,7.5,58.61,2,50.32,0.98,1.98,2024-04-21,93.32,56.98,38.24,50.42,3,2,6,7.58,43.01,1,Product/Management,Job,2023-11-16 00:00:00
S100030,2023-01-17,3.3,9.09,0,1,0,6.22,62.36,71.76,3,44.99,At_Risk,31.64,69.61,93.79,39.62,95.18,19,42.05,76.62,3.48,1.06,16.06,2024-04-14 00:00:00,5.26,4.77,0.24,6.22,45.23,8.82,67.2,2,52.74,1.37,0.93,2024-03-13,85.4,78.5,83.35,65.91,5,1,2,6.37,69.1,2,Web Development,Higher Studies,2024-03-20 05:40:26
S100031,2022-02-19,6.5,8.79,0,0,1,9.41,93.16,70.27,1,58.07,Excellent,44.49,80.71,38.67,40.96,75.2,195,86.2,92.08,0.49,3.75,30.34,2024-05-27 00:00:00,7.8,5.94,0.48,3.54,40.4,3.27,50.27,0,61.46,12.08,0.19,2024-03-30,53.11,96.28,91.61,52.2,2,1,2,3.32,59.84,0,Web Development,Higher Studies,2023-12-24 00:00:00
S100032,2021-08-09,3.3,8.27,2,1,1,6.98,68.35,71.55,2,69.81,At_Risk,24.5,96.09,66.04,54.46,54.67,132,43.66,83.9,0.0,0.43,13.88,2024-04-04 00:00:00,3.99,5.59,0.41,1.42,56.34,6.91,65.26,1,58.37,22.38,4.09,2024-02-02,68.28,57.08,58.76,79.42,0,2,6,9.37,46.71,1,AI/ML,Job,2023-12-24 00:00:00
S100033,2022-11-30,9.6,7.19,0,1,0,5.62,51.27,78.52,3,84.57,At_Risk,38.73,55.93,41.34,70.65,81.19,4,30.1,76.31,2.91,0.96,23.18,2024-12-01 00:00:00,7.05,10.61,1.38,5.98,65.5,5.95,65.31,1,41.03,3.65,0.25,2024-02-22,41.97,77.78,18.63,94.33,5,1,3,4.49,34.07,0,Core Engineering,Job,2024-02-22 00:00:00
S100034,2022-11-01,3.7,4.95,2,1,1,8.07,68.75,70.35,3,77.94,Average,40.83,62.11,53.79,55.66,62.61,83,51.26,100.0,3.45,0.13,19.95,2024-10-01 00:00:00,3.41,0.92,1.32,5.49,60.49,7.43,79.2,0,40.03,0.27,1.54,2024-04-03,63.72,63.68,36.72,15.83,4,1,3,6.57,67.45,1,Web Development,Job,2023-11-22 00:00:00
S100035,2023-02-24,1.0,6.18,0,1,0,5.41,49.44,54.91,1,52.5,At_Risk,33.86,68.57,53.69,25.54,70.92,58,33.69,78.0,4.63,0.91,14.18,2024-05-19 00:00:00,5.37,3.97,0.22,6.09,51.17,3.92,46.2,2,49.9,0.86,2.11,2024-02-10,38.08,55.23,74.44,71.92,2,1,2,6.05,53.07,3,Cybersecurity,Startup/Entrepreneurship,2024-02-25 00:00:00
S100036,2021-11-09,4.0,8.2,2,0,0,7.27,68.0,68.39,2,86.8,At_Risk,42.14,55.38,60.73,56.3,90.6,36,49.47,91.08,3.18,0.58,6.29,2024-03-18 00:00:00,4.61,6.77,0.98,3.0,30.3,9.12,62.07,0,69.56,2.13,0.97,2024-02-27,44.11,74.57,67.21,34.01,2,0,5,5.62,60.09,2,Product/Management,Job,2023-12-24 13:52:23
S100037,2021-12-04,12.2,5.77,0,0,1,4.45,41.05,55.87,2,55.27,At_Risk,36.18,84.68,45.99,22.95,78.21,56,31.45,83.97,2.63,0.62,14.63,2024-05-05 00:00:00,8.35,8.37,0.13,5.77,65.39,4.97,57.81,1,51.47,3.18,4.22,2024-04-22,67.41,63.96,67.92,38.89,1,0,4,7.85,57.1,0,Cybersecurity,Job,2024-02-16 00:00:00
S100038,2021-11-30,1.0,7.27,2,1,0,5.27,52.57,63.65,0,74.26,At_Risk,44.74,68.95,63.85,47.72,79.44,13,45.07,68.16,4.87,1.99,21.29,2024-03-13 00:00:00,8.77,6.77,2.31,3.81,9.3,9.34,49.99,4,80.52,1.39,3.43,2024-02-04,71.54,79.73,36.79,71.2,1,1,9,8.99,93.73,0,Data Science,Job,2024-02-21 00:00:00
S100039,2022-09-10,1.0,8.27,0,0,1,7.26,76.87,73.17,0,55.4,Average,22.82,71.83,72.37,42.59,97.53,248,63.92,50.58,3.92,0.41,6.43,2024-03-02 00:00:00,5.84,6.42,0.2,10.0,75.26,6.33,80.4,3,20.04,1.64,3.97,2024-03-01,60.38,43.52,56.98,44.48,6,2,7,1.67,46.36,0,Data Science,Startup/Entrepreneurship,2023-11-25 00:00:00
S100040,2022-05-08,3.9,7.67,1,0,0,7.96,76.11,65.8,0,81.8,Average,32.21,79.3,40.49,48.0,46.16,15,68.23,81.7,2.53,1.64,20.85,2024-04-14 00:00:00,7.48,7.84,0.77,2.41,32.65,10.0,75.15,1,72.92,3.1,3.37,2024-04-15,91.0,55.55,72.29,47.84,4,1,3,6.06,43.11,1,AI/ML,Job,2023-12-14 00:00:00
S100041,2022-03-24,1.0,5.24,0,0,1,7.22,67.75,76.36,1,63.6,Average,34.43,68.92,54.84,55.37,96.87,16,54.0,63.46,3.37,1.48,24.4,2024-04-15 00:00:00,6.05,6.02,3.8,7.89,59.35,4.28,59.32,2,36.99,1.79,9.29,2024-03-19,68.26,80.51,54.22,47.3,2,1,7,8.57,37.14,2,Web Development,Job,2023-11-27 00:00:00
S100042,2023-08-08,3.4,6.53,1,0,0,6.85,64.03,68.11,0,56.79,Average,13.62,57.74,100.0,39.22,82.21,37,50.82,65.0,2.62,2.5,15.67,2024-05-29 00:00:00,7.1,5.78,3.63,3.33,38.57,6.33,54.8,3,68.06,2.21,8.2,2024-03-31,43.24,70.88,80.5,61.51,4,0,5,4.13,30.7,0,Web Development,Higher Studies,2024-01-26 00:00:00
S100043,2022-03-16,1.0,5.64,2,0,0,6.61,63.3,48.31,2,72.28,At_Risk,26.31,69.05,70.27,33.85,78.96,19,44.47,77.99,2.37,3.73,21.4,2024-01-21 00:00:00,5.25,7.42,0.64,5.61,34.89,7.09,56.62,1,49.01,3.13,2.05,2024-04-02,74.21,83.04,50.98,88.27,4,1,4,10.0,56.28,1,AI/ML,Job,2023-11-06 00:00:00
S100044,2021-07-04,1.0,7.47,1,0,1,5.08,44.93,62.87,1,93.27,At_Risk,28.49,57.16,35.92,57.54,79.43,30,38.61,100.0,4.25,1.41,15.98,2024-03-28 00:00:00,3.91,2.88,1.7,5.81,51.45,1.81,75.66,1,42.84,0.68,1.59,2024-04-06,59.16,77.73,45.56,78.92,3,2,5,5.92,32.4,2,Product/Management,Job,2023-12-27 00:00:00
S100045,2021-11-08,9.7,7.75,0,1,1,6.06,58.09,76.26,1,74.11,At_Risk,42.59,71.62,42.59,66.04,89.6,3,44.0,73.79,2.27,4.17,19.0,2024-02-24 00:00:00,3.78,6.53,5.43,7.26,23.23,4.38,72.02,0,49.63,2.88,10.1,2024-03-23,66.85,52.89,67.32,36.57,5,2,6,5.69,23.23,2,AI/ML,Higher Studies,2024-01-28 00:00:00
S100046,2023-03-02,1.8,5.64,0,0,1,6.4,62.61,73.93,2,76.4,Average,29.35,84.95,68.61,57.66,95.39,76,62.51,53.57,3.1,0.38,25.46,2024-04-27 00:00:00,6.84,4.53,1.59,7.63,15.99,5.16,59.31,3,68.95,1.46,2.1,2024-02-27,54.95,80.64,56.58,63.36,6,1,2,4.9,40.33,3,Data Science,Job,2024-02-17 00:00:00
S100047,2021-08-10,10.4,6.29,0,1,0,8.37,80.39,54.07,0,52.91,At_Risk,28.46,52.38,66.61,20.4,76.45,22,44.56,79.93,4.07,2.26,4.12,2024-03-18 00:00:00,9.45,7.13,2.72,6.17,44.03,8.43,100.0,1,63.04,1.75,1.13,2024-03-26,50.79,51.06,69.55,23.52,3,1,1,3.19,57.02,0,Product/Management,Job,2023-11-04 00:00:00
S100048,2022-01-23,7.3,6.83,0,1,0,7.45,72.57,62.02,2,49.17,Average,41.54,47.01,55.6,29.21,77.99,283,50.21,70.01,2.55,1.93,9.64,2024-04-03 00:00:00,6.68,5.99,2.46,3.73,73.68,6.52,37.24,2,49.57,2.35,3.61,2024-02-28,41.76,54.89,66.07,67.42,5,1,2,5.85,74.61,5,AI/ML,Job,2023-12-03 00:00:00
S100049,2022-08-28,5.4,7.28,0,0,0,4.71,46.46,70.69,1,49.84,At_Risk,22.06,70.74,100.0,36.91,89.13,10,43.44,89.35,4.47,3.56,23.75,2024-04-19 00:00:00,5.57,9.59,0.71,5.97,44.17,5.4,91.97,3,52.83,2.15,3.52,2024-04-23,65.66,36.69,81.58,93.67,4,2,1,1.22,80.39,1,Data Science,Higher Studies,2024-02-16 00:00:00
S100050,2023-08-16,1.9,7.91,2,0,0,7.42,63.41,61.21,0,47.22,At_Risk,18.43,58.48,100.0,29.72,48.53,6,42.43,68.73,6.4,1.25,25.05,2024-05-15 01:41:18,8.98,7.85,0.06,5.62,60.52,8.88,68.23,3,57.51,1.23,0.16,2024-02-08,47.13,60.04,67.57,49.86,3,1,5,6.61,72.77,0,Web Development,Job,2024-02-19 00:00:00
S100051,2023-05-29,5.4,7.33,1,0,1,6.5,64.29,63.59,2,59.1,At_Risk,32.11,70.48,60.77,35.78,78.52,15,17.49,50.62,0.81,0.53,5.14,2024-05-03 00:00:00,6.63,7.23,0.14,4.47,6.07,6.19,47.71,1,71.84,8.9,3.7,2024-05-02,71.16,81.51,33.9,64.21,2,0,6,5.84,39.55,1,Web Development,Job,2024-01-17 00:00:00
S100052,2022-07-30,1.0,5.8,1,0,0,6.12,55.5,71.24,1,96.35,Average,23.42,74.81,78.97,65.79,87.47,63,50.7,100.0,3.6,0.08,25.94,2024-04-10 00:00:00,6.44,4.52,0.55,5.54,81.45,6.43,42.57,1,41.37,1.26,10.93,2024-03-19,75.4,64.41,87.04,59.06,3,1,1,7.53,66.79,1,Core Engineering,Job,2024-03-16 00:00:00
S100053,2022-08-26,3.0,5.55,2,0,1,7.8,69.67,91.82,1,78.69,At_Risk,23.72,37.84,79.77,73.58,72.6,110,47.99,79.5,1.88,1.27,0.0,2024-04-24 00:00:00,6.65,7.86,0.26,8.59,45.55,7.6,81.35,4,42.0,4.18,1.39,2024-03-24,37.42,71.74,38.14,68.75,2,1,4,5.9,35.65,3,Web Development,Higher Studies,2023-12-21 00:00:00
S100054,2023-05-26,1.9,6.16,0,0,0,8.34,74.82,72.03,2,46.71,Average,39.59,80.35,81.89,38.01,68.02,66,62.57,81.8,2.91,2.41,19.38,2024-03-06 00:00:00,6.11,1.15,3.34,5.98,27.03,5.92,41.58,2,58.91,0.4,0.7,2024-04-13,46.76,78.54,48.72,92.62,5,0,1,8.67,48.99,2,Web Development,Startup/Entrepreneurship,2024-01-13 00:00:00
S100055,2023-03-30,15.5,6.29,0,0,1,8.21,79.74,77.01,1,82.68,Average,42.01,52.45,54.76,68.68,77.71,157,62.06,79.25,0.0,0.25,16.53,2024-01-25 00:00:00,5.87,8.68,0.68,4.17,11.26,2.98,45.31,2,75.23,34.71,1.88,2024-03-28,46.95,57.88,49.97,38.14,2,2,3,5.43,0.0,1,Cybersecurity,Higher Studies,2023-12-04 00:00:00
S100056,2021-08-08,12.4,5.38,3,0,1,5.91,55.25,56.47,3,52.33,At_Risk,41.31,69.66,96.03,29.58,71.23,56,15.73,66.0,3.39,0.11,9.87,2024-05-22 00:00:00,4.29,8.59,0.52,8.5,84.52,8.06,84.94,1,24.05,2.53,0.13,2024-04-11,45.33,74.84,66.06,59.62,1,1,2,5.03,71.59,3,Cybersecurity,Startup/Entrepreneurship,2024-02-25 00:00:00
S100057,2023-05-11,6.8,8.26,1,0,0,6.6,55.95,51.82,1,65.17,At_Risk,43.87,60.11,63.9,24.54,76.32,12,33.9,89.62,3.16,0.56,10.3,2024-05-17 00:00:00,7.0,6.96,0.38,9.8,44.23,2.94,68.5,0,39.81,2.2,1.13,2024-02-02,46.49,40.25,56.39,56.86,0,1,5,3.79,37.79,1,Web Development,Job,2024-03-24 00:00:00
S100058,2022-08-24,5.5,7.05,3,0,1,7.43,72.5,56.62,1,79.9,At_Risk,44.93,61.72,71.75,45.19,72.92,16,33.63,59.0,2.19,0.28,10.56,2024-03-13 00:00:00,6.17,8.15,1.46,9.13,51.69,5.63,60.77,2,30.29,3.73,0.2,2024-12-02,55.64,57.84,33.59,74.96,1,1,2,7.15,51.18,2,Data Science,Higher Studies,2023-12-01 05:05:38
S100059,2023-08-04,1.5,4.42,3,1,0,8.27,73.0,65.72,1,48.02,Average,17.97,95.41,65.03,32.87,100.0,35,53.99,70.82,5.28,0.25,13.57,2024-10-03 00:00:00,7.97,3.01,1.17,5.86,48.35,6.11,49.35,2,52.96,0.57,4.76,2024-02-23,49.86,51.72,64.8,90.8,3,1,3,7.8,38.56,0,Web Development,Higher Studies,2024-03-19 00:00:00
S100060,2023-04-22,9.4,5.33,0,0,0,6.38,61.14,70.95,1,71.63,Good,38.6,74.79,62.77,59.51,62.91,202,70.99,68.7,2.16,0.36,28.9,2024-04-18 00:00:00,5.78,5.26,0.2,5.74,49.9,7.04,46.29,3,50.8,2.43,1.09,2024-03-22,68.28,68.4,54.63,60.0,1,1,3,4.55,44.42,3,Core Engineering,Job,2024-03-20 00:00:00
S100061,2023-01-20,7.6,4.14,0,1,1,6.76,65.16,74.25,1,48.43,At_Risk,30.76,83.57,69.45,40.94,92.52,56,48.54,81.0,1.58,4.4,20.76,2024-02-06 00:00:00,3.63,4.27,0.62,6.7,18.96,4.08,64.24,0,52.66,2.7,4.13,2024-04-08,25.64,77.48,78.19,17.8,0,2,0,2.0,53.68,1,AI/ML,Job,2024-12-04 00:00:00
S100062,2023-07-17,1.0,8.4,1,0,0,5.56,56.38,79.59,0,79.39,Average,29.02,72.26,46.03,56.57,71.19,166,54.09,90.32,0.82,1.56,25.04,2024-05-03 00:00:00,6.16,7.93,1.7,5.41,37.27,6.36,53.56,0,61.64,9.68,7.11,2024-02-18,49.36,42.27,51.87,63.62,1,0,1,0.59,55.94,2,Cybersecurity,Job,2023-11-19 00:00:00
