student_id,sleep_hours,screen_time_hours,gaming_hours,study_hours_daily,stress_level,burnout_score,gym_frequency_per_week,motivation_level,physical_activity_hours_sehaj,stress_level_sehaj,lifestyle_risk_flag
STU00171,6.4,5.3,1.9,8.6,69,62,5,79,,,Normal
STU00172,6.4,6.7,3.4,10.7,99,45,3,55,,,High Risk
STU00173,5.6,5.2,2.2,7.7,38,65,4,54,,,Normal
STU00174,5.3,7.5,2.0,11.4,65,14,4,45,,,Normal
STU00175,5.7,7.5,4.3,7.3,45,63,6,61,,,Normal
STU00176,6.1,8.3,2.6,7.0,53,34,4,79,,,Normal
STU00177,5.7,6.3,3.1,9.0,5,60,1,82,,,Normal
STU00178,5.9,5.7,1.6,9.5,64,40,5,82,,,Normal
STU00179,5.4,8.0,3.5,7.7,28,61,1,93,,,Normal
STU00180,4.8,4.7,7.3,6.8,81,59,2,57,,,High Risk
STU00181,5.6,6.2,3.8,6.1,51,49,4,92,,,Normal
STU00182,5.8,4.9,1.9,9.8,49,8,2,96,,,Normal
STU00183,4.6,8.2,3.3,5.9,62,69,5,82,,,High Risk
STU00184,8.2,9.1,3.2,5.3,31,26,4,50,,,Normal
STU00185,5.8,4.9,1.6,6.4,30,37,2,70,,,Normal
STU00186,6.6,2.9,1.4,7.4,84,63,0,57,,,High Risk
STU00187,5.9,10.1,2.6,7.8,60,46,6,100,5.2,High,Normal
STU00188,6.6,5.1,2.6,9.0,58,61,4,62,,,Normal
STU00189,6.7,7.3,1.5,6.7,36,24,6,74,,,Normal
STU00190,5.2,10.0,2.3,5.3,20,36,6,69,,,Normal
STU00191,7.2,4.0,1.7,9.6,10,17,0,57,,,Normal
STU00192,4.5,8.6,1.6,7.5,52,46,1,61,,,High Risk
STU00193,7.1,7.0,4.5,7.1,18,44,1,45,,,Normal
STU00194,7.8,9.7,1.5,7.0,78,35,1,66,,,High Risk
STU00195,5.3,4.4,0.0,8.0,87,53,3,79,,,High Risk
STU00196,5.9,11.7,2.9,7.6,60,41,5,63,,,Normal
STU00197,5.2,8.4,4.5,6.5,45,62,5,94,,,Normal
STU00198,4.8,6.4,0.4,8.1,63,50,6,70,,,High Risk
STU00199,7.4,9.5,1.9,8.6,96,47,3,47,,,High Risk
STU00200,7.2,6.1,1.2,10.2,47,15,5,63,0.0,Moderate,Normal
STU00201,5.6,7.9,3.2,7.9,91,32,6,64,,,High Risk
STU00202,5.7,8.3,2.7,9.1,95,60,3,66,4.1,Moderate,High Risk
STU00203,4.9,8.5,3.0,6.9,80,52,3,38,,,High Risk
STU00204,5.2,7.3,4.4,7.4,53,51,5,72,,,Normal
STU00205,7.6,5.9,4.5,7.4,80,25,2,76,,,High Risk
STU00206,5.3,7.0,2.7,6.6,56,42,0,70,,,Normal
STU00207,6.3,7.3,1.9,8.5,73,44,2,66,,,Normal
STU00208,8.5,3.6,4.2,8.8,56,26,4,48,,,Normal
STU00209,5.7,4.6,3.0,10.1,68,42,3,60,6.8,Moderate,Normal
STU00210,6.9,6.3,6.0,8.9,33,4,4,69,,,Normal
STU00211,4.4,8.2,0.9,8.5,46,43,2,62,,,High Risk
STU00212,5.4,5.0,4.0,7.3,52,17,2,70,,,Normal
STU00213,7.4,3.4,3.7,7.4,69,44,2,53,,,Normal
STU00214,5.5,5.8,2.7,4.5,82,36,2,53,,,High Risk
STU00215,6.1,7.0,4.5,6.7,54,43,5,68,,,Normal
STU00216,5.0,9.0,3.8,7.5,49,42,2,78,,,Normal
STU00217,6.0,5.9,5.4,8.9,63,47,3,64,,,Normal
STU00218,5.6,6.0,4.1,6.4,48,45,2,78,,,Normal
STU00219,5.8,5.5,3.9,4.0,52,48,2,94,,,Normal
STU00220,4.9,7.1,2.2,11.3,62,48,2,66,,,High Risk
STU00221,5.6,7.7,0.0,5.5,29,81,1,69,7.4,Moderate,High Risk
STU00222,4.1,10.2,2.2,6.1,54,39,6,58,,,High Risk
STU00223,6.0,6.4,1.5,4.7,60,49,0,93,3.1,High,Normal
STU00224,7.7,7.6,2.6,7.4,69,36,3,60,,,Normal
STU00225,6.5,6.8,1.2,7.0,0,74,3,74,,,Normal
STU00226,5.5,5.1,5.9,7.2,62,64,2,80,4.1,Moderate,Normal
STU00227,5.6,6.0,1.7,8.5,20,27,4,71,,,Normal
STU00228,7.1,7.7,3.8,7.2,55,52,4,77,,,Normal
STU00229,6.4,9.4,0.9,7.3,53,17,3,42,,,Normal
STU00230,6.1,7.3,4.1,8.9,42,30,1,79,,,Normal
STU00231,6.4,8.8,5.5,8.1,39,46,2,95,,,Normal
STU00232,6.5,4.8,4.1,7.4,30,64,4,53,,,Normal
STU00233,4.7,7.9,1.1,6.7,56,60,0,97,,,High Risk
STU00234,5.4,6.9,0.0,9.5,10,47,2,70,,,Normal
STU00235,5.6,6.4,1.8,10.8,39,34,4,76,,,Normal
STU00236,6.6,7.3,2.8,11.1,78,39,6,75,,,High Risk
STU00237,5.4,8.6,2.5,7.7,40,19,6,61,,,Normal
STU00238,6.3,5.2,2.8,8.0,41,39,6,81,,,Normal
STU00239,4.9,5.0,5.3,8.3,40,44,4,81,,,High Risk
STU00240,6.8,9.4,2.5,8.4,34,34,5,65,,,Normal
STU00241,6.1,7.4,3.4,6.9,97,28,1,100,,,High Risk
STU00242,6.7,5.4,3.5,4.8,79,36,3,68,,,High Risk
STU00243,7.5,5.7,1.0,7.8,54,44,5,65,,,Normal
STU00244,7.0,5.0,2.0,6.1,49,32,3,71,,,Normal
STU00245,6.0,7.3,4.0,8.8,59,65,1,72,,,Normal
STU00246,5.6,8.3,0.4,7.3,45,42,1,66,,,Normal
STU00247,6.7,6.5,0.0,4.4,60,60,0,51,,,Normal
STU00248,5.3,5.6,3.0,7.7,40,36,5,76,,,Normal
STU00249,7.3,3.2,3.0,9.5,63,51,0,70,,,Normal
STU00250,6.1,8.0,0.0,7.8,47,48,0,78,,,Normal
STU00251,5.6,8.4,0.1,6.3,38,23,3,62,,,Normal
STU00252,6.5,9.8,1.8,8.6,43,26,5,42,0.5,High,Normal
STU00253,6.1,9.7,2.7,7.6,71,68,5,65,,,Normal
STU00254,4.0,9.0,2.2,8.3,43,53,0,97,,,High Risk
STU00255,7.1,9.8,3.7,6.9,23,41,4,73,,,Normal
STU00256,6.0,7.1,2.6,5.4,41,16,4,52,,,Normal
STU00257,6.0,3.9,5.8,7.8,76,72,6,84,,,High Risk
STU00258,7.2,5.0,5.2,8.3,61,13,1,74,,,Normal
STU00259,4.9,6.7,2.0,9.3,55,47,5,53,,,High Risk
STU00260,4.6,4.4,0.0,8.1,21,64,3,70,,,High Risk
STU00261,5.8,8.3,0.9,7.2,16,18,4,68,,,Normal
STU00262,6.9,7.3,1.3,6.0,75,45,0,83,,,Normal
STU00263,4.9,5.9,5.6,8.3,48,63,6,70,,,High Risk
STU00264,6.6,6.8,1.8,7.7,66,56,1,38,,,Normal
STU00265,6.6,7.2,3.0,6.7,32,52,4,69,,,Normal
STU00266,5.5,3.9,1.7,6.1,62,49,3,84,,,Normal
STU00267,7.9,6.3,2.6,6.9,64,31,2,88,6.4,Low,Normal
STU00268,4.7,10.6,4.3,5.4,22,54,3,97,,,High Risk
STU00269,5.6,6.7,0.0,8.8,79,46,4,53,,,High Risk
STU00270,4.5,8.0,0.0,11.3,47,52,1,81,,,High Risk
STU00271,8.6,4.9,1.9,7.7,61,38,0,57,,,Normal
STU00272,6.0,7.4,2.1,5.7,31,49,4,72,,,Normal
STU00273,6.6,7.3,4.6,6.9,21,39,1,98,,,Normal
STU00274,5.3,6.8,3.7,8.4,84,25,6,72,,,High Risk
STU00275,4.9,2.0,2.5,8.5,26,40,0,71,,,High Risk
STU00276,6.1,8.8,0.8,6.7,54,51,3,54,5.2,Moderate,Normal
STU00277,7.6,4.8,5.0,10.0,71,42,2,77,,,Normal
STU00278,6.8,5.5,1.0,5.6,39,34,2,52,,,Normal
STU00279,6.7,11.6,5.2,9.1,83,50,2,49,,,High Risk
STU00280,6.1,2.9,3.7,5.0,63,29,2,67,,,Normal
STU00281,5.7,6.4,3.7,8.6,35,41,1,64,,,Normal
STU00282,4.9,8.1,4.3,6.8,44,66,4,82,,,High Risk
STU00283,6.8,2.7,5.6,5.6,55,24,6,84,,,Normal
STU00284,7.2,7.4,4.6,3.7,41,50,5,79,,,Normal
STU00285,5.8,5.6,2.4,9.7,13,47,3,60,,,Normal
STU00286,8.5,9.6,1.3,7.3,70,34,1,73,,,Normal
STU00287,5.2,7.0,3.2,7.5,26,23,1,68,,,Normal
STU00288,6.9,10.4,2.0,9.1,33,56,1,81,1.0,High,Normal
STU00289,6.9,7.8,3.6,4.4,76,45,4,71,,,High Risk
STU00290,6.0,5.7,0.3,6.0,42,52,0,86,,,Normal
STU00291,5.9,9.6,1.0,9.9,59,48,5,56,,,Normal
STU00292,3.8,8.6,4.3,7.5,52,65,3,85,,,High Risk
STU00293,5.9,5.7,0.9,9.3,18,14,3,82,,,Normal
STU00294,5.2,9.4,3.1,5.9,45,30,0,85,,,Normal
STU00295,6.7,5.6,1.6,6.4,49,47,0,65,,,Normal
STU00296,6.9,7.9,4.2,6.1,23,61,4,43,,,Normal
STU00297,5.7,7.8,2.3,7.6,38,49,0,76,,,Normal
STU00298,3.9,8.8,4.4,8.6,62,86,4,78,,,High Risk
STU00299,5.4,7.2,2.4,7.7,24,70,5,49,,,Normal
STU00300,5.2,8.8,0.7,7.8,42,69,1,59,,,Normal
STU00301,6.6,3.7,2.0,4.1,79,51,6,47,,,High Risk
STU00302,5.6,5.3,0.0,9.6,57,3,0,74,,,Normal
STU00303,7.3,4.1,4.1,8.1,93,67,2,71,,,High Risk
STU00304,5.1,8.8,1.5,8.9,54,61,2,67,,,Normal
STU00305,6.0,8.6,4.8,6.9,64,38,6,48,,,Normal
STU00306,5.3,8.0,1.8,7.0,60,29,5,43,,,Normal
STU00307,7.0,6.9,1.1,8.6,65,19,4,64,1.3,Moderate,Normal
STU00308,8.6,8.2,3.2,9.4,70,57,0,73,,,Normal
STU00309,6.0,8.6,5.5,6.2,31,61,2,82,,,Normal
STU00310,4.6,8.8,2.7,7.3,62,47,4,58,,,High Risk
STU00311,6.8,9.5,4.5,6.7,49,56,0,84,,,Normal
STU00312,4.4,8.1,3.2,7.9,62,88,3,46,,,High Risk
STU00313,6.8,8.9,0.0,3.5,49,32,6,83,,,Normal
STU00314,6.3,6.8,1.9,7.9,79,43,3,52,,,High Risk
STU00315,5.8,6.8,0.0,5.4,72,72,2,84,,,Normal
STU00316,6.3,4.7,2.3,6.9,43,43,2,90,,,Normal
STU00317,7.5,5.4,3.8,10.5,69,17,3,74,,,Normal
STU00318,6.7,6.9,4.1,7.3,62,44,4,70,,,Normal
STU00319,6.2,5.7,2.6,7.4,38,86,4,79,,,High Risk
STU00320,5.2,4.1,0.0,5.6,50,22,5,67,,,Normal
STU00321,4.1,9.8,4.4,6.8,15,41,6,67,,,High Risk
STU00322,4.6,11.0,2.2,8.4,41,62,2,64,,,High Risk
STU00323,6.8,4.5,2.7,8.0,46,70,4,64,0.4,High,Normal
STU00324,6.6,7.8,4.8,8.7,35,39,5,63,,,Normal
STU00325,5.6,7.4,4.6,10.1,60,67,0,73,,,Normal
STU00326,5.2,5.5,0.6,7.5,51,18,4,71,,,Normal
STU00327,5.7,9.2,7.0,9.4,56,31,5,72,,,Normal
STU00328,4.9,9.6,0.0,6.7,65,38,0,65,,,High Risk
STU00329,6.0,8.2,3.7,5.1,62,28,1,86,,,Normal
STU00330,5.0,7.8,2.4,5.0,63,54,6,66,,,Normal
STU00331,4.5,6.0,3.8,7.8,92,25,4,82,,,High Risk
STU00332,5.4,9.9,4.3,7.2,33,59,3,89,,,Normal
STU00333,6.7,5.9,3.0,4.2,50,54,1,53,,,Normal
STU00334,5.5,5.4,2.4,5.9,58,58,3,62,,,Normal
STU00335,6.3,5.2,0.1,6.9,15,44,6,49,,,Normal
STU00336,7.9,7.6,2.6,7.3,59,53,6,63,,,Normal
STU00337,7.4,7.2,1.5,9.1,100,20,1,64,2.8,Moderate,High Risk
STU00338,6.6,9.8,2.4,9.5,60,48,1,76,,,Normal
STU00339,6.4,8.0,4.1,5.3,58,55,1,64,,,Normal
STU00340,4.2,8.3,0.9,7.7,81,38,0,51,,,High Risk
STU00341,4.4,8.8,0.0,7.0,52,63,5,62,,,High Risk
STU00342,5.5,3.8,0.5,5.7,66,59,0,65,,,Normal
STU00343,6.3,8.7,5.0,8.4,80,48,0,90,,,High Risk
STU00344,5.7,7.3,5.7,6.0,75,48,5,87,,,Normal
STU00345,6.2,7.7,3.8,7.6,88,44,4,60,,,High Risk
STU00346,6.5,3.5,1.3,8.1,54,59,2,63,,,Normal
STU00347,7.0,5.7,0.0,5.4,42,55,1,67,,,Normal
STU00348,8.8,3.2,0.9,8.6,50,21,6,68,,,Normal
STU00349,5.5,6.3,1.5,10.8,67,72,3,64,,,Normal
STU00350,5.2,4.2,2.0,7.8,46,49,2,74,,,Normal
STU00351,7.3,7.0,3.2,8.6,69,23,6,85,,,Normal
STU00352,6.1,9.6,2.9,5.2,59,44,6,61,,,Normal
STU00353,7.3,8.0,0.0,4.4,65,55,4,69,,,Normal
STU00354,6.4,4.4,0.0,7.4,48,63,3,100,,,Normal
STU00355,4.0,8.7,5.3,7.1,87,75,6,70,,,High Risk
STU00356,6.8,11.6,3.5,8.8,67,41,2,87,,,Normal
STU00357,5.1,7.1,1.7,6.3,48,58,1,62,,,Normal
STU00358,8.4,7.4,0.8,8.7,48,18,4,68,,,Normal
STU00359,4.2,8.5,2.9,9.2,40,84,5,73,,,High Risk
STU00360,5.2,6.8,0.2,9.0,55,79,6,62,3.9,High,High Risk
STU00361,5.6,9.5,4.5,9.2,45,24,2,85,,,Normal
STU00362,5.2,8.1,4.5,5.6,51,23,6,67,,,Normal
STU00363,5.0,6.0,4.7,7.4,65,60,5,84,,,Normal
STU00364,7.2,10.1,6.9,6.7,69,13,2,60,,,Normal
STU00365,4.4,9.2,4.1,8.1,38,77,6,73,,,High Risk
STU00366,5.2,9.8,3.9,6.5,55,43,3,52,,,Normal
STU00367,8.3,12.4,0.7,9.6,78,33,1,55,,,High Risk
STU00368,7.4,9.2,0.0,6.8,56,38,5,49,,,Normal
STU00369,7.6,4.6,3.6,6.5,90,24,2,78,,,High Risk
STU00370,5.4,7.1,3.2,9.6,52,55,0,70,1.6,High,Normal
STU00371,6.7,4.8,2.2,6.8,47,44,4,53,,,Normal
STU00372,7.8,6.3,3.6,9.7,50,18,1,66,0.4,Moderate,Normal
STU00373,6.4,5.5,4.4,7.2,0,65,5,75,,,Normal
STU00374,6.7,4.1,2.8,7.7,55,84,4,77,,,High Risk
STU00375,5.5,7.5,4.0,9.9,47,46,0,44,,,Normal
STU00376,6.4,5.9,0.0,9.8,51,12,2,63,,,Normal
STU00377,7.3,8.1,3.5,9.1,23,46,6,66,,,Normal
STU00378,6.9,5.2,1.9,8.0,42,22,6,84,,,Normal
STU00379,7.2,10.7,3.1,5.6,44,16,3,74,,,Normal
STU00380,6.1,11.4,3.0,7.6,100,60,3,73,,,High Risk
STU00381,6.7,10.4,1.5,9.5,63,35,4,79,,,Normal
STU00382,6.6,6.4,1.1,5.2,56,74,1,63,,,Normal
STU00383,5.5,6.1,2.4,6.2,56,63,0,50,,,Normal
STU00384,5.9,5.2,0.0,6.8,0,12,3,55,,,Normal
STU00385,5.4,7.3,4.1,8.5,11,67,1,53,,,Normal
STU00386,3.6,8.6,0.0,7.0,48,77,5,63,,,High Risk
