student_id,cgpa,backlogs,internships,dsa_problems_solved,github_repos,coding_skills_sakhare,communication_skills,aptitude_score,mock_interview_score,placement_status,company_type,work_mode,salary_lpa,offer_count,layoffs_risk_score
STU00141,9.14,0,5,636,24.0,9.0,73,100,88.0,Placed,Service-Based,Remote,22.54,2,11
STU00142,6.23,0,6,653,36.0,,100,96,86.0,Placed,Startup,Onsite,20.91,2,5
STU00143,7.79,1,3,765,21.0,,67,86,79.0,Placed,Product-Based,Hybrid,19.19,1,24
STU00144,6.15,0,3,501,32.0,9.0,100,49,99.0,Placed,Startup,Onsite,19.51,1,48
STU00145,6.93,0,4,643,26.0,6.0,94,100,87.0,Placed,Startup,Remote,19.29,3,35
STU00146,8.35,0,0,473,10.0,,85,64,98.0,Placed,MNC,Hybrid,17.53,2,22
STU00147,8.21,0,5,659,34.0,,90,81,100.0,Placed,Service-Based,Remote,25.4,1,53
STU00148,6.72,0,4,431,18.0,,94,73,99.0,Placed,Product-Based,Remote,16.4,3,40
STU00149,6.77,0,4,698,28.0,,83,84,70.0,Placed,Startup,Hybrid,17.81,1,42
STU00150,7.09,0,4,600,27.0,7.0,79,99,70.0,Placed,Startup,Hybrid,23.02,1,41
STU00151,9.21,1,6,462,16.0,9.0,81,96,72.0,Placed,Service-Based,Onsite,22.57,2,35
STU00152,7.22,2,3,532,6.0,8.0,91,75,93.0,Placed,Service-Based,Onsite,14.31,1,7
STU00153,8.21,1,2,668,20.0,3.0,86,70,77.0,Placed,Product-Based,Hybrid,21.21,3,30
STU00154,7.33,0,1,902,14.0,,86,81,76.0,Placed,Service-Based,Onsite,22.33,1,24
STU00155,6.83,0,1,716,15.0,,81,91,91.0,Placed,MNC,Onsite,11.78,3,20
STU00156,8.6,2,4,592,37.0,6.0,100,85,99.0,Placed,Product-Based,Onsite,25.22,3,53
STU00157,6.49,2,2,537,9.0,,77,53,87.0,Placed,Product-Based,Onsite,21.89,3,66
STU00158,7.35,0,3,594,12.0,,98,66,89.0,Placed,Product-Based,Hybrid,18.05,2,38
STU00159,8.88,0,4,772,20.0,3.0,100,56,49.0,Placed,Service-Based,Hybrid,22.6,3,0
STU00160,7.19,0,2,643,2.0,,70,46,81.0,Placed,MNC,Hybrid,17.15,1,25
STU00161,7.18,0,2,554,20.0,9.0,83,64,84.0,Placed,MNC,Hybrid,17.22,3,37
STU00162,7.29,0,1,665,6.0,,72,77,65.0,Placed,Product-Based,Remote,16.23,2,37
STU00163,7.22,0,3,499,24.0,,75,88,81.0,Placed,Product-Based,Onsite,18.99,2,38
STU00164,7.42,0,3,786,29.0,5.0,76,100,56.0,Placed,Startup,Hybrid,21.85,2,32
STU00165,8.59,1,2,840,10.0,10.0,93,78,72.0,Placed,MNC,Onsite,22.17,1,45
STU00166,5.2,2,2,595,0.0,,93,64,93.0,Placed,MNC,Onsite,12.38,1,19
STU00167,8.05,0,5,671,37.0,,77,100,56.0,Placed,Product-Based,Remote,26.43,2,38
STU00168,7.53,1,1,473,3.0,,100,89,73.0,Placed,Service-Based,Hybrid,13.66,3,33
STU00169,8.0,0,8,601,24.0,5.0,88,79,79.0,Placed,Startup,Hybrid,24.11,3,26
STU00170,8.66,3,4,794,23.0,4.0,97,97,71.0,Placed,Startup,Remote,25.88,1,51
STU00171,8.96,2,3,692,20.0,,85,88,81.0,Placed,Service-Based,Remote,21.76,1,18
STU00172,9.37,0,4,821,26.0,,83,100,50.0,Placed,Product-Based,Remote,25.33,3,43
STU00173,6.26,0,4,613,18.0,,76,66,92.0,Placed,Service-Based,Onsite,20.24,1,34
STU00174,6.47,0,3,785,14.0,1.0,81,52,76.0,Placed,Startup,Onsite,21.07,1,21
STU00175,5.84,0,3,575,6.0,3.0,97,81,75.0,Placed,Service-Based,Onsite,13.52,1,29
STU00176,6.89,0,2,493,19.0,,89,75,81.0,Placed,Startup,Hybrid,17.76,2,19
STU00177,6.6,1,1,505,6.0,2.0,76,82,74.0,Not Placed,Not Placed,,0.0,0,54
STU00178,7.22,0,4,576,24.0,1.0,88,85,94.0,Placed,Product-Based,Remote,19.08,2,27
STU00179,7.74,1,8,712,20.0,5.0,58,92,85.0,Placed,MNC,Hybrid,21.43,2,3
STU00180,8.15,1,2,586,12.0,,100,91,84.0,Placed,Product-Based,Onsite,21.24,2,46
STU00181,8.1,0,1,857,13.0,3.0,97,73,88.0,Placed,Product-Based,Hybrid,21.37,3,22
STU00182,7.35,0,4,987,27.0,,95,76,100.0,Placed,MNC,Remote,26.59,1,18
STU00183,5.87,0,0,746,3.0,3.0,82,70,85.0,Placed,Product-Based,Remote,14.47,1,46
STU00184,7.49,0,1,628,21.0,,81,70,74.0,Placed,Service-Based,Remote,18.63,1,34
STU00185,7.78,0,0,691,8.0,,92,54,100.0,Placed,Service-Based,Hybrid,19.23,3,38
STU00186,5.73,0,0,492,7.0,,59,76,65.0,Not Placed,Not Placed,,0.0,0,43
STU00187,7.98,1,2,459,17.0,,100,100,68.0,Placed,Startup,Remote,17.06,2,42
STU00188,7.69,0,2,646,13.0,,89,56,68.0,Placed,Startup,Hybrid,17.49,3,0
STU00189,9.54,1,4,717,10.0,,73,94,80.0,Placed,Service-Based,Hybrid,25.5,3,46
STU00190,6.35,1,2,424,17.0,10.0,78,72,91.0,Placed,Service-Based,Onsite,16.93,1,35
STU00191,7.4,1,3,601,24.0,,71,82,59.0,Placed,Service-Based,Onsite,23.0,2,33
STU00192,7.23,0,5,313,27.0,10.0,74,97,54.0,Placed,Service-Based,Remote,18.62,3,32
STU00193,6.59,0,4,614,28.0,3.0,87,73,90.0,Placed,Product-Based,Onsite,16.56,1,6
STU00194,8.01,0,3,772,16.0,,73,70,48.0,Placed,Service-Based,Remote,20.8,2,16
STU00195,6.03,0,1,747,2.0,9.0,83,73,100.0,Placed,MNC,Onsite,11.17,3,15
STU00196,6.21,0,3,728,24.0,,62,68,78.0,Placed,Service-Based,Remote,18.08,1,42
STU00197,7.78,1,2,580,19.0,,87,83,84.0,Placed,Startup,Onsite,21.1,1,55
STU00198,8.84,0,1,508,22.0,,96,57,100.0,Placed,Service-Based,Hybrid,17.39,2,39
STU00199,6.85,0,2,661,17.0,2.0,100,98,98.0,Placed,Startup,Remote,21.12,1,43
STU00200,7.24,0,4,743,19.0,8.0,100,67,100.0,Placed,Startup,Remote,20.66,2,29
STU00201,7.22,0,2,713,23.0,10.0,65,82,92.0,Placed,Service-Based,Remote,13.46,3,3
STU00202,7.11,2,0,581,18.0,3.0,76,80,94.0,Placed,Service-Based,Remote,18.69,3,47
STU00203,7.62,0,5,472,10.0,9.0,88,100,88.0,Placed,Product-Based,Onsite,20.37,1,42
STU00204,7.83,2,0,828,7.0,,70,93,91.0,Placed,Service-Based,Onsite,20.96,1,22
STU00205,8.95,0,1,668,17.0,,80,92,91.0,Placed,Service-Based,Onsite,23.51,2,0
STU00206,7.78,3,4,427,21.0,7.0,88,73,83.0,Placed,Startup,Hybrid,23.52,2,53
STU00207,7.96,0,6,879,28.0,7.0,100,77,100.0,Placed,Startup,Onsite,25.91,1,39
STU00208,7.7,0,1,538,10.0,,96,49,82.0,Placed,Service-Based,Onsite,17.85,2,48
STU00209,6.99,0,1,615,15.0,,87,78,100.0,Placed,MNC,Hybrid,16.44,2,34
STU00210,8.27,0,4,645,19.0,5.0,100,50,86.0,Placed,Startup,Hybrid,23.04,3,23
STU00211,8.73,2,2,633,5.0,,82,55,100.0,Placed,Product-Based,Onsite,20.3,3,41
STU00212,8.74,0,2,705,19.0,8.0,100,76,62.0,Placed,Product-Based,Onsite,20.77,1,57
STU00213,7.39,1,2,639,19.0,4.0,95,93,82.0,Placed,Service-Based,Remote,20.14,3,50
STU00214,6.55,0,4,565,10.0,,73,83,78.0,Placed,MNC,Onsite,17.53,2,29
STU00215,8.76,0,3,634,25.0,,86,90,91.0,Placed,MNC,Hybrid,19.77,2,11
STU00216,9.22,0,2,730,27.0,,100,70,78.0,Placed,MNC,Onsite,23.57,3,37
STU00217,7.64,0,2,576,18.0,2.0,100,100,87.0,Placed,MNC,Remote,13.0,1,30
STU00218,7.45,0,1,655,8.0,,92,100,91.0,Placed,Startup,Remote,18.47,1,49
STU00219,8.06,0,1,698,3.0,10.0,97,100,79.0,Placed,Service-Based,Remote,18.71,3,6
STU00220,7.98,0,2,780,18.0,,86,92,77.0,Placed,Service-Based,Remote,18.95,3,30
STU00221,6.19,3,2,713,0.0,1.0,90,66,67.0,Placed,MNC,Hybrid,12.1,2,14
STU00222,5.68,1,1,652,12.0,,97,85,98.0,Placed,Startup,Hybrid,14.78,3,26
STU00223,7.26,0,3,674,32.0,,91,100,100.0,Placed,MNC,Onsite,17.89,1,47
STU00224,9.8,0,3,789,26.0,4.0,83,81,84.0,Placed,MNC,Hybrid,26.83,3,67
STU00225,8.37,1,2,649,35.0,8.0,89,87,64.0,Placed,Service-Based,Hybrid,21.01,3,31
STU00226,7.26,0,3,842,20.0,10.0,68,82,83.0,Placed,Product-Based,Onsite,17.33,3,58
STU00227,7.85,1,7,252,35.0,,100,89,100.0,Placed,MNC,Remote,25.84,2,61
STU00228,7.05,0,4,527,25.0,4.0,80,78,66.0,Placed,Startup,Hybrid,19.34,2,43
STU00229,7.38,0,3,715,24.0,5.0,100,88,64.0,Placed,Service-Based,Hybrid,20.12,2,19
STU00230,7.63,3,3,749,19.0,2.0,100,67,80.0,Placed,Startup,Hybrid,19.93,3,28
STU00231,8.71,1,5,696,12.0,,100,83,96.0,Placed,Product-Based,Hybrid,22.36,1,32
STU00232,7.65,0,3,918,1.0,,81,69,86.0,Placed,Product-Based,Hybrid,18.78,3,6
STU00233,7.59,1,1,859,6.0,,85,100,100.0,Placed,Product-Based,Remote,20.24,2,36
STU00234,8.53,0,5,728,23.0,2.0,100,100,65.0,Placed,MNC,Onsite,21.23,2,59
STU00235,5.41,0,1,675,0.0,,56,62,81.0,Placed,Service-Based,Onsite,13.71,2,46
STU00236,6.2,0,3,457,30.0,9.0,68,85,56.0,Placed,Product-Based,Onsite,19.57,2,33
STU00237,7.76,1,3,459,22.0,1.0,90,100,65.0,Placed,Service-Based,Remote,19.6,3,27
STU00238,7.25,0,2,839,12.0,,95,75,100.0,Placed,Startup,Remote,19.25,2,18
STU00239,6.86,0,3,630,22.0,7.0,84,91,89.0,Placed,Service-Based,Onsite,17.75,1,15
STU00240,7.11,2,0,558,20.0,9.0,76,65,95.0,Placed,MNC,Onsite,17.79,2,24
STU00241,6.91,0,4,523,23.0,,90,80,83.0,Placed,Service-Based,Hybrid,18.39,3,53
STU00242,8.05,1,3,863,9.0,,100,82,86.0,Placed,Product-Based,Remote,23.64,1,32
STU00243,6.09,0,1,629,12.0,,100,79,91.0,Placed,MNC,Onsite,16.15,3,52
STU00244,7.64,2,3,632,23.0,,89,75,79.0,Placed,Service-Based,Remote,23.8,2,36
STU00245,8.08,0,2,706,16.0,6.0,95,100,100.0,Placed,MNC,Remote,20.1,2,28
STU00246,7.31,0,6,711,34.0,1.0,76,68,62.0,Placed,MNC,Hybrid,24.81,2,45
STU00247,6.37,0,2,358,20.0,,96,67,89.0,Placed,Product-Based,Hybrid,16.01,1,30
STU00248,6.93,0,4,764,30.0,9.0,100,60,96.0,Placed,Service-Based,Hybrid,24.1,1,4
STU00249,7.49,0,4,668,20.0,,90,93,86.0,Placed,Product-Based,Onsite,17.91,1,36
STU00250,7.6,1,3,734,8.0,1.0,79,50,100.0,Placed,MNC,Remote,20.64,1,25
STU00251,7.33,0,3,750,23.0,,100,58,96.0,Placed,Service-Based,Hybrid,17.39,2,36
STU00252,7.98,1,2,636,9.0,,85,93,97.0,Placed,Product-Based,Remote,17.14,2,44
STU00253,7.57,1,2,636,18.0,,99,79,83.0,Placed,Startup,Onsite,19.52,1,49
STU00254,7.9,2,4,663,21.0,,100,85,95.0,Placed,MNC,Hybrid,24.46,1,39
STU00255,6.38,1,3,780,19.0,8.0,88,91,65.0,Placed,Product-Based,Onsite,22.39,2,24
STU00256,7.35,2,3,679,11.0,9.0,89,100,74.0,Placed,Service-Based,Remote,20.22,2,54
STU00257,6.93,0,3,749,26.0,,91,69,98.0,Placed,Product-Based,Onsite,19.18,2,59
STU00258,7.75,0,4,566,0.0,9.0,100,82,69.0,Placed,Startup,Hybrid,19.46,3,32
STU00259,7.52,0,2,604,11.0,,100,89,89.0,Placed,Service-Based,Onsite,16.84,2,9
STU00260,6.69,0,2,605,12.0,,58,78,93.0,Placed,MNC,Onsite,17.42,1,42
STU00261,7.12,0,1,613,28.0,8.0,100,69,74.0,Placed,Service-Based,Hybrid,18.92,3,46
STU00262,7.54,0,2,729,19.0,,92,76,100.0,Placed,Service-Based,Remote,18.31,1,48
STU00263,7.03,0,4,746,14.0,3.0,76,73,75.0,Placed,MNC,Remote,21.11,3,35
STU00264,7.69,0,3,617,7.0,6.0,93,91,70.0,Placed,Product-Based,Onsite,21.2,1,34
STU00265,6.47,0,4,616,25.0,8.0,73,63,68.0,Placed,Product-Based,Remote,17.25,3,21
STU00266,7.33,1,2,595,14.0,3.0,97,85,72.0,Placed,Service-Based,Onsite,18.57,1,44
STU00267,6.96,0,0,621,16.0,,91,96,96.0,Placed,Service-Based,Hybrid,13.86,1,19
