master_student_id,src_risk_training_id,year_class,program_stream,age,gender
MSTU00104,STU0104,First Year (FY),BSc Cyber Security,18,Male
MSTU00105,STU0105,Second Year (PG),BCA,26,Male
MSTU00106,STU0106,Final Year,BCA,21,Female
MSTU00107,STU0107,Second Year (SY),BCA,20,Male
MSTU00108,STU0108,Second Year (PG),BCA,26,Female
MSTU00109,STU0109,First Year (FY),BSc IT,18,Female
MSTU00110,STU0110,Third Year (TY),BCA,21,Female
MSTU00111,STU0111,Second Year (PG),BCA,23,Female
MSTU00112,STU0112,Second Year (SY),BCA,19,Male
MSTU00113,STU0113,Second Year (SY),BCA,19,Male
MSTU00114,STU0114,First Year (FY),BCA,17,Male
MSTU00115,STU0115,Second Year (SY),BSc Cyber Security,20,Male
MSTU00116,STU0116,Final Year,BCA,22,Male
MSTU00117,STU0117,Second Year (PG),BSc Computer Science,23,Male
MSTU00118,STU0118,First Year (PG),BCA,25,Male
MSTU00119,STU0119,Third Year (TY),BBA,22,Female
MSTU00120,STU0120,Third Year (TY),BCA,20,Female
MSTU00121,STU0121,First Year (PG),BCom,23,Male
MSTU00122,STU0122,Second Year (SY),BCA,21,Female
MSTU00123,STU0123,First Year (FY),BCA,17,Male
MSTU00124,STU0124,Third Year (TY),BCA,22,Male
MSTU00125,STU0125,Final Year,BSc Computer Science,21,Female
MSTU00126,STU0126,Third Year (TY),BCA,21,Male
MSTU00127,STU0127,Second Year (SY),BCA,19,Female
MSTU00128,STU0128,First Year (FY),BCA,17,Male
MSTU00129,STU0129,First Year (FY),BSc IT,18,Male
MSTU00130,STU0130,Final Year,BCA,23,Female
MSTU00131,STU0131,Second Year (SY),BCA,19,Female
MSTU00132,STU0132,First Year (PG),BSc Cyber Security,25,Female
MSTU00133,STU0133,Third Year (TY),BCA,22,Female
MSTU00134,STU0134,First Year (FY),BSc Computer Science,17,Female
MSTU00135,STU0135,First Year (FY),BCA,19,Male
MSTU00136,STU0136,Second Year (SY),BSc IT,19,Male
MSTU00137,STU0137,Third Year (TY),BSc Cyber Security,20,Male
MSTU00138,STU0138,First Year (FY),BCom,19,Other
MSTU00139,STU0139,Final Year,BCA,23,Male
MSTU00140,STU0140,First Year (PG),BSc Cyber Security,22,Female
MSTU00141,STU0141,Third Year (TY),BCom,21,Female
MSTU00142,STU0142,Final Year,BSc IT,23,Female
MSTU00143,STU0143,First Year (PG),BSc Cyber Security,22,Male
MSTU00144,STU0144,Third Year (TY),BBA,20,Male
MSTU00145,STU0145,Second Year (SY),BSc Cyber Security,19,Male
MSTU00146,STU0146,Second Year (PG),BSc Computer Science,26,Male
MSTU00147,STU0147,Third Year (TY),BSc Computer Science,20,Male
MSTU00148,STU0148,First Year (FY),BCA,18,Male
MSTU00149,STU0149,First Year (FY),BBA,17,Male
MSTU00150,STU0150,First Year (PG),BCom,22,Male
MSTU00151,STU0151,First Year (FY),BCA,19,Female
MSTU00152,STU0152,First Year (FY),BCom,19,Male
MSTU00153,STU0153,First Year (FY),BCom,19,Male
MSTU00154,STU0154,Second Year (PG),BCA,23,Male
MSTU00155,STU0155,Second Year (SY),BCom,21,Female
MSTU00156,STU0156,Final Year,BCA,22,Female
MSTU00157,STU0157,Final Year,BCA,22,Male
MSTU00158,STU0158,Second Year (PG),BCA,24,Female
MSTU00159,STU0159,Second Year (SY),BCA,19,Female
MSTU00160,STU0160,Second Year (SY),BCA,20,Male
MSTU00161,STU0161,First Year (PG),BSc Cyber Security,25,Female
MSTU00162,STU0162,First Year (FY),BBA,17,Male
MSTU00163,STU0163,First Year (PG),BCA,24,Male
MSTU00164,STU0164,First Year (PG),BCA,25,Male
MSTU00165,STU0165,First Year (PG),BCom,25,Male
MSTU00166,STU0166,Second Year (SY),BSc Computer Science,19,Female
MSTU00167,STU0167,First Year (FY),BCA,19,Male
MSTU00168,STU0168,Third Year (TY),BCA,22,Male
MSTU00169,STU0169,First Year (FY),BCA,17,Female
MSTU00170,STU0170,Final Year,BCA,23,Female
MSTU00171,STU0171,Third Year (TY),BCom,22,Female
MSTU00172,STU0172,First Year (PG),BCA,24,Female
MSTU00173,STU0173,Second Year (SY),BSc IT,21,Male
MSTU00174,STU0174,Third Year (TY),BSc Cyber Security,20,Female
MSTU00175,STU0175,Second Year (PG),BCA,23,Other
MSTU00176,STU0176,Third Year (TY),BA,21,Female
MSTU00177,STU0177,Second Year (PG),BCA,23,Male
MSTU00178,STU0178,Second Year (SY),BSc Cyber Security,19,Male
MSTU00179,STU0179,Third Year (TY),BCA,20,Female
MSTU00180,STU0180,Second Year (PG),BCA,24,Male
MSTU00181,STU0181,Second Year (SY),BSc Computer Science,20,Female
MSTU00182,STU0182,Second Year (SY),BCA,21,Female
MSTU00183,STU0183,First Year (PG),BSc Cyber Security,22,Female
MSTU00184,STU0184,First Year (FY),BSc Computer Science,18,Other
MSTU00185,STU0185,Second Year (SY),BCA,21,Male
MSTU00186,STU0186,First Year (PG),BCA,22,Male
MSTU00187,STU0187,Second Year (PG),BCA,26,Male
MSTU00188,STU0188,First Year (FY),BSc Computer Science,18,Female
MSTU00189,STU0189,First Year (PG),BCA,22,Female
MSTU00190,STU0190,Final Year,BCA,21,Male
MSTU00191,STU0191,Second Year (SY),BBA,19,Female
MSTU00192,STU0192,Third Year (TY),BCA,20,Male
MSTU00193,STU0193,Third Year (TY),BSc Cyber Security,22,Male
MSTU00194,STU0194,Third Year (TY),BCA,21,Female
MSTU00195,STU0195,Second Year (SY),BCA,20,Male
MSTU00196,STU0196,Second Year (SY),BSc Cyber Security,20,Female
MSTU00197,STU0197,First Year (FY),BBA,19,Male
MSTU00198,STU0198,First Year (PG),BCA,22,Female
MSTU00199,STU0199,Second Year (PG),BCA,23,Male
MSTU00200,STU0200,First Year (PG),BCA,24,Male
MSTU00201,STU0201,Second Year (SY),BA,20,Female
MSTU00202,STU0202,First Year (FY),BCA,17,Female
MSTU00203,STU0203,Second Year (PG),BSc Computer Science,26,Male
MSTU00204,STU0204,First Year (PG),BSc Computer Science,25,Female
MSTU00205,STU0205,Second Year (SY),BSc Computer Science,21,Male
MSTU00206,STU0206,Second Year (SY),BCA,21,Female
MSTU00207,STU0207,Second Year (SY),BSc IT,19,Male
MSTU00208,STU0208,First Year (FY),BCA,17,Female
MSTU00209,STU0209,Third Year (TY),BCom,20,Male
MSTU00210,STU0210,Third Year (TY),BSc IT,21,Male
MSTU00211,STU0211,Third Year (TY),BCA,21,Female
MSTU00212,STU0212,Final Year,BCA,23,Male
MSTU00213,STU0213,Second Year (PG),BCA,23,Male
MSTU00214,STU0214,Second Year (SY),BSc Computer Science,20,Male
MSTU00215,STU0215,Second Year (PG),BCA,23,Male
MSTU00216,STU0216,First Year (FY),BSc Computer Science,19,Male
MSTU00217,STU0217,First Year (PG),BSc IT,24,Male
MSTU00218,STU0218,Second Year (SY),BSc Cyber Security,20,Male
MSTU00219,STU0219,Second Year (SY),BCA,19,Female
MSTU00220,STU0220,Second Year (SY),BSc Cyber Security,19,Female
MSTU00221,STU0221,Second Year (PG),BCA,25,Male
MSTU00222,STU0222,Second Year (SY),BA,21,Male
MSTU00223,STU0223,Second Year (PG),BCA,26,Male
MSTU00224,STU0224,First Year (PG),BSc Cyber Security,25,Male
MSTU00225,STU0225,Third Year (TY),BSc Computer Science,20,Male
MSTU00226,STU0226,Second Year (SY),BBA,20,Female
MSTU00227,STU0227,Second Year (PG),BCA,25,Female
MSTU00228,STU0228,Second Year (PG),BCA,24,Male
MSTU00229,STU0229,Second Year (PG),BCA,25,Female
MSTU00230,STU0230,First Year (FY),BCA,17,Male
MSTU00231,STU0231,First Year (FY),BCA,17,Male
MSTU00232,STU0232,Third Year (TY),BSc IT,22,Male
MSTU00233,STU0233,Third Year (TY),BCA,20,Female
MSTU00234,STU0234,Second Year (PG),BCom,25,Male
MSTU00235,STU0235,Final Year,BCA,21,Male
MSTU00236,STU0236,First Year (FY),BCA,17,Male
MSTU00237,STU0237,First Year (FY),BCA,19,Male
MSTU00238,STU0238,Second Year (PG),BCA,26,Female
MSTU00239,STU0239,Third Year (TY),BCA,22,Female
MSTU00240,STU0240,Second Year (SY),BCA,19,Male
MSTU00241,STU0241,Third Year (TY),BCA,20,Male
MSTU00242,STU0242,First Year (PG),BCA,24,Male
MSTU00243,STU0243,Third Year (TY),BSc IT,22,Male
MSTU00244,STU0244,Second Year (SY),BCA,20,Male
MSTU00245,STU0245,Third Year (TY),BCA,22,Male
MSTU00246,STU0246,Third Year (TY),BCA,21,Female
MSTU00247,STU0247,Final Year,BSc IT,22,Female
MSTU00248,STU0248,Second Year (SY),BCA,20,Female
MSTU00249,STU0249,Third Year (TY),BA,20,Male
MSTU00250,STU0250,Second Year (SY),BCA,19,Female
MSTU00251,STU0251,Second Year (SY),BA,21,Male
MSTU00252,STU0252,Third Year (TY),BCA,21,Male
MSTU00253,STU0253,Final Year,BCA,22,Male
MSTU00254,STU0254,First Year (PG),BCA,25,Male
MSTU00255,STU0255,First Year (FY),BCA,19,Female
MSTU00256,STU0256,First Year (FY),BSc Computer Science,18,Male
MSTU00257,STU0257,Second Year (SY),BSc Cyber Security,21,Female
MSTU00258,STU0258,Third Year (TY),BCA,21,Female
MSTU00259,STU0259,First Year (FY),BCA,18,Female
MSTU00260,STU0260,First Year (FY),BSc Computer Science,17,Female
MSTU00261,STU0261,Final Year,BCA,21,Male
MSTU00262,STU0262,Second Year (SY),BCA,19,Female
MSTU00263,STU0263,First Year (FY),BBA,18,Male
MSTU00264,STU0264,Third Year (TY),BCA,22,Male
MSTU00265,STU0265,First Year (PG),BSc Cyber Security,22,Female
MSTU00266,STU0266,Second Year (PG),BCom,26,Male
MSTU00267,STU0267,Second Year (SY),BCA,21,Female
MSTU00268,STU0268,First Year (FY),BCA,18,Female
MSTU00269,STU0269,Third Year (TY),BCA,20,Female
MSTU00270,STU0270,Second Year (SY),BCA,19,Male
MSTU00271,STU0271,Third Year (TY),BCom,20,Male
MSTU00272,STU0272,Second Year (PG),BCA,25,Male
MSTU00273,STU0273,Final Year,BSc Computer Science,21,Male
MSTU00274,STU0274,Third Year (TY),BSc Cyber Security,22,Male
MSTU00275,STU0275,Second Year (SY),BCA,20,Male
MSTU00276,STU0276,First Year (PG),BBA,24,Male
MSTU00277,STU0277,Third Year (TY),BCA,20,Male
MSTU00278,STU0278,Final Year,BCA,23,Male
MSTU00279,STU0279,First Year (PG),BCA,23,Female
MSTU00280,STU0280,First Year (FY),BCA,19,Male
MSTU00281,STU0281,Second Year (PG),BCA,24,Female
MSTU00282,STU0282,First Year (FY),BCA,19,Male
MSTU00283,STU0283,Second Year (SY),BCom,21,Male
MSTU00284,STU0284,First Year (FY),BCA,18,Male
MSTU00285,STU0285,Third Year (TY),BBA,21,Female
MSTU00286,STU0286,Second Year (SY),BCom,21,Female
MSTU00287,STU0287,Second Year (SY),BCA,21,Male
MSTU00288,STU0288,Third Year (TY),BCA,20,Male
MSTU00289,STU0289,First Year (FY),BCA,18,Other
MSTU00290,STU0290,Third Year (TY),BCA,21,Female
MSTU00291,STU0291,First Year (FY),BSc Cyber Security,19,Male
MSTU00292,STU0292,Third Year (TY),BCA,21,Male
MSTU00293,STU0293,First Year (FY),BCA,18,Male
MSTU00294,STU0294,First Year (FY),BCA,17,Female
MSTU00295,STU0295,Second Year (SY),BSc Computer Science,20,Male
MSTU00296,STU0296,Third Year (TY),BSc Computer Science,20,Male
MSTU00297,STU0297,Final Year,BCA,23,Male
MSTU00298,STU0298,Second Year (PG),BCA,23,Male
MSTU00299,STU0299,Final Year,BCA,23,Male
MSTU00300,STU0300,Second Year (SY),BCA,21,Male
MSTU00301,STU0301,Final Year,BCA,22,Male
MSTU00302,STU0302,Second Year (SY),BCA,20,Female
MSTU00303,STU0303,Third Year (TY),BA,21,Male
MSTU00304,STU0304,Second Year (SY),BSc Computer Science,21,Female
MSTU00305,STU0305,Second Year (SY),BSc Cyber Security,20,Male
MSTU00306,STU0306,Final Year,BCA,23,Male
MSTU00307,STU0307,Second Year (SY),BCA,19,Female
MSTU00308,STU0308,Second Year (SY),BSc IT,19,Female
MSTU00309,STU0309,Final Year,BCA,23,Female
MSTU00310,STU0310,Final Year,BSc IT,22,Female
MSTU00311,STU0311,Third Year (TY),BSc IT,20,Other
MSTU00312,STU0312,Second Year (PG),BSc Cyber Security,24,Male
MSTU00313,STU0313,First Year (FY),BBA,19,Male
MSTU00314,STU0314,First Year (FY),BCA,18,Male
MSTU00315,STU0315,First Year (PG),BCA,25,Male
MSTU00316,STU0316,First Year (FY),BCA,18,Male
MSTU00317,STU0317,Second Year (SY),BCA,21,Female
MSTU00318,STU0318,Second Year (PG),BCA,25,Male
MSTU00319,STU0319,First Year (FY),BBA,17,Female
MSTU00320,STU0320,Second Year (SY),BCA,21,Female
MSTU00321,STU0321,Third Year (TY),BSc IT,21,Male
MSTU00322,STU0322,Third Year (TY),BBA,22,Male
MSTU00323,STU0323,Second Year (SY),BCA,20,Female
MSTU00324,STU0324,Second Year (PG),BSc IT,24,Female
MSTU00325,STU0325,First Year (FY),BCA,18,Male
MSTU00326,STU0326,Third Year (TY),BSc Computer Science,21,Female
MSTU00327,STU0327,Second Year (SY),BBA,21,Female
MSTU00328,STU0328,Second Year (SY),BCA,21,Female
MSTU00329,STU0329,First Year (PG),BCom,22,Female
MSTU00330,STU0330,Third Year (TY),BCA,21,Female
MSTU00331,STU0331,Second Year (SY),BCom,19,Male
MSTU00332,STU0332,Third Year (TY),BCA,20,Male
MSTU00333,STU0333,Second Year (SY),BCA,20,Female
MSTU00334,STU0334,Final Year,BCA,22,Male
MSTU00335,STU0335,Second Year (SY),BBA,21,Male
MSTU00336,STU0336,Third Year (TY),BCA,20,Male
MSTU00337,STU0337,Second Year (PG),BSc Computer Science,23,Female
MSTU00338,STU0338,Third Year (TY),BCA,21,Male
MSTU00339,STU0339,Final Year,BCA,21,Female
MSTU00340,STU0340,First Year (PG),BSc Computer Science,25,Male
MSTU00341,STU0341,First Year (FY),BSc IT,18,Male
MSTU00342,STU0342,Second Year (SY),BSc Cyber Security,19,Male
MSTU00343,STU0343,Second Year (PG),BCA,25,Female
MSTU00344,STU0344,Third Year (TY),BSc IT,22,Male
MSTU00345,STU0345,First Year (PG),BCA,25,Female
MSTU00346,STU0346,Third Year (TY),BCA,20,Male
MSTU00347,STU0347,First Year (PG),BCom,25,Male
MSTU00348,STU0348,First Year (FY),BCom,17,Female
MSTU00349,STU0349,Final Year,BCA,23,Female
MSTU00350,STU0350,First Year (PG),BBA,25,Male
MSTU00351,STU0351,First Year (PG),BCA,24,Male
MSTU00352,STU0352,Second Year (SY),BSc IT,20,Male
MSTU00353,STU0353,Second Year (SY),BCA,21,Female
MSTU00354,STU0354,Second Year (PG),BCA,26,Female
MSTU00355,STU0355,Second Year (SY),BCA,19,Male
MSTU00356,STU0356,Final Year,BCom,23,Female
MSTU00357,STU0357,First Year (PG),BCA,25,Female
MSTU00358,STU0358,Second Year (SY),BCA,20,Female
MSTU00359,STU0359,Second Year (SY),BCA,20,Male
MSTU00360,STU0360,Third Year (TY),BCA,22,Male
MSTU00361,STU0361,Second Year (PG),BCA,23,Female
MSTU00362,STU0362,First Year (PG),BCA,24,Female
MSTU00363,STU0363,Third Year (TY),BCA,21,Male
MSTU00364,STU0364,Third Year (TY),BCA,21,Male
MSTU00365,STU0365,Third Year (TY),BBA,21,Male
MSTU00366,STU0366,Second Year (SY),BCom,20,Female
MSTU00367,STU0367,First Year (FY),BSc Cyber Security,19,Male
MSTU00368,STU0368,Second Year (SY),BCA,21,Female
MSTU00369,STU0369,First Year (FY),BCA,19,Male
MSTU00370,STU0370,Second Year (SY),BCA,20,Male
MSTU00371,STU0371,First Year (FY),BCA,19,Male
MSTU00372,STU0372,Third Year (TY),BCA,20,Male
MSTU00373,STU0373,First Year (FY),BCA,17,Male
MSTU00374,STU0374,First Year (FY),BA,18,Female
MSTU00375,STU0375,Third Year (TY),BCom,21,Male
MSTU00376,STU0376,Third Year (TY),BCA,21,Female
MSTU00377,STU0377,Second Year (PG),BSc Cyber Security,24,Male
MSTU00378,STU0378,First Year (PG),BCA,23,Male
MSTU00379,STU0379,Second Year (PG),BCA,26,Female
MSTU00380,STU0380,Second Year (SY),BSc IT,20,Male
MSTU00381,STU0381,First Year (FY),BCA,17,Male
MSTU00382,STU0382,First Year (FY),BCA,19,Female
MSTU00383,STU0383,Third Year (TY),BCA,20,Male
MSTU00384,STU0384,Third Year (TY),BCA,20,Female
MSTU00385,STU0385,Second Year (SY),BCA,19,Female
MSTU00386,STU0386,First Year (FY),BCom,19,Female
MSTU00387,STU0387,Second Year (SY),BCA,20,Female
MSTU00388,STU0388,Second Year (PG),BCA,25,Female
MSTU00389,STU0389,Third Year (TY),BCA,20,Male
MSTU00390,STU0390,Second Year (SY),BA,21,Female
MSTU00391,STU0391,First Year (FY),BCA,19,Other
MSTU00392,STU0392,Second Year (SY),BCom,19,Female
MSTU00393,STU0393,Second Year (SY),BCA,21,Female
MSTU00394,STU0394,Second Year (PG),BSc Computer Science,23,Female
MSTU00395,STU0395,Second Year (SY),BCA,20,Male
MSTU00396,STU0396,First Year (PG),BCA,22,Male
MSTU00397,STU0397,First Year (PG),BCA,25,Female
MSTU00398,STU0398,First Year (PG),BCA,22,Female
MSTU00399,STU0399,First Year (FY),BCA,18,Male
MSTU00400,STU0400,Final Year,BCA,21,Female
MSTU00401,STU0401,Second Year (SY),BCA,19,Female
MSTU00402,STU0402,Second Year (SY),BSc IT,19,Female
MSTU00403,STU0403,Third Year (TY),BCA,20,Female
MSTU00404,STU0404,Third Year (TY),BA,20,Male
MSTU00405,STU0405,Third Year (TY),BSc Computer Science,22,Female
MSTU00406,STU0406,Second Year (SY),BCA,21,Female
MSTU00407,STU0407,Third Year (TY),BSc IT,21,Male
MSTU00408,STU0408,Final Year,BSc Computer Science,23,Male
MSTU00409,STU0409,Second Year (PG),BCA,23,Female
MSTU00410,STU0410,First Year (FY),BCA,18,Female
MSTU00411,STU0411,Third Year (TY),BCA,20,Female
MSTU00412,STU0412,Second Year (SY),BCA,19,Male
MSTU00413,STU0413,Third Year (TY),BCA,21,Female
MSTU00414,STU0414,First Year (FY),BCA,18,Male
MSTU00415,STU0415,Second Year (SY),BCA,20,Male
MSTU00416,STU0416,Second Year (SY),BSc Cyber Security,20,Male
MSTU00417,STU0417,Third Year (TY),BBA,22,Male
MSTU00418,STU0418,Final Year,BCA,22,Male
MSTU00419,STU0419,First Year (FY),BCA,17,Male
MSTU00420,STU0420,Second Year (SY),BCA,21,Female
MSTU00421,STU0421,Third Year (TY),BCA,22,Male
MSTU00422,STU0422,Second Year (SY),BCA,21,Female
MSTU00423,STU0423,Second Year (SY),BSc IT,19,Female
MSTU00424,STU0424,Second Year (SY),BA,19,Male
MSTU00425,STU0425,Third Year (TY),BCA,20,Female
MSTU00426,STU0426,Second Year (SY),BSc Computer Science,20,Male
MSTU00427,STU0427,Second Year (SY),BCA,21,Male
MSTU00428,STU0428,First Year (FY),BCom,19,Other
MSTU00429,STU0429,Final Year,BCA,22,Female
MSTU00430,STU0430,First Year (FY),BSc Computer Science,19,Male
MSTU00431,STU0431,Second Year (PG),BSc Cyber Security,23,Male
MSTU00432,STU0432,Second Year (SY),BCA,20,Male
MSTU00433,STU0433,Third Year (TY),BSc IT,21,Female
MSTU00434,STU0434,Second Year (SY),BCA,21,Male
MSTU00435,STU0435,Third Year (TY),BCA,21,Male
MSTU00436,STU0436,First Year (PG),BCA,25,Female
MSTU00437,STU0437,Third Year (TY),BCA,22,Male
MSTU00438,STU0438,Second Year (SY),BSc Computer Science,19,Male
MSTU00439,STU0439,First Year (FY),BCA,18,Male
MSTU00440,STU0440,Second Year (SY),BCA,20,Male
MSTU00441,STU0441,Second Year (SY),BSc Cyber Security,19,Male
MSTU00442,STU0442,Third Year (TY),BBA,22,Male
MSTU00443,STU0443,Third Year (TY),BCA,20,Female
MSTU00444,STU0444,First Year (PG),BCom,22,Female
MSTU00445,STU0445,Second Year (SY),BSc Computer Science,21,Male
MSTU00446,STU0446,Second Year (PG),BCA,24,Male
MSTU00447,STU0447,First Year (PG),BA,25,Male
MSTU00448,STU0448,First Year (PG),BSc IT,25,Male
MSTU00449,STU0449,First Year (FY),BCA,19,Female
MSTU00450,STU0450,Second Year (SY),BCA,19,Male
MSTU00451,STU0451,First Year (PG),BSc Computer Science,25,Male
MSTU00452,STU0452,First Year (FY),BBA,19,Male
MSTU00453,STU0453,Second Year (SY),BBA,21,Male
MSTU00454,STU0454,Second Year (SY),BCA,21,Female
MSTU00455,STU0455,Second Year (PG),BCA,25,Female
MSTU00456,STU0456,First Year (FY),BSc IT,18,Female
MSTU00457,STU0457,Final Year,BCA,23,Other
MSTU00458,STU0458,Second Year (SY),BSc IT,20,Male
MSTU00459,STU0459,Second Year (SY),BCA,21,Male
MSTU00460,STU0460,First Year (FY),BSc Cyber Security,18,Male
MSTU00461,STU0461,Second Year (PG),BCom,26,Male
MSTU00462,STU0462,Second Year (PG),BCA,24,Male
MSTU00463,STU0463,First Year (PG),BCA,22,Male
MSTU00464,STU0464,Second Year (SY),BCA,20,Male
MSTU00465,STU0465,Third Year (TY),BCA,22,Female
MSTU00466,STU0466,Second Year (SY),BCA,21,Male
MSTU00467,STU0467,Second Year (SY),BCA,20,Female
MSTU00468,STU0468,Second Year (SY),BCA,21,Male
MSTU00469,STU0469,Second Year (SY),BCA,19,Other
MSTU00470,STU0470,Second Year (SY),BCom,19,Female
MSTU00471,STU0471,First Year (FY),BCA,19,Male
MSTU00472,STU0472,Second Year (SY),BSc Computer Science,21,Male
MSTU00473,STU0473,First Year (PG),BCA,23,Male
