uci_ref_id,subject_id,subject_name,grade_period,marks,max_marks,percentage,source,is_synthetic,master_student_id
UCI_0021,mat,Mathematics,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0021,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0021,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0021,por,Portuguese,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0022,mat,Mathematics,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0022,mat,Mathematics,G2,15,20,75.0,UCI_Student_Performance,False,
UCI_0022,mat,Mathematics,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0022,por,Portuguese,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0022,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0022,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0023,mat,Mathematics,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0023,mat,Mathematics,G2,15,20,75.0,UCI_Student_Performance,False,
UCI_0023,mat,Mathematics,G3,16,20,80.0,UCI_Student_Performance,False,
UCI_0023,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0023,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0023,por,Portuguese,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0024,mat,Mathematics,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0024,mat,Mathematics,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0024,mat,Mathematics,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0024,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0024,por,Portuguese,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0024,por,Portuguese,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0025,mat,Mathematics,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0025,mat,Mathematics,G2,9,20,45.0,UCI_Student_Performance,False,
UCI_0025,mat,Mathematics,G3,8,20,40.0,UCI_Student_Performance,False,
UCI_0025,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0025,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0025,por,Portuguese,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0026,mat,Mathematics,G1,6,20,30.0,UCI_Student_Performance,False,
UCI_0026,mat,Mathematics,G2,9,20,45.0,UCI_Student_Performance,False,
UCI_0026,mat,Mathematics,G3,8,20,40.0,UCI_Student_Performance,False,
UCI_0026,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0026,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0026,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0027,mat,Mathematics,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0027,mat,Mathematics,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0027,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0027,por,Portuguese,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0027,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0027,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0028,mat,Mathematics,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0028,mat,Mathematics,G2,16,20,80.0,UCI_Student_Performance,False,
UCI_0028,mat,Mathematics,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0028,por,Portuguese,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0028,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0028,por,Portuguese,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0029,mat,Mathematics,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0029,mat,Mathematics,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0029,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0029,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0029,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0029,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0030,mat,Mathematics,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0030,mat,Mathematics,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0030,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0030,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0030,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0030,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0031,mat,Mathematics,G1,9,20,45.0,UCI_Student_Performance,False,
UCI_0031,mat,Mathematics,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0031,mat,Mathematics,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0031,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0031,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0031,por,Portuguese,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0032,mat,Mathematics,G1,17,20,85.0,UCI_Student_Performance,False,
UCI_0032,mat,Mathematics,G2,16,20,80.0,UCI_Student_Performance,False,
UCI_0032,mat,Mathematics,G3,17,20,85.0,UCI_Student_Performance,False,
UCI_0032,por,Portuguese,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0032,por,Portuguese,G2,15,20,75.0,UCI_Student_Performance,False,
UCI_0032,por,Portuguese,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0033,mat,Mathematics,G1,17,20,85.0,UCI_Student_Performance,False,
UCI_0033,mat,Mathematics,G2,16,20,80.0,UCI_Student_Performance,False,
UCI_0033,mat,Mathematics,G3,16,20,80.0,UCI_Student_Performance,False,
UCI_0033,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0033,por,Portuguese,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0033,por,Portuguese,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0034,mat,Mathematics,G1,8,20,40.0,UCI_Student_Performance,False,
UCI_0034,mat,Mathematics,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0034,mat,Mathematics,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0034,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0034,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0034,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0035,mat,Mathematics,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0035,mat,Mathematics,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0035,mat,Mathematics,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0035,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0035,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0035,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0036,mat,Mathematics,G1,8,20,40.0,UCI_Student_Performance,False,
UCI_0036,mat,Mathematics,G2,7,20,35.0,UCI_Student_Performance,False,
UCI_0036,mat,Mathematics,G3,6,20,30.0,UCI_Student_Performance,False,
UCI_0036,por,Portuguese,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0036,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0036,por,Portuguese,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0037,mat,Mathematics,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0037,mat,Mathematics,G2,16,20,80.0,UCI_Student_Performance,False,
UCI_0037,mat,Mathematics,G3,18,20,90.0,UCI_Student_Performance,False,
UCI_0037,por,Portuguese,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0037,por,Portuguese,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0037,por,Portuguese,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0038,mat,Mathematics,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0038,mat,Mathematics,G2,16,20,80.0,UCI_Student_Performance,False,
UCI_0038,mat,Mathematics,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0038,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0038,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0038,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0039,mat,Mathematics,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0039,mat,Mathematics,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0039,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0039,por,Portuguese,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0039,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0039,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0040,mat,Mathematics,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0040,mat,Mathematics,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0040,mat,Mathematics,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0040,por,Portuguese,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0040,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0040,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0041,mat,Mathematics,G1,7,20,35.0,UCI_Student_Performance,False,
UCI_0041,mat,Mathematics,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0041,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0041,por,Portuguese,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0041,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0041,por,Portuguese,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0042,mat,Mathematics,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0042,mat,Mathematics,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0042,mat,Mathematics,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0042,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0042,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0042,por,Portuguese,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0043,mat,Mathematics,G1,19,20,95.0,UCI_Student_Performance,False,
UCI_0043,mat,Mathematics,G2,18,20,90.0,UCI_Student_Performance,False,
UCI_0043,mat,Mathematics,G3,18,20,90.0,UCI_Student_Performance,False,
UCI_0043,por,Portuguese,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0043,por,Portuguese,G2,15,20,75.0,UCI_Student_Performance,False,
UCI_0043,por,Portuguese,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0044,mat,Mathematics,G1,8,20,40.0,UCI_Student_Performance,False,
UCI_0044,mat,Mathematics,G2,8,20,40.0,UCI_Student_Performance,False,
UCI_0044,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0044,por,Portuguese,G1,9,20,45.0,UCI_Student_Performance,False,
UCI_0044,por,Portuguese,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0044,por,Portuguese,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0045,mat,Mathematics,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0045,mat,Mathematics,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0045,mat,Mathematics,G3,9,20,45.0,UCI_Student_Performance,False,
UCI_0045,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0045,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0045,por,Portuguese,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0046,mat,Mathematics,G1,8,20,40.0,UCI_Student_Performance,False,
UCI_0046,mat,Mathematics,G2,8,20,40.0,UCI_Student_Performance,False,
UCI_0046,mat,Mathematics,G3,6,20,30.0,UCI_Student_Performance,False,
UCI_0046,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0046,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0046,por,Portuguese,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0047,mat,Mathematics,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0047,mat,Mathematics,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0047,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0047,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0047,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0047,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0048,mat,Mathematics,G1,19,20,95.0,UCI_Student_Performance,False,
UCI_0048,mat,Mathematics,G2,19,20,95.0,UCI_Student_Performance,False,
UCI_0048,mat,Mathematics,G3,20,20,100.0,UCI_Student_Performance,False,
UCI_0048,por,Portuguese,G1,17,20,85.0,UCI_Student_Performance,False,
UCI_0048,por,Portuguese,G2,17,20,85.0,UCI_Student_Performance,False,
UCI_0048,por,Portuguese,G3,17,20,85.0,UCI_Student_Performance,False,
UCI_0049,mat,Mathematics,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0049,mat,Mathematics,G2,15,20,75.0,UCI_Student_Performance,False,
UCI_0049,mat,Mathematics,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0049,por,Portuguese,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0049,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0049,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0050,mat,Mathematics,G1,7,20,35.0,UCI_Student_Performance,False,
UCI_0050,mat,Mathematics,G2,7,20,35.0,UCI_Student_Performance,False,
UCI_0050,mat,Mathematics,G3,7,20,35.0,UCI_Student_Performance,False,
UCI_0050,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0050,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0050,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0051,mat,Mathematics,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0051,mat,Mathematics,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0051,mat,Mathematics,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0051,por,Portuguese,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0051,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0051,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0052,mat,Mathematics,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0052,mat,Mathematics,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0052,mat,Mathematics,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0052,por,Portuguese,G1,16,20,80.0,UCI_Student_Performance,False,
UCI_0052,por,Portuguese,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0052,por,Portuguese,G3,16,20,80.0,UCI_Student_Performance,False,
UCI_0053,mat,Mathematics,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0053,mat,Mathematics,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0053,mat,Mathematics,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0053,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0053,por,Portuguese,G2,9,20,45.0,UCI_Student_Performance,False,
UCI_0053,por,Portuguese,G3,9,20,45.0,UCI_Student_Performance,False,
UCI_0054,mat,Mathematics,G1,8,20,40.0,UCI_Student_Performance,False,
UCI_0054,mat,Mathematics,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0054,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0054,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0054,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0054,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0055,mat,Mathematics,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0055,mat,Mathematics,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0055,mat,Mathematics,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0055,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0055,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0055,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0056,mat,Mathematics,G1,8,20,40.0,UCI_Student_Performance,False,
UCI_0056,mat,Mathematics,G2,9,20,45.0,UCI_Student_Performance,False,
UCI_0056,mat,Mathematics,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0056,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0056,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0056,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0057,mat,Mathematics,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0057,mat,Mathematics,G2,15,20,75.0,UCI_Student_Performance,False,
UCI_0057,mat,Mathematics,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0057,por,Portuguese,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0057,por,Portuguese,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0057,por,Portuguese,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0058,mat,Mathematics,G1,14,20,70.0,UCI_Student_Performance,False,
