master_student_id,coding_skill_score,aptitude_score,pl_communication_skill_score,logical_reasoning_score,hackathons_participated,github_repos,linkedin_connections,mock_interview_score,internships_count,projects_count,certifications_count,pl_extracurricular_score,pl_leadership_score,volunteer_experience,backlogs,college_tier,placement_status,salary_package_lpa,is_synthetic_placement_match,match_method
MSTU00023,46.36588069795977,39.77539647921702,75.00060590520324,39.75051672146979,2,8,700,88.21021083486701,1,4,2,51.049651773515414,66.74639690125902,Yes,0,Tier 1,Placed,12.51,True,cgpa_band × branch_group × gender
MSTU00024,84.21570770176388,71.72632566450787,69.29131833632938,65.21192880773437,0,6,759,71.40108382469371,0,4,4,33.21665655873015,84.36070472066162,No,0,Tier 3,Placed,12.35,True,cgpa_band × branch_group × gender
MSTU00025,61.71736286888051,58.213423892165935,97.30039295128724,85.83258835414665,2,5,938,82.49220084066415,2,4,2,65.33783254584345,53.53967393078894,Yes,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00026,60.41917955266326,62.7679630605246,57.98687045374652,71.16095419586561,0,7,445,63.09600441744848,3,6,2,72.49164617140464,74.04193879876323,No,0,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00027,63.75230367520609,41.85712649854108,66.08688512214621,81.1259934373287,3,4,892,66.00617381164344,1,2,5,44.6754291411894,49.23902259357772,No,1,Tier 2,Placed,14.19,True,cgpa_band × branch_group × gender
MSTU00028,88.07739940783071,58.40690919773165,60.4936883989052,66.38748573730182,0,11,959,76.81129463716199,2,3,1,70.38119138081035,51.39177949273418,Yes,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00029,70.2953458109798,60.689494720195945,70.93144520906355,67.3389527577332,0,7,355,98.16009527981748,0,2,3,95.54635297928102,87.89227818313134,No,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00030,73.40168366352152,64.59430803259956,72.02835442937642,76.1045543385998,0,3,637,86.83282857312759,2,1,2,99.43332206795598,48.28523557260197,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00031,68.07494079970046,27.913761134352292,48.52126025834628,66.5795706200286,1,1,229,46.962024775724274,2,4,2,90.76399067150084,16.977011865578127,Yes,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00032,85.02487637388796,78.90149477888887,77.45659419298114,66.5853223805189,2,5,487,82.41908368100442,2,6,5,64.31249128706989,62.1734335990323,Yes,0,Tier 2,Placed,16.54,True,cgpa_band × branch_group × gender
MSTU00033,93.22125144354273,62.57350340005664,61.86029549767347,69.5526320234114,1,5,519,53.74820497160973,2,1,1,65.18776989522648,50.42178806695044,Yes,1,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00034,100.0,81.9468034527655,85.28906553717289,70.15176597952052,6,3,716,80.58461033970974,3,2,2,79.88249170089613,57.46625286092692,Yes,0,Tier 2,Placed,14.67,True,cgpa_band × branch_group × gender
MSTU00035,78.51969118759621,62.23817342722968,55.68853919471167,71.13094147233971,2,6,355,83.24567635376638,2,4,1,65.62998764658093,29.223173927271137,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00036,92.92035081233652,60.96771784852959,54.87202191619228,56.9010112202059,0,4,532,61.26056094091338,2,2,0,28.17677809353899,45.47512063235847,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00037,79.2043676351846,58.26439935893838,70.98069018630319,68.65713955575447,0,6,666,72.6122812483513,0,1,1,80.94786810351924,28.03267206051836,Yes,0,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00038,68.86822214994946,92.6472869589096,62.76905881065573,58.48531495864217,2,1,312,63.38823989441333,1,5,4,48.15344301934429,44.14980683561099,No,1,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00039,72.07166223478632,70.3897139796968,82.07488270053436,54.94419591842845,0,7,405,90.335419187813,1,2,2,59.7209997037758,31.82154554462837,No,1,Tier 1,Placed,15.31,True,cgpa_band × branch_group × gender
MSTU00040,71.1465970024964,75.46307047141421,65.30098693833672,63.90566661731362,1,1,969,77.19332891996794,0,5,1,78.92122805505363,49.49665710607645,No,1,Tier 2,Placed,14.6,True,cgpa_band × branch_group × gender
MSTU00041,77.46614233032719,57.05307573100403,57.77955815681865,80.72028424546114,0,4,552,73.3613214368634,1,4,2,58.59430728263831,76.52496105106671,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00042,67.68913289958377,59.50029313145633,68.1105308534239,76.38192444605001,0,2,767,67.81563399291394,2,1,1,42.91747318281648,78.54381468287775,Yes,0,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00043,86.01554712920752,57.80353108774923,65.1877604150588,53.86442747555995,2,6,116,54.50479557716569,2,5,0,50.548909722299626,68.81388488537816,No,0,Tier 2,Placed,13.74,True,cgpa_band × branch_group × gender
MSTU00044,46.72652282567227,53.08366265898889,68.34651933620147,58.149710882620944,1,6,719,70.41280358704246,0,3,2,17.166696213530784,77.47798237796061,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00045,58.914501188372334,58.685281785382024,47.29626823273962,77.5494687307972,2,2,400,76.87869125026721,1,4,1,19.206912733561666,66.36698106075465,No,1,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00046,65.72018581125383,74.20075638367186,97.58985126176042,46.61930186352757,2,5,429,49.172154040042,3,4,0,46.791594791949485,78.39922966668927,No,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00047,71.42273613108844,54.772654767605104,100.0,44.064922485692925,1,11,645,73.63700184506631,0,4,0,67.50387279352056,82.947389810153,Yes,0,Tier 3,Placed,10.59,True,cgpa_band × branch_group × gender
MSTU00048,39.77402909182241,52.10035568279763,69.67450705980386,82.74325348952924,2,6,789,52.92342132705045,0,3,3,68.41019115885933,33.78114000780556,Yes,0,Tier 2,Placed,13.05,True,cgpa_band × branch_group × gender
MSTU00049,68.08073455950905,91.98801651348631,64.86122205790569,68.17084142049711,2,1,538,79.1265018216009,1,2,0,79.83497301762849,50.01987876630979,Yes,0,Tier 3,Placed,13.0,True,cgpa_band × branch_group × gender
MSTU00050,80.68355869400077,72.74672640152482,55.50939199130093,60.91369765718528,1,2,435,63.18221086382447,1,1,1,67.74098122889075,37.63585742329716,Yes,1,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00051,74.07680002415147,62.87845519811926,81.0712069741534,52.70626376093567,1,6,557,70.04773254464725,2,6,1,100.0,57.20528748880308,No,0,Tier 2,Placed,16.05,True,cgpa_band × branch_group × gender
MSTU00052,55.54472701578241,70.12351234613942,85.05532435675224,60.13632828783552,2,2,999,78.46780754407914,1,3,2,52.386059010230355,100.0,No,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00053,59.47054074909084,70.13796120834998,52.52810178123829,81.0887000882299,1,4,778,68.40656766913436,2,4,2,75.52898066112168,43.966090723398096,Yes,0,Tier 2,Placed,14.65,True,cgpa_band × branch_group × gender
MSTU00054,76.07521182342609,54.4636100896909,70.67681310435552,45.97994056705372,0,5,657,61.84654219198024,0,3,1,46.67308357587739,74.45515795367353,No,1,Tier 2,Placed,13.19,True,cgpa_band × branch_group × gender
MSTU00055,42.41986597542417,66.35969892201526,64.26560569279471,75.08946496291844,1,3,968,84.49096176776166,1,1,1,52.28930883935614,64.97236594092037,No,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00056,64.34043789515532,90.87900879789431,71.68040309177063,54.07590634404028,2,4,437,70.22338605930884,1,3,3,59.11003818233963,47.23247520528363,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00057,72.87963816266112,23.32825436910875,50.711690203877936,91.989384187753,1,5,852,62.08425083468329,3,2,2,58.60496165392092,71.59392499761103,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00058,75.54159780763818,59.4118604943813,54.0219818842904,64.07826075454544,0,3,529,80.31855968063192,3,2,3,59.89414764922853,43.38451307682267,No,3,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00059,93.32595937869182,97.4613190368342,42.463719224517035,68.3709799060149,1,4,767,78.06464399184075,3,2,1,48.41897547100412,34.585996961894466,Yes,2,Tier 2,Placed,15.47,True,cgpa_band × branch_group × gender
MSTU00060,63.48459409469799,75.0472923486602,88.28828738439142,68.27999210479746,0,4,158,58.824960340753954,1,6,0,53.33492374449119,64.74542411136197,Yes,0,Tier 3,Placed,13.08,True,cgpa_band × branch_group × gender
MSTU00061,56.31245837952617,44.42175239760827,69.4123210817017,74.22740121897706,3,3,132,59.74738876737207,3,2,1,70.29005828648003,53.00789271348498,Yes,0,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00062,65.6544372276395,71.5309001231165,52.65742354905569,73.540936610647,1,2,526,74.08501850865038,1,8,1,24.088466633434862,55.51850277009022,Yes,0,Tier 2,Placed,14.91,True,cgpa_band × branch_group × gender
MSTU00063,81.03263172922227,76.85714228545774,39.314100361670285,74.32800139815605,0,3,829,99.03975679424036,1,3,2,74.46435999260414,75.24215309358397,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00064,55.35195029632385,84.18065892561121,86.72417829200793,100.0,0,1,464,83.30034320100505,1,2,0,48.55743541868623,30.450150212420027,No,0,Tier 1,Placed,13.31,True,cgpa_band × branch_group × gender
MSTU00065,64.78543514845259,71.94392509941547,91.50547954843472,75.53628674207482,2,3,645,62.69713570836228,2,4,4,35.58162627413007,78.92417435093262,No,0,Tier 2,Placed,13.38,True,cgpa_band × branch_group × gender
MSTU00066,76.01069815550404,87.22672518337696,72.1727502171039,63.78782288004012,0,5,643,69.22192925146375,1,2,0,55.745354662528925,70.87351082662776,No,0,Tier 1,Placed,11.89,True,cgpa_band × branch_group × gender
MSTU00067,86.67697865696938,43.163214186318754,96.45412043840732,57.45579504935775,1,3,638,60.680642320652815,1,3,3,51.53798367187658,53.88984491284613,No,1,Tier 2,Placed,15.43,True,cgpa_band × branch_group × gender
MSTU00068,77.93790360736642,35.60030588278593,71.39567719052661,51.49611217328065,2,4,910,81.29197923834683,0,1,1,47.12223683468158,68.63370893388907,No,0,Tier 1,Placed,11.25,True,cgpa_band × branch_group × gender
MSTU00069,60.00361745286291,48.39618986513767,63.86732126710736,71.95948806680576,3,5,289,85.30490899808967,2,4,2,40.97098583058897,57.17805463754551,No,1,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00070,72.8432377720536,63.242138065160205,44.019016197141895,59.57146202766741,2,3,900,76.66571049557925,2,6,4,49.53276287789516,21.446558157103183,Yes,1,Tier 2,Placed,13.23,True,cgpa_band × branch_group × gender
MSTU00071,63.18476911580778,72.47886698659305,93.18787639841682,53.58049992609645,1,3,833,78.67842589327788,2,3,5,30.833172425034338,25.90347220449844,No,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00072,58.79022863150061,59.478064719540185,78.23159662358174,74.21594287716071,1,4,196,86.20605830748154,0,3,3,51.280083166554014,65.49551181899348,Yes,1,Tier 2,Placed,12.76,True,cgpa_band × branch_group × gender
MSTU00073,62.34450206192677,54.51315323354248,68.81565053783362,100.0,1,3,534,44.199626619977835,1,4,3,48.8423748805244,51.642443865068,No,0,Tier 2,Placed,12.0,True,cgpa_band × branch_group × gender
MSTU00074,82.96001417890812,68.38155662910147,65.76310257490167,49.934882790997406,1,2,246,79.96545224948122,1,6,3,95.16645296199292,71.95206426082429,No,1,Tier 1,Placed,12.83,True,cgpa_band × branch_group × gender
MSTU00075,85.52768687886683,52.60122639239528,64.97991469782565,48.991095070603926,1,2,359,64.30106097436962,1,3,4,81.31393561535009,71.03519055461305,No,0,Tier 2,Placed,15.02,True,cgpa_band × branch_group × gender
MSTU00076,85.08676851860224,78.44515546010363,61.239905365827475,72.2175912697354,0,7,739,73.0690378870499,2,2,2,43.22458328060195,100.0,No,1,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00077,73.60832418212567,61.124081024396034,58.82129001756937,68.52483536455455,2,4,209,66.02322823210527,0,4,3,44.40172443373797,80.89401052054836,No,1,Tier 2,Placed,13.83,True,cgpa_band × branch_group × gender
MSTU00078,63.07328802281099,71.8671211674642,50.85837425899709,60.10663929386125,1,5,923,41.84241193798101,2,5,2,56.47150483443517,40.794183535040595,Yes,1,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00079,86.23482967630575,32.33971455382391,73.29442810018884,88.09833277010958,0,4,810,89.12226616519557,1,2,0,42.96859791752638,99.48198420460318,Yes,0,Tier 2,Placed,14.75,True,cgpa_band × branch_group × gender
MSTU00080,49.68924667477898,57.67243606670625,80.57017836001013,58.96191516604892,1,3,407,94.30582165571197,1,3,3,85.7795713086063,59.884105699648366,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00081,77.38605219518577,81.5812501910855,73.33165813218298,76.88978473035235,2,4,971,92.83869031497704,2,4,3,26.543008836751277,33.35950858664273,No,1,Tier 3,Placed,13.39,True,cgpa_band × branch_group × gender
MSTU00082,57.89057880076891,82.62840425934222,47.41864528010939,63.87476086032957,1,5,556,67.90003654474566,3,1,0,68.8235230445894,49.56328121979012,No,1,Tier 2,Placed,10.92,True,cgpa_band × branch_group × gender
MSTU00083,87.15921688106994,60.6495941807158,38.14060630659051,86.16612683921328,4,3,713,52.276124945797704,4,3,2,55.202958380276705,84.34403072091726,No,1,Tier 1,Placed,15.46,True,cgpa_band × branch_group × gender
MSTU00084,68.53743579622991,56.67629994586357,50.75185948156828,85.62476818281326,0,5,408,70.85589973520702,2,3,4,78.46275503349639,49.96007016332188,Yes,0,Tier 3,Placed,14.02,True,cgpa_band × branch_group × gender
MSTU00085,69.39785079103939,35.89158934657703,68.25330727842537,83.12350070074024,0,4,512,52.72636734707747,3,1,1,73.83702426976065,67.79770550745309,No,1,Tier 3,Placed,16.48,True,cgpa_band × branch_group × gender
MSTU00086,61.11714015947706,88.96678906237902,60.16179788746223,97.34125955771164,1,5,552,49.797181379081266,0,3,1,47.152894969280936,34.672284506688854,Yes,0,Tier 2,Placed,15.52,True,cgpa_band × branch_group × gender
MSTU00087,78.84264201916734,66.539323457784,66.18599859183614,85.60098104567398,2,4,573,69.82068668674206,2,0,2,98.93677798845354,38.389198672155615,No,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00088,93.9641768737104,73.29347312906957,58.70029499906792,78.70726174316152,1,7,483,72.6523546346988,2,3,2,38.289030723314674,68.71514765100352,No,1,Tier 2,Placed,15.34,True,cgpa_band × branch_group × gender
MSTU00089,41.17631332538101,70.6383758805425,82.09768840596242,81.93577115789599,3,2,710,64.51307675612934,1,3,1,51.18858042638638,43.50608961826442,No,1,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00090,70.86547541241453,63.069902784355016,65.8517367470166,72.4892827161028,1,3,81,54.33689788130949,2,2,3,56.1913267798752,24.800196344669455,No,0,Tier 3,Placed,12.62,True,cgpa_band × branch_group × gender
MSTU00091,90.20241077041536,56.53601001884638,90.43158181823198,54.53541559277285,0,7,348,55.90536951898781,2,1,1,83.45494379378317,46.33305416214359,No,0,Tier 1,Placed,15.88,True,cgpa_band × branch_group × gender
MSTU00092,47.61559056529484,54.045394443729755,64.16973393891465,80.09608559602164,1,6,880,66.77439950532113,2,4,1,76.54421467391077,28.07736615614343,No,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00093,67.60535878787769,64.98055148139122,60.03645015832511,61.11134563624323,0,2,452,79.52594151183392,2,4,4,43.507645613911535,48.454224200545454,Yes,1,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00094,75.5179588514173,52.291348703737555,60.733657768066905,75.05096924496561,3,5,949,69.11453537013054,1,5,0,56.86529191577196,40.73536415034067,Yes,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00095,57.25199922232023,31.99563596440521,78.02292909114904,71.06122452053165,1,2,581,84.2457651523924,0,2,4,68.0624339451682,51.813785494833155,No,3,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00096,58.99368436985684,60.2424836449667,41.87591194654248,80.60199213084394,0,5,683,64.59912212161382,1,2,5,28.738071770090905,16.328112728310302,Yes,0,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00097,48.10628228739879,50.560540898934505,46.808972351162325,53.5263311815783,1,6,958,69.44120706057184,0,4,1,44.90602710689542,48.32529461078314,Yes,1,Tier 3,Placed,13.91,True,cgpa_band × branch_group × gender
MSTU00098,73.6842829830685,52.118721929822165,54.26922313714536,64.90278626811471,1,4,901,63.687573533735105,2,1,5,59.19168244180468,53.62790676297671,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00099,96.40527213528856,91.09712384194322,67.3019096270994,87.36264429509144,2,2,951,61.49696403959782,1,2,3,48.68471282241369,93.00913910086128,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00100,57.13046718282942,58.07231209506698,75.8744633079362,54.201565002411925,1,3,496,57.039885991779165,1,3,2,57.35162715226035,45.18723706488695,Yes,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00101,78.64427657345485,64.50329147500625,70.90460632571967,47.11844377725588,1,3,264,53.04207385665023,2,7,2,84.46799864351505,62.00688935260493,Yes,0,Tier 1,Placed,12.65,True,cgpa_band × branch_group × gender
MSTU00102,51.25695898058722,68.27062231036658,73.10886519875928,81.67946184242783,1,8,325,63.52974114748548,1,2,0,98.52480245889215,36.18631817515731,Yes,0,Tier 1,Placed,13.06,True,cgpa_band × branch_group × gender
MSTU00103,70.81775572212136,80.56852864810216,77.27856259027149,76.79233483651484,2,2,113,95.30929464994516,2,2,2,43.69720754747023,83.08362992219602,No,0,Tier 1,Placed,12.3,True,cgpa_band × branch_group × gender
MSTU00104,84.0538078364999,61.45424477372499,63.84022731034844,65.87027475472622,1,7,777,68.17715818167812,3,1,2,95.45878504616716,74.6774099812601,Yes,0,Tier 2,Placed,15.95,True,cgpa_band × branch_group × gender
MSTU00105,56.0648023608905,66.70950695085762,41.65447940772053,57.41862038811957,1,3,970,53.52155505978885,1,6,2,65.2378266677227,83.37529167519314,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00106,75.99852518704559,83.07810906821656,75.78107082537007,60.04077772172911,4,5,387,62.78777679997402,0,5,4,71.72186211002824,71.06491139364127,Yes,1,Tier 2,Placed,14.31,True,cgpa_band × branch_group × gender
MSTU00107,80.4651313019655,60.67051632478368,85.32541298206706,86.28578801039644,1,7,381,49.06631684313411,4,6,3,61.11893075775564,52.21458165275293,No,2,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00108,85.25721494821258,40.13826294514031,89.27407413400115,66.26684016585362,1,6,114,60.937747971549754,2,4,2,75.14308558512533,50.831622730682504,No,1,Tier 3,Placed,14.45,True,cgpa_band × branch_group × gender
MSTU00109,66.82212129826479,46.26750232780122,92.135282584304,68.96243633238691,0,5,70,54.66640826988422,0,1,2,52.44229818293381,61.71466611066547,No,1,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00110,68.67581144638436,66.70820665549097,80.97297634589884,66.54047216069601,3,3,452,77.59114295451191,5,4,2,52.900215598104495,53.73487421589897,Yes,0,Tier 2,Placed,15.42,True,cgpa_band × branch_group × gender
MSTU00111,89.67988214138505,66.97398353977437,83.89714523514598,81.42178991376258,0,4,210,78.3275524896699,2,5,2,79.94109136352183,43.34516669954998,Yes,1,Tier 2,Placed,13.14,True,cgpa_band × branch_group × gender
MSTU00112,76.70990137604161,72.9859697016715,47.63705829928812,85.2782682813429,1,2,177,72.57452310544346,0,2,4,60.72300435889655,39.587360464344826,No,0,Tier 3,Placed,11.72,True,cgpa_band × branch_group × gender
MSTU00113,78.73176696593605,77.66862442335443,67.85718032350432,63.57249520012887,0,5,824,65.72832785067565,2,2,1,61.13651889870479,86.95597025805606,Yes,1,Tier 1,Placed,13.51,True,cgpa_band × branch_group × gender
MSTU00114,61.04048565233876,79.35915103156589,98.21439543800004,58.19626956207341,1,5,455,58.13640383635487,0,2,2,58.26191697669983,65.84566830336001,No,1,Tier 2,Placed,14.34,True,cgpa_band × branch_group × gender
MSTU00115,56.97929063805614,75.57510987653137,61.2778012116016,54.08286596088379,2,5,882,72.8319335310529,3,0,2,69.48436930622461,44.53556395244116,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00116,38.792663245517005,86.67992132634365,70.4173877374032,82.4137069819645,3,1,713,74.50582176631387,0,3,1,50.09988067892984,52.57230369660217,Yes,0,Tier 2,Placed,14.26,True,cgpa_band × branch_group × gender
MSTU00117,72.30953473915773,55.60577575482904,57.21421110668097,68.78849496609176,1,5,993,63.83977731573718,0,3,2,44.999232864125375,59.55358816673045,No,0,Tier 1,Placed,13.68,True,cgpa_band × branch_group × gender
MSTU00118,67.36826037058192,57.9632595352669,74.77761389384612,83.249220256306,0,3,752,84.70361760431486,3,5,4,59.42567706712995,75.07846604599104,Yes,0,Tier 1,Placed,10.07,True,cgpa_band × branch_group × gender
MSTU00119,50.06421280519301,75.75158076319138,61.19341303686098,90.50697638716478,1,4,104,76.70024859785768,1,2,2,68.11139380663428,43.70403034729587,Yes,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00120,63.579329619225575,88.21690440338554,59.88854017677176,78.8156603845761,1,4,126,60.81358951862181,1,5,0,50.57395040449243,43.46183703671851,Yes,0,Tier 2,Placed,11.6,True,cgpa_band × branch_group × gender
MSTU00121,74.16624727749293,70.59919307173682,56.28761464904453,39.37157730917995,2,5,587,61.77090381713685,1,1,2,53.734634657240875,76.71028875841465,No,1,Tier 3,Placed,13.66,True,cgpa_band × branch_group × gender
MSTU00122,62.03964990670879,66.66995286880083,77.23878725968648,64.30446636117124,2,6,253,64.28580924806023,1,3,3,81.2162883328128,100.0,No,0,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
